event_ID	gene_id_1	gene_name_1	gene_id_2	gene_name_2	both_DGE	N_shared_enhancers
PCa13266_2	ENSG00000152894.14	PTPRK	ENSG00000172673.10	THEMIS	False	9
PCa13848_0	ENSG00000137968.16	SLC44A5	ENSG00000230863.3	AL137803.1	False	1
PCa13848_1	ENSG00000117222.14	RBBP5	ENSG00000117266.15	CDK18	False	0
PCa13848_1	ENSG00000117222.14	RBBP5	ENSG00000133069.17	TMCC2	False	1
PCa13848_1	ENSG00000117222.14	RBBP5	ENSG00000162873.14	KLHDC8A	False	0
PCa13848_1	ENSG00000117222.14	RBBP5	ENSG00000163531.15	NFASC	False	12
PCa13848_1	ENSG00000117222.14	RBBP5	ENSG00000184144.12	CNTN2	False	1
PCa13848_1	ENSG00000117222.14	RBBP5	ENSG00000229657.2	AL391822.1	False	11
PCa13848_1	ENSG00000117266.15	CDK18	ENSG00000133069.17	TMCC2	False	0
PCa13848_1	ENSG00000117266.15	CDK18	ENSG00000162873.14	KLHDC8A	False	2
PCa13848_1	ENSG00000117266.15	CDK18	ENSG00000163531.15	NFASC	False	0
PCa13848_1	ENSG00000117266.15	CDK18	ENSG00000184144.12	CNTN2	False	0
PCa13848_1	ENSG00000117266.15	CDK18	ENSG00000229657.2	AL391822.1	False	0
PCa13848_1	ENSG00000133069.17	TMCC2	ENSG00000162873.14	KLHDC8A	False	0
PCa13848_1	ENSG00000133069.17	TMCC2	ENSG00000163531.15	NFASC	False	3
PCa13848_1	ENSG00000133069.17	TMCC2	ENSG00000184144.12	CNTN2	False	1
PCa13848_1	ENSG00000133069.17	TMCC2	ENSG00000229657.2	AL391822.1	False	0
PCa13848_1	ENSG00000162873.14	KLHDC8A	ENSG00000163531.15	NFASC	False	0
PCa13848_1	ENSG00000162873.14	KLHDC8A	ENSG00000184144.12	CNTN2	False	0
PCa13848_1	ENSG00000162873.14	KLHDC8A	ENSG00000229657.2	AL391822.1	False	0
PCa13848_1	ENSG00000163531.15	NFASC	ENSG00000184144.12	CNTN2	False	1
PCa13848_1	ENSG00000163531.15	NFASC	ENSG00000229657.2	AL391822.1	False	11
PCa13848_1	ENSG00000184144.12	CNTN2	ENSG00000229657.2	AL391822.1	False	0
PCa13848_1	ENSG00000004809.14	SLC22A16	ENSG00000112290.13	WASF1	False	0
PCa13848_1	ENSG00000004809.14	SLC22A16	ENSG00000112367.10	FIG4	False	0
PCa13848_1	ENSG00000004809.14	SLC22A16	ENSG00000135587.9	SMPD2	False	0
PCa13848_1	ENSG00000004809.14	SLC22A16	ENSG00000135596.18	MICAL1	False	0
PCa13848_1	ENSG00000004809.14	SLC22A16	ENSG00000155085.15	AK9	False	0
PCa13848_1	ENSG00000004809.14	SLC22A16	ENSG00000168438.15	CDC40	False	0
PCa13848_1	ENSG00000004809.14	SLC22A16	ENSG00000185250.16	PPIL6	False	0
PCa13848_1	ENSG00000004809.14	SLC22A16	ENSG00000203797.10	DDO	False	2
PCa13848_1	ENSG00000112290.13	WASF1	ENSG00000112367.10	FIG4	False	1
PCa13848_1	ENSG00000112290.13	WASF1	ENSG00000135587.9	SMPD2	False	0
PCa13848_1	ENSG00000112290.13	WASF1	ENSG00000135596.18	MICAL1	False	0
PCa13848_1	ENSG00000112290.13	WASF1	ENSG00000155085.15	AK9	False	1
PCa13848_1	ENSG00000112290.13	WASF1	ENSG00000168438.15	CDC40	False	1
PCa13848_1	ENSG00000112290.13	WASF1	ENSG00000185250.16	PPIL6	False	0
PCa13848_1	ENSG00000112290.13	WASF1	ENSG00000203797.10	DDO	False	1
PCa13848_1	ENSG00000112367.10	FIG4	ENSG00000135587.9	SMPD2	False	0
PCa13848_1	ENSG00000112367.10	FIG4	ENSG00000135596.18	MICAL1	False	0
PCa13848_1	ENSG00000112367.10	FIG4	ENSG00000155085.15	AK9	False	3
PCa13848_1	ENSG00000112367.10	FIG4	ENSG00000168438.15	CDC40	False	1
PCa13848_1	ENSG00000112367.10	FIG4	ENSG00000185250.16	PPIL6	False	0
PCa13848_1	ENSG00000112367.10	FIG4	ENSG00000203797.10	DDO	False	3
PCa13848_1	ENSG00000135587.9	SMPD2	ENSG00000135596.18	MICAL1	False	5
PCa13848_1	ENSG00000135587.9	SMPD2	ENSG00000155085.15	AK9	False	1
PCa13848_1	ENSG00000135587.9	SMPD2	ENSG00000168438.15	CDC40	False	0
PCa13848_1	ENSG00000135587.9	SMPD2	ENSG00000185250.16	PPIL6	False	5
PCa13848_1	ENSG00000135587.9	SMPD2	ENSG00000203797.10	DDO	False	0
PCa13848_1	ENSG00000135596.18	MICAL1	ENSG00000155085.15	AK9	False	1
PCa13848_1	ENSG00000135596.18	MICAL1	ENSG00000168438.15	CDC40	False	0
PCa13848_1	ENSG00000135596.18	MICAL1	ENSG00000185250.16	PPIL6	False	5
PCa13848_1	ENSG00000135596.18	MICAL1	ENSG00000203797.10	DDO	False	0
PCa13848_1	ENSG00000155085.15	AK9	ENSG00000168438.15	CDC40	False	1
PCa13848_1	ENSG00000155085.15	AK9	ENSG00000185250.16	PPIL6	False	1
PCa13848_1	ENSG00000155085.15	AK9	ENSG00000203797.10	DDO	False	5
PCa13848_1	ENSG00000168438.15	CDC40	ENSG00000185250.16	PPIL6	False	0
PCa13848_1	ENSG00000168438.15	CDC40	ENSG00000203797.10	DDO	False	1
PCa13848_1	ENSG00000185250.16	PPIL6	ENSG00000203797.10	DDO	False	0
PCa13848_10	ENSG00000043355.12	ZIC2	ENSG00000088387.19	DOCK9	False	0
PCa13848_10	ENSG00000043355.12	ZIC2	ENSG00000125245.12	GPR18	False	0
PCa13848_10	ENSG00000043355.12	ZIC2	ENSG00000125246.15	CLYBL	False	15
PCa13848_10	ENSG00000043355.12	ZIC2	ENSG00000125304.10	TM9SF2	False	15
PCa13848_10	ENSG00000043355.12	ZIC2	ENSG00000134882.16	UBAC2	False	0
PCa13848_10	ENSG00000043355.12	ZIC2	ENSG00000139800.8	ZIC5	False	15
PCa13848_10	ENSG00000043355.12	ZIC2	ENSG00000234005.3	GAPDHP22	False	0
PCa13848_10	ENSG00000043355.12	ZIC2	ENSG00000238241.2	CCR12P	False	15
PCa13848_10	ENSG00000088387.19	DOCK9	ENSG00000125245.12	GPR18	False	0
PCa13848_10	ENSG00000088387.19	DOCK9	ENSG00000125246.15	CLYBL	False	0
PCa13848_10	ENSG00000088387.19	DOCK9	ENSG00000125304.10	TM9SF2	False	0
PCa13848_10	ENSG00000088387.19	DOCK9	ENSG00000134882.16	UBAC2	False	0
PCa13848_10	ENSG00000088387.19	DOCK9	ENSG00000139800.8	ZIC5	False	0
PCa13848_10	ENSG00000088387.19	DOCK9	ENSG00000234005.3	GAPDHP22	False	0
PCa13848_10	ENSG00000088387.19	DOCK9	ENSG00000238241.2	CCR12P	False	0
PCa13848_10	ENSG00000125245.12	GPR18	ENSG00000125246.15	CLYBL	False	0
PCa13848_10	ENSG00000125245.12	GPR18	ENSG00000125304.10	TM9SF2	False	4
PCa13848_10	ENSG00000125245.12	GPR18	ENSG00000134882.16	UBAC2	False	4
PCa13848_10	ENSG00000125245.12	GPR18	ENSG00000139800.8	ZIC5	False	0
PCa13848_10	ENSG00000125245.12	GPR18	ENSG00000234005.3	GAPDHP22	False	4
PCa13848_10	ENSG00000125245.12	GPR18	ENSG00000238241.2	CCR12P	False	4
PCa13848_10	ENSG00000125246.15	CLYBL	ENSG00000125304.10	TM9SF2	False	15
PCa13848_10	ENSG00000125246.15	CLYBL	ENSG00000134882.16	UBAC2	False	0
PCa13848_10	ENSG00000125246.15	CLYBL	ENSG00000139800.8	ZIC5	False	15
PCa13848_10	ENSG00000125246.15	CLYBL	ENSG00000234005.3	GAPDHP22	False	0
PCa13848_10	ENSG00000125246.15	CLYBL	ENSG00000238241.2	CCR12P	False	15
PCa13848_10	ENSG00000125304.10	TM9SF2	ENSG00000134882.16	UBAC2	False	4
PCa13848_10	ENSG00000125304.10	TM9SF2	ENSG00000139800.8	ZIC5	False	15
PCa13848_10	ENSG00000125304.10	TM9SF2	ENSG00000234005.3	GAPDHP22	False	4
PCa13848_10	ENSG00000125304.10	TM9SF2	ENSG00000238241.2	CCR12P	False	24
PCa13848_10	ENSG00000134882.16	UBAC2	ENSG00000139800.8	ZIC5	False	0
