SampleID	component_ID	n_loops	DGE
PCa13266	0	9	FALSE
PCa13266	2	9	FALSE
PCa13848	1	22	TRUE
PCa13848	2	21	FALSE
PCa13848	3	45	FALSE
PCa13848	4	20	FALSE
PCa13848	5	23	FALSE
PCa13848	6	26	TRUE
PCa13848	7	101	TRUE
PCa13848	8	9	TRUE
PCa13848	9	22	FALSE
PCa13848	10	12	FALSE
PCa13848	11	36	TRUE
PCa13848	12	26	FALSE
PCa13848	13	23	FALSE
PCa13848	14	18	FALSE
PCa13848	15	16	FALSE
PCa13848	16	1	FALSE
PCa13848	17	31	TRUE
PCa13848	18	28	TRUE
PCa14121	0	5	FALSE
PCa14121	1	2	FALSE
PCa14121	2	2	FALSE
PCa14121	3	7	FALSE
PCa14121	4	1	FALSE
PCa19121	0	5	FALSE
PCa19121	1	5	FALSE
PCa19121	2	27	FALSE
PCa19121	4	1	FALSE
PCa19121	5	15	FALSE
PCa19121	6	3	FALSE
PCa19121	7	9	FALSE
PCa19121	8	8	TRUE
PCa3023	0	3	FALSE
PCa3023	1	9	FALSE
PCa3023	2	7	FALSE
PCa3023	3	13	FALSE
PCa3023	4	33	FALSE
PCa3023	5	1	FALSE
PCa3023	6	1	FALSE
PCa3023	7	42	FALSE
PCa3023	8	46	FALSE
PCa3023	9	8	FALSE
PCa3023	10	2	FALSE
PCa3023	11	5	FALSE
PCa3023	12	17	FALSE
PCa3023	13	3	FALSE
PCa3023	14	8	TRUE
PCa33173	0	55	FALSE
PCa40507	0	22	FALSE
PCa40507	2	21	FALSE
PCa40507	3	21	FALSE
PCa40507	4	60	TRUE
PCa40507	5	2	FALSE
PCa40507	6	119	FALSE
PCa40507	7	11	FALSE
PCa40507	8	43	FALSE
PCa40507	9	15	FALSE
PCa40507	10	20	FALSE
PCa40507	11	1	FALSE
PCa40507	12	24	FALSE
PCa40507	13	17	FALSE
PCa40507	14	18	FALSE
PCa40507	15	17	FALSE
PCa40507	16	32	FALSE
PCa40507	17	4	FALSE
PCa40507	18	8	TRUE
PCa51852	0	18	FALSE
PCa51852	1	36	FALSE
PCa51852	2	10	TRUE
PCa51852	3	8	TRUE
PCa51852	4	17	TRUE
PCa51852	5	8	TRUE
PCa53687	0	91	FALSE
PCa53687	1	4	FALSE
PCa53687	2	4	FALSE
PCa53687	4	7	FALSE
PCa53687	5	9	FALSE
PCa53687	6	34	TRUE
PCa53687	7	8	FALSE
PCa53687	8	22	TRUE
PCa56413	0	52	FALSE
PCa56413	1	58	FALSE
PCa56413	2	67	FALSE
PCa56413	3	8	FALSE
PCa56413	4	41	TRUE
PCa56413	5	20	FALSE
PCa56413	6	11	FALSE
PCa56413	8	9	FALSE
PCa56413	9	10	FALSE
PCa56413	10	33	FALSE
PCa56413	11	5	FALSE
PCa56413	12	1	FALSE
PCa56413	13	7	FALSE
PCa56413	14	11	FALSE
PCa56413	15	13	FALSE
PCa56413	16	6	FALSE
PCa56413	17	19	FALSE
PCa56413	18	46	FALSE
PCa56413	19	7	FALSE
PCa56413	20	47	FALSE
PCa56413	21	14	FALSE
PCa56413	23	9	FALSE
PCa56413	24	108	FALSE
PCa56413	25	6	FALSE
PCa56413	26	5	FALSE
PCa56413	27	55	TRUE
PCa56413	28	9	FALSE
PCa56413	29	4	FALSE
PCa56413	30	7	FALSE
PCa56413	32	5	FALSE
PCa56413	33	43	FALSE
PCa56413	34	8	TRUE
PCa56413	35	27	FALSE
PCa57294	0	17	TRUE
PCa57294	1	46	FALSE
PCa57294	2	51	FALSE
PCa57294	3	3	FALSE
PCa58215	0	18	FALSE
PCa58215	1	13	FALSE
PCa58215	2	64	TRUE
PCa58215	3	16	TRUE
PCa58215	4	36	FALSE
