Gene	rho	p	FDR
RAD21	-0.24220172887459	0.050475151249818	0.25237575624909
YY1	0.0978867335843114	0.74363151888294	0.818657424147847
CTCF	-0.115879969758836	0.224216244031311	0.474577210111252
SMC1A	-0.0157844526098742	0.458066768343418	0.572583460429273
PDS5A	-0.085108843376318	0.284746326066751	0.474577210111252
WAPAL	-0.0958529596356487	0.2655420893313	0.474577210111252
STAG2	-0.0430747882577153	0.386869566722592	0.552670809603703
STAG1	-0.099043103738881	0.253872566611859	0.474577210111252
PDS5B	-0.372813737833219	0.0049279858700355	0.049279858700355
SMC3	0.135815674654192	0.818657424147847	0.818657424147847
