Cell_Line	Shift	z
22Rv1	-5000	-12.1452703042399
22Rv1	-4990	-12.0784788182505
22Rv1	-4980	-12.2788532762188
22Rv1	-4970	-12.4124362481977
22Rv1	-4960	-12.3322864650103
22Rv1	-4950	-12.3189281678125
22Rv1	-4940	-12.3990779509998
22Rv1	-4930	-12.4257945453956
22Rv1	-4920	-12.5059443285829
22Rv1	-4910	-12.3322864650103
22Rv1	-4900	-12.4391528425934
22Rv1	-4890	-12.5059443285829
22Rv1	-4880	-12.4257945453956
22Rv1	-4870	-12.3055698706146
22Rv1	-4860	-12.4525111397913
22Rv1	-4850	-12.4792277341871
22Rv1	-4840	-12.3456447622082
22Rv1	-4830	-12.4525111397913
22Rv1	-4820	-12.5059443285829
22Rv1	-4810	-12.4257945453956
22Rv1	-4800	-12.492586031385
22Rv1	-4790	-12.5593775173744
22Rv1	-4780	-12.6929604893533
22Rv1	-4770	-12.6528855977597
22Rv1	-4760	-12.6662438949576
22Rv1	-4750	-12.6528855977597
22Rv1	-4740	-12.7731102725407
22Rv1	-4730	-12.853260055728
22Rv1	-4720	-12.8265434613322
22Rv1	-4710	-12.6528855977597
22Rv1	-4700	-12.7731102725407
22Rv1	-4690	-12.6261690033639
22Rv1	-4680	-12.5460192201766
22Rv1	-4670	-12.5860941117702
22Rv1	-4660	-12.7731102725407
22Rv1	-4650	-12.7463936781449
22Rv1	-4640	-12.6528855977597
22Rv1	-4630	-12.8666183529259
22Rv1	-4620	-12.5860941117702
22Rv1	-4610	-12.7196770837491
22Rv1	-4600	-12.5860941117702
22Rv1	-4590	-12.6395273005618
22Rv1	-4580	-12.5860941117702
22Rv1	-4570	-12.7463936781449
22Rv1	-4560	-12.6528855977597
22Rv1	-4550	-12.6261690033639
22Rv1	-4540	-12.6929604893533
22Rv1	-4530	-12.6929604893533
22Rv1	-4520	-12.4257945453956
22Rv1	-4510	-12.4391528425934
22Rv1	-4500	-12.4658694369892
22Rv1	-4490	-12.2654949790209
22Rv1	-4480	-12.4391528425934
22Rv1	-4470	-12.4658694369892
22Rv1	-4460	-12.6662438949576
22Rv1	-4450	-12.7998268669364
22Rv1	-4440	-12.6395273005618
22Rv1	-4430	-12.733035380947
22Rv1	-4420	-13.0269179193005
22Rv1	-4410	-12.9334098389153
22Rv1	-4400	-12.7864685697386
22Rv1	-4390	-12.7998268669364
22Rv1	-4380	-12.5860941117702
22Rv1	-4370	-12.612810706166
22Rv1	-4360	-12.5193026257808
22Rv1	-4350	-12.3590030594061
22Rv1	-4340	-12.3189281678125
22Rv1	-4330	-12.3456447622082
22Rv1	-4320	-12.1987034930315
22Rv1	-4310	-12.0784788182505
22Rv1	-4300	-11.9048209546779
22Rv1	-4290	-11.9716124406673
22Rv1	-4280	-11.9448958462716
22Rv1	-4270	-12.0918371154483
22Rv1	-4260	-12.0918371154483
22Rv1	-4250	-11.9181792518758
22Rv1	-4240	-11.771237982699
22Rv1	-4230	-11.7178047939075
22Rv1	-4220	-11.5975801191265
22Rv1	-4210	-11.4506388499497
22Rv1	-4200	-11.3571307695645
22Rv1	-4190	-11.410563958356
22Rv1	-4180	-11.6242967135222
22Rv1	-4170	-11.4506388499497
22Rv1	-4160	-11.3571307695645
22Rv1	-4150	-11.2502643919814
22Rv1	-4140	-11.1834729059919
22Rv1	-4130	-11.1300397172004
22Rv1	-4120	-11.1033231228046
22Rv1	-4110	-11.1300397172004
22Rv1	-4100	-11.0231733396173
22Rv1	-4090	-10.8895903676384
22Rv1	-4080	-11.0365316368151
22Rv1	-4070	-10.9029486648363
22Rv1	-4060	-10.8628737732426
22Rv1	-4050	-10.6758576124722
22Rv1	-4040	-10.5957078292848
22Rv1	-4030	-10.5556329376912
22Rv1	-4020	-10.3151835881292
22Rv1	-4010	-10.1816006161503
22Rv1	-4000	-10.0880925357651
22Rv1	-3990	-9.99458445537984
22Rv1	-3980	-10.0480176441714
22Rv1	-3970	-10.2483921021397
22Rv1	-3960	-10.0480176441714
22Rv1	-3950	-9.99458445537984
22Rv1	-3940	-10.0079427525777
22Rv1	-3930	-10.0346593469735
22Rv1	-3920	-9.90107637499462
22Rv1	-3910	-9.9277929693904
22Rv1	-3900	-9.94115126658829
22Rv1	-3890	-9.72741851142207
22Rv1	-3880	-9.54040235065163
22Rv1	-3870	-9.51368575625585
22Rv1	-3860	-9.47361086466219
22Rv1	-3850	-9.27323640669386
22Rv1	-3840	-9.28659470389175
22Rv1	-3830	-9.2198032179023
22Rv1	-3820	-9.2198032179023
22Rv1	-3810	-9.19308662350653
22Rv1	-3800	-9.29995300108964
22Rv1	-3790	-9.24651981229808
22Rv1	-3780	-9.31331129828752
22Rv1	-3770	-9.16637002911075
22Rv1	-3760	-9.2198032179023
22Rv1	-3750	-9.07286194872553
22Rv1	-3740	-9.05950365152764
22Rv1	-3730	-9.08622024592342
22Rv1	-3720	-9.13965343471497
22Rv1	-3710	-9.08622024592342
22Rv1	-3700	-8.97935386834031
22Rv1	-3690	-8.71218792438254
22Rv1	-3680	-8.51181346641421
22Rv1	-3670	-8.49845516921632
22Rv1	-3660	-8.48509687201843
22Rv1	-3650	-8.59196324960154
22Rv1	-3640	-8.65875473559098
22Rv1	-3630	-8.61867984399732
22Rv1	-3620	-8.72554622158043
22Rv1	-3610	-8.83241259916353
22Rv1	-3600	-8.85912919355931
22Rv1	-3590	-8.95263727394453
22Rv1	-3580	-8.91256238235087
22Rv1	-3570	-8.95263727394453
22Rv1	-3560	-8.91256238235087
22Rv1	-3550	-8.89920408515298
22Rv1	-3540	-8.79233770756987
22Rv1	-3530	-8.8724874907572
22Rv1	-3520	-8.79233770756987
22Rv1	-3510	-8.92592067954876
22Rv1	-3500	-9.01942875993397
22Rv1	-3490	-8.88584578795509
22Rv1	-3480	-8.6453964383931
22Rv1	-3470	-8.72554622158043
22Rv1	-3460	-8.69882962718465
22Rv1	-3450	-8.55188835800788
22Rv1	-3440	-8.77897941037198
22Rv1	-3430	-8.81905430196565
22Rv1	-3420	-8.77897941037198
22Rv1	-3410	-8.77897941037198
22Rv1	-3400	-8.92592067954876
22Rv1	-3390	-8.77897941037198
22Rv1	-3380	-9.1129368403192
22Rv1	-3370	-9.23316151510019
22Rv1	-3360	-9.13965343471497
22Rv1	-3350	-9.00607046273609
22Rv1	-3340	-8.92592067954876
22Rv1	-3330	-9.07286194872553
22Rv1	-3320	-9.20644492070442
22Rv1	-3310	-9.20644492070442
22Rv1	-3300	-9.17972832630864
22Rv1	-3290	-9.09957854312131
22Rv1	-3280	-9.01942875993397
22Rv1	-3270	-8.89920408515298
22Rv1	-3260	-9.05950365152764
22Rv1	-3250	-8.95263727394453
22Rv1	-3240	-8.61867984399732
22Rv1	-3230	-8.59196324960154
22Rv1	-3220	-8.47173857482054
22Rv1	-3210	-8.48509687201843
22Rv1	-3200	-8.47173857482054
22Rv1	-3190	-8.57860495240365
22Rv1	-3180	-8.44502198042477
22Rv1	-3170	-8.4049470888311
22Rv1	-3160	-8.177856036467
22Rv1	-3150	-8.29808071124799
22Rv1	-3140	-8.29808071124799
22Rv1	-3130	-8.16449773926911
22Rv1	-3120	-8.12442284767544
22Rv1	-3110	-8.13778114487333
22Rv1	-3100	-8.00419817289444
22Rv1	-3090	-7.92404838970711
