Sample_ID	size	N
Benign-Prostate-1595983	47240000	1
Benign-Prostate-1595983	40000	1375
Benign-Prostate-1595983	200000	123
Benign-Prostate-1595983	80000	570
Benign-Prostate-1595983	120000	325
Benign-Prostate-1595983	1600000	6
Benign-Prostate-1595983	360000	32
Benign-Prostate-1595983	5960000	3
Benign-Prostate-1595983	440000	42
Benign-Prostate-1595983	4960000	1
Benign-Prostate-1595983	160000	190
Benign-Prostate-1595983	400000	49
Benign-Prostate-1595983	1160000	6
Benign-Prostate-1595983	760000	11
Benign-Prostate-1595983	26800000	1
Benign-Prostate-1595983	240000	87
Benign-Prostate-1595983	280000	78
Benign-Prostate-1595983	14000000	1
Benign-Prostate-1595983	1920000	7
Benign-Prostate-1595983	3920000	2
Benign-Prostate-1595983	560000	16
Benign-Prostate-1595983	1280000	11
Benign-Prostate-1595983	27920000	1
Benign-Prostate-1595983	6160000	1
Benign-Prostate-1595983	1880000	5
Benign-Prostate-1595983	3080000	3
Benign-Prostate-1595983	4240000	4
Benign-Prostate-1595983	320000	74
Benign-Prostate-1595983	1840000	5
Benign-Prostate-1595983	2920000	4
Benign-Prostate-1595983	480000	35
Benign-Prostate-1595983	10960000	1
Benign-Prostate-1595983	2320000	2
Benign-Prostate-1595983	520000	18
Benign-Prostate-1595983	16480000	1
Benign-Prostate-1595983	5880000	2
Benign-Prostate-1595983	4200000	2
Benign-Prostate-1595983	10000000	1
Benign-Prostate-1595983	6400000	4
Benign-Prostate-1595983	1080000	9
Benign-Prostate-1595983	9040000	1
Benign-Prostate-1595983	800000	20
Benign-Prostate-1595983	1440000	6
Benign-Prostate-1595983	2960000	6
Benign-Prostate-1595983	5400000	2
Benign-Prostate-1595983	1400000	6
Benign-Prostate-1595983	1760000	8
Benign-Prostate-1595983	3480000	3
Benign-Prostate-1595983	9440000	1
Benign-Prostate-1595983	4040000	2
Benign-Prostate-1595983	2040000	5
Benign-Prostate-1595983	5840000	2
Benign-Prostate-1595983	5320000	2
Benign-Prostate-1595983	13840000	1
Benign-Prostate-1595983	10200000	1
Benign-Prostate-1595983	8280000	1
Benign-Prostate-1595983	7280000	3
Benign-Prostate-1595983	680000	14
Benign-Prostate-1595983	4560000	7
Benign-Prostate-1595983	5600000	3
Benign-Prostate-1595983	640000	18
Benign-Prostate-1595983	1360000	5
Benign-Prostate-1595983	3440000	4
Benign-Prostate-1595983	3400000	5
Benign-Prostate-1595983	1000000	13
Benign-Prostate-1595983	11920000	1
Benign-Prostate-1595983	2120000	2
Benign-Prostate-1595983	6080000	1
Benign-Prostate-1595983	2440000	3
Benign-Prostate-1595983	7200000	1
Benign-Prostate-1595983	720000	10
Benign-Prostate-1595983	9120000	1
Benign-Prostate-1595983	920000	12
Benign-Prostate-1595983	880000	13
Benign-Prostate-1595983	7840000	2
Benign-Prostate-1595983	6440000	1
Benign-Prostate-1595983	2400000	3
Benign-Prostate-1595983	5800000	2
Benign-Prostate-1595983	600000	21
Benign-Prostate-1595983	7800000	3
Benign-Prostate-1595983	8040000	1
Benign-Prostate-1595983	2560000	2
Benign-Prostate-1595983	8880000	2
Benign-Prostate-1595983	6520000	2
Benign-Prostate-1595983	21720000	1
Benign-Prostate-1595983	16800000	1
Benign-Prostate-1595983	12520000	1
Benign-Prostate-1595983	24920000	1
Benign-Prostate-1595983	1200000	7
Benign-Prostate-1595983	2480000	3
Benign-Prostate-1595983	12480000	1
Benign-Prostate-1595983	840000	14
Benign-Prostate-1595983	1040000	12
