gene_id	gene_name	detected_prom_enh_loop	n_enhancers
ENSG00000000419.12	DPM1	False	36
ENSG00000000419.12	DPM1	True	9
ENSG00000000460.17	C1orf112	False	27
ENSG00000000938.13	FGR	False	31
ENSG00000000938.13	FGR	True	32
ENSG00000000971.16	CFH	False	2
ENSG00000001036.14	FUCA2	False	12
ENSG00000001084.13	GCLC	False	49
ENSG00000001460.18	STPG1	False	34
ENSG00000001617.12	SEMA3F	False	32
ENSG00000001626.16	CFTR	False	3
ENSG00000002016.18	RAD52	False	30
ENSG00000002016.18	RAD52	True	19
ENSG00000002079.14	MYH16	False	36
ENSG00000002549.12	LAP3	False	7
ENSG00000002587.10	HS3ST1	False	14
ENSG00000002587.10	HS3ST1	True	4
ENSG00000002745.13	WNT16	False	3
ENSG00000002745.13	WNT16	True	7
ENSG00000002746.15	HECW1	False	17
ENSG00000002746.15	HECW1	True	5
ENSG00000002822.15	MAD1L1	False	31
ENSG00000002822.15	MAD1L1	True	10
ENSG00000003056.8	M6PR	False	5
ENSG00000003137.8	CYP26B1	False	12
ENSG00000003137.8	CYP26B1	True	13
ENSG00000003147.19	ICA1	False	20
ENSG00000003400.15	CASP10	False	12
ENSG00000003400.15	CASP10	True	5
ENSG00000003402.20	CFLAR	False	17
ENSG00000003436.16	TFPI	False	5
ENSG00000003436.16	TFPI	True	1
ENSG00000003756.17	RBM5	False	32
ENSG00000003987.14	MTMR7	False	42
ENSG00000003989.17	SLC7A2	False	28
ENSG00000003989.17	SLC7A2	True	14
ENSG00000004142.12	POLDIP2	False	39
ENSG00000004455.17	AK2	False	1
ENSG00000004455.17	AK2	True	14
ENSG00000004468.13	CD38	False	15
ENSG00000004766.17	VPS50	False	11
ENSG00000004766.17	VPS50	True	3
ENSG00000004809.14	SLC22A16	False	7
ENSG00000004809.14	SLC22A16	True	47
ENSG00000004838.14	ZMYND10	False	27
ENSG00000004838.14	ZMYND10	True	5
ENSG00000004846.16	ABCB5	True	12
ENSG00000004864.13	SLC25A13	False	24
ENSG00000004866.20	ST7	True	3
ENSG00000004948.15	CALCR	False	14
ENSG00000004961.15	HCCS	False	2
ENSG00000004961.15	HCCS	True	5
ENSG00000005007.12	UPF1	False	61
ENSG00000005020.13	SKAP2	False	73
ENSG00000005073.6	HOXA11	False	5
ENSG00000005073.6	HOXA11	True	92
ENSG00000005108.16	THSD7A	True	1
ENSG00000005156.12	LIG3	False	43
ENSG00000005156.12	LIG3	True	12
ENSG00000005175.10	RPAP3	False	12
ENSG00000005175.10	RPAP3	True	9
ENSG00000005189.19	REXO5	False	9
ENSG00000005194.15	CIAPIN1	False	11
ENSG00000005238.19	FAM214B	False	18
ENSG00000005238.19	FAM214B	True	15
ENSG00000005243.10	COPZ2	False	65
ENSG00000005243.10	COPZ2	True	22
ENSG00000005249.13	PRKAR2B	False	18
ENSG00000005302.19	MSL3	True	2
ENSG00000005339.15	CREBBP	False	22
ENSG00000005339.15	CREBBP	True	6
ENSG00000005379.17	TSPOAP1	False	24
ENSG00000005379.17	TSPOAP1	True	3
ENSG00000005471.17	ABCB4	False	3
ENSG00000005486.17	RHBDD2	False	21
ENSG00000005486.17	RHBDD2	True	2
ENSG00000005700.15	IBTK	False	12
ENSG00000005700.15	IBTK	True	3
ENSG00000005810.18	MYCBP2	False	1
ENSG00000005882.12	PDK2	False	77
ENSG00000005882.12	PDK2	True	10
ENSG00000005884.18	ITGA3	False	87
ENSG00000005981.13	ASB4	False	13
ENSG00000005981.13	ASB4	True	1
ENSG00000006007.12	GDE1	False	26
ENSG00000006007.12	GDE1	True	24
ENSG00000006015.17	REX1BD	False	25
ENSG00000006015.17	REX1BD	True	36
ENSG00000006016.11	CRLF1	False	25
ENSG00000006016.11	CRLF1	True	36
ENSG00000006025.12	OSBPL7	False	87
ENSG00000006042.12	TMEM98	False	44
ENSG00000006042.12	TMEM98	True	11
ENSG00000006047.13	YBX2	False	29
ENSG00000006047.13	YBX2	True	6
ENSG00000006062.17	MAP3K14	False	56
ENSG00000006071.14	ABCC8	False	8
ENSG00000006116.3	CACNG3	False	2
ENSG00000006118.14	TMEM132A	False	36
ENSG00000006118.14	TMEM132A	True	23
ENSG00000006125.18	AP2B1	False	42
ENSG00000006125.18	AP2B1	True	13
ENSG00000006282.21	SPATA20	False	13
ENSG00000006282.21	SPATA20	True	20
ENSG00000006283.18	CACNA1G	False	13
ENSG00000006283.18	CACNA1G	True	20
ENSG00000006377.11	DLX6	False	2
ENSG00000006377.11	DLX6	True	22
ENSG00000006432.15	MAP3K9	False	6
ENSG00000006432.15	MAP3K9	True	4
ENSG00000006453.14	BAIAP2L1	False	13
ENSG00000006453.14	BAIAP2L1	True	13
ENSG00000006459.11	KDM7A	False	37
ENSG00000006459.11	KDM7A	True	5
ENSG00000006468.14	ETV1	False	4
ENSG00000006530.18	AGK	False	21
ENSG00000006530.18	AGK	True	6
ENSG00000006534.16	ALDH3B1	False	34
ENSG00000006555.11	TTC22	False	43
ENSG00000006555.11	TTC22	True	19
ENSG00000006576.16	PHTF2	False	11
ENSG00000006606.8	CCL26	False	23
ENSG00000006611.16	USH1C	False	18
ENSG00000006652.14	IFRD1	False	7
ENSG00000006652.14	IFRD1	True	16
ENSG00000006695.12	COX10	False	9
ENSG00000006695.12	COX10	True	6
ENSG00000006704.10	GTF2IRD1	False	53
ENSG00000006715.16	VPS41	False	40
ENSG00000006715.16	VPS41	True	2
ENSG00000006740.17	ARHGAP44	False	9
ENSG00000006740.17	ARHGAP44	True	3
ENSG00000006744.19	ELAC2	False	12
ENSG00000006747.15	SCIN	False	12
ENSG00000006788.14	MYH13	False	6
ENSG00000006831.10	ADIPOR2	False	45
ENSG00000006837.12	CDKL3	False	28
ENSG00000006837.12	CDKL3	True	10
ENSG00000007001.12	UPP2	False	16
ENSG00000007062.11	PROM1	False	4
ENSG00000007129.18	CEACAM21	False	39
ENSG00000007168.13	PAFAH1B1	False	25
ENSG00000007171.18	NOS2	False	27
ENSG00000007171.18	NOS2	True	12
ENSG00000007174.18	DNAH9	False	24
ENSG00000007237.18	AC005747.1	False	6
ENSG00000007264.15	MATK	False	53
ENSG00000007264.15	MATK	True	6
ENSG00000007341.19	ST7L	False	7
ENSG00000007341.19	ST7L	True	9
ENSG00000007384.15	RHBDF1	False	40
ENSG00000007384.15	RHBDF1	True	11
ENSG00000007392.16	LUC7L	False	45
ENSG00000007392.16	LUC7L	True	6
ENSG00000007402.11	CACNA2D2	False	21
ENSG00000007402.11	CACNA2D2	True	2
ENSG00000007866.21	TEAD3	False	33
ENSG00000007923.16	DNAJC11	False	27
ENSG00000007944.15	MYLIP	False	8
ENSG00000007944.15	MYLIP	True	4
ENSG00000007968.7	E2F2	False	16
ENSG00000007968.7	E2F2	True	13
ENSG00000008018.9	PSMB1	False	30
ENSG00000008018.9	PSMB1	True	6
ENSG00000008083.14	JARID2	False	21
ENSG00000008083.14	JARID2	True	60
ENSG00000008086.13	CDKL5	False	3
ENSG00000008086.13	CDKL5	True	13
ENSG00000008118.10	CAMK1G	False	27
