SampleID	ETS_Consensus
CPCG0001	Positive
CPCG0002	NA
CPCG0003	Negative
CPCG0004	NA
CPCG0005	NA
CPCG0006	Negative
CPCG0007	NA
CPCG0008	NA
CPCG0009	NA
CPCG0015	NA
CPCG0019	NA
CPCG0020	Negative
CPCG0022	Negative
CPCG0027	Negative
CPCG0030	NA
CPCG0036	NA
CPCG0040	Negative
CPCG0042	NA
CPCG0043	NA
CPCG0046	Negative
CPCG0047	Positive
CPCG0048	Positive
CPCG0050	Negative
CPCG0057	Positive
CPCG0059	NA
CPCG0063	Negative
CPCG0066	NA
CPCG0067	NA
CPCG0068	NA
CPCG0069	NA
CPCG0070	NA
CPCG0071	NA
CPCG0072	NA
CPCG0073	Positive
CPCG0074	NA
CPCG0075	NA
CPCG0076	NA
CPCG0078	Negative
CPCG0081	Positive
CPCG0082	NA
CPCG0083	Positive
CPCG0084	NA
CPCG0087	Positive
CPCG0089	NA
CPCG0090	Negative
CPCG0091	NA
CPCG0092	NA
CPCG0093	NA
CPCG0094	Positive
CPCG0095	Positive
CPCG0096	NA
CPCG0097	NA
CPCG0098	Negative
CPCG0099	Negative
CPCG0100	NA
CPCG0102	Negative
CPCG0103	NA
CPCG0107	NA
CPCG0114	Positive
CPCG0117	Negative
CPCG0119	NA
CPCG0120	NA
CPCG0121	Positive
CPCG0122	Positive
CPCG0123	Positive
CPCG0124	Positive
CPCG0125	NA
CPCG0126	NA
CPCG0127	Negative
CPCG0128	Negative
CPCG0129	NA
CPCG0130	NA
CPCG0131	NA
CPCG0132	NA
CPCG0154	Positive
CPCG0158	Positive
CPCG0166	Negative
CPCG0182	Positive
CPCG0183	Negative
CPCG0184	Negative
CPCG0185	Positive
CPCG0187	NA
CPCG0188	NA
CPCG0189	Positive
CPCG0190	Negative
CPCG0191	Positive
CPCG0194	NA
CPCG0196	Positive
CPCG0198	NA
CPCG0199	Negative
CPCG0200	NA
CPCG0201	Positive
CPCG0203	NA
CPCG0204	NA
CPCG0205	Negative
CPCG0206	Negative
CPCG0208	Negative
CPCG0210	Negative
CPCG0211	Positive
CPCG0212	Negative
CPCG0213	Positive
CPCG0217	Negative
CPCG0219	NA
CPCG0220	NA
CPCG0221	NA
CPCG0222	NA
CPCG0223	NA
CPCG0225	NA
CPCG0226	NA
CPCG0227	NA
CPCG0228	NA
CPCG0229	NA
CPCG0232	Positive
CPCG0233	Negative
CPCG0234	Negative
CPCG0235	NA
CPCG0236	Negative
CPCG0237	Negative
CPCG0238	Positive
CPCG0240	NA
CPCG0241	Positive
CPCG0242	Positive
CPCG0243	Negative
CPCG0246	Negative
CPCG0248	Positive
CPCG0249	Negative
CPCG0250	Positive
CPCG0251	Negative
CPCG0255	Negative
CPCG0256	Positive
CPCG0257	NA
CPCG0258	Positive
CPCG0259	Negative
CPCG0260	Positive
CPCG0262	Positive
CPCG0263	Negative
CPCG0265	Positive
CPCG0266	Positive
CPCG0267	Negative
CPCG0268	Negative
CPCG0269	Negative
CPCG0271	NA
CPCG0274	NA
CPCG0277	NA
CPCG0278	NA
CPCG0279	NA
CPCG0280	NA
CPCG0281	NA
CPCG0282	NA
CPCG0283	NA
CPCG0285	NA
CPCG0286	NA
CPCG0287	NA
CPCG0288	NA
CPCG0289	NA
CPCG0290	NA
CPCG0291	NA
CPCG0292	NA
CPCG0295	NA
CPCG0296	NA
CPCG0297	NA
CPCG0298	NA
CPCG0299	NA
CPCG0300	NA
CPCG0301	NA
CPCG0302	NA
CPCG0303	NA
CPCG0304	NA
CPCG0305	NA
CPCG0306	NA
CPCG0307	NA
CPCG0308	NA
CPCG0309	NA
CPCG0310	NA
CPCG0311	NA
CPCG0312	NA
CPCG0313	NA
CPCG0314	NA
CPCG0315	NA
CPCG0316	NA
CPCG0317	NA
CPCG0320	NA
CPCG0321	NA
CPCG0322	NA
CPCG0324	Positive
CPCG0326	NA
CPCG0327	NA
CPCG0329	NA
CPCG0330	NA
CPCG0331	Positive
CPCG0333	NA
CPCG0334	Negative
CPCG0335	NA
CPCG0336	Positive
CPCG0339	Negative
CPCG0340	Positive
CPCG0341	Positive
CPCG0342	Positive
CPCG0344	Negative
CPCG0345	Negative
CPCG0346	Positive
CPCG0347	NA
CPCG0348	Negative
CPCG0349	NA
CPCG0350	Positive
CPCG0352	Positive
CPCG0353	Negative
CPCG0354	Positive
CPCG0355	Negative
CPCG0356	Positive
CPCG0357	Positive
CPCG0358	Positive
