Gene	22Rv1	DU145	LNCaP	MDA PCa 2b	NCI-H660	PC3	VCaP
A1BG	-0.0193311920009	-0.0177612653821	-0.161681666974	0.116774739845	-0.0208677166392	-0.0591841709857	-0.277705716687
NAT2	0.00192526817232	-0.125903022817	0.00990374690049	0.0392146973674	0.0503271726174	-0.159763263384	0.421366608889
ADA	-0.188699966693	-0.105603057606	-0.0212938945939	0.13320631815	-0.347638346825	0.362094955071	-0.25661775856
CDH2	-0.103046586843	0.127568809343	-0.028003937224	-0.0292562007069	0.064956470541	0.0481969438315	-0.112402786936
AKT3	-0.0665912138954	-0.0276013620653	0.166280198454	0.169300890548	-0.014781637258	-0.11829184686	-0.192558343631
MED6	-0.497950496046	-0.0347152681922	-0.075561358428	-0.352745780751	-0.147876816515	-0.127378291102	-0.40814858787
NR2E3	0.153892100945	-0.0732947801561	-0.132188314113	0.058309638843	-0.423789769269	0.091273859887	0.0037496571679
NAALAD2	0.249808588266	-0.0121016743618	0.433744598242	-0.01619858029	0.205358177502	-0.0163673105455	0.130446067273
DUXB	-0.122822333329	0.189104463892	0.115552501243	0.0964672905958	0.102475415158	0.0221950452344	0.0214405083138
PDZK1P1	-0.118495181459	0.0982016544643	-0.219699024449	-0.00112186099386	-0.057417902895	0.0400708361403	-0.0753419849988
DDTL		0.411646918972	0.437152871754	0.218525599869		-0.125556163408	
NAALADL1	0.287608897256	0.144049953623	0.138565635855	-0.0516190773952	-0.0243306141811	0.192654672441	0.0896078221236
GUSBP9&LOC100653061&SMA5&GUSBP2&GUSBP3	-0.0580780301318	0.0202155781335	0.084507223294	-0.0782525120445	-0.313798917963	0.109030648537	-0.0925144742188
SIGLEC14	0.0187231504705	-0.176210452719	-0.0287480921461	0.125474006922	0.0390055408965	-0.0539475792203	-0.209804652596
ACOT8	-0.331201261477	-0.370851094062	-0.500495210399	-0.64856642665	-0.622347110665	-0.0921468273211	-0.436552700738
ABI1		0.0114943134466	0.0136357171688	0.123778669346		0.17875918827	
GNPDA1	0.52046492423	0.0496670469813	-0.440859623243	0.05446283991	-0.234324957206	-0.00222736005276	0.331133801637
KCNE3	-0.140599450932	-0.184715232447	-0.0192046595469	-0.170544006609	-0.297654436885	-0.0652095721713	-0.0556166970774
ZBTB33	-0.312145019139	-0.0551876117287	-0.012672493269	-0.226246128875	0.217305196619	0.203553968963	-0.0041131767756
GTF2IP4&GTF2IP1		0.169743186361	0.262318444127	0.0209071993628		-0.0463879188728	
CDH3	0.103656334409	-0.167890930185	0.255793930805	0.0559183986614	0.161765501177	0.151025590198	0.248261337171
TANK	-0.026116572716	-0.101119046298	-0.167574467998	-0.41478365461	-0.252083504182	-0.197253300292	-0.513814833956
POM121C	-0.249795540962	0.106122751167	-0.112650635293	-0.348461319104	-0.147718580068	0.285047721853	-0.1665002087
PMS2P7		0.0131196215564	0.112726353126	0.214140982971		-0.0555329805983	
LOC100101478&H2BFXP		-0.0112999179502	-0.174546249992	-0.194046835138		-0.0209905941066	
TMEM170B		-0.137069476591	-0.266910314242				
FAM86JP&FAM86C1&FAM86FP		-0.0341378929852	-0.301502824094	-0.0138721852415		-0.0262903275119	
EGOT		0.103472367785	-0.312557266885				
LOC100128076	0.126082375916	-0.0997152534165	0.236432285358	0.116419671997	0.141710111701	-0.300895302406	0.248194019351
CTAGE4		-0.0481339783969	0.268218463062	0.22318468815		0.0939378714128	
CDC42P3	0.199391808116	-0.176733496181	-0.318116653989	0.218103844608	0.383575119029	0.0455612184137	0.237149959486
ZBTB42		-0.171599577347	-0.26948509221				
LOC100129055		-0.134933521593	0.108480136923				
SLC39A12-AS1&LOC389834							
LINC01160&LOC105379331&LOC107984772&FAM71F2		-0.365818692377	-0.354481509366				
FAM106CP		0.0800528660003	0.250894848903	-0.114345420041		0.120457030506	
MSTO2P		0.448167621102	-0.164406294227	0.0938029235237		-0.00733045721621	
LOC100129434		0.15396693655	0.0860289689819	-0.0269995169499		-0.230949951465	
DPY19L1P1		0.00700986103987	0.0728858693845	0.0428488444119		-0.287356240754	
ZNF737	-0.0166729727667	-0.134309901018	0.0986823953616	-0.0372982751391	-0.0467426236775	-0.122816163615	0.0233784767514
HDAC6	-0.160295245172	-0.0623369816968	0.116495721263	-0.0756945662819	0.343602888274	-0.00399145107375	-0.101062591115
LOC100130075		0.223129541784	0.126493479281	0.281741004884		0.205076453179	
HSFX2&HSFX1	-0.135432326203	-0.0382316379443	-0.36423039548	-0.214033414073	-0.355379050631	-0.143907242178	-0.490598408157
LOC100130331		-1.85912454894	-1.62384252775				
PARD6G-AS1		-0.463124009519	0.139342769674	-0.148042413545		-0.177175570627	
LOC100130691		-0.0812405918822	0.111480734798	0.158091629694		-0.0201601656155	
LRRC70		0.129347228837	-0.0136363119604				
LRRC69		-0.166349228925	0.0550172754474	-0.148735332773		0.0147192049149	
SBK3		-0.332429520832	-0.273526409713				
TSTD3		-0.0906496514972	0.378381418142				
ZNF663P	-0.115158235464	0.193048101225	-0.0459395249946	-0.0815825419378	0.0603560478468	-0.0449270029803	-0.149161436814
C7orf72		-0.292100038994	0.126586803317	-0.358794947852		-0.251485502298	
RPL21P28&RPL21		-0.359921488614	-0.330937897654	-0.63557622419		-0.186160394082	
LOC100131257		0.191868111746	0.528588956212	0.419373515457		0.374585123569	
RAB6C-AS1		-0.400866418332	-0.251670136277				
CD300LD		0.154229402493	0.151852028044				
ZNF705E&ZNF705B	0.296985362091	0.064522603108	0.618088630437	0.249618099976	0.261162421282	0.119184893677	0.147986906756
LOC100131626&LOC105376489&LOC105379724&LOC107985887&SOX9-AS1							
UBE2DNL	-0.0745840618734	-0.0887536698856	-0.0309326556663	-0.23968952756	-0.00613225886568	0.0241554562646	-0.571087840487
RRN3P3&LOC101060405	-0.0711316847834	-0.213460131377	-0.0178772687408	-0.156717880833	-0.0682721858195	0.14665313704	0.0534205987137
LOC100132154		-0.052521354925	-0.0325832280546	0.0222916413981		-0.1226541506	
KIR2DS2	-0.485769218981	0.374088861539	-0.441584649192	0.0247855618066	0.0371553354504	-0.0377628498057	-0.0182597450236
FAM157B		-0.0601671696902	-0.0478361428557	-0.157372546229		-0.110528351449	
NBPF10&NBPF26&NBPF15		0.220734640302	-0.0232708324143	-0.0743186088631		0.067717381744	
FCGR1CP	0.430181347832	0.199464476778	0.114181489273	0.0385000756805	0.105274425339	0.0289133923347	-0.193560743648
FAM99B&FAM99A		0.123239829398	0.0349832182496	0.165059423303		0.0477582674145	
KRTAP4-7&LOC100996750		0.098476439071	0.136765465344	0.144290735348		0.0425651269161	
GOLGA8F&GOLGA8G		-0.0602392594274	0.00630751094658	-0.293518430841		-0.217701240874	
PGAM1P5	-0.0762025046679	0.240804018534	-0.0319526754036	-0.0648486898349	0.0501627083681	0.0918736094775	0.28439047863
DCAF13P3		-0.984568263323	-1.18882266507				
PMS2P9		-0.0448089962539	0.301597483478	-0.139077574835		0.270003867444	
GOLGA8DP&GOLGA8EP&GOLGA8CP		0.286342296188	0.135022103258	0.303846668521		0.278561495917	
RASA4DP	0.113946217567	0.0953387631475	0.0588476621893	0.159903328726	0.128441947123	0.268430039999	0.283315185105
LOC100133050&LOC102725009		0.30452745389	0.256477729594	0.312799975885		0.00377990723637	
LINC01001&LOC105377826&LOC107984841	0.275374705117	0.0888434213577	0.0867822479595	-0.0125336783692	-0.127374238285	0.0680264244312	-0.106999299488
GOLGA6L3&GOLGA6L19&LOC102724093&LOC102724117&GOLGA6L5P&GOLGA6L9&GOLGA6L17P&GOLGA6L4&GOLGA6L10		0.147860346039	0.241741969987	0.126512559178		0.243612274382	
LOC100133920	0.672602010701	0.0432470327371	0.17336811623	0.407786306736	0.376208573468	0.0568971757157	0.268300246793
CD24	0.402856193285	0.186205239535	-0.116978419371	0.132044387071	0.213451461837	0.511819711501	0.223028658808
KCNJ18	0.668219232242	-0.0969437996896	0.0437155392391	0.13401529676	0.108240801672	0.0446174287383	0.641257208693
UPK3BL1		0.675657273363	0.451644488006				
JMJD7		-0.0286653857786	-0.0694812175492				
PLA2G4B	0.385356736958	-0.0147135720658	0.58908304542	0.220045178276	0.0904546204562	0.0211152814053	-0.0587948887019
HDAC5	0.199566656398	0.0499815708609	0.063844016449	0.0759132266755	-0.35905336263	-0.0988065749991	-0.353632296864
C17orf99		-0.32412494671	-0.0973278039315	-0.0888248749162		0.0542270753632	
CTAGE8		-0.0702586649691	0.128306269696	-0.165646462687		-0.0921770344981	
KLLN		-0.376490388035	-0.130852417202	-0.257052106397		-0.20329743633	
PDCD6IP	0.0441263903028	-0.27643428562	-0.047494846839	-0.197552804425	-0.276011543932	-0.269183557892	-0.372984623552
PDCD6	-0.261915814227	-0.143105378444	-0.313473523027	-0.178633047169	-0.222542606129	-0.0315424002861	-0.118357110778
BCL2L10	0.0472542257551	-0.127953709644	0.177402733198	-0.207073013778	-0.579461089704	0.00135823651308	-0.174578073701
SRRM5		-0.58609934851	-0.349174182022	-0.443661194246		-0.427245410841	
BCL2L11	-0.0899496180225	-0.0980247706563	-0.0985076131934	0.00463893588149	0.221154849919	-0.187168921992	0.318412903061
TOMM6		-0.0682573608326	-0.0212324337262	-0.205749260058		-0.202917481104	
LINC00092&SMIM12		0.211463966652	-0.289505086557				
SH2B3	-0.106733983828	0.247331108729	-0.0879687024224	-0.0544147010792	0.251440203049	0.00608734438992	0.187510009614
C5orf52		-0.448526215867	-0.2751472209	-0.118489655608		-0.120849776304	
PPIAP30	0.1953471493	-0.0475564757974	-0.0930135532983	-0.38826976171	-0.114142583858	0.243828048631	-0.155165221488
CDH4	-0.170156700585	-0.107190208857	-0.176519311933	0.0238941082641	0.150284811712	-0.0432366526377	0.0436792530251
GNE	-0.268311531075	-0.14888089033	-0.0421891833378	-0.0916498261512	-0.0715575331701	-0.137452802112	-0.247318100301
HCN4	0.0610552392996	-0.113555413522	0.0878971611948	0.0706316994336	-0.0657973609298	0.034680508998	0.189371123535
INSL5		-0.0274533503776	-0.152245538426	-0.0167953514809		0.0734460242347	
FRAT1	-0.354789085967	-0.153226821958	-0.32784632738	0.0652394981182	-0.203866411025	-0.179703252229	-0.442597164327
TROAP	0.0370229414207	0.0459005019106	-0.217044089469	-0.186352575483	-0.109056930318	0.189870356295	0.0305661921385
MED16	-0.0917034598751	-0.117555649411	0.0397189804317	0.0203168520139	-0.336425472005	-0.161026454297	-0.0143700688972
PIGK	0.0567649678407	-0.00227673122216	-0.0791265359427	-0.0205198266334	0.051997430068	-0.189738232743	-0.110048503942
ARHGEF33		-0.239386404095	-0.0277317495188	-0.0423812769562		-0.232001051702	
LIMS3-LOC440895	0.0922424369151	0.273842923742	0.0858053003892	0.419586609832	0.109538713005	-0.0567198139332	0.196386685277
SMG1P3&SMG1P1		0.444315065514	0.335930744694				
MEF2B	0.0505839987533	-0.0819418375467	0.266805764531	0.0252960224054	-0.0135256299304	0.103591977336	0.202813041044
ZNRF2P2&ZNRF2P1&LOC646762							
RASA4B	-0.150545539582	0.0750695934618	0.0627935550933	0.016068941849	-0.186155727584	-0.0932336995746	0.0218503496599
CMC4	0.0720378990708	-0.133090322927	-0.241598504383	-0.135912578931	-0.0262177889605	-0.0364198998509	0.0110234508851
FAM86KP		0.36097862952	0.447728634632	0.291273216987		0.278855074717	
LOC100287072	-0.0220557902158	0.069861059244	-0.137258704818	0.339197229944	0.492795030497	-0.0979385970899	-0.239987730963
WASHC1		-0.16926278231	-0.0584644441898	0.0470975794409		-0.164128778483	
ZNF729&ZNF99							
POTEB2		-0.171531335331	0.0799257585316	0.140968845719		-0.146993700234	
ANKRD66		-0.445104015984	-0.178318933459	-0.29683710449		-0.0349839091548	
LOC100287896		0.00260980458839	-0.347465533853	-0.209233429178		-0.00771730416829	
TTC34		0.201528210385	0.0384811862962				
SDR42E2&LOC105371187	-0.110153959887	-0.0301933700362	0.161084178032	0.0714575451238	0.0809796774253	-0.0930193254705	0.0461830612846
NBPF20		-0.184314365006	-0.0496307643248	-0.0360460511983		0.0586593133946	
NPIPA5&NPIPA7&NPIPA8&NPIPB13&NPIPA3&NPIPA2&NPIPA1							
ULK4P2&ULK4P1		-0.0193331143458	0.0675488702997				
REXO1L2P&LOC100288562&LOC101929601&LOC101929627&LOC101930111&REXO1L1P	0.202093556857	0.0122132888671	0.0891621990789	0.316591167516	-0.1913360233	0.246615729003	0.030435370756
LIMS4&LIMS3	-0.00079368126287	-0.0493889382255	0.118224107307	-0.15727814777	0.0165025948275	0.256898072747	0.103350567099
LOC100288778		-0.0186473749089	-0.0576704105743	0.0536736984736		0.256497617964	
FRG2C		0.0348293471964	0.280542547013	0.209733246587		0.0425556930741	
HYDIN2		-0.113176206857	0.135775974606	-0.144559798044		0.0713263657366	
LOC100288966&POTED		0.258850461513	0.236611763297	-0.101380005155		0.338800490303	
TSPY10&TSPY1&TSPY3&TSPY4&TSPY8		0.164135284206	0.0318749013642	0.113019954569		0.282146401836	
FRG1CP	-0.035139983891	0.426939514289	0.226261089863	0.149987670028	-0.423932716435	0.230426320969	-0.192766736656
DEFB4B&DEFB4A	-0.0673300931639	-0.328077321175	-0.0517966759544	-0.175644106274	-0.0469590021961	0.0100978639455	-0.266607044787
LOC100289561	0.175700796224	0.423340419666	0.065125110215	0.35897470181	0.156611153786	0.223751765115	0.317377612534
ZNF605	-0.0311376102293	0.0560625833098	-0.0111945093609	0.0837776547432	-0.270370218957	-0.0314903955931	-0.118308594308
C4B_2&LOC110384692&C4A	0.150550794163	0.164172470871	0.222434502434	0.101218021938	0.0668277878161	0.0823461123497	0.226191136673
CDH5	-0.270976241909	0.109175658822	0.0807804963513	-0.0229844925745	0.0336867056821	0.0159310655568	-0.152592845024
MIR1244-1&MIR1244-3&MIR1244-2&MIR1244-4							
GPR75-ASB3		-0.073965522189	0.0685673432589	-0.0473264547142		0.172243773289	
TMED7-TICAM2	-0.237983720408	0.121774408215	0.192144793501	-0.212523630906	-0.233477812722	-0.00635975575681	-0.382952542499
TSNAX-DISC1		0.249774426134	0.296129198792	0.148789992775		0.147496849558	
NDUFAF4P1		0.175617264205	0.0398036823041	0.268401585151		0.0712983877162	
