Sample ID	Lane	Read	Number of Sequences (x10^6)	Duplicate Sequences (%)	Average GC Content (%)
PCa13266	1	1	3.4	1.40	41
PCa13266	1	2	3.4	1.30	42
PCa13266	2	1	3.3	1.30	41
PCa13266	2	2	3.3	1.10	42
PCa13266	3	1	3.3	1.00	41
PCa13266	3	2	3.3	0.80	42
PCa13266	4	1	3.1	1.10	41
PCa13266	4	2	3.1	0.80	42
PCa13848	1	1	2.3	1.30	41
PCa13848	1	2	2.3	1.40	41
PCa13848	2	1	2.2	1.20	41
PCa13848	2	2	2.2	1.40	41
PCa13848	3	1	2.2	0.90	41
PCa13848	3	2	2.2	1.00	41
PCa13848	4	1	2.1	1.00	41
PCa13848	4	2	2.1	1.10	41
PCa14121	1	1	3.4	1.20	41
PCa14121	1	2	3.4	1.40	41
PCa14121	2	1	3.2	1.30	41
PCa14121	2	2	3.2	1.20	41
PCa14121	3	1	3.2	1.00	41
PCa14121	3	2	3.2	1.00	41
PCa14121	4	1	3.1	1.00	41
PCa14121	4	2	3.1	1.00	41
PCa19121	1	1	3.4	1.20	41
PCa19121	1	2	3.4	1.20	41
PCa19121	2	1	3.2	1.10	41
PCa19121	2	2	3.2	1.10	41
PCa19121	3	1	3.2	0.80	41
PCa19121	3	2	3.2	0.90	41
PCa19121	4	1	3.1	0.90	41
PCa19121	4	2	3.1	0.90	41
PCa3023	1	1	2.8	1.10	41
PCa3023	1	2	2.8	1.10	41
PCa3023	2	1	2.6	1.00	41
PCa3023	2	2	2.6	1.10	41
PCa3023	3	1	2.6	0.80	41
PCa3023	3	2	2.6	0.80	41
PCa3023	4	1	2.5	0.80	41
PCa3023	4	2	2.5	0.80	41
PCa33173	1	1	3.3	1.20	41
PCa33173	1	2	3.3	1.20	41
PCa33173	2	1	3.2	1.20	41
PCa33173	2	2	3.2	1.20	41
PCa33173	3	1	3.2	0.90	41
PCa33173	3	2	3.2	0.90	41
PCa33173	4	1	3	0.90	41
PCa33173	4	2	3	0.90	41
PCa40507	1	1	3.2	1.30	41
PCa40507	1	2	3.2	1.30	41
PCa40507	2	1	3.1	1.30	41
PCa40507	2	2	3.1	1.20	42
PCa40507	3	1	3.1	1.00	41
PCa40507	3	2	3.1	0.90	42
PCa40507	4	1	3	1.10	41
PCa40507	4	2	3	0.90	42
PCa51852	1	1	3.7	1.30	41
PCa51852	1	2	3.7	1.30	42
PCa51852	2	1	3.6	1.30	42
PCa51852	2	2	3.6	1.30	42
PCa51852	3	1	3.6	0.90	41
PCa51852	3	2	3.6	0.90	42
PCa51852	4	1	3.4	1.00	41
PCa51852	4	2	3.4	1.00	41
PCa53687	1	1	3.2	1.30	40
PCa53687	1	2	3.2	1.30	40
PCa53687	2	1	3	1.30	40
PCa53687	2	2	3	1.40	40
PCa53687	3	1	3	1.00	40
PCa53687	3	2	3	1.00	40
PCa53687	4	1	2.9	1.00	40
PCa53687	4	2	2.9	1.00	40
PCa56413	1	1	2.6	1.20	41
PCa56413	1	2	2.6	1.20	42
PCa56413	2	1	2.5	1.20	42
PCa56413	2	2	2.5	1.20	42
PCa56413	3	1	2.5	0.90	41
PCa56413	3	2	2.5	0.80	42
PCa56413	4	1	2.4	1.00	41
PCa56413	4	2	2.4	0.90	42
PCa57054	1	1	3.9	1.60	41
PCa57054	1	2	3.9	1.60	41
PCa57054	2	1	3.8	1.60	41
PCa57054	2	2	3.8	1.40	41
PCa57054	3	1	3.8	1.20	41
PCa57054	3	2	3.8	1.20	41
PCa57054	4	1	3.7	1.40	41
PCa57054	4	2	3.7	1.20	41
PCa57294	1	1	3.6	1.30	41
PCa57294	1	2	3.6	1.40	41
PCa57294	2	1	3.4	1.30	41
PCa57294	2	2	3.4	1.30	41
PCa57294	3	1	3.4	1.00	41
PCa57294	3	2	3.4	1.10	41
PCa57294	4	1	3.3	1.10	41
PCa57294	4	2	3.3	1.10	41
PCa58215	1	1	2.9	1.30	41
PCa58215	1	2	2.9	1.40	41
PCa58215	2	1	2.8	1.30	41
PCa58215	2	2	2.8	1.30	41
PCa58215	3	1	2.8	1.00	41
PCa58215	3	2	2.8	1.10	41
PCa58215	4	1	2.7	1.10	41
PCa58215	4	2	2.7	1.10	41
