Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
13266_H3K27ac	111807518	111807518	1989102	88341376	21477040	98.22
13266_input	41946353	41946353	3456578	23428398	15061377	91.76
13848_H3K27ac	95949379	95949379	550111	77104835	18294433	99.43
13848_input	36971437	36971437	372236	25498668	11100533	98.99
14121_H3K27ac	73638857	73638857	684671	60500245	12453941	99.07
14121_input	29082311	29082311	237715	21475884	7368712	99.18
19121_H3K27ac	113110452	113110452	1623513	90130678	21356261	98.56
19121_input	50456821	50456821	533511	36536498	13386812	98.94
3023_H3K27ac	85262352	85262352	391993	69206242	15664117	99.54
3023_input	31409999	31409999	302914	21455054	9652031	99.04
33173_H3K27ac	114569774	114569774	3103303	90260743	21205728	97.29
33173_input	33857787	33857787	441761	24346083	9069943	98.7
40507_H3K27ac	139063177	139063177	2657994	111623300	24781883	98.09
40507_input	36817712	36817712	357580	26558544	9901588	99.03
51852_H3K27ac	67891164	67891164	559563	55573534	11758067	99.18
51852_input	36686224	36686224	552743	22650649	13482832	98.49
53687_H3K27ac	80060630	80060630	460162	65628677	13971791	99.43
53687_input	29407310	29407310	258716	21208000	7940594	99.12
56413_H3K27ac	90901261	90901261	612423	72764813	17524025	99.33
56413_input	33064162	33064162	442510	22790544	9831108	98.66
57054_H3K27ac	65016909	65016909	297674	54101580	10617655	99.54
57054_input	53173584	53173584	623504	38710748	13839332	98.83
57294_H3K27ac	50152248	50152248	361643	40788585	9002020	99.28
57294_input	42977193	42977193	564836	30164414	12247943	98.69
58215_H3K27ac	104624732	104624732	610441	83056917	20957374	99.42
58215_input	31920068	31920068	279040	21621000	10020028	99.13
