Sample	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Average_Length_Truncated_1	Average_Length_Truncated_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP	Duplicate_Read_Pairs
a13266	285283451.0	285283451.0	126571392.0	128891452.0	158712059.0	156391999.0	73.69	74.02	10892611.0	10485374.0	227277290.0	223863195.0	41105432.0	43145644.0	6008118.0	7789238.0	182237689.0	182237689.0	177079291.0	5158398.0	293835.0	1380613.0	2076382.0	1407568.0	0.0	0.0	155394460.0	2883217.0	60939709.0	91571534.0	63.88	97.17	87.75	58.93	54.47	21684831.0
a13848	172237900.0	172237900.0	89276684.0	90440477.0	82961216.0	81797423.0	74.85	75.19	5748646.0	5541331.0	139485257.0	137743073.0	23274298.0	24250326.0	3729699.0	4703170.0	114571589.0	114571589.0	109965387.0	4606202.0	181786.0	1766732.0	1490858.0	1166826.0	0.0	0.0	99141314.0	4178354.0	48785703.0	46177257.0	66.52	95.98	90.16	46.58	57.56	10824073.0
a14121	294685955.0	294685955.0	118532982.0	119563238.0	176152973.0	175122717.0	75.88	76.21	9850611.0	9553816.0	236802028.0	235351011.0	42958275.0	44196514.0	5075041.0	5584614.0	191991433.0	191991433.0	189256100.0	2735333.0	289448.0	519128.0	1155981.0	770776.0	0.0	0.0	163022504.0	2233508.0	54711491.0	106077505.0	65.15	98.58	86.14	65.07	55.32	26233596.0
a19121	251476631.0	251476631.0	104146257.0	105667575.0	147330374.0	145809056.0	74.05	74.41	9506424.0	9174616.0	202746438.0	200888450.0	35295899.0	36440187.0	3927870.0	4973378.0	164820409.0	164820409.0	162619541.0	2200868.0	178554.0	610200.0	803528.0	608586.0	0.0	0.0	143635667.0	2779848.0	58155733.0	82700086.0	65.54	98.66	88.33	57.58	57.12	18983874.0
a3023	187529122.0	187529122.0	87469571.0	88743053.0	100059551.0	98786069.0	75.57	75.87	6044270.0	5831578.0	152279156.0	150427248.0	25921702.0	26916964.0	3283994.0	4353332.0	124664377.0	124664377.0	122491697.0	2172680.0	130401.0	536829.0	836038.0	669412.0	0.0	0.0	109118336.0	2709036.0	47827202.0	58582098.0	66.48	98.26	89.08	53.69	58.19	13373361.0
a33173	206228737.0	206228737.0	89015975.0	90434547.0	117212762.0	115794190.0	76.33	76.64	6556076.0	6322691.0	168040606.0	166131816.0	28331227.0	29430982.0	3300828.0	4343248.0	138272206.0	138272206.0	136581460.0	1690746.0	115507.0	456938.0	671768.0	446533.0	0.0	0.0	121255508.0	3101253.0	62638610.0	55515645.0	67.05	98.78	88.78	45.78	58.8	15325952.0
a40507	255498351.0	255498351.0	141026357.0	142353811.0	114471994.0	113144540.0	75.66	76.04	6536451.0	6281042.0	196795078.0	194243051.0	36938306.0	38618405.0	15228516.0	16355853.0	157093854.0	157093854.0	130050287.0	27043567.0	1261856.0	8900256.0	12853867.0	4027588.0	0.0	0.0	112642199.0	1824614.0	40973335.0	69844250.0	61.49	82.79	86.61	62.01	44.09	17408088.0
a51852	283109981.0	283109981.0	123575725.0	125184951.0	159534256.0	157925030.0	75.02	75.37	9350193.0	9019126.0	226204787.0	223530204.0	40150702.0	41655930.0	7404299.0	8904721.0	182613984.0	182613984.0	172040108.0	10573876.0	634402.0	2794199.0	5200041.0	1945234.0	0.0	0.0	151667759.0	1946680.0	48768559.0	100952520.0	64.5	94.21	88.16	66.56	53.57	20372349.0
a53687	256683937.0	256683937.0	143080105.0	143970767.0	113603832.0	112713170.0	76.37	76.73	6381111.0	6183687.0	203769095.0	202333091.0	34116011.0	35268566.0	12417720.0	12898593.0	167491045.0	167491045.0	139013322.0	28477723.0	970389.0	8287446.0	14997402.0	4222486.0	0.0	0.0	122463185.0	2956684.0	49032648.0	70473853.0	65.25	83.0	88.09	57.55	47.71	16550137.0
a56413	182873200.0	182873200.0	79778135.0	80602582.0	103095065.0	102270618.0	76.36	76.67	5837042.0	5649916.0	148517400.0	147413278.0	25802543.0	26565892.0	2716215.0	3244114.0	122226230.0	122226230.0	120683321.0	1542909.0	137220.0	372174.0	579699.0	453816.0	0.0	0.0	105626491.0	2444221.0	46413728.0	56768542.0	66.84	98.74	87.52	53.74	57.76	15056830.0
a57294	238309004.0	238309004.0	102502016.0	104058281.0	135806988.0	134250723.0	76.33	76.69	7639861.0	7346501.0	193381350.0	191661554.0	33202520.0	34296534.0	4085273.0	5004415.0	158473772.0	158473772.0	156229865.0	2243907.0	284530.0	477026.0	899861.0	582490.0	0.0	0.0	134879669.0	2170634.0	55226272.0	77482763.0	66.5	98.58	86.33	57.45	56.6	21350196.0
a58215	202949172.0	202949172.0	90750057.0	92036381.0	112199115.0	110912791.0	75.69	76.0	6573973.0	6344611.0	164322910.0	162578516.0	28610929.0	29643632.0	3441360.0	4382413.0	134464175.0	134464175.0	132137050.0	2327125.0	155728.0	585657.0	990213.0	595527.0	0.0	0.0	116543572.0	2823985.0	51088031.0	62631556.0	66.26	98.27	88.2	53.74	57.43	15593478.0
