File	Total_pairs	Valid_pairs	Cis_<10kbp	Cis_>10kbp	Trans	Invalid_pairs	Same_circularised	Same_dangling_ends	Same_internal	Re-ligation	Contiguous_sequence	Wrong_size
PCa40507_L001_R1_2.pair.bam	142572491	117381522	1913416	43252424	72215682	25190969	1319416	8217366	12009279	3644908	0	0
PCa19121_L003_R1_2.pair.bam	115523925	113886813	2251070	46968492	64667251	1637112	135565	447056	604800	449691	0	0
PCa51852_L002_R1_2.pair.bam	195829794	184192172	2389908	59901681	121900583	11637622	731128	3052228	5739066	2115200	0	0
PCa3023_L004_R1_2.pair.bam	118455243	116265300	2921721	51484573	61859006	2189943	133661	534840	854570	666872	0	0
PCa51852_L003_R1_2.pair.bam	190015456	178631211	2319898	58218023	118093290	11384245	712683	2983955	5618576	2069031	0	0
PCa57294_L003_R1_2.pair.bam	156860038	154578691	2506126	63824924	88247641	2281347	289841	473966	921595	595945	0	0
PCa57294_L004_R1_2.pair.bam	157969860	155625779	2525715	64243820	88856244	2344081	291392	484658	954043	613988	0	0
PCa19121_L001_R1_2.pair.bam	119006448	117334287	2319555	48398655	66616077	1672161	141794	458995	617415	453957	0	0
PCa3023_L001_R1_2.pair.bam	120687962	118504687	2973858	52509910	63020919	2183275	137025	539034	848590	658626	0	0
PCa19121_L004_R1_2.pair.bam	117038078	115352133	2281264	47533875	65536994	1685945	138861	456647	627232	463205	0	0
PCa40507_L003_R1_2.pair.bam	138599843	114028638	1861634	42009377	70157627	24571205	1266930	8017705	11715138	3571432	0	0
PCa13266_L004_R1_2.pair.bam	174010220	168820235	3181566	67096434	98542235	5189985	307294	1368868	2107716	1406107	0	0
PCa51852_L004_R1_2.pair.bam	192672588	181081373	2356032	58991343	119733998	11591215	728285	3029004	5723229	2110697	0	0
PCa13848_L003_R1_2.pair.bam	101529269	97276608	4167319	48466389	44642900	4252661	178496	1620700	1390865	1062600	0	0
PCa13848_L001_R1_2.pair.bam	104731932	100364145	4283436	49948981	46131728	4367787	186947	1667984	1428175	1084681	0	0
PCa14121_L004_R1_2.pair.bam	159067128	156656877	2160898	52916284	101579695	2410251	251285	446223	1031184	681559	0	0
PCa53687_L004_R1_2.pair.bam	133423907	110202748	2677005	44645615	62880128	23221159	856436	6695302	12290045	3379376	0	0
PCa13848_L002_R1_2.pair.bam	105449416	101083188	4305205	50168506	46609477	4366228	184253	1663741	1428010	1090224	0	0
PCa58215_L003_R1_2.pair.bam	126657242	124364401	3050911	55055974	66257516	2292841	157705	570698	982797	581641	0	0
PCa57294_L001_R1_2.pair.bam	160517601	158199297	2570494	65349623	90279180	2318304	297509	484954	938083	597758	0	0
PCa58215_L004_R1_2.pair.bam	127891642	125545700	3080292	55539241	66926167	2345942	159881	580186	1006508	599367	0	0
PCa19121_L002_R1_2.pair.bam	119075342	117407756	2315983	48257428	66834345	1667586	139524	456957	615921	455184	0	0
PCa58215_L002_R1_2.pair.bam	130231477	127900877	3128766	56492169	68279942	2330600	161213	581439	997119	590829	0	0
PCa14121_L003_R1_2.pair.bam	156803723	154475551	2127116	52183339	100165096	2328172	246293	433601	991585	656693	0	0
PCa13266_L001_R1_2.pair.bam	177816926	172601787	3250947	68632441	100718399	5215139	315324	1386065	2115471	1398279	0	0
PCa33173_L003_R1_2.pair.bam	163042226	160962374	4177613	84304290	72480471	2079852	143985	552128	833905	549834	0	0
PCa13266_L002_R1_2.pair.bam	176862315	171695490	3230320	68114982	100350188	5166825	307936	1373632	2091421	1393836	0	0
PCa56413_L003_R1_2.pair.bam	131678353	129965672	3036596	57504390	69424686	1712681	153077	405627	648960	505017	0	0
PCa33173_L002_R1_2.pair.bam	168368969	166244970	4305376	86813547	75126047	2123999	148247	568025	849277	558450	0	0
PCa13848_L004_R1_2.pair.bam	103070390	98733327	4216138	49118319	45398870	4337063	182757	1648146	1423069	1083091	0	0
PCa3023_L003_R1_2.pair.bam	116855931	114722204	2882516	50850097	60989591	2133727	131029	522015	829520	651163	0	0
PCa56413_L002_R1_2.pair.bam	135310917	133564203	3111495	58992532	71460176	1746714	157476	414718	661017	513503	0	0
PCa53687_L001_R1_2.pair.bam	135873119	112310652	2727490	45532560	64050602	23562467	878956	6794729	12480806	3407976	0	0
PCa3023_L002_R1_2.pair.bam	120906574	118726543	2976624	52481943	63267976	2180031	134459	537909	844720	662943	0	0
PCa33173_L001_R1_2.pair.bam	168731728	166600160	4321626	87227052	75051482	2131568	150939	570039	853740	556850	0	0
PCa14121_L002_R1_2.pair.bam	161611321	159226144	2192944	53737336	103295864	2385177	254855	448999	1013109	668214	0	0
PCa40507_L004_R1_2.pair.bam	139907081	115103658	1882743	42380771	70840144	24803423	1284450	8084443	11825198	3609332	0	0
