Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Benign-Prostate-1595983_L002_R1	88.85995235491899	51.0	151.0	36.36363636363637	35547879.0
Benign-Prostate-1595983_L002_R2	85.12858831169478	52.0	151.0	36.36363636363637	35547879.0
Benign-Prostate-1648133_L002_R1	84.07836763855049	52.0	151.0	36.36363636363637	24644749.0
Benign-Prostate-1648133_L002_R2	82.14490710648406	54.0	151.0	36.36363636363637	24644749.0
Benign-Prostate-1664855_L002_R1	86.9134006964598	51.0	151.0	36.36363636363637	26595105.0
Benign-Prostate-1664855_L002_R2	84.37893847520523	53.0	151.0	36.36363636363637	26595105.0
Benign-Prostate-3320942_L002_R1	90.04487191056418	51.0	151.0	36.36363636363637	39467957.0
Benign-Prostate-3320942_L002_R2	86.93817031964858	53.0	151.0	36.36363636363637	39467957.0
Benign-Prostate-3330581_L002_R1	88.70811883683419	51.0	151.0	36.36363636363637	32930853.0
Benign-Prostate-3330581_L002_R2	85.53531869622098	52.0	151.0	36.36363636363637	32930853.0
