SampleID	CPCG_ID	Section	Mate	Path
PCa14121	CPCG0255	1	1	FASTQs/CPCG_0255_Ly_R_PE_000_WG_130625_SN1015_0252_AD2449ACXX_EG_L007_R1_001.fastq.gz
PCa14121	CPCG0255	1	2	FASTQs/CPCG_0255_Ly_R_PE_000_WG_130625_SN1015_0252_AD2449ACXX_EG_L007_R2_001.fastq.gz
PCa14121	CPCG0255	2	1	FASTQs/CPCG_0255_Ly_R_PE_000_WG_130625_SN1015_0252_AD2449ACXX_EG_L008_R1_001.fastq.gz
PCa14121	CPCG0255	2	2	FASTQs/CPCG_0255_Ly_R_PE_000_WG_130625_SN1015_0252_AD2449ACXX_EG_L008_R2_001.fastq.gz
PCa14121	CPCG0255	3	1	FASTQs/CPCG_0255_Ly_R_PE_000_WG_130625_SN1015_0253_BC22D1ACXX_EG_L001_R1_001.fastq.gz
PCa14121	CPCG0255	3	2	FASTQs/CPCG_0255_Ly_R_PE_000_WG_130625_SN1015_0253_BC22D1ACXX_EG_L001_R2_001.fastq.gz
PCa14121	CPCG0255	4	1	FASTQs/CPCG_0255_Pr_P_PE_673_WG_130808_h803_0134_AC2JRRACXX_3_NoIndex_R1.fastq.gz
PCa14121	CPCG0255	4	2	FASTQs/CPCG_0255_Pr_P_PE_673_WG_130808_h803_0134_AC2JRRACXX_3_NoIndex_R2.fastq.gz
PCa14121	CPCG0255	5	1	FASTQs/CPCG_0255_Pr_P_PE_673_WG_130816_SN7001179_0138_BD2DWLACXX_5_NoIndex_R1.fastq.gz
PCa14121	CPCG0255	5	2	FASTQs/CPCG_0255_Pr_P_PE_673_WG_130816_SN7001179_0138_BD2DWLACXX_5_NoIndex_R2.fastq.gz
PCa14121	CPCG0255	6	1	FASTQs/CPCG_0255_Pr_P_PE_701_WG_130808_h803_0134_AC2JRRACXX_2_NoIndex_R1.fastq.gz
PCa14121	CPCG0255	6	2	FASTQs/CPCG_0255_Pr_P_PE_701_WG_130808_h803_0134_AC2JRRACXX_2_NoIndex_R2.fastq.gz
PCa14121	CPCG0255	7	1	FASTQs/CPCG_0255_Pr_P_PE_701_WG_130816_SN7001179_0138_BD2DWLACXX_4_NoIndex_R1.fastq.gz
PCa14121	CPCG0255	7	2	FASTQs/CPCG_0255_Pr_P_PE_701_WG_130816_SN7001179_0138_BD2DWLACXX_4_NoIndex_R2.fastq.gz
PCa14121	CPCG0255	8	1	FASTQs/CPCG_0255_Pr_P_PE_759_WG_130808_h803_0134_AC2JRRACXX_1_NoIndex_R1.fastq.gz
PCa14121	CPCG0255	8	2	FASTQs/CPCG_0255_Pr_P_PE_759_WG_130808_h803_0134_AC2JRRACXX_1_NoIndex_R2.fastq.gz
PCa14121	CPCG0255	9	1	FASTQs/CPCG_0255_Pr_P_PE_759_WG_130816_SN7001179_0138_BD2DWLACXX_3_NoIndex_R1.fastq.gz
PCa14121	CPCG0255	9	2	FASTQs/CPCG_0255_Pr_P_PE_759_WG_130816_SN7001179_0138_BD2DWLACXX_3_NoIndex_R2.fastq.gz
PCa14121	CPCG0255	10	1	FASTQs/CPCG_0255_Pr_P_PE_759_WG_131009_SN203_0199_AC2UNJACXX_8_NoIndex_R1.fastq.gz
PCa14121	CPCG0255	10	2	FASTQs/CPCG_0255_Pr_P_PE_759_WG_131009_SN203_0199_AC2UNJACXX_8_NoIndex_R2.fastq.gz
