w	s1	s2	BPscore
200000	PCa13266	PCa13848	0.4788172348649058
200000	PCa13848	PCa13266	0.4788172348649058
200000	PCa13266	PCa14121	0.46261173981760806
200000	PCa14121	PCa13266	0.46261173981760806
200000	PCa13266	PCa19121	0.339983585495662
200000	PCa19121	PCa13266	0.339983585495662
200000	PCa13266	PCa3023	0.3254184183363674
200000	PCa3023	PCa13266	0.3254184183363674
200000	PCa13266	PCa33173	0.314510011307854
200000	PCa33173	PCa13266	0.314510011307854
200000	PCa13266	PCa40507	0.4666784489436339
200000	PCa40507	PCa13266	0.4666784489436339
200000	PCa13266	PCa51852	0.35340245078771604
200000	PCa51852	PCa13266	0.35340245078771604
200000	PCa13266	PCa53687	0.4689687366990119
200000	PCa53687	PCa13266	0.4689687366990119
200000	PCa13266	PCa56413	0.48506905761510444
200000	PCa56413	PCa13266	0.48506905761510444
200000	PCa13266	PCa57294	0.33881555220498255
200000	PCa57294	PCa13266	0.33881555220498255
200000	PCa13266	PCa58215	0.4696523216436338
200000	PCa58215	PCa13266	0.4696523216436338
200000	PCa13266	Benign-Prostate-1648133	0.46628137004037723
200000	Benign-Prostate-1648133	PCa13266	0.46628137004037723
200000	PCa13266	Benign-Prostate-1595983	0.4696589691565873
200000	Benign-Prostate-1595983	PCa13266	0.4696589691565873
200000	PCa13266	Benign-Prostate-1664855	0.46897187651182437
200000	Benign-Prostate-1664855	PCa13266	0.46897187651182437
200000	PCa13266	Benign-Prostate-3320942	0.4628142757914403
200000	Benign-Prostate-3320942	PCa13266	0.4628142757914403
200000	PCa13266	Benign-Prostate-3330581	0.3130146635593283
200000	Benign-Prostate-3330581	PCa13266	0.3130146635593283
200000	PCa13848	PCa14121	0.3513758732764131
200000	PCa14121	PCa13848	0.3513758732764131
200000	PCa13848	PCa19121	0.463630577451064
200000	PCa19121	PCa13848	0.463630577451064
200000	PCa13848	PCa3023	0.46403094667410705
200000	PCa3023	PCa13848	0.46403094667410705
200000	PCa13848	PCa33173	0.4701569230671653
200000	PCa33173	PCa13848	0.4701569230671653
200000	PCa13848	PCa40507	0.33666295624977033
200000	PCa40507	PCa13848	0.33666295624977033
200000	PCa13848	PCa51852	0.483472010934029
200000	PCa51852	PCa13848	0.483472010934029
200000	PCa13848	PCa53687	0.3297521833594604
200000	PCa53687	PCa13848	0.3297521833594604
200000	PCa13848	PCa56413	0.30050686924046544
200000	PCa56413	PCa13848	0.30050686924046544
200000	PCa13848	PCa57294	0.4761852725529509
200000	PCa57294	PCa13848	0.4761852725529509
200000	PCa13848	PCa58215	0.28621605166839104
200000	PCa58215	PCa13848	0.28621605166839104
200000	PCa13848	Benign-Prostate-1648133	0.30525510400955275
200000	Benign-Prostate-1648133	PCa13848	0.30525510400955275
200000	PCa13848	Benign-Prostate-1595983	0.29112725538407797
200000	Benign-Prostate-1595983	PCa13848	0.29112725538407797
200000	PCa13848	Benign-Prostate-1664855	0.31134666704814007
200000	Benign-Prostate-1664855	PCa13848	0.31134666704814007
200000	PCa13848	Benign-Prostate-3320942	0.30048029385557035
200000	Benign-Prostate-3320942	PCa13848	0.30048029385557035
200000	PCa13848	Benign-Prostate-3330581	0.47587605772662656
200000	Benign-Prostate-3330581	PCa13848	0.47587605772662656
200000	PCa14121	PCa19121	0.4736740266099202
200000	PCa19121	PCa14121	0.4736740266099202
200000	PCa14121	PCa3023	0.47037690107753594
200000	PCa3023	PCa14121	0.47037690107753594
200000	PCa14121	PCa33173	0.4740722848074382
200000	PCa33173	PCa14121	0.4740722848074382
200000	PCa14121	PCa40507	0.3096919481470989
200000	PCa40507	PCa14121	0.3096919481470989
200000	PCa14121	PCa51852	0.464460951595716
200000	PCa51852	PCa14121	0.464460951595716
200000	PCa14121	PCa53687	0.3191933496040175
200000	PCa53687	PCa14121	0.3191933496040175
200000	PCa14121	PCa56413	0.3347836476212042
200000	PCa56413	PCa14121	0.3347836476212042
200000	PCa14121	PCa57294	0.4610916739680197
200000	PCa57294	PCa14121	0.4610916739680197
200000	PCa14121	PCa58215	0.32448654126487886
200000	PCa58215	PCa14121	0.32448654126487886
200000	PCa14121	Benign-Prostate-1648133	0.34629291399992673
200000	Benign-Prostate-1648133	PCa14121	0.34629291399992673
200000	PCa14121	Benign-Prostate-1595983	0.34148831242961863
200000	Benign-Prostate-1595983	PCa14121	0.34148831242961863
200000	PCa14121	Benign-Prostate-1664855	0.3454240926407796
200000	Benign-Prostate-1664855	PCa14121	0.3454240926407796
200000	PCa14121	Benign-Prostate-3320942	0.35090534201906093
200000	Benign-Prostate-3320942	PCa14121	0.35090534201906093
200000	PCa14121	Benign-Prostate-3330581	0.48127970603033965
200000	Benign-Prostate-3330581	PCa14121	0.48127970603033965
200000	PCa19121	PCa3023	0.2835566718405212
200000	PCa3023	PCa19121	0.2835566718405212
200000	PCa19121	PCa33173	0.309993917018919
200000	PCa33173	PCa19121	0.309993917018919
200000	PCa19121	PCa40507	0.4731723527203163
200000	PCa40507	PCa19121	0.4731723527203163
200000	PCa19121	PCa51852	0.3369885182860977
200000	PCa51852	PCa19121	0.3369885182860977
200000	PCa19121	PCa53687	0.4680339649521188
200000	PCa53687	PCa19121	0.4680339649521188
200000	PCa19121	PCa56413	0.471119853362277
200000	PCa56413	PCa19121	0.471119853362277
200000	PCa19121	PCa57294	0.3135101473935565
200000	PCa57294	PCa19121	0.3135101473935565
200000	PCa19121	PCa58215	0.4666263754686859
200000	PCa58215	PCa19121	0.4666263754686859
200000	PCa19121	Benign-Prostate-1648133	0.47865068071768413
200000	Benign-Prostate-1648133	PCa19121	0.47865068071768413
200000	PCa19121	Benign-Prostate-1595983	0.4733839298070906
200000	Benign-Prostate-1595983	PCa19121	0.4733839298070906
200000	PCa19121	Benign-Prostate-1664855	0.4789855105793258
200000	Benign-Prostate-1664855	PCa19121	0.4789855105793258
200000	PCa19121	Benign-Prostate-3320942	0.47982074919088086
200000	Benign-Prostate-3320942	PCa19121	0.47982074919088086
200000	PCa19121	Benign-Prostate-3330581	0.3332585005503897
200000	Benign-Prostate-3330581	PCa19121	0.3332585005503897
200000	PCa3023	PCa33173	0.28679463628498253
200000	PCa33173	PCa3023	0.28679463628498253
200000	PCa3023	PCa40507	0.4703961823987936
200000	PCa40507	PCa3023	0.4703961823987936
200000	PCa3023	PCa51852	0.342180458606622
200000	PCa51852	PCa3023	0.342180458606622
200000	PCa3023	PCa53687	0.46682147217646086
200000	PCa53687	PCa3023	0.46682147217646086
200000	PCa3023	PCa56413	0.46289116763420246
200000	PCa56413	PCa3023	0.46289116763420246
200000	PCa3023	PCa57294	0.30438841979258263
200000	PCa57294	PCa3023	0.30438841979258263
200000	PCa3023	PCa58215	0.461658304252771
200000	PCa58215	PCa3023	0.461658304252771
200000	PCa3023	Benign-Prostate-1648133	0.4690242702522068
200000	Benign-Prostate-1648133	PCa3023	0.4690242702522068
200000	PCa3023	Benign-Prostate-1595983	0.46194603488417185
200000	Benign-Prostate-1595983	PCa3023	0.46194603488417185
200000	PCa3023	Benign-Prostate-1664855	0.46870959245310195
200000	Benign-Prostate-1664855	PCa3023	0.46870959245310195
200000	PCa3023	Benign-Prostate-3320942	0.4727490193820609
200000	Benign-Prostate-3320942	PCa3023	0.4727490193820609
200000	PCa3023	Benign-Prostate-3330581	0.31946152928420735
200000	Benign-Prostate-3330581	PCa3023	0.31946152928420735
200000	PCa33173	PCa40507	0.46648523558520605
200000	PCa40507	PCa33173	0.46648523558520605
200000	PCa33173	PCa51852	0.34414438536690134
200000	PCa51852	PCa33173	0.34414438536690134
200000	PCa33173	PCa53687	0.47154132156917455
200000	PCa53687	PCa33173	0.47154132156917455
200000	PCa33173	PCa56413	0.47580990951544705
200000	PCa56413	PCa33173	0.47580990951544705
200000	PCa33173	PCa57294	0.3111375720234959
200000	PCa57294	PCa33173	0.3111375720234959
200000	PCa33173	PCa58215	0.4606310743257381
200000	PCa58215	PCa33173	0.4606310743257381
200000	PCa33173	Benign-Prostate-1648133	0.46827484479965875
200000	Benign-Prostate-1648133	PCa33173	0.46827484479965875
200000	PCa33173	Benign-Prostate-1595983	0.46576686151278135
200000	Benign-Prostate-1595983	PCa33173	0.46576686151278135
200000	PCa33173	Benign-Prostate-1664855	0.4650729188286314
200000	Benign-Prostate-1664855	PCa33173	0.4650729188286314
200000	PCa33173	Benign-Prostate-3320942	0.4652156701418963
200000	Benign-Prostate-3320942	PCa33173	0.4652156701418963
200000	PCa33173	Benign-Prostate-3330581	0.2853460555693095
200000	Benign-Prostate-3330581	PCa33173	0.2853460555693095
200000	PCa40507	PCa51852	0.46161774770255243
200000	PCa51852	PCa40507	0.46161774770255243
200000	PCa40507	PCa53687	0.32112655330427897
200000	PCa53687	PCa40507	0.32112655330427897
200000	PCa40507	PCa56413	0.3262449549932102
200000	PCa56413	PCa40507	0.3262449549932102
200000	PCa40507	PCa57294	0.4649954501243123
200000	PCa57294	PCa40507	0.4649954501243123
200000	PCa40507	PCa58215	0.30812837763237527
200000	PCa58215	PCa40507	0.30812837763237527
200000	PCa40507	Benign-Prostate-1648133	0.33539375057207194
200000	Benign-Prostate-1648133	PCa40507	0.33539375057207194
200000	PCa40507	Benign-Prostate-1595983	0.3338650994193204
200000	Benign-Prostate-1595983	PCa40507	0.3338650994193204
200000	PCa40507	Benign-Prostate-1664855	0.3270394094974894
200000	Benign-Prostate-1664855	PCa40507	0.3270394094974894
200000	PCa40507	Benign-Prostate-3320942	0.32665535015023545
200000	Benign-Prostate-3320942	PCa40507	0.32665535015023545
200000	PCa40507	Benign-Prostate-3330581	0.476884576798221
200000	Benign-Prostate-3330581	PCa40507	0.476884576798221
200000	PCa51852	PCa53687	0.4695512943885999
200000	PCa53687	PCa51852	0.4695512943885999
200000	PCa51852	PCa56413	0.4776997336905328
200000	PCa56413	PCa51852	0.4776997336905328
200000	PCa51852	PCa57294	0.3463262865792991
200000	PCa57294	PCa51852	0.3463262865792991
200000	PCa51852	PCa58215	0.475568189441089
200000	PCa58215	PCa51852	0.475568189441089
200000	PCa51852	Benign-Prostate-1648133	0.47731100872844967
200000	Benign-Prostate-1648133	PCa51852	0.47731100872844967
200000	PCa51852	Benign-Prostate-1595983	0.47574269227026
200000	Benign-Prostate-1595983	PCa51852	0.47574269227026
200000	PCa51852	Benign-Prostate-1664855	0.47598280999122516
200000	Benign-Prostate-1664855	PCa51852	0.47598280999122516
200000	PCa51852	Benign-Prostate-3320942	0.4707292592336321
200000	Benign-Prostate-3320942	PCa51852	0.4707292592336321
200000	PCa51852	Benign-Prostate-3330581	0.36299688237175876
200000	Benign-Prostate-3330581	PCa51852	0.36299688237175876
200000	PCa53687	PCa56413	0.3186129972247274
200000	PCa56413	PCa53687	0.3186129972247274
200000	PCa53687	PCa57294	0.4588955327072153
200000	PCa57294	PCa53687	0.4588955327072153
200000	PCa53687	PCa58215	0.29470876408949775
200000	PCa58215	PCa53687	0.29470876408949775
200000	PCa53687	Benign-Prostate-1648133	0.33882866633506004
200000	Benign-Prostate-1648133	PCa53687	0.33882866633506004
200000	PCa53687	Benign-Prostate-1595983	0.32591371190061624
200000	Benign-Prostate-1595983	PCa53687	0.32591371190061624
200000	PCa53687	Benign-Prostate-1664855	0.33301806871172707
200000	Benign-Prostate-1664855	PCa53687	0.33301806871172707
200000	PCa53687	Benign-Prostate-3320942	0.33448936581837285
200000	Benign-Prostate-3320942	PCa53687	0.33448936581837285
200000	PCa53687	Benign-Prostate-3330581	0.4742970348348924
200000	Benign-Prostate-3330581	PCa53687	0.4742970348348924
200000	PCa56413	PCa57294	0.4773979071394519
200000	PCa57294	PCa56413	0.4773979071394519
200000	PCa56413	PCa58215	0.287235997327977
200000	PCa58215	PCa56413	0.287235997327977
200000	PCa56413	Benign-Prostate-1648133	0.31714505513453606
200000	Benign-Prostate-1648133	PCa56413	0.31714505513453606
200000	PCa56413	Benign-Prostate-1595983	0.30279010941153983
200000	Benign-Prostate-1595983	PCa56413	0.30279010941153983
200000	PCa56413	Benign-Prostate-1664855	0.3241986525942691
200000	Benign-Prostate-1664855	PCa56413	0.3241986525942691
200000	PCa56413	Benign-Prostate-3320942	0.3220084776111525
200000	Benign-Prostate-3320942	PCa56413	0.3220084776111525
200000	PCa56413	Benign-Prostate-3330581	0.4831571410122235
200000	Benign-Prostate-3330581	PCa56413	0.4831571410122235
200000	PCa57294	PCa58215	0.4634425126931259
200000	PCa58215	PCa57294	0.4634425126931259
200000	PCa57294	Benign-Prostate-1648133	0.4743890546188157
200000	Benign-Prostate-1648133	PCa57294	0.4743890546188157
200000	PCa57294	Benign-Prostate-1595983	0.4694443316672845
200000	Benign-Prostate-1595983	PCa57294	0.4694443316672845
200000	PCa57294	Benign-Prostate-1664855	0.47560677184487127
200000	Benign-Prostate-1664855	PCa57294	0.47560677184487127
200000	PCa57294	Benign-Prostate-3320942	0.4733412503064033
200000	Benign-Prostate-3320942	PCa57294	0.4733412503064033
200000	PCa57294	Benign-Prostate-3330581	0.337817502624042
200000	Benign-Prostate-3330581	PCa57294	0.337817502624042
200000	PCa58215	Benign-Prostate-1648133	0.29380548738674345
200000	Benign-Prostate-1648133	PCa58215	0.29380548738674345
200000	PCa58215	Benign-Prostate-1595983	0.2823062410699917
200000	Benign-Prostate-1595983	PCa58215	0.2823062410699917
200000	PCa58215	Benign-Prostate-1664855	0.29257410675613615
200000	Benign-Prostate-1664855	PCa58215	0.29257410675613615
200000	PCa58215	Benign-Prostate-3320942	0.28802548367150255
200000	Benign-Prostate-3320942	PCa58215	0.28802548367150255
200000	PCa58215	Benign-Prostate-3330581	0.46535420649435133
200000	Benign-Prostate-3330581	PCa58215	0.46535420649435133
200000	Benign-Prostate-1648133	Benign-Prostate-1595983	0.27452519792677715
200000	Benign-Prostate-1595983	Benign-Prostate-1648133	0.27452519792677715
200000	Benign-Prostate-1648133	Benign-Prostate-1664855	0.2770688775271854
200000	Benign-Prostate-1664855	Benign-Prostate-1648133	0.2770688775271854
200000	Benign-Prostate-1648133	Benign-Prostate-3320942	0.2725506594787911
200000	Benign-Prostate-3320942	Benign-Prostate-1648133	0.2725506594787911
200000	Benign-Prostate-1648133	Benign-Prostate-3330581	0.4627548722129085
200000	Benign-Prostate-3330581	Benign-Prostate-1648133	0.4627548722129085
200000	Benign-Prostate-1595983	Benign-Prostate-1664855	0.2873410450260887
200000	Benign-Prostate-1664855	Benign-Prostate-1595983	0.2873410450260887
200000	Benign-Prostate-1595983	Benign-Prostate-3320942	0.2844722853873154
