Iteration	Mean_Both_DGE_Enhns	Mean_Some_NonDGE_Enhns	log2FC
0	4	3	0.41503749927884376
1	4	3	0.41503749927884376
2	0	3	-inf
3	6	3	1.0
4	0	3	-inf
5	5	3	0.7369655941662062
6	0	3	-inf
7	4	3	0.41503749927884376
8	2	3	-0.5849625007211563
9	5	3	0.7369655941662062
10	4	3	0.41503749927884376
11	3	3	0.0
12	7	3	1.222392421336448
13	6	3	1.0
14	0	3	-inf
15	0	3	-inf
16	7	3	1.222392421336448
17	2	3	-0.5849625007211563
18	3	3	0.0
19	0	3	-inf
20	7	3	1.222392421336448
21	4	3	0.41503749927884376
22	0	3	-inf
23	2	3	-0.5849625007211563
24	0	3	-inf
25	6	3	1.0
26	2	3	-0.5849625007211563
27	5	3	0.7369655941662062
28	4	3	0.41503749927884376
29	9	3	1.584962500721156
30	3	3	0.0
31	4	3	0.41503749927884376
32	0	3	-inf
33	0	3	-inf
34	0	3	-inf
35	5	3	0.7369655941662062
36	10	3	1.7369655941662063
37	0	3	-inf
38	0	3	-inf
39	0	3	-inf
40	4	3	0.41503749927884376
41	4	3	0.41503749927884376
42	0	3	-inf
43	6	3	1.0
44	15	3	2.321928094887362
45	4	3	0.41503749927884376
46	7	3	1.222392421336448
47	2	3	-0.5849625007211563
48	5	3	0.7369655941662062
49	4	3	0.41503749927884376
50	0	3	-inf
51	0	3	-inf
52	0	3	-inf
53	6	3	1.0
54	0	3	-inf
55	0	3	-inf
56	6	3	1.0
57	6	3	1.0
58	4	3	0.41503749927884376
59	0	3	-inf
60	6	3	1.0
61	6	3	1.0
62	1	3	-1.5849625007211563
63	3	3	0.0
64	2	3	-0.5849625007211563
65	3	3	0.0
66	10	3	1.7369655941662063
67	0	3	-inf
68	6	3	1.0
69	6	3	1.0
70	0	3	-inf
71	3	3	0.0
72	2	3	-0.5849625007211563
73	3	3	0.0
74	4	3	0.41503749927884376
75	6	3	1.0
76	1	3	-1.5849625007211563
77	5	3	0.7369655941662062
78	3	3	0.0
79	0	3	-inf
80	4	3	0.41503749927884376
81	0	3	-inf
82	4	3	0.41503749927884376
83	9	3	1.584962500721156
84	2	3	-0.5849625007211563
85	0	3	-inf
86	1	3	-1.5849625007211563
87	0	3	-inf
88	5	3	0.7369655941662062
89	3	3	0.0
90	0	3	-inf
91	2	3	-0.5849625007211563
92	5	3	0.7369655941662062
93	1	3	-1.5849625007211563
94	0	3	-inf
95	5	3	0.7369655941662062
96	0	3	-inf
97	2	3	-0.5849625007211563
98	4	3	0.41503749927884376
99	0	3	-inf
100	4	3	0.41503749927884376
101	1	3	-1.5849625007211563
102	0	3	-inf
103	6	3	1.0
104	4	3	0.41503749927884376
105	1	3	-1.5849625007211563
106	6	3	1.0
107	0	3	-inf
108	9	3	1.584962500721156
109	5	3	0.7369655941662062
110	2	3	-0.5849625007211563
111	3	3	0.0
112	8	3	1.4150374992788437
113	0	3	-inf
114	15	3	2.321928094887362
115	2	3	-0.5849625007211563
116	14	3	2.222392421336448
117	5	3	0.7369655941662062
118	5	3	0.7369655941662062
119	4	3	0.41503749927884376
120	8	3	1.4150374992788437
121	6	3	1.0
122	0	3	-inf
123	2	3	-0.5849625007211563
124	0	3	-inf
125	6	3	1.0
126	5	3	0.7369655941662062
127	4	3	0.41503749927884376
128	0	3	-inf
129	3	3	0.0
130	4	3	0.41503749927884376
131	5	3	0.7369655941662062
132	5	3	0.7369655941662062
133	4	3	0.41503749927884376
134	0	3	-inf
135	4	3	0.41503749927884376
136	0	3	-inf
137	2	3	-0.5849625007211563
138	2	3	-0.5849625007211563
139	7	3	1.222392421336448
140	2	3	-0.5849625007211563
141	0	3	-inf
142	1	3	-1.5849625007211563
143	7	3	1.222392421336448
144	0	3	-inf
145	9	3	1.584962500721156
146	1	3	-1.5849625007211563
147	2	3	-0.5849625007211563
148	3	3	0.0
149	0	3	-inf
150	4	3	0.41503749927884376
151	2	3	-0.5849625007211563
152	6	3	1.0
153	0	3	-inf
154	1	3	-1.5849625007211563
155	0	3	-inf
156	7	3	1.222392421336448
157	1	3	-1.5849625007211563
158	1	3	-1.5849625007211563
159	6	3	1.0
160	1	3	-1.5849625007211563
161	0	3	-inf
162	3	3	0.0
163	7	3	1.222392421336448
164	0	3	-inf
165	2	3	-0.5849625007211563
166	2	3	-0.5849625007211563
167	3	3	0.0
168	2	3	-0.5849625007211563
169	7	3	1.222392421336448
170	11	3	1.874469117916141
171	5	3	0.7369655941662062
172	4	3	0.41503749927884376
173	7	3	1.222392421336448
174	0	3	-inf
175	7	3	1.222392421336448
176	6	3	1.0
177	8	3	1.4150374992788437
178	10	3	1.7369655941662063
179	3	3	0.0
180	6	3	1.0
181	6	3	1.0
182	3	3	0.0
183	4	3	0.41503749927884376
184	2	3	-0.5849625007211563
185	0	3	-inf
186	3	3	0.0
187	0	3	-inf
188	4	3	0.41503749927884376
189	1	3	-1.5849625007211563
