Cell_Line	Shift	z
22Rv1	-5000	-10.2602316075511
22Rv1	-4990	-10.1786544454005
22Rv1	-4980	-10.436982125544
22Rv1	-4970	-10.6001364498451
22Rv1	-4960	-10.5321554813863
22Rv1	-4950	-10.5457516750781
22Rv1	-4940	-10.668117418304
22Rv1	-4930	-10.6817136119957
22Rv1	-4920	-10.8176755489133
22Rv1	-4910	-10.6273288372287
22Rv1	-4900	-10.6953098056875
22Rv1	-4890	-10.8448679362969
22Rv1	-4880	-10.7496945804545
22Rv1	-4870	-10.6817136119957
22Rv1	-4860	-10.8720603236804
22Rv1	-4850	-10.8720603236804
22Rv1	-4840	-10.8040793552216
22Rv1	-4830	-10.9400412921392
22Rv1	-4820	-10.9672336795227
22Rv1	-4810	-10.9128489047557
22Rv1	-4800	-10.9536374858309
22Rv1	-4790	-11.0488108416733
22Rv1	-4780	-11.1575803912074
22Rv1	-4770	-11.1303880038239
22Rv1	-4760	-11.1575803912074
22Rv1	-4750	-11.1575803912074
22Rv1	-4740	-11.2663499407415
22Rv1	-4730	-11.3071385218168
22Rv1	-4720	-11.3207347155085
22Rv1	-4710	-11.1711765848991
22Rv1	-4700	-11.3343309092003
22Rv1	-4690	-11.2255613596662
22Rv1	-4680	-11.1031956164403
22Rv1	-4670	-11.1575803912074
22Rv1	-4660	-11.347927102892
22Rv1	-4650	-11.3071385218168
22Rv1	-4640	-11.2119651659744
22Rv1	-4630	-11.3343309092003
22Rv1	-4620	-11.0760032290568
22Rv1	-4610	-11.1847727785909
22Rv1	-4600	-11.0895994227486
22Rv1	-4590	-11.1575803912074
22Rv1	-4580	-11.1303880038239
22Rv1	-4570	-11.3071385218168
22Rv1	-4560	-11.2119651659744
22Rv1	-4550	-11.1167918101321
22Rv1	-4540	-11.1711765848991
22Rv1	-4530	-11.1031956164403
22Rv1	-4520	-10.8448679362969
22Rv1	-4510	-10.8448679362969
22Rv1	-4500	-10.8448679362969
22Rv1	-4490	-10.6137326435369
22Rv1	-4480	-10.7496945804545
22Rv1	-4470	-10.8176755489133
22Rv1	-4460	-10.9944260669062
22Rv1	-4450	-11.1711765848991
22Rv1	-4440	-10.9400412921392
22Rv1	-4430	-11.0216184542898
22Rv1	-4420	-11.3071385218168
22Rv1	-4410	-11.2255613596662
22Rv1	-4400	-10.9944260669062
22Rv1	-4390	-10.9944260669062
22Rv1	-4380	-10.776886967838
22Rv1	-4370	-10.8040793552216
22Rv1	-4360	-10.776886967838
22Rv1	-4350	-10.6137326435369
22Rv1	-4340	-10.5593478687699
22Rv1	-4330	-10.5865402561534
22Rv1	-4320	-10.5049630940028
22Rv1	-4310	-10.4505783192358
22Rv1	-4300	-10.2738278012429
22Rv1	-4290	-10.3554049633934
22Rv1	-4280	-10.3418087697017
22Rv1	-4270	-10.4777707066193
22Rv1	-4260	-10.4913669003111
22Rv1	-4250	-10.3282125760099
22Rv1	-4240	-10.151462058017
22Rv1	-4230	-10.0834810895582
22Rv1	-4220	-10.0155001210994
22Rv1	-4210	-9.87953818418177
22Rv1	-4200	-9.81155721572296
22Rv1	-4190	-9.81155721572296
22Rv1	-4180	-10.0834810895582
22Rv1	-4170	-9.96111534633234
22Rv1	-4160	-9.90673057156529
22Rv1	-4150	-9.7979610220312
22Rv1	-4140	-9.75717244095591
22Rv1	-4130	-9.70278766618887
22Rv1	-4120	-9.67559527880534
22Rv1	-4110	-9.70278766618887
22Rv1	-4100	-9.59401811665477
22Rv1	-4090	-9.47165237342892
22Rv1	-4080	-9.59401811665477
22Rv1	-4070	-9.44445998604539
22Rv1	-4060	-9.32209424281954
22Rv1	-4050	-9.17253611221016
22Rv1	-4040	-9.0501703689843
22Rv1	-4030	-9.00938178790902
22Rv1	-4020	-8.77824649514907
22Rv1	-4010	-8.64228455823145
22Rv1	-4000	-8.49272642762207
22Rv1	-3990	-8.37036068439621
22Rv1	-3980	-8.43834165285502
22Rv1	-3970	-8.5878997834644
22Rv1	-3960	-8.4111492654715
22Rv1	-3950	-8.31597590962917
22Rv1	-3940	-8.35676449070445
22Rv1	-3930	-8.32957210332093
22Rv1	-3920	-8.18001397271155
22Rv1	-3910	-8.22080255378683
22Rv1	-3900	-8.2343987474786
22Rv1	-3890	-8.04405203579393
22Rv1	-3880	-7.8401091304175
22Rv1	-3870	-7.73133958088341
22Rv1	-3860	-7.67695480611636
22Rv1	-3850	-7.4866080944317
22Rv1	-3840	-7.55458906289051
22Rv1	-3830	-7.43222331966465
22Rv1	-3820	-7.40503093228113
22Rv1	-3810	-7.36424235120584
22Rv1	-3800	-7.4866080944317
22Rv1	-3790	-7.43222331966465
22Rv1	-3780	-7.45941570704818
22Rv1	-3770	-7.3098575764388
22Rv1	-3760	-7.33704996382232
22Rv1	-3750	-7.18749183321294
22Rv1	-3740	-7.14670325213765
22Rv1	-3730	-7.16029944582942
22Rv1	-3720	-7.18749183321294
22Rv1	-3710	-7.17389563952118
