SampleID	T2E_Status	Class	Count
PCa13266	No	Total	3
PCa13848	Yes	Total	23
PCa14121	No	Total	6
PCa19121	Yes	Total	9
PCa3023	Yes	Total	27
PCa33173	No	Total	2
PCa40507	Yes	Total	30
PCa51852	Yes	Total	6
PCa53687	No	Total	13
PCa56413	Yes	Total	64
PCa57294	No	Total	5
PCa58215	No	Total	6
PCa13266	No	Intrachromosomal	1
PCa13848	Yes	Intrachromosomal	7
PCa14121	No	Intrachromosomal	1
PCa19121	Yes	Intrachromosomal	4
PCa3023	Yes	Intrachromosomal	21
PCa33173	No	Intrachromosomal	0
PCa40507	Yes	Intrachromosomal	14
PCa51852	Yes	Intrachromosomal	2
PCa53687	No	Intrachromosomal	9
PCa56413	Yes	Intrachromosomal	29
PCa57294	No	Intrachromosomal	0
PCa58215	No	Intrachromosomal	2
PCa13266	No	Interchromosomal	2
PCa13848	Yes	Interchromosomal	16
PCa14121	No	Interchromosomal	5
PCa19121	Yes	Interchromosomal	5
PCa3023	Yes	Interchromosomal	6
PCa33173	No	Interchromosomal	2
PCa40507	Yes	Interchromosomal	16
PCa51852	Yes	Interchromosomal	4
PCa53687	No	Interchromosomal	4
PCa56413	Yes	Interchromosomal	35
PCa57294	No	Interchromosomal	5
PCa58215	No	Interchromosomal	4
