Test	Variable	Value
Accessibility	statistic	490.471629570253
Accessibility	parameter	1
Accessibility	p.value	5.62549832136431e-109
Accessibility	conf.int	0|0.00717268304996923
Accessibility	estimate	0.00384313009050821
Accessibility	null.value	1
Accessibility	alternative	less
Accessibility	method	Mantel-Haenszel chi-squared test with continuity correction
Accessibility	data.name	accessibility_array
Accessibility_Extended	statistic	0.566844798651489
Accessibility_Extended	parameter	1
Accessibility_Extended	p.value	0.774242279764522
Accessibility_Extended	conf.int	0|2.02714515788752
Accessibility_Extended	estimate	1.28577065119711
Accessibility_Extended	null.value	1
Accessibility_Extended	alternative	less
Accessibility_Extended	method	Mantel-Haenszel chi-squared test with continuity correction
Accessibility_Extended	data.name	accessibility_extended_array
SV_Type	statistic	159.648692746531
SV_Type	parameter	1
SV_Type	p.value	6.75111110673383e-37
SV_Type	conf.int	0|0.0527804480187332
SV_Type	estimate	0.0303857894231357
SV_Type	null.value	1
SV_Type	alternative	less
SV_Type	method	Mantel-Haenszel chi-squared test with continuity correction
SV_Type	data.name	bnd_array
