test_ID	Significant	LargeFold	N	Total	Frac
0	FALSE		0	0	
0	TRUE	FALSE	0	0	
0	TRUE	TRUE	0	0	
1	FALSE		2	2	1
1	TRUE	FALSE	0	2	0
1	TRUE	TRUE	0	2	0
70	FALSE		2	2	1
70	TRUE	FALSE	0	2	0
70	TRUE	TRUE	0	2	0
83	FALSE		0	0	
83	TRUE	FALSE	0	0	
83	TRUE	TRUE	0	0	
287	FALSE		11	11	1
287	TRUE	FALSE	0	11	0
287	TRUE	TRUE	0	11	0
2	FALSE		0	0	
2	TRUE	FALSE	0	0	
2	TRUE	TRUE	0	0	
3	FALSE		1	1	1
3	TRUE	FALSE	0	1	0
3	TRUE	TRUE	0	1	0
4	FALSE		2	2	1
4	TRUE	FALSE	0	2	0
4	TRUE	TRUE	0	2	0
5	FALSE		3	3	1
5	TRUE	FALSE	0	3	0
5	TRUE	TRUE	0	3	0
6	FALSE		2	2	1
6	TRUE	FALSE	0	2	0
6	TRUE	TRUE	0	2	0
7	FALSE		1	1	1
7	TRUE	FALSE	0	1	0
7	TRUE	TRUE	0	1	0
8	FALSE		11	12	0.916666666666667
8	TRUE	FALSE	0	12	0
8	TRUE	TRUE	1	12	0.0833333333333333
9	FALSE		10	11	0.909090909090909
9	TRUE	FALSE	0	11	0
9	TRUE	TRUE	1	11	0.0909090909090909
226	FALSE		9	9	1
226	TRUE	FALSE	0	9	0
226	TRUE	TRUE	0	9	0
10	FALSE		4	4	1
10	TRUE	FALSE	0	4	0
10	TRUE	TRUE	0	4	0
11	FALSE		6	6	1
11	TRUE	FALSE	0	6	0
11	TRUE	TRUE	0	6	0
12	FALSE		5	5	1
12	TRUE	FALSE	0	5	0
12	TRUE	TRUE	0	5	0
13	FALSE		6	6	1
13	TRUE	FALSE	0	6	0
13	TRUE	TRUE	0	6	0
14	FALSE		2	2	1
14	TRUE	FALSE	0	2	0
14	TRUE	TRUE	0	2	0
16	FALSE		6	6	1
16	TRUE	FALSE	0	6	0
16	TRUE	TRUE	0	6	0
189	FALSE		5	5	1
189	TRUE	FALSE	0	5	0
189	TRUE	TRUE	0	5	0
17	FALSE		11	11	1
17	TRUE	FALSE	0	11	0
17	TRUE	TRUE	0	11	0
18	FALSE		0	1	0
18	TRUE	FALSE	1	1	1
18	TRUE	TRUE	0	1	0
19	FALSE		6	7	0.857142857142857
19	TRUE	FALSE	1	7	0.142857142857143
19	TRUE	TRUE	0	7	0
20	FALSE		6	6	1
20	TRUE	FALSE	0	6	0
20	TRUE	TRUE	0	6	0
21	FALSE		29	32	0.90625
21	TRUE	FALSE	1	32	0.03125
21	TRUE	TRUE	2	32	0.0625
22	FALSE		8	8	1
22	TRUE	FALSE	0	8	0
22	TRUE	TRUE	0	8	0
23	FALSE		8	9	0.888888888888889
23	TRUE	FALSE	0	9	0
23	TRUE	TRUE	1	9	0.111111111111111
24	FALSE		3	3	1
24	TRUE	FALSE	0	3	0
24	TRUE	TRUE	0	3	0
25	FALSE		5	5	1
25	TRUE	FALSE	0	5	0
25	TRUE	TRUE	0	5	0
26	FALSE		13	13	1
26	TRUE	FALSE	0	13	0
26	TRUE	TRUE	0	13	0
28	FALSE		12	12	1
28	TRUE	FALSE	0	12	0
28	TRUE	TRUE	0	12	0
29	FALSE		17	17	1
29	TRUE	FALSE	0	17	0
29	TRUE	TRUE	0	17	0
31	FALSE		20	21	0.952380952380952
31	TRUE	FALSE	1	21	0.0476190476190476
