sample	target_id	transcript_name	est_counts
PCa13266	ENST00000288602.11	BRAF-201	-0.766758611900543
PCa13266	ENST00000469930.2	BRAF-202	-0.0153978668991969
PCa13266	ENST00000479537.6	BRAF-203	-1
PCa13266	ENST00000496384.7	BRAF-204	0.559057146224639
PCa13266	ENST00000497784.2	BRAF-205	-1
PCa13266	ENST00000642228.1	BRAF-206	-0.955290519637978
PCa13266	ENST00000642272.1	BRAF-207	-0.0811779805807439
PCa13266	ENST00000642808.1	BRAF-208	-1
PCa13266	ENST00000642875.1	BRAF-209	-0.748969024450405
PCa13266	ENST00000643356.1	BRAF-210	-0.436158544187412
PCa13266	ENST00000643790.1	BRAF-211	-0.177002694218755
PCa13266	ENST00000644120.1	BRAF-212	0.167394848605858
PCa13266	ENST00000644650.1	BRAF-213	-0.595514341925209
PCa13266	ENST00000644905.1	BRAF-214	-0.728368376985444
PCa13266	ENST00000644969.1	BRAF-215	-0.999999994665578
PCa13266	ENST00000645443.1	BRAF-216	-0.784386442995796
PCa13266	ENST00000646334.1	BRAF-217	-0.489838563407034
PCa13266	ENST00000646427.1	BRAF-218	-0.509439111399033
PCa13266	ENST00000646730.1	BRAF-219	-0.433685804986327
PCa13266	ENST00000646891.1	BRAF-220	-0.0830661831738225
PCa13266	ENST00000647434.1	BRAF-221	-0.00756360191164209
PCa13848	ENST00000288602.11	BRAF-201	-1
PCa13848	ENST00000469930.2	BRAF-202	-0.143739980083272
PCa13848	ENST00000479537.6	BRAF-203	-1
PCa13848	ENST00000496384.7	BRAF-204	0.647969636726044
PCa13848	ENST00000497784.2	BRAF-205	-1
PCa13848	ENST00000642228.1	BRAF-206	-0.981895806167116
PCa13848	ENST00000642272.1	BRAF-207	-0.439133602243926
PCa13848	ENST00000642808.1	BRAF-208	-0.978474736419471
PCa13848	ENST00000642875.1	BRAF-209	-0.81390846778473
PCa13848	ENST00000643356.1	BRAF-210	-0.341975286589311
PCa13848	ENST00000643790.1	BRAF-211	-0.338076171188562
PCa13848	ENST00000644120.1	BRAF-212	-0.250844320633381
PCa13848	ENST00000644650.1	BRAF-213	-0.724558764084944
PCa13848	ENST00000644905.1	BRAF-214	-0.516852600308308
PCa13848	ENST00000644969.1	BRAF-215	-0.842919783286521
PCa13848	ENST00000645443.1	BRAF-216	-0.806735173924052
PCa13848	ENST00000646334.1	BRAF-217	-0.567457604355619
PCa13848	ENST00000646427.1	BRAF-218	-0.497278009425224
PCa13848	ENST00000646730.1	BRAF-219	-0.59085532023719
PCa13848	ENST00000646891.1	BRAF-220	-0.355434509845654
PCa13848	ENST00000647434.1	BRAF-221	-0.752749542118433
PCa14121	ENST00000288602.11	BRAF-201	-0.897388282800717
PCa14121	ENST00000469930.2	BRAF-202	-0.402215412734636
PCa14121	ENST00000479537.6	BRAF-203	-1
PCa14121	ENST00000496384.7	BRAF-204	0.339102437379498
PCa14121	ENST00000497784.2	BRAF-205	-1
PCa14121	ENST00000642228.1	BRAF-206	-0.911723534947075
PCa14121	ENST00000642272.1	BRAF-207	-0.515374823833318
PCa14121	ENST00000642808.1	BRAF-208	-0.969456205717587
PCa14121	ENST00000642875.1	BRAF-209	-0.926206133312388
PCa14121	ENST00000643356.1	BRAF-210	-0.720366694690901
PCa14121	ENST00000643790.1	BRAF-211	-0.465098383576601
PCa14121	ENST00000644120.1	BRAF-212	-0.471973706746853
PCa14121	ENST00000644650.1	BRAF-213	-0.80619864681325
PCa14121	ENST00000644905.1	BRAF-214	-0.8163563988221
PCa14121	ENST00000644969.1	BRAF-215	-1
PCa14121	ENST00000645443.1	BRAF-216	-0.888287199175322
PCa14121	ENST00000646334.1	BRAF-217	-0.713712574619397
PCa14121	ENST00000646427.1	BRAF-218	-0.693658961851051
PCa14121	ENST00000646730.1	BRAF-219	-0.736179364116054
PCa14121	ENST00000646891.1	BRAF-220	-0.381048992176827
PCa14121	ENST00000647434.1	BRAF-221	-0.785676955390592
PCa19121	ENST00000288602.11	BRAF-201	-0.923224292053591
PCa19121	ENST00000469930.2	BRAF-202	-0.643379169583151
PCa19121	ENST00000479537.6	BRAF-203	-1
PCa19121	ENST00000496384.7	BRAF-204	0.0957021066163974
PCa19121	ENST00000497784.2	BRAF-205	-1
PCa19121	ENST00000642228.1	BRAF-206	-0.973348371820917
PCa19121	ENST00000642272.1	BRAF-207	-0.606798892166579
PCa19121	ENST00000642808.1	BRAF-208	-0.957436075458928
PCa19121	ENST00000642875.1	BRAF-209	-0.94070611559813
PCa19121	ENST00000643356.1	BRAF-210	-0.753057399861361
PCa19121	ENST00000643790.1	BRAF-211	-0.747043677904308
PCa19121	ENST00000644120.1	BRAF-212	-0.617018261632166
PCa19121	ENST00000644650.1	BRAF-213	-0.878459433067111
PCa19121	ENST00000644905.1	BRAF-214	-0.845662356545785
PCa19121	ENST00000644969.1	BRAF-215	-1
PCa19121	ENST00000645443.1	BRAF-216	-0.925665342986001
PCa19121	ENST00000646334.1	BRAF-217	-0.777801850119917
PCa19121	ENST00000646427.1	BRAF-218	-0.801895939714963
PCa19121	ENST00000646730.1	BRAF-219	-0.84591941378207
PCa19121	ENST00000646891.1	BRAF-220	-0.606112702097042
PCa19121	ENST00000647434.1	BRAF-221	-0.801947179729141
PCa3023	ENST00000288602.11	BRAF-201	-1
PCa3023	ENST00000469930.2	BRAF-202	-0.59423440115874
PCa3023	ENST00000479537.6	BRAF-203	-0.992834015748023
PCa3023	ENST00000496384.7	BRAF-204	0.0793766920801552
PCa3023	ENST00000497784.2	BRAF-205	-1
PCa3023	ENST00000642228.1	BRAF-206	-0.9423734830276
PCa3023	ENST00000642272.1	BRAF-207	-0.798115048830595
PCa3023	ENST00000642808.1	BRAF-208	-0.969447379425817
PCa3023	ENST00000642875.1	BRAF-209	-0.940148155963736
PCa3023	ENST00000643356.1	BRAF-210	-0.785678406620405
PCa3023	ENST00000643790.1	BRAF-211	-0.705029860479078
PCa3023	ENST00000644120.1	BRAF-212	-0.716368145126161
PCa3023	ENST00000644650.1	BRAF-213	-0.912553362662771
PCa3023	ENST00000644905.1	BRAF-214	-0.82527189482498
PCa3023	ENST00000644969.1	BRAF-215	-0.936979256234988
PCa3023	ENST00000645443.1	BRAF-216	-0.964593988950103
PCa3023	ENST00000646334.1	BRAF-217	-0.890851751568201
PCa3023	ENST00000646427.1	BRAF-218	-0.864400436107484
PCa3023	ENST00000646730.1	BRAF-219	-0.855289668027554
PCa3023	ENST00000646891.1	BRAF-220	-0.569804501357169
PCa3023	ENST00000647434.1	BRAF-221	-0.823810018938092
PCa33173	ENST00000288602.11	BRAF-201	-1
PCa33173	ENST00000469930.2	BRAF-202	-0.662580089573384
PCa33173	ENST00000479537.6	BRAF-203	-1
PCa33173	ENST00000496384.7	BRAF-204	-0.182598925421092
PCa33173	ENST00000497784.2	BRAF-205	-1
PCa33173	ENST00000642228.1	BRAF-206	-0.974566472351359
PCa33173	ENST00000642272.1	BRAF-207	-0.66216507581913
PCa33173	ENST00000642808.1	BRAF-208	-0.96969116419145
PCa33173	ENST00000642875.1	BRAF-209	-0.906116048941783
PCa33173	ENST00000643356.1	BRAF-210	-0.727436061634613
PCa33173	ENST00000643790.1	BRAF-211	-0.677519288305275
PCa33173	ENST00000644120.1	BRAF-212	-0.474749482634552
PCa33173	ENST00000644650.1	BRAF-213	-0.872421442717347
PCa33173	ENST00000644905.1	BRAF-214	-0.906466023746122
PCa33173	ENST00000644969.1	BRAF-215	-0.911703066651022
PCa33173	ENST00000645443.1	BRAF-216	-0.899916635730213
PCa33173	ENST00000646334.1	BRAF-217	-0.770192018722659
PCa33173	ENST00000646427.1	BRAF-218	-0.774884315576194
PCa33173	ENST00000646730.1	BRAF-219	-0.71617398601704
PCa33173	ENST00000646891.1	BRAF-220	-0.591447903006548
PCa33173	ENST00000647434.1	BRAF-221	-0.781053940827542
PCa40507	ENST00000288602.11	BRAF-201	-0.931054983003369
PCa40507	ENST00000469930.2	BRAF-202	-0.63768237809495
PCa40507	ENST00000479537.6	BRAF-203	-1
PCa40507	ENST00000496384.7	BRAF-204	0.0860455432925601
PCa40507	ENST00000497784.2	BRAF-205	-1
PCa40507	ENST00000642228.1	BRAF-206	-0.968686548495807
PCa40507	ENST00000642272.1	BRAF-207	-0.723000895222479
PCa40507	ENST00000642808.1	BRAF-208	-1
PCa40507	ENST00000642875.1	BRAF-209	-0.94451613526668
PCa40507	ENST00000643356.1	BRAF-210	-0.719113313036937
PCa40507	ENST00000643790.1	BRAF-211	-0.794021447319663
PCa40507	ENST00000644120.1	BRAF-212	-0.637289096870644
PCa40507	ENST00000644650.1	BRAF-213	-0.865479325210487
PCa40507	ENST00000644905.1	BRAF-214	-0.832104932405518
PCa40507	ENST00000644969.1	BRAF-215	-1
PCa40507	ENST00000645443.1	BRAF-216	-0.939836509609371
PCa40507	ENST00000646334.1	BRAF-217	-0.827138660166156
PCa40507	ENST00000646427.1	BRAF-218	-0.817152868642137
PCa40507	ENST00000646730.1	BRAF-219	-0.815416392297378
PCa40507	ENST00000646891.1	BRAF-220	-0.439243005636157
PCa40507	ENST00000647434.1	BRAF-221	-0.816032570439895
PCa51852	ENST00000288602.11	BRAF-201	-1
PCa51852	ENST00000469930.2	BRAF-202	-0.355291031839613
PCa51852	ENST00000479537.6	BRAF-203	-1
PCa51852	ENST00000496384.7	BRAF-204	0.253052169668201
PCa51852	ENST00000497784.2	BRAF-205	-1
PCa51852	ENST00000642228.1	BRAF-206	-0.993834368543491
PCa51852	ENST00000642272.1	BRAF-207	-0.573134884612115
PCa51852	ENST00000642808.1	BRAF-208	-1
PCa51852	ENST00000642875.1	BRAF-209	-0.943953863975508
PCa51852	ENST00000643356.1	BRAF-210	-0.745166326848427
PCa51852	ENST00000643790.1	BRAF-211	-0.533774637710664
PCa51852	ENST00000644120.1	BRAF-212	-0.459086998133872
PCa51852	ENST00000644650.1	BRAF-213	-0.780240193386258
PCa51852	ENST00000644905.1	BRAF-214	-0.776410139597812
PCa51852	ENST00000644969.1	BRAF-215	-0.967768482703183
PCa51852	ENST00000645443.1	BRAF-216	-0.869816637020505
PCa51852	ENST00000646334.1	BRAF-217	-0.772916121144811
PCa51852	ENST00000646427.1	BRAF-218	-0.703754506540478
PCa51852	ENST00000646730.1	BRAF-219	-0.791908075254281
PCa51852	ENST00000646891.1	BRAF-220	-0.403866985995671
PCa51852	ENST00000647434.1	BRAF-221	-0.525204912992886
PCa53687	ENST00000288602.11	BRAF-201	-1
PCa53687	ENST00000469930.2	BRAF-202	-0.68402488351488
PCa53687	ENST00000479537.6	BRAF-203	-0.690637341212766
PCa53687	ENST00000496384.7	BRAF-204	1.42219177915427
PCa53687	ENST00000497784.2	BRAF-205	-1
PCa53687	ENST00000642228.1	BRAF-206	-0.988969907606097
PCa53687	ENST00000642272.1	BRAF-207	-0.766141755192801
PCa53687	ENST00000642808.1	BRAF-208	-0.977520524747139
PCa53687	ENST00000642875.1	BRAF-209	-0.856199481590557
PCa53687	ENST00000643356.1	BRAF-210	-0.800448086461708
PCa53687	ENST00000643790.1	BRAF-211	-0.790021304933759
PCa53687	ENST00000644120.1	BRAF-212	-0.192813153891112
PCa53687	ENST00000644650.1	BRAF-213	-0.572246234686569
PCa53687	ENST00000644905.1	BRAF-214	-0.457078156037647
PCa53687	ENST00000644969.1	BRAF-215	-0.872916393813442
PCa53687	ENST00000645443.1	BRAF-216	-0.6758836312229
PCa53687	ENST00000646334.1	BRAF-217	-0.537511746185508
PCa53687	ENST00000646427.1	BRAF-218	-0.792411696244194
PCa53687	ENST00000646730.1	BRAF-219	-0.599694683594273
PCa53687	ENST00000646891.1	BRAF-220	0.18509725393753
PCa53687	ENST00000647434.1	BRAF-221	-0.0357081721437476
PCa56413	ENST00000288602.11	BRAF-201	-0.920352188623388
PCa56413	ENST00000469930.2	BRAF-202	-0.601898969793127
PCa56413	ENST00000479537.6	BRAF-203	-1
