sample	ens_gene	gene_name	est_counts
PCa13266	ENSG00000157554.19	ERG	11.1038154865496
PCa13848	ENSG00000157554.19	ERG	14.411629208244
PCa14121	ENSG00000157554.19	ERG	9.80050286646027
PCa19121	ENSG00000157554.19	ERG	15.6351565616423
PCa3023	ENSG00000157554.19	ERG	14.4592035941317
PCa33173	ENSG00000157554.19	ERG	9.03157645298549
PCa40507	ENSG00000157554.19	ERG	14.7105118810031
PCa51852	ENSG00000157554.19	ERG	14.4476807469217
PCa53687	ENSG00000157554.19	ERG	9.19382924161421
PCa56413	ENSG00000157554.19	ERG	14.3491889206224
PCa57294	ENSG00000157554.19	ERG	9.01972792785003
PCa58215	ENSG00000157554.19	ERG	9.26578094729876
PCa13266	ENSG00000184012.12	TMPRSS2	15.0592529801363
PCa13848	ENSG00000184012.12	TMPRSS2	13.5593558665416
PCa14121	ENSG00000184012.12	TMPRSS2	14.8411463839587
PCa19121	ENSG00000184012.12	TMPRSS2	13.3878509543975
PCa3023	ENSG00000184012.12	TMPRSS2	13.4095456126575
PCa33173	ENSG00000184012.12	TMPRSS2	13.8241412374113
PCa40507	ENSG00000184012.12	TMPRSS2	10.6758728579955
PCa51852	ENSG00000184012.12	TMPRSS2	13.1497745609049
PCa53687	ENSG00000184012.12	TMPRSS2	13.8828959131847
PCa56413	ENSG00000184012.12	TMPRSS2	13.6056110893514
PCa57294	ENSG00000184012.12	TMPRSS2	14.9391542459473
PCa58215	ENSG00000184012.12	TMPRSS2	15.0556406062129
