sample	ens_gene	gene_name	est_counts
PCa13266	ENSG00000101493.11	ZNF516	8.71435776359512
PCa13848	ENSG00000101493.11	ZNF516	9.69858799179
PCa14121	ENSG00000101493.11	ZNF516	7.70088246533503
PCa19121	ENSG00000101493.11	ZNF516	7.58083635356386
PCa3023	ENSG00000101493.11	ZNF516	7.74489360760183
PCa33173	ENSG00000101493.11	ZNF516	6.5350918058234
PCa40507	ENSG00000101493.11	ZNF516	7.80613037908563
PCa51852	ENSG00000101493.11	ZNF516	7.46474805098546
PCa53687	ENSG00000101493.11	ZNF516	6.44820397286399
PCa56413	ENSG00000101493.11	ZNF516	7.34829763564
PCa57294	ENSG00000101493.11	ZNF516	8.01977914535738
PCa58215	ENSG00000101493.11	ZNF516	7.16674365591348
PCa13266	ENSG00000124225.16	PMEPA1	15.2452353108968
PCa13848	ENSG00000124225.16	PMEPA1	13.6329743471768
PCa14121	ENSG00000124225.16	PMEPA1	15.2841436378192
PCa19121	ENSG00000124225.16	PMEPA1	14.3360900516733
PCa3023	ENSG00000124225.16	PMEPA1	14.4010248968973
PCa33173	ENSG00000124225.16	PMEPA1	14.4807146195252
PCa40507	ENSG00000124225.16	PMEPA1	14.6302105099086
PCa51852	ENSG00000124225.16	PMEPA1	14.6545597753182
PCa53687	ENSG00000124225.16	PMEPA1	14.0562844473458
PCa56413	ENSG00000124225.16	PMEPA1	14.1175813051448
PCa57294	ENSG00000124225.16	PMEPA1	15.0408422795366
PCa58215	ENSG00000124225.16	PMEPA1	14.4634815062746
