SampleID	Source	Peak	Background	Fold
4DNFI6HDY7WZ	Cell Line	0.024626972686174	0.0110524846044181	2.2281843013226
4DNFIIV4M7TF	Cell Line	0.0217893694288544	0.0112795985111126	1.93175044372258
4DNFINSKEZND	Cell Line	0.023734303621878	0.0111651604336025	2.12574676047177
4DNFIT64Q7A3	Cell Line	0.0235175136040816	0.0110890296225178	2.12079094426136
4DNFITH978XV	Cell Line	0.0240395764087501	0.0110920312016312	2.16728351838885
4DNFIXVAKX9Q	Cell Line	0.0216953606827221	0.0112947946230278	1.92082825822168
Benign-Prostate-1595983	Primary	0.0210690716440307	0.0111502323770964	1.88956345764672
Benign-Prostate-1648133	Primary	0.021492371372552	0.0111963239303138	1.91959177908045
Benign-Prostate-1664855	Primary	0.0225404970704247	0.0111666502064912	2.01855495189791
Benign-Prostate-3320942	Primary	0.0215648969319271	0.0112023057854367	1.92504091077053
Benign-Prostate-3330581	Primary	0.0223987136330849	0.0111542738639096	2.00808352980802
PCa13266	Primary	0.02049501961968	0.0113293723291023	1.80901633597419
PCa13848	Primary	0.0220070551383949	0.0111870705613989	1.96718658540784
PCa14121	Primary	0.0205443853761397	0.0112905608293253	1.81960716448905
PCa19121	Primary	0.021070899218686	0.0112406745855186	1.87452265950583
PCa3023	Primary	0.0219672526610982	0.0112308104942572	1.95598106408535
PCa33173	Primary	0.0214969960199156	0.0111849771525471	1.92195260899753
PCa40507	Primary	0.0214238408131981	0.0112535772656081	1.90373605721545
PCa51852	Primary	0.0204316038256798	0.011383958759355	1.79477141981823
PCa53687	Primary	0.0198730707123812	0.0112676919306415	1.7637215176551
PCa56413	Primary	0.0226977512482637	0.0111374562095068	2.03796547625384
PCa57294	Primary	0.0217871015522271	0.0112737919190007	1.93254423256717
PCa58215	Primary	0.0219718730182415	0.0111881617723572	1.9638501360007
SRR7702334	Cell Line	0.0256713974974695	0.0111137307442794	2.30988118105016
SRR7702335	Cell Line	0.0251640348979739	0.0111183214362968	2.2632944228275
SRR8446383	Cell Line	0.0251883189868823	0.0112480659205557	2.23934667211107
SRR8446384	Cell Line	0.0253350533935354	0.0112292395146111	2.25616822586875
SRR8446385	Cell Line	0.0254531567147818	0.0111150277512774	2.28997689293728
SRR8446386	Cell Line	0.0252708855398299	0.0111428555506226	2.26790030841044
SRR8446387	Cell Line	0.0252874035707924	0.011187122243064	2.26040290088638
