SampleID	w	BPscore	window_step_abs_delta
PCa13266	3	0.45362278148880797	0.546377218511192
PCa13848	3	0.40767496170467205	0.592325038295328
PCa14121	3	0.4625401461229414	0.5374598538770585
PCa19121	3	0.4461003348080727	0.5538996651919272
PCa3023	3	0.4372781557500924	0.5627218442499076
PCa33173	3	0.42411813145651445	0.5758818685434856
PCa40507	3	0.45349612608604967	0.5465038739139503
PCa51852	3	0.4715361242123515	0.5284638757876485
PCa53687	3	0.45872235174500947	0.5412776482549906
PCa56413	3	0.43446020642127464	0.5655397935787254
PCa57294	3	0.45127591616831203	0.548724083831688
PCa58215	3	0.43599868493705896	0.564001315062941
Benign-Prostate-1595983	3	0.4366976992929025	0.5633023007070975
Benign-Prostate-1648133	3	0.42859612925686597	0.571403870743134
Benign-Prostate-1664855	3	0.4188913315838225	0.5811086684161775
Benign-Prostate-3320942	3	0.42215685747957654	0.5778431425204235
Benign-Prostate-3330581	3	0.41339773464937746	0.5866022653506225
SRR7702334	3	0.33089157808120834	0.6691084219187917
SRR7702335	3	0.3327827163398193	0.6672172836601806
SRR8446383	3	0.3143089466792695	0.6856910533207305
SRR8446384	3	0.3144964946892583	0.6855035053107417
SRR8446385	3	0.3544982832360174	0.6455017167639826
SRR8446386	3	0.3528023688850815	0.6471976311149186
SRR8446387	3	0.3377008583157856	0.6622991416842143
4DNFI6HDY7WZ	3	0.4217009401032373	0.5782990598967628
4DNFITH978XV	3	0.37293098257217244	0.6270690174278275
4DNFIT64Q7A3	3	0.39234129844811366	0.6076587015518864
4DNFINSKEZND	3	0.3821614460052616	0.6178385539947384
4DNFIIV4M7TF	3	0.41548550581921057	0.5845144941807894
4DNFIXVAKX9Q	3	0.39254688550650396	0.607453114493496
PCa13266	4	0.2770794811766619	0.17654330031214605
PCa13848	4	0.22037731261697857	0.18729764908769347
PCa14121	4	0.2805503784951375	0.18198976762780394
PCa19121	4	0.25029403086670227	0.19580630394137044
PCa3023	4	0.23286695881737868	0.2044111969327137
PCa33173	4	0.23805504908149022	0.18606308237502422
PCa40507	4	0.27968875199602616	0.1738073740900235
PCa51852	4	0.298423763015664	0.17311236119668755
PCa53687	4	0.28036336252630667	0.1783589892187028
PCa56413	4	0.23843539189296512	0.19602481452830953
PCa57294	4	0.2652628272433268	0.18601308892498525
PCa58215	4	0.2416739487878278	0.19432473614923115
Benign-Prostate-1595983	4	0.22477328671670485	0.21192441257619762
Benign-Prostate-1648133	4	0.24131554279662426	0.1872805864602417
Benign-Prostate-1664855	4	0.21664237854381224	0.20224895304001028
Benign-Prostate-3320942	4	0.23488567001382565	0.1872711874657509
Benign-Prostate-3330581	4	0.21626527418420488	0.19713246046517258
SRR7702334	4	0.16753703361838737	0.16335454446282097
SRR7702335	4	0.170958303609525	0.16182441273029433
SRR8446383	4	0.16175997795207414	0.15254896872719537
SRR8446384	4	0.15827482174782964	0.15622167294142864
SRR8446385	4	0.17549658426136316	0.17900169897465423
SRR8446386	4	0.17642337509556122	0.17637899378952027
SRR8446387	4	0.170033433925336	0.1676674243904496
4DNFI6HDY7WZ	4	0.2180818089218366	0.20361913118140068
4DNFITH978XV	4	0.19599384801004016	0.17693713456213228
4DNFIT64Q7A3	4	0.19773395153881287	0.1946073469093008
4DNFINSKEZND	4	0.20482220843041157	0.17733923757485
4DNFIIV4M7TF	4	0.23111538217967367	0.1843701236395369
4DNFIXVAKX9Q	4	0.21686564604978473	0.17568123945671923
PCa13266	5	0.2107721363050212	0.06630734487164072
PCa13848	5	0.16958827437119192	0.05078903824578665
PCa14121	5	0.20968579421099673	0.07086458428414075
PCa19121	5	0.1973629599922752	0.052931070874427055
PCa3023	5	0.17798424870413254	0.054882710113246136
PCa33173	5	0.18129139055653012	0.0567636585249601
PCa40507	5	0.212076878765763	0.06761187323026316
PCa51852	5	0.228894526359307	0.06952923665635699
PCa53687	5	0.20627428438586132	0.07408907814044535
PCa56413	5	0.17843053279402432	0.060004859098940794
PCa57294	5	0.20058485312174523	0.06467797412158155
PCa58215	5	0.1799022915554774	0.061771657232350397
Benign-Prostate-1595983	5	0.16988985908104726	0.054883427635657595
Benign-Prostate-1648133	5	0.18064124891386188	0.06067429388276238
Benign-Prostate-1664855	5	0.16773236770087757	0.04891001084293467
Benign-Prostate-3320942	5	0.17845438884833506	0.05643128116549059
Benign-Prostate-3330581	5	0.17346221282779145	0.04280306135641343
SRR7702334	5	0.1280683557418631	0.03946867787652428
SRR7702335	5	0.13409925596943661	0.03685904764008838
SRR8446383	5	0.13337460277547844	0.0283853751765957
SRR8446384	5	0.12201133581676965	0.03626348593105999
SRR8446385	5	0.13669697053049887	0.038799613730864296
SRR8446386	5	0.13909173587207319	0.03733163922348803
SRR8446387	5	0.1367362601091523	0.03329717381618372
4DNFI6HDY7WZ	5	0.16398638858436232	0.054095420337474276
4DNFITH978XV	5	0.1463324779779496	0.04966137003209056
4DNFIT64Q7A3	5	0.16132992365873566	0.03640402788007721
4DNFINSKEZND	5	0.15961396302653874	0.04520824540387283
4DNFIIV4M7TF	5	0.18265252155339412	0.04846286062627955
4DNFIXVAKX9Q	5	0.17265452833729578	0.04421111771248895
PCa13266	6	0.16982155916123823	0.040950577143782974
PCa13848	6	0.1421139406656572	0.02747433370553473
PCa14121	6	0.17771511614984759	0.031970678061149144
PCa19121	6	0.1544568752902398	0.04290608470203541
PCa3023	6	0.1496206154022614	0.02836363330187114
PCa33173	6	0.1461924438900567	0.035098946666473424
PCa40507	6	0.17556038562789616	0.03651649313786684
PCa51852	6	0.18288853982960998	0.04600598652969701
PCa53687	6	0.1637847638698357	0.042489520516025614
PCa56413	6	0.15275272864357697	0.025677804150447348
PCa57294	6	0.16473974318979104	0.035845109931954194
