N_Samples	Iteration	N_Loops	Model
1	1	4579	All
2	1	5670	All
3	1	7302	All
4	1	8682	All
5	1	8813	All
6	1	8943	All
7	1	9685	All
8	1	11786	All
9	1	12783	All
10	1	13220	All
11	1	13834	All
12	1	14664	All
13	1	14920	All
14	1	15350	All
15	1	15957	All
16	1	16102	All
17	1	16474	All
1	2	6993	All
2	2	7578	All
3	2	7748	All
4	2	8825	All
5	2	10196	All
6	2	11162	All
7	2	11669	All
8	2	12174	All
9	2	12896	All
10	2	13523	All
11	2	13601	All
12	2	13772	All
13	2	14137	All
14	2	14932	All
15	2	15466	All
16	2	15880	All
17	2	16474	All
1	3	3953	All
2	3	6134	All
3	3	8073	All
4	3	8348	All
5	3	9562	All
6	3	9916	All
7	3	10864	All
8	3	11380	All
9	3	11808	All
10	3	12357	All
11	3	13058	All
12	3	13933	All
13	3	14393	All
14	3	14931	All
15	3	15004	All
16	3	16403	All
17	3	16474	All
1	4	5722	All
2	4	5925	All
3	4	7595	All
4	4	8404	All
5	4	9139	All
6	4	9257	All
7	4	11400	All
8	4	11584	All
9	4	12340	All
10	4	13304	All
11	4	13908	All
12	4	14264	All
13	4	14715	All
14	4	15270	All
15	4	15886	All
16	4	16113	All
17	4	16474	All
1	5	5003	All
2	5	6731	All
3	5	7728	All
4	5	10195	All
5	5	10411	All
6	5	11554	All
7	5	12174	All
8	5	12466	All
9	5	12862	All
10	5	13478	All
11	5	13936	All
12	5	14014	All
13	5	14412	All
14	5	15221	All
15	5	15838	All
16	5	16403	All
17	5	16474	All
1	6	3645	All
2	6	5887	All
3	6	9031	All
4	6	9666	All
5	6	10548	All
6	6	10654	All
7	6	11229	All
8	6	11417	All
9	6	12304	All
10	6	12598	All
11	6	13523	All
12	6	14226	All
13	6	15040	All
14	6	15636	All
15	6	15708	All
16	6	16113	All
17	6	16474	All
1	7	4527	All
2	7	4790	All
3	7	6036	All
4	7	7573	All
5	7	8387	All
6	7	8516	All
7	7	9987	All
8	7	10589	All
9	7	11108	All
10	7	11843	All
11	7	12663	All
12	7	12827	All
13	7	13097	All
14	7	13804	All
15	7	14269	All
16	7	15083	All
17	7	16474	All
1	8	3514	All
2	8	6631	All
3	8	6795	All
4	8	6974	All
5	8	7496	All
6	8	8689	All
7	8	9760	All
8	8	10396	All
9	8	11358	All
10	8	13148	All
11	8	13777	All
12	8	14607	All
