SampleID	Seq_Depth	Replicate	N
Benign-Prostate-1595983	100000000	1	1135
Benign-Prostate-1595983	100000000	10	1069
Benign-Prostate-1595983	100000000	2	1079
Benign-Prostate-1595983	100000000	3	1073
Benign-Prostate-1595983	100000000	4	1088
Benign-Prostate-1595983	100000000	5	1091
Benign-Prostate-1595983	100000000	6	1084
Benign-Prostate-1595983	100000000	7	1080
Benign-Prostate-1595983	100000000	8	1112
Benign-Prostate-1595983	100000000	9	1086
Benign-Prostate-1595983	150000000	1	1951
Benign-Prostate-1595983	150000000	10	1875
Benign-Prostate-1595983	150000000	2	1983
Benign-Prostate-1595983	150000000	3	1960
Benign-Prostate-1595983	150000000	4	2015
Benign-Prostate-1595983	150000000	5	1978
Benign-Prostate-1595983	150000000	6	1939
Benign-Prostate-1595983	150000000	7	1957
Benign-Prostate-1595983	150000000	8	1967
Benign-Prostate-1595983	150000000	9	1961
Benign-Prostate-1595983	200000000	1	2421
Benign-Prostate-1595983	200000000	10	2367
Benign-Prostate-1595983	200000000	2	2387
Benign-Prostate-1595983	200000000	3	2415
Benign-Prostate-1595983	200000000	4	2372
Benign-Prostate-1595983	200000000	5	2442
Benign-Prostate-1595983	200000000	6	2386
Benign-Prostate-1595983	200000000	7	2443
Benign-Prostate-1595983	200000000	8	2406
Benign-Prostate-1595983	200000000	9	2347
Benign-Prostate-1595983	250000000	1	3108
Benign-Prostate-1595983	250000000	10	3091
Benign-Prostate-1595983	250000000	2	3201
Benign-Prostate-1595983	250000000	3	3133
Benign-Prostate-1595983	250000000	4	3165
Benign-Prostate-1595983	250000000	5	3162
Benign-Prostate-1595983	250000000	6	3086
Benign-Prostate-1595983	250000000	7	3130
Benign-Prostate-1595983	250000000	8	3170
Benign-Prostate-1595983	250000000	9	3015
Benign-Prostate-1595983	300000000	1	3779
Benign-Prostate-1595983	300000000	10	3869
Benign-Prostate-1595983	300000000	2	3825
Benign-Prostate-1595983	300000000	3	3682
Benign-Prostate-1595983	300000000	4	3828
Benign-Prostate-1595983	300000000	5	3756
Benign-Prostate-1595983	300000000	6	3772
Benign-Prostate-1595983	300000000	7	3764
Benign-Prostate-1595983	300000000	8	3671
Benign-Prostate-1595983	300000000	9	3763
Benign-Prostate-1595983	50000000	1	18
Benign-Prostate-1595983	50000000	10	12
Benign-Prostate-1595983	50000000	2	13
Benign-Prostate-1595983	50000000	3	8
Benign-Prostate-1595983	50000000	4	11
Benign-Prostate-1595983	50000000	5	13
Benign-Prostate-1595983	50000000	6	20
Benign-Prostate-1595983	50000000	7	16
Benign-Prostate-1595983	50000000	8	14
Benign-Prostate-1595983	50000000	9	13
Benign-Prostate-1648133	100000000	1	833
Benign-Prostate-1648133	100000000	10	842
Benign-Prostate-1648133	100000000	2	824
Benign-Prostate-1648133	100000000	3	839
Benign-Prostate-1648133	100000000	4	812
