Frac_Saturation	N_Loops	Seq_Depth	SampleID
0.5	3220.35074718086	470858337.462941	PCa13266
0.9	5796.63134492555	1380849815.39347	PCa13266
0.95	6118.66641964363	1772761812.98471	PCa13266
0.99	6376.2944794181	2682753290.91523	PCa13266
0.999	6434.26079286736	3984656766.437	PCa13266
0.5	5114.66829565411	294208124.356785	PCa13848
0.9	9206.40293217739	852924385.707497	PCa13848
0.95	9717.8697617428	1093550382.08565	PCa13848
0.99	10127.0432253951	1652266643.43637	PCa13848
0.999	10219.1072547169	2451608901.16524	PCa13848
0.5	1774.23225077818	543559109.162643	PCa14121
0.9	3193.61805140073	1598024768.50803	PCa14121
0.95	3371.04127647855	2052158409.28149	PCa14121
0.99	3512.9798565408	3106624068.62688	PCa14121
0.999	3544.91603705481	4615223368.74572	PCa14121
0.5	4302.72645628452	474505395.598794	PCa19121
0.9	7744.90762131214	1418114125.19587	PCa19121
0.95	8175.18026694059	1824504285.02675	PCa19121
0.99	8519.39838344335	2768113014.62382	PCa19121
0.999	8596.84745965647	4118111904.05177	PCa19121
0.5	2502.07406414064	221688202.032522	PCa3023
0.9	4503.73331545316	603197168.390354	PCa3023
0.95	4753.94072186722	767504136.895483	PCa3023
0.99	4954.10664699847	1149013103.25332	PCa3023
0.999	4999.143980153	1694829038.11628	PCa3023
0.5	2913.10376516871	217346874.776769	PCa33173
0.9	5243.58677730368	590282793.909756	PCa33173
0.95	5534.89715382056	750897551.943888	PCa33173
0.99	5767.94545503405	1123833471.07688	PCa33173
0.999	5820.38132280709	1657384148.24399	PCa33173
0.5	2046.62742245396	735772871.468792	PCa40507
0.9	3683.92936041712	2269177633.75633	PCa40507
0.95	3888.59210266252	2929579118.91167	PCa40507
0.99	4052.32229645884	4462983881.1992	PCa40507
0.999	4089.16159006301	6656790128.64208	PCa40507
0.5	4034.6782006796	1245409250.98066	PCa51852
0.9	7262.42076122328	3921891549.12242	PCa51852
0.95	7665.88858129124	5074589733.03048	PCa51852
0.99	7988.6628373456	7751072031.17225	PCa51852
0.999	8061.28704495784	11580252513.2221	PCa51852
0.5	2386.41470631517	822272758.616289	PCa53687
0.9	4295.54647136731	2557183272.96318	PCa53687
0.95	4534.18794199882	3304368561.84744	PCa53687
0.99	4725.10111850404	5039279076.19433	PCa53687
0.999	4768.05658321771	7521374879.42548	PCa53687
0.5	1817.01803061231	200828186.823898	PCa56413
0.9	3270.63245510216	529834273.601987	PCa56413
0.95	3452.33425816339	671529482.64077	PCa56413
0.99	3597.69570061238	1000535569.41886	PCa56413
0.999	3630.4020251634	1471236865.23573	PCa56413
0.5	2821.44616157457	419898209.22789	PCa57294
0.9	5078.60309083422	1223375682.04482	PCa57294
0.95	5360.74770699168	1569414594.52713	PCa57294
0.99	5586.46339991764	2372892067.34406	PCa57294
0.999	5637.24943082599	3522408452.6433	PCa57294
0.5	3281.87862297356	295603077.249735	PCa58215
0.9	5907.38152135242	838687658.198424	PCa58215
0.95	6235.56938364977	1072581456.26414	PCa58215
0.99	6498.11967348766	1615666037.21282	PCa58215
0.999	6557.19348870118	2392644416.22723	PCa58215
0.5	4786.21128592228	432064567.046172	Benign-Prostate-1648133
0.9	8615.1803146601	1320726383.87171	Benign-Prostate-1648133
0.95	9093.80144325233	1703452196.43338	Benign-Prostate-1648133
0.99	9476.69834612611	2592114013.25893	Benign-Prostate-1648133
0.999	9562.85014927271	3863501642.64614	Benign-Prostate-1648133
0.5	3823.07143479327	309405167.813143	Benign-Prostate-1595983
0.9	6881.52858262789	920904932.294609	Benign-Prostate-1595983
0.95	7263.83572610722	1184263546.12418	Benign-Prostate-1595983
0.99	7569.68144089068	1795763310.60564	Benign-Prostate-1595983
0.999	7638.49672671696	2670621688.91668	Benign-Prostate-1595983
0.5	6591.12292263157	593475380.55038	Benign-Prostate-3320942
0.9	11864.0212607368	1857197614.56643	Benign-Prostate-3320942
0.95	12523.133553	2401453156.67328	Benign-Prostate-3320942
0.99	13050.4233868105	3665175390.68933	Benign-Prostate-3320942
0.999	13169.0635994179	5473153166.81224	Benign-Prostate-3320942
0.5	50099.9323870412	3242010854.64741	Benign-Prostate-3330581
0.9	90179.8782966742	10641124498.4287	Benign-Prostate-3330581
0.95	95189.8715353783	13827749295.3263	Benign-Prostate-3330581
0.99	99197.8661263416	21226862939.1076	Benign-Prostate-3330581
0.999	100099.664909308	31812601379.7866	Benign-Prostate-3330581
