chr	start_TSS	end_TSS	name	score	strand	Ensembl_ID	start_TAD	end_TAD	w_TAD	order_lower_TAD	order_upper_TAD	Fraction
chr1	65418	65419	OR4F5	.	+	ENSG00000186092.6	0	880000	3	28	28	0.0743386363636364
chr1	451696	451697	OR4F29	.	-	ENSG00000284733.1	0	880000	3	28	28	0.486707954545455
chr1	686672	686673	OR4F16	.	-	ENSG00000284662.1	0	880000	3	28	28	0.219689772727273
chr1	923927	923928	SAMD11	.	+	ENSG00000187634.12	880000	1040000	3	28	28	0.27454375
chr1	959308	959309	NOC2L	.	-	ENSG00000188976.11	880000	1040000	3	28	28	0.49568125
chr1	960583	960584	KLHL17	.	+	ENSG00000187961.14	880000	1040000	3	28	28	0.49635625
chr1	966481	966482	PLEKHN1	.	+	ENSG00000187583.11	880000	1040000	3	28	28	0.45949375
chr1	982092	982093	PERM1	.	-	ENSG00000187642.9	880000	1040000	3	28	28	0.36191875
chr1	1000171	1000172	HES4	.	-	ENSG00000188290.10	880000	1040000	3	28	28	0.248925
chr1	1001137	1001138	ISG15	.	+	ENSG00000187608.10	880000	1040000	3	28	28	0.24289375
chr1	1020119	1020120	AGRN	.	+	ENSG00000188157.15	880000	1040000	3	28	28	0.12425625
chr1	1074305	1074306	RNF223	.	-	ENSG00000237330.3	1040000	1080000	3	28	28	0.14235
chr1	1116360	1116361	C1orf159	.	-	ENSG00000131591.17	1080000	1480000	3	28	28	0.0909025
chr1	1173879	1173880	TTLL10	.	+	ENSG00000162571.14	1080000	1480000	3	28	28	0.2346975
chr1	1206591	1206592	TNFRSF18	.	-	ENSG00000186891.14	1080000	1480000	3	28	28	0.31648
chr1	1214152	1214153	TNFRSF4	.	-	ENSG00000186827.11	1080000	1480000	3	28	28	0.3353825
chr1	1232066	1232067	SDF4	.	-	ENSG00000078808.17	1080000	1480000	3	28	28	0.3801675
chr1	1232236	1232237	B3GALT6	.	+	ENSG00000176022.7	1080000	1480000	3	28	28	0.38059
chr1	1246721	1246722	C1QTNF12	.	-	ENSG00000184163.3	1080000	1480000	3	28	28	0.416805
chr1	1273884	1273885	UBE2J2	.	-	ENSG00000160087.20	1080000	1480000	3	28	28	0.4847125
chr1	1280435	1280436	SCNN1D	.	+	ENSG00000162572.21	1080000	1480000	3	28	28	0.4989125
chr1	1308596	1308597	PUSL1	.	+	ENSG00000169972.12	1080000	1480000	3	28	28	0.42851
chr1	1309608	1309609	ACAP3	.	-	ENSG00000131584.19	1080000	1480000	3	28	28	0.4259775
chr1	1324690	1324691	INTS11	.	-	ENSG00000127054.20	1080000	1480000	3	28	28	0.3882725
chr1	1324755	1324756	CPTP	.	+	ENSG00000224051.7	1080000	1480000	3	28	28	0.3881125
chr1	1331279	1331280	TAS1R3	.	+	ENSG00000169962.5	1080000	1480000	3	28	28	0.3718025
chr1	1349417	1349418	DVL1	.	-	ENSG00000107404.20	1080000	1480000	3	28	28	0.326455
chr1	1361776	1361777	MXRA8	.	-	ENSG00000162576.16	1080000	1480000	3	28	28	0.2955575
chr1	1375494	1375495	AURKAIP1	.	-	ENSG00000175756.13	1080000	1480000	3	28	28	0.2612625
chr1	1399334	1399335	CCNL2	.	-	ENSG00000221978.12	1080000	1480000	3	28	28	0.2016625
chr1	1407292	1407293	MRPL20	.	-	ENSG00000242485.6	1080000	1480000	3	28	28	0.1817675
chr1	1421768	1421769	ANKRD65	.	-	ENSG00000235098.8	1080000	1480000	3	28	28	0.1455775
chr1	1426127	1426128	TMEM88B	.	+	ENSG00000205116.3	1080000	1480000	3	28	28	0.1346825
chr1	1434860	1434861	VWA1	.	+	ENSG00000179403.12	1080000	1480000	3	28	28	0.11285
chr1	1449688	1449689	ATAD3C	.	+	ENSG00000215915.10	1080000	1480000	3	28	28	0.07578
chr1	1471764	1471765	ATAD3B	.	+	ENSG00000160072.20	1080000	1480000	3	28	28	0.02059
chr1	1512161	1512162	ATAD3A	.	+	ENSG00000197785.14	1480000	1760000	3	28	28	0.114860714285714
chr1	1540623	1540624	TMEM240	.	-	ENSG00000205090.9	1480000	1760000	3	28	28	0.216514285714286
chr1	1574862	1574863	SSU72	.	-	ENSG00000160075.12	1480000	1760000	3	28	28	0.338796428571429
chr1	1600134	1600135	FNDC10	.	-	ENSG00000228594.4	1480000	1760000	3	28	28	0.429053571428571
chr1	1615414	1615415	MIB2	.	+	ENSG00000197530.12	1480000	1760000	3	28	28	0.483621428571429
chr1	1632162	1632163	MMP23B	.	+	ENSG00000189409.14	1480000	1760000	3	28	28	0.456564285714286
chr1	1659011	1659012	CDK11B	.	-	ENSG00000248333.8	1480000	1760000	3	28	28	0.360671428571429
chr1	1692794	1692795	SLC35E2B	.	-	ENSG00000189339.12	1480000	1760000	3	28	28	0.240017857142857
chr1	1724356	1724357	CDK11A	.	-	ENSG00000008128.23	1480000	1760000	3	28	28	0.127296428571429
chr1	1745998	1745999	SLC35E2A	.	-	ENSG00000215790.7	1480000	1760000	3	28	28	0.0500035714285714
chr1	1780456	1780457	NADK	.	-	ENSG00000008130.15	1760000	1920000	3	28	1	0.12785625
chr1	1891116	1891117	GNB1	.	-	ENSG00000078369.18	1760000	1920000	3	28	1	0.18051875
chr1	1915107	1915108	CALML6	.	+	ENSG00000169885.10	1760000	1920000	3	28	1	0.03058125
chr1	1919278	1919279	TMEM52	.	-	ENSG00000178821.13	1760000	1920000	3	28	1	0.00450624999999999
chr1	2003836	2003837	CFAP74	.	-	ENSG00000142609.18	1760000	2080000	7	28	1	0.238009375
chr1	2019328	2019329	GABRD	.	+	ENSG00000187730.9	1760000	2080000	7	28	1	0.1896
chr1	2050410	2050411	PRKCZ	.	+	ENSG00000067606.17	1760000	2080000	7	28	1	0.09246875
chr1	2212719	2212720	FAAP20	.	-	ENSG00000162585.17	2160000	2400000	4	3	3	0.219666666666667
chr1	2228318	2228319	SKI	.	+	ENSG00000157933.10	2160000	2400000	4	3	3	0.284658333333333
chr1	2391706	2391707	MORN1	.	-	ENSG00000116151.14	2160000	2400000	4	3	3	0.0345541666666667
chr1	2391774	2391775	RER1	.	+	ENSG00000157916.20	2160000	2400000	4	3	3	0.034275
chr1	2413796	2413797	PEX10	.	-	ENSG00000157911.10	2400000	2640000	3	3	28	0.0574875
chr1	2425979	2425980	PLCH2	.	+	ENSG00000149527.18	2400000	2640000	3	3	28	0.108245833333333
chr1	2526610	2526611	PANK4	.	-	ENSG00000157881.15	2400000	2640000	3	3	28	0.472454166666667
chr1	2530262	2530263	HES5	.	-	ENSG00000197921.6	2400000	2640000	3	3	28	0.4572375
chr1	2555638	2555639	TNFRSF14	.	+	ENSG00000157873.17	2400000	2640000	3	3	28	0.351508333333333
chr1	2586490	2586491	PRXL2B	.	+	ENSG00000157870.16	2400000	2640000	3	3	28	0.222958333333333
chr1	2633015	2633016	MMEL1	.	-	ENSG00000142606.16	2400000	2640000	3	3	28	0.0291
chr1	2801716	2801717	TTC34	.	-	ENSG00000215912.12	2760000	3040000	4	28	2	0.148989285714286
chr1	3021466	3021467	ACTRT2	.	+	ENSG00000169717.7	2760000	3040000	4	28	2	0.0661928571428572
chr1	3069167	3069168	PRDM16	.	+	ENSG00000142611.17	2760000	3080000	3	28	1	0.033853125
chr1	3454664	3454665	ARHGEF16	.	+	ENSG00000130762.15	3440000	3920000	3	11	15	0.03055
chr1	3611507	3611508	MEGF6	.	-	ENSG00000162591.16	3440000	3920000	3	11	15	0.357308333333333
chr1	3625014	3625015	TPRG1L	.	+	ENSG00000158109.15	3440000	3920000	3	11	15	0.385445833333333
chr1	3652515	3652516	TP73	.	+	ENSG00000078900.15	3440000	3920000	3	11	15	0.442739583333333
chr1	3652760	3652761	WRAP73	.	-	ENSG00000116213.16	3440000	3920000	3	11	15	0.443252083333333
chr1	3746459	3746460	CCDC27	.	+	ENSG00000162592.10	2760000	3880000	17	28	10	0.119233035714286
chr1	3772760	3772761	SMIM1	.	+	ENSG00000235169.8	2760000	3880000	17	28	10	0.09575
chr1	3796497	3796498	LRRC47	.	-	ENSG00000130764.10	2760000	3880000	17	28	10	0.0745553571428572
chr1	3857213	3857214	CEP104	.	-	ENSG00000116198.13	2760000	3880000	17	28	10	0.0203446428571429
chr1	3857266	3857267	DFFB	.	+	ENSG00000169598.15	2760000	3880000	17	28	10	0.0202982142857143
chr1	3900292	3900293	C1orf174	.	-	ENSG00000198912.11	3440000	3920000	3	11	15	0.04105625
chr1	4654608	4654609	AJAP1	.	+	ENSG00000196581.11	4640000	4840000	3	3	1	0.07304
chr1	5990926	5990927	KCNAB2	.	+	ENSG00000069424.15	5760000	6000000	3	1	28	0.0378083333333333
chr1	5992472	5992473	NPHP4	.	-	ENSG00000131697.18	5760000	6000000	3	1	28	0.0313625
chr1	6180320	6180321	CHD5	.	-	ENSG00000116254.18	6000000	6240000	3	28	5	0.2486625
chr1	6197756	6197757	AL031847.2	.	-	ENSG00000285629.1	6000000	6240000	3	28	5	0.1760125
chr1	6205474	6205475	RNF207	.	+	ENSG00000158286.13	6000000	6240000	3	28	5	0.143858333333333
chr1	6209388	6209389	RPL22	.	-	ENSG00000116251.11	6000000	6240000	3	28	5	0.127545833333333
chr1	6235971	6235972	ICMT	.	-	ENSG00000116237.16	6000000	6240000	3	28	5	0.0167833333333333
chr1	6244178	6244179	HES3	.	+	ENSG00000173673.8	6240000	6480000	3	5	18	0.0174083333333334
chr1	6261097	6261098	GPR153	.	-	ENSG00000158292.7	6240000	6480000	3	5	18	0.0879083333333333
chr1	6394390	6394391	ACOT7	.	-	ENSG00000097021.19	6000000	6440000	19	28	8	0.103656818181818
chr1	6424669	6424670	HES2	.	-	ENSG00000069812.11	6000000	6440000	19	28	8	0.0348409090909091
chr1	6424775	6424776	ESPN	.	+	ENSG00000187017.17	6000000	6440000	19	28	8	0.0346022727272727
chr1	6466194	6466195	TNFRSF25	.	-	ENSG00000215788.10	6240000	6480000	3	5	18	0.0575208333333334
chr1	6520060	6520061	PLEKHG5	.	-	ENSG00000171680.22	6480000	6640000	18	18	10	0.25038125
chr1	6554512	6554513	NOL9	.	-	ENSG00000162408.11	6480000	6640000	18	18	10	0.46570625
chr1	6555306	6555307	TAS1R1	.	+	ENSG00000173662.21	6480000	6640000	18	18	10	0.4706625
chr1	6579993	6579994	ZBTB48	.	+	ENSG00000204859.13	6480000	6640000	18	18	10	0.37504375
chr1	6613730	6613731	PHF13	.	+	ENSG00000116273.6	6480000	6640000	18	18	10	0.1641875
chr1	6614606	6614607	KLHL21	.	-	ENSG00000162413.16	6480000	6640000	18	18	10	0.15870625
chr1	6624865	6624866	THAP3	.	+	ENSG00000041988.15	6480000	6640000	18	18	10	0.09459375
chr1	6701923	6701924	DNAJC11	.	-	ENSG00000007923.16	6480000	6720000	3	18	3	0.0753166666666667
chr1	6785453	6785454	CAMTA1	.	+	ENSG00000171735.19	6720000	7240000	4	3	2	0.125871153846154
chr1	7771295	7771296	VAMP3	.	+	ENSG00000049245.13	7640000	7800000	3	7	6	0.17940625
chr1	7784319	7784320	PER3	.	+	ENSG00000049246.14	7640000	7800000	3	7	6	0.09800625
chr1	7853511	7853512	UTS2	.	-	ENSG00000049247.13	7800000	7960000	3	6	28	0.33445
chr1	7943164	7943165	TNFRSF9	.	-	ENSG00000049249.8	7800000	7960000	3	6	28	0.10521875
chr1	7954290	7954291	PARK7	.	+	ENSG00000116288.13	7800000	7960000	3	6	28	0.0356875
chr1	8026308	8026309	ERRFI1	.	-	ENSG00000116285.13	7960000	8320000	3	28	1	0.184191666666667
chr1	8317825	8317826	SLC45A1	.	+	ENSG00000162426.14	7960000	8320000	3	28	1	0.00604166666666667
chr1	8848920	8848921	RERE	.	-	ENSG00000142599.19	8560000	8880000	14	1	28	0.097121875
chr1	8879189	8879190	ENO1	.	-	ENSG00000074800.16	8560000	8880000	14	1	28	0.00253124999999999
chr1	8945866	8945867	CA6	.	+	ENSG00000131686.15	8880000	9080000	3	28	13	0.32933
chr1	9026344	9026345	SLC2A7	.	-	ENSG00000197241.3	8880000	9080000	3	28	13	0.268275
chr1	9088477	9088478	SLC2A5	.	-	ENSG00000142583.18	9080000	9240000	3	13	17	0.0529875
chr1	9129101	9129102	GPR157	.	-	ENSG00000180758.12	9120000	9240000	4	12	17	0.07585
chr1	9234774	9234775	H6PD	.	+	ENSG00000049239.12	9120000	9240000	4	12	17	0.04355
chr1	9292893	9292894	SPSB1	.	+	ENSG00000171621.14	9240000	9480000	3	17	2	0.2203875
chr1	9539464	9539465	SLC25A33	.	+	ENSG00000171612.7	9480000	9600000	3	2	28	0.495533333333333
chr1	9588910	9588911	TMEM201	.	+	ENSG00000188807.13	9480000	9600000	3	2	28	0.0924166666666667
chr1	9651730	9651731	PIK3CD	.	+	ENSG00000171608.16	9600000	9880000	6	28	19	0.18475
chr1	9823983	9823984	CLSTN1	.	-	ENSG00000171603.18	9600000	9880000	6	28	19	0.200057142857143
chr1	9910335	9910336	CTNNBIP1	.	-	ENSG00000178585.15	9600000	9920000	3	28	2	0.0302
chr1	9943406	9943407	LZIC	.	-	ENSG00000162441.12	9920000	10160000	3	2	3	0.0975291666666667
chr1	9943427	9943428	NMNAT1	.	+	ENSG00000173614.14	9920000	10160000	3	2	3	0.0976125
chr1	9997205	9997206	RBP7	.	+	ENSG00000162444.12	9920000	10160000	3	2	3	0.3216875
chr1	10032831	10032832	UBE4B	.	+	ENSG00000130939.20	9920000	10160000	3	2	3	0.470129166666667
chr1	10210804	10210805	KIF1B	.	+	ENSG00000054523.17	10200000	10440000	17	2	18	0.0450166666666667
chr1	10398591	10398592	PGD	.	+	ENSG00000142657.21	10360000	10480000	3	1	10	0.321591666666667
chr1	10430101	10430102	CENPS-CORT	.	+	ENSG00000251503.8	10200000	10440000	17	2	18	0.0412458333333333
chr1	10430432	10430433	CENPS	.	+	ENSG00000175279.22	10200000	10440000	17	2	18	0.0398666666666667
chr1	10449718	10449719	CORT	.	+	ENSG00000241563.3	10440000	11000000	11	18	28	0.0173535714285714
chr1	10472287	10472288	PEX14	.	+	ENSG00000142655.13	10360000	10480000	3	1	10	0.064275
chr1	10472528	10472529	DFFA	.	-	ENSG00000160049.12	10360000	10480000	3	1	10	0.0622583333333334
chr1	10796649	10796650	CASZ1	.	-	ENSG00000130940.15	10480000	11000000	3	10	28	0.391057692307692
chr1	10982036	10982037	C1orf127	.	-	ENSG00000175262.14	10480000	11000000	3	10	28	0.0345442307692307
chr1	11012343	11012344	TARDBP	.	+	ENSG00000120948.17	11000000	11240000	8	28	17	0.0514291666666667
