SampleID	breakpoint_ID	N
PCa13266	0	3
PCa13266	1	24
PCa13266	2	1
PCa13266	3	1
PCa13266	4	0
PCa13266	5	7
PCa13848	6	3
PCa13848	7	1
PCa13848	8	66
PCa13848	9	25
PCa13848	10	40
PCa13848	11	51
PCa13848	12	50
PCa13848	13	46
PCa13848	14	3
PCa13848	15	16
PCa13848	16	85
PCa13848	17	7
PCa13848	18	118
PCa13848	19	9
PCa13848	20	85
PCa13848	21	14
PCa13848	22	12
PCa13848	23	15
PCa13848	24	43
PCa13848	25	43
PCa13848	26	31
PCa13848	27	88
PCa13848	28	49
PCa13848	29	40
PCa13848	30	23
PCa13848	31	27
PCa13848	32	16
PCa13848	33	35
PCa13848	34	21
PCa13848	35	8
PCa13848	36	24
PCa13848	37	5
PCa13848	38	0
PCa13848	39	5
PCa13848	40	9
PCa13848	41	77
PCa13848	42	37
PCa13848	43	130
PCa13848	44	17
PCa13848	45	121
PCa13848	46	33
PCa14121	47	0
PCa14121	48	13
PCa14121	49	3
PCa14121	50	0
PCa14121	51	2
PCa14121	52	0
PCa14121	53	15
PCa14121	54	3
PCa14121	55	1
PCa14121	56	0
PCa14121	57	6
PCa14121	58	0
PCa19121	59	6
PCa19121	60	0
PCa19121	61	9
PCa19121	62	2
PCa19121	63	22
PCa19121	64	37
PCa19121	65	0
PCa19121	66	0
PCa19121	67	12
PCa19121	68	4
PCa19121	69	31
PCa19121	70	0
PCa19121	71	31
PCa19121	72	3
PCa19121	73	40
PCa19121	74	14
PCa19121	75	8
PCa19121	76	61
PCa3023	77	5
PCa3023	78	0
PCa3023	79	1
PCa3023	80	3
PCa3023	81	11
PCa3023	82	0
PCa3023	83	4
PCa3023	84	2
PCa3023	85	1
PCa3023	86	4
PCa3023	87	0
PCa3023	88	1
PCa3023	89	0
PCa3023	90	0
PCa3023	91	12
PCa3023	92	98
PCa3023	93	1
PCa3023	94	20
PCa3023	95	4
PCa3023	96	12
PCa3023	97	9
PCa3023	98	3
PCa3023	99	36
PCa3023	100	25
PCa3023	101	2
PCa3023	102	5
PCa3023	103	19
PCa3023	104	8
PCa3023	105	61
PCa3023	106	7
PCa3023	107	6
PCa3023	108	0
PCa3023	109	40
PCa3023	110	9
PCa3023	111	46
PCa3023	112	24
PCa3023	113	21
PCa3023	114	69
PCa3023	115	6
PCa33173	116	60
PCa33173	117	50
PCa33173	118	70
PCa40507	119	49
PCa40507	120	23
PCa40507	121	5
PCa40507	122	22
PCa40507	123	35
PCa40507	124	47
PCa40507	125	26
PCa40507	126	0
PCa40507	127	87
PCa40507	128	3
PCa40507	129	3
PCa40507	130	1
PCa40507	131	10
PCa40507	132	6
PCa40507	133	67
PCa40507	134	18
PCa40507	135	34
PCa40507	136	23
PCa40507	137	3
PCa40507	138	3
PCa40507	139	34
PCa40507	140	46
PCa40507	141	7
PCa40507	142	0
PCa40507	143	20
PCa40507	144	60
PCa40507	145	6
PCa40507	146	3
PCa40507	147	32
PCa40507	148	30
PCa40507	149	18
PCa40507	150	5
PCa40507	151	11
PCa40507	152	34
PCa40507	153	41
PCa40507	154	1
PCa40507	155	4
PCa40507	156	8
PCa40507	157	61
PCa40507	158	48
PCa40507	159	47
PCa40507	160	13
PCa40507	161	23
PCa40507	162	138
PCa40507	163	46
PCa40507	164	73
PCa40507	165	64
PCa40507	166	21
PCa40507	167	182
PCa51852	168	23
PCa51852	169	1
PCa51852	170	32
PCa51852	171	7
PCa51852	172	38
PCa51852	173	27
PCa51852	174	8
PCa51852	175	61
PCa51852	176	27
PCa51852	177	24
PCa51852	178	34
PCa51852	179	104
PCa53687	180	1
PCa53687	181	3
PCa53687	182	14
PCa53687	183	7
PCa53687	184	7
PCa53687	185	1
PCa53687	186	0
PCa53687	187	7
PCa53687	188	1
PCa53687	189	6
PCa53687	190	24
PCa53687	191	16
PCa53687	192	23
PCa53687	193	45
PCa53687	194	132
PCa53687	195	94
PCa53687	196	38
PCa53687	197	22
PCa53687	198	4
PCa53687	199	15
PCa53687	200	17
PCa53687	201	28
PCa56413	202	70
PCa56413	203	74
PCa56413	204	53
PCa56413	205	0
PCa56413	206	3
PCa56413	207	46
PCa56413	208	11
PCa56413	209	0
PCa56413	210	2
PCa56413	211	52
PCa56413	212	8
PCa56413	213	0
PCa56413	214	1
PCa56413	215	17
PCa56413	216	0
PCa56413	217	0
PCa56413	218	10
PCa56413	219	19
PCa56413	220	5
PCa56413	221	3
PCa56413	222	27
PCa56413	223	72
PCa56413	224	0
PCa56413	225	11
PCa56413	226	1
PCa56413	227	5
PCa56413	228	3
PCa56413	229	1
PCa56413	230	6
PCa56413	231	2
PCa56413	232	2
PCa56413	233	26
PCa56413	234	5
PCa56413	235	14
PCa56413	236	24
PCa56413	237	16
PCa56413	238	33
PCa56413	239	1
PCa56413	240	2
PCa56413	241	0
PCa56413	242	1
PCa56413	243	25
PCa56413	244	1
PCa56413	245	4
