chr	pos	w	Order
chr1	40000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1280000	3	1
chr1	1440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1920000	3	1
chr1	2280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2320000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3040000	3|4|5	3
chr1	3560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3880000	4|5|6	3
chr1	4080000	3	1
chr1	4320000	4	1
chr1	4560000	6	1
chr1	4640000	3|4|5|6|7|8|9	7
chr1	4880000	5	1
chr1	5360000	8|10|11|12	4
chr1	5400000	9	1
chr1	5480000	6|7|8|11|12|13|14|15|16|17|18|20|25|27|29|30|31|32|33	19
chr1	5640000	18|19|20|21|22|23|26|28|29|30|33|34|35|36|37|38|39|40	18
chr1	5760000	3	1
chr1	6000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	6240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	6440000	27|28|31|32|33|34|35|36|37|38|40	11
chr1	6520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	6640000	8|10|11|12|13|14	6
chr1	6680000	3|4|5|6|7|9	6
chr1	7240000	3|4|5|6|7|8|9|10|11|12	10
chr1	7640000	3|4|5|6|7|8|9|10|11|12	10
chr1	7680000	13|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	23
chr1	7760000	6|7|8|9|14	5
chr1	7800000	10|11|12|13|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	30
chr1	7960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8560000	3|4	2
chr1	8720000	3	1
chr1	8760000	23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	18
chr1	8840000	3|4|5|6|7|21|22|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr1	8880000	8|9|10|11|12|13|14|15|16|17|18|19|20	13
chr1	9000000	17	1
chr1	9040000	16	1
chr1	9080000	15	1
chr1	9120000	3|4|5|7|8|9|10|11|12|13|14|17	12
chr1	9240000	6|8|10|11	4
chr1	9280000	3|4|5	3
chr1	9480000	3|4	2
chr1	9600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	16
chr1	9640000	19|20	2
chr1	9720000	21|22|23|24|25|26|27|28|29|30|31|32|33|34	14
chr1	9880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31	29
chr1	10160000	3|4	2
chr1	10200000	5	1
chr1	10360000	3|4	2
chr1	10440000	37|38|39|40	4
chr1	10480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36	34
chr1	10640000	3|6|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|29|30	23
chr1	10680000	4	1
chr1	10960000	25|26|27	3
chr1	11000000	3|4|5|6|7|8|9|10|11|12|16|17|18|19|20|21|22|23|24	19
chr1	11040000	13|14|15	3
chr1	11240000	10|11|12|13|18|19|20|21	8
chr1	11280000	3|4|5|6|7|8|9|14|15|16|17	11
chr1	11360000	3|4|5|6|17|18|19	7
chr1	11640000	3|4|5|6|7|8	6
chr1	11760000	4|6	2
chr1	11800000	8|9|10|11|12|13|14|15|16|17|18|20|21|22|23	15
chr1	11920000	3|4|5|6|9|10|11|12|13|14|15|16|17|18|20|21	16
chr1	12080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	12200000	12|13	2
chr1	12240000	4|5|6|7|8|9|10|11	8
chr1	12280000	3	1
chr1	12640000	3	1
chr1	12800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	13360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	13640000	3|4|5|6	4
chr1	13800000	3	1
chr1	13960000	3|5|6	3
chr1	14000000	4|7|8|9|10|11|12|13|14|15	10
chr1	14560000	3|4	2
chr1	14600000	5|6	2
chr1	14880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	15000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	15160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	15200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	15360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	15520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	15720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	16200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	16400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	17360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	17520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	17880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	18120000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
