chr	pos	w	Order
chr1	40000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1080000	3	1
chr1	1320000	3|4|5|6	4
chr1	1640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1920000	3	1
chr1	2080000	4|5|6|7	4
chr1	2200000	3	1
chr1	2400000	3|4|5	3
chr1	2640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	3000000	3|4|5	3
chr1	3480000	3|4|5|6|7|8|9|10|11|12|13|14|16	13
chr1	3920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	26
chr1	4240000	4	1
chr1	4600000	3|4|5|6|7|8|9	7
chr1	4840000	3|4|5|6	4
chr1	5040000	3	1
chr1	5280000	3	1
chr1	5480000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	5760000	3|4	2
chr1	6000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	6200000	3|4|21|22|23|25|27|28|29|30	10
chr1	6360000	20	1
chr1	6480000	3|4|5|6|9|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|30	24
chr1	6640000	3|4|5|6|7|8|9|10|11|12|13	11
chr1	7240000	3|4|5	3
chr1	7640000	3|4|5|6|7|9|11	7
chr1	7800000	8	1
chr1	7960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	8360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	8880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	9080000	3|12|15|16|24|25|26	7
chr1	9240000	3|4|5|6|7|8|11|14|15|16|17|19|21|24|26|27	16
chr1	9480000	3	1
chr1	9600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	9880000	6|17|18|19|23	5
chr1	10160000	3|4	2
chr1	10480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	11000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	11240000	3|4|5|6|7|8|9|15|16|17|18|19|20|21|22|26|27|28|29|30	20
chr1	11640000	3|4|5|6	4
chr1	11800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|18|22|23|24	18
chr1	11920000	7|8|12|13|14|16|17|18|19	9
chr1	12000000	3|4|5|6|10|11|15	7
chr1	12240000	3|4|5|6|7|8|9|10	8
chr1	12640000	3	1
chr1	12800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	13360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	13640000	3|4|5|6	4
chr1	13800000	3	1
chr1	14000000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	15120000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	25
chr1	15320000	3|4|5|10|11|12|13|14|15|16|17|18|19|20|21|22|23|28	18
chr1	15520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23	21
chr1	15760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	16040000	3|4|5|6|7|8|9	7
chr1	16240000	3|4|5	3
chr1	16480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	16880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	17080000	3	1
chr1	17400000	3|4|5|6|7|8|9|10|11	9
chr1	17680000	3|4|5|6	4
chr1	17880000	3	1
chr1	18120000	3|4|5	3
chr1	18600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	18880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	19120000	3|4|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	23
chr1	19280000	3|4|5|6|7|8|9|14|17|27	10
chr1	19720000	3|4|5|6|7|8|9|10|11|12|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	27
chr1	19880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|19|21|22|23|24|25|26|27|28|29|30	25
chr1	20200000	3|4|5|6|7|21|22|23	8
chr1	20520000	3|4|5|6|8|9|10|11|12|13|14|15|21	13
chr1	20640000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	21200000	3|4	2
chr1	21400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	21440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	21680000	3|4|5	3
chr1	21960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	22000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	22440000	3|4|5|6|7	5
chr1	22640000	3|4|5|6|7	5
chr1	22960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23	21
chr1	23320000	3|4|10|11	4
chr1	23480000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|24|27	20
chr1	23560000	24	1
chr1	23680000	3|4|5|6|7|8|9|10	8
chr1	23760000	6|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	22
chr1	24040000	7|8|9|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	20
chr1	24160000	3|4|5|6|8|10|11	7
chr1	24400000	3|4|5|15|16|17	6
chr1	24640000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	24840000	3|4|5|6|7|8|9	7
chr1	25280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	25440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	25840000	3|4|5|6|7|8|9	7
chr1	26040000	3|4|5|6|7|8|10|11|12|13|14	11
chr1	26160000	3|6|7|12|13|15	6
chr1	26480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25	23
chr1	26680000	19	1
chr1	26800000	3	1
chr1	26920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	27280000	3|4|5|6|7|8|9|10|16|17|18|19|20|21|22|23|24|25|27|30	20
chr1	27400000	3|4|5|9|19|20|21|22|23|24|25|26|27|28|29|30	16
chr1	27680000	3|4|5|6|7|8|9|10|11|13|15|23|25	13
chr1	27840000	12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|29|30	18
chr1	28000000	3|13|14	3
chr1	28240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	28520000	14|15	2
chr1	28640000	3|4|5|6|7|8|9|10|11|12|16|17|18|19|20|21|23|24|25|26|27|28|29|30	24
chr1	28760000	17|18|19|20|21|22|23|24|25	9
chr1	28880000	3|4	2
chr1	29040000	3	1
chr1	29200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	30200000	3	1
chr1	30720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	30920000	3|4|5|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	26
chr1	31120000	3|4|5|6|7|8|9|10|26|30	10
chr1	31360000	4|19|21|23|28|29|30	7
chr1	31600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	25
chr1	31840000	3|4|14	3
chr1	32040000	3|4|5|6|7|12|13|14|17|18|19|23|24|26	14
chr1	32160000	3|8|9|10|11|12|13|14|15|16|20|21|22|23|24|25|26|27|28|29|30	21
chr1	32360000	3|4|5|6|7|8|9|10|11|13|14|15|16|17|18|19|20|21|22|24|25|27|28|29|30	25
chr1	32640000	3|4	2
chr1	32880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	33120000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	33480000	3|4|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	21
