chr	start	end	strand	gene_id	gene_name
chr1	1011497	1013497	-	ENSG00000224969.1	AL645608.1
chr1	1018620	1020620	+	ENSG00000188157.15	AGRN
chr1	1291890	1293890	-	ENSG00000131584.19	ACAP3
chr1	1295610	1297610	-	ENSG00000278073.1	MIR6726
chr1	2048703	2050703	-	ENSG00000226969.1	AL391845.1
chr1	2048911	2050911	+	ENSG00000067606.17	PRKCZ
chr1	2211023	2213023	+	ENSG00000234396.3	AL590822.1
chr1	2313540	2315540	+	ENSG00000287356.1	AL590822.3
chr1	2390275	2392275	+	ENSG00000157916.20	RER1
chr1	2424480	2426480	+	ENSG00000149527.18	PLCH2
chr1	2811350	2813350	-	ENSG00000233234.1	AL592464.2
chr1	2812556	2814556	+	ENSG00000287396.1	AL592464.3
chr1	2813932	2815932	-	ENSG00000231630.1	AL592464.1
chr1	3019967	3021967	+	ENSG00000169717.7	ACTRT2
chr1	3059115	3061115	-	ENSG00000177133.11	PRDM16-DT
chr1	3485746	3487746	+	ENSG00000272088.1	AL512413.1
chr1	3487451	3489451	-	ENSG00000162591.16	MEGF6
chr1	3622690	3624690	-	ENSG00000238260.1	AL513320.1
chr1	3623515	3625515	+	ENSG00000158109.15	TPRG1L
chr1	4653109	4655109	+	ENSG00000196581.11	AJAP1
chr1	5491478	5493478	+	ENSG00000260972.1	Z98259.1
chr1	6220693	6222693	-	ENSG00000116237.16	ICMT
chr1	6233192	6235192	+	ENSG00000225077.3	LINC00337
chr1	6242679	6244679	+	ENSG00000173673.8	HES3
chr1	6246853	6248853	-	ENSG00000158292.7	GPR153
chr1	6423276	6425276	+	ENSG00000187017.17	ESPN
chr1	6429334	6431334	-	ENSG00000265392.1	MIR4252
chr1	6633668	6635668	-	ENSG00000007923.16	DNAJC11
chr1	6723137	6725137	+	ENSG00000228750.7	LINC01672
chr1	6783392	6785392	-	ENSG00000237436.1	CAMTA1-DT
chr1	6783954	6785954	+	ENSG00000171735.19	CAMTA1
chr1	7217860	7219860	+	ENSG00000207056.1	RNU1-8P
chr1	7982381	7984381	-	ENSG00000200344.1	AL034417.1
chr1	7989634	7991634	+	ENSG00000284747.1	AL034417.5
chr1	7997687	7999687	-	ENSG00000284716.1	AL034417.4
chr1	8003904	8005904	-	ENSG00000116285.13	ERRFI1
chr1	8316326	8318326	+	ENSG00000162426.14	SLC45A1
chr1	8326567	8328567	+	ENSG00000252254.1	AL356072.1
chr1	8351897	8353897	-	ENSG00000142599.19	RERE
chr1	8748930	8750930	+	ENSG00000234619.1	RPL7P11
chr1	8829507	8831507	+	ENSG00000229716.2	RPL23AP19
chr1	8877335	8879335	+	ENSG00000230679.1	ENO1-AS1
chr1	8944367	8946367	+	ENSG00000131686.15	CA6
chr1	9574927	9576927	+	ENSG00000231181.1	AL954705.1
chr1	9587411	9589411	+	ENSG00000188807.13	TMEM201
chr1	9941423	9943423	+	ENSG00000228150.1	AL357140.2
chr1	9941928	9943928	+	ENSG00000173614.14	NMNAT1
chr1	9945818	9947818	+	ENSG00000202415.1	RN7SKP269
chr1	9950072	9952072	-	ENSG00000283611.2	TMEM274P
chr1	9965881	9967881	+	ENSG00000265521.1	MIR5697
chr1	10470788	10472788	+	ENSG00000142655.13	PEX14
chr1	10945971	10947971	-	ENSG00000175262.14	C1orf127
chr1	11028159	11030159	+	ENSG00000271895.2	AL109811.2
chr1	11054084	11056084	-	ENSG00000116649.10	SRM
chr1	11224754	11226754	+	ENSG00000207451.1	RNU6-291P
chr1	11231463	11233463	+	ENSG00000238173.1	RPL39P6
chr1	11311234	11313234	-	ENSG00000284646.1	AL031291.1
chr1	11622058	11624058	+	ENSG00000284708.1	AL031731.1
chr1	11636518	11638518	-	ENSG00000116661.11	FBXO2
chr1	11652875	11654875	+	ENSG00000132879.14	FBXO44
chr1	11734584	11736584	+	ENSG00000177674.16	AGTRAP
chr1	11776577	11778577	-	ENSG00000177553.6	C1orf167-AS1
chr1	12220294	12222294	-	ENSG00000225196.2	RPL10P17
chr1	12220648	12222648	-	ENSG00000252969.1	AL031276.1
chr1	12228530	12230530	+	ENSG00000048707.15	VPS13D
chr1	12618400	12620400	-	ENSG00000272482.1	AC254633.1
chr1	12643047	12645047	+	ENSG00000204518.2	AADACL4
chr1	13656811	13658811	-	ENSG00000237445.2	AL359771.1
chr1	14123733	14125733	-	ENSG00000252151.1	RNU6-1265P
chr1	14773969	14775969	-	ENSG00000287756.1	AL031293.1
chr1	15326180	15328180	-	ENSG00000233485.1	FHAD1-AS1
chr1	15436942	15438942	+	ENSG00000162438.12	CTRC
chr1	15571199	15573199	-	ENSG00000116771.6	AGMAT
chr1	15585636	15587636	-	ENSG00000237301.1	AL121992.1
