chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale	Benign	Malignant	Consistent_in_benign_or_tumour
chr10	12190000	12210000	chr10	13050000	13100000	10001	10011	10001_10011	0.0671125704963535	3.67583473599051	3	0	TRUE
chr1	160340000	160350000	chr1	160600000	160620000	1002	1006	1002_1006	0.157000869188522	2.59920766833995	1	0	FALSE
chr10	16020000	16040000	chr10	16770000	16800000	10039	10043	10039_10043	0.137762695821489	2.59920766833995	1	0	FALSE
chr10	21480000	21540000	chr10	21980000	22020000	10077	10081	10077_10081	0.172367895727123	2.59920766833995	1	0	FALSE
chr10	21980000	22020000	chr10	22210000	22280000	10081	10085	10081_10085	0.121283151149978	3.2	2	0	FALSE
chr10	22360000	22370000	chr10	22970000	23000000	10087	10093	10087_10093	0.125076999109096	2.59920766833995	1	0	FALSE
chr10	24600000	24650000	chr10	25040000	25050000	10106	10108	10106_10108	0.186345961702237	5.57152360509519	1	0	FALSE
chr10	26330000	26340000	chr10	26550000	26570000	10114	10115	10114_10115	0.123145056674449	3.2	1	0	FALSE
chr10	30790000	30800000	chr10	31020000	31040000	10148	10150	10148_10150	0.139806944907704	3.2	2	0	FALSE
chr10	34080000	34130000	chr10	34620000	34650000	10175	10182	10175_10182	0.16311904507444	2.59920766833995	1	0	FALSE
chr1	161830000	161840000	chr1	162020000	162080000	1017	1019	1017_1019	0.199028817278168	2.59920766833995	1	0	FALSE
chr10	34810000	34820000	chr10	34950000	34980000	10184	10185	10184_10185	0.187169670177002	2.59920766833995	1	0	FALSE
chr1	161870000	161880000	chr1	162020000	162080000	1018	1019	1018_1019	0.101102427379606	3.2	2	0	FALSE
chr10	50440000	50450000	chr10	50610000	50630000	10283	10284	10283_10284	0.199111837915568	2.59920766833995	1	0	FALSE
chr10	51450000	51460000	chr10	51960000	52050000	10294	10306	10294_10306	0.130384149832023	3.67583473599051	1	0	FALSE
chr10	51720000	51740000	chr10	52170000	52210000	10301	10309	10301_10309	0.193305913328318	2.59920766833995	1	0	FALSE
chr1	163520000	163570000	chr1	164910000	164920000	1034	1047	1034_1047	0.0238912500291948	2.59920766833995	1	0	FALSE
chr10	58770000	58780000	chr10	59180000	59210000	10350	10354	10350_10354	0.123216369002545	2.59920766833995	1	0	FALSE
chr10	58790000	58800000	chr10	59230000	59260000	10351	10355	10351_10355	0.18619450468932	2.59920766833995	1	0	FALSE
chr10	59570000	59640000	chr10	59900000	59910000	10359	10362	10359_10362	0.139852286479339	2.59920766833995	1	0	FALSE
chr10	59570000	59640000	chr10	60060000	60070000	10359	10364	10359_10364	0.1883445179044	3.67583473599051	1	0	FALSE
chr10	62460000	62470000	chr10	63090000	63120000	10382	10386	10382_10386	0.169823355890368	3.2	1	0	FALSE
chr10	63160000	63210000	chr10	63650000	63660000	10387	10391	10387_10391	0.180261536228792	5.57152360509519	1	0	FALSE
chr10	63160000	63210000	chr10	63790000	63820000	10387	10394	10387_10394	0.095045904944136	4.52548339959391	4	0	TRUE
chr10	63240000	63270000	chr10	63450000	63470000	10388	10389	10388_10389	0.173157679211855	3.67583473599051	1	0	FALSE
chr10	63450000	63470000	chr10	63610000	63630000	10389	10390	10389_10390	0.134732015045997	2.59920766833995	1	0	FALSE
chr10	67860000	67890000	chr10	68050000	68060000	10395	10397	10395_10397	0.142523841882405	3.2	1	0	FALSE
chr10	70820000	70830000	chr10	71260000	71290000	10419	10422	10419_10422	0.179610753739462	2.59920766833995	1	0	FALSE
chr10	71340000	71350000	chr10	71790000	71830000	10424	10428	10424_10428	0.116624673293071	4.22242531447326	1	0	FALSE
chr1	164650000	164660000	chr1	165060000	165110000	1043	1049	1043_1049	0.139662615876532	3.2	1	0	FALSE
chr10	73510000	73530000	chr10	73630000	73640000	10444	10445	10444_10445	0.0202664247345497	3.2	1	0	FALSE
chr10	73510000	73530000	chr10	73730000	73740000	10444	10446	10444_10446	0.14822940799723	2.59920766833995	1	0	FALSE
