chr	start	end	strand	gene_id	gene_name
chr1	1001138	1014540	+	ENSG00000187608.10	ISG15
chr1	1008076	1008229	-	ENSG00000231702.2	AL645608.3
chr1	1011997	1013193	-	ENSG00000224969.1	AL645608.1
chr1	1020120	1056118	+	ENSG00000188157.15	AGRN
chr1	1081818	1116361	-	ENSG00000131591.17	C1orf159
chr1	1280436	1292029	+	ENSG00000162572.21	SCNN1D
chr1	1292390	1309609	-	ENSG00000131584.19	ACAP3
chr1	1296110	1296170	-	ENSG00000278073.1	MIR6726
chr1	1751232	1780457	-	ENSG00000008130.15	NADK
chr1	1785285	1891117	-	ENSG00000078369.18	GNB1
chr1	1891471	1892658	+	ENSG00000231050.1	AL109917.1
chr1	1921951	2003837	-	ENSG00000142609.18	CFAP74
chr1	2019329	2030758	+	ENSG00000187730.9	GABRD
chr1	2049203	2050070	-	ENSG00000226969.1	AL391845.1
chr1	2050411	2185395	+	ENSG00000067606.17	PRKCZ
chr1	2184461	2212720	-	ENSG00000162585.17	FAAP20
chr1	2212523	2220738	+	ENSG00000234396.3	AL590822.1
chr1	2228319	2310213	+	ENSG00000157933.10	SKI
chr1	2315040	2323085	+	ENSG00000287356.1	AL590822.3
chr1	2321253	2391707	-	ENSG00000116151.14	MORN1
chr1	2391775	2405442	+	ENSG00000157916.20	RER1
chr1	2403964	2413797	-	ENSG00000157911.10	PEX10
chr1	2425980	2505532	+	ENSG00000149527.18	PLCH2
chr1	2590639	2633016	-	ENSG00000142606.16	MMEL1
chr1	2811850	2812692	-	ENSG00000233234.1	AL592464.2
chr1	2814056	2817767	+	ENSG00000287396.1	AL592464.3
chr1	2814432	2814998	-	ENSG00000231630.1	AL592464.1
chr1	2960658	2968707	-	ENSG00000284745.1	AL589702.1
chr1	3021467	3022903	+	ENSG00000169717.7	ACTRT2
chr1	3059615	3068437	-	ENSG00000177133.11	PRDM16-DT
chr1	3069168	3438621	+	ENSG00000142611.17	PRDM16
chr1	3454665	3481113	+	ENSG00000130762.15	ARHGEF16
chr1	3487246	3487627	+	ENSG00000272088.1	AL512413.1
chr1	3487951	3611508	-	ENSG00000162591.16	MEGF6
chr1	3623190	3624743	-	ENSG00000238260.1	AL513320.1
chr1	3625015	3630127	+	ENSG00000158109.15	TPRG1L
chr1	3630767	3652761	-	ENSG00000116213.16	WRAP73
chr1	3900352	3917225	+	ENSG00000236423.6	LINC01134
chr1	4571481	4594016	+	ENSG00000232596.3	LINC01646
chr1	4654609	4792534	+	ENSG00000196581.11	AJAP1
chr1	5478736	5493057	-	ENSG00000284692.2	Z98259.3
chr1	5492978	5494674	+	ENSG00000260972.1	Z98259.1
chr1	5561709	5668295	-	ENSG00000236948.2	AL365255.1
chr1	5862811	5992473	-	ENSG00000131697.18	NPHP4
chr1	5990927	6101193	+	ENSG00000069424.15	KCNAB2
chr1	6205475	6221299	+	ENSG00000158286.13	RNF207
chr1	6221193	6235972	-	ENSG00000116237.16	ICMT
chr1	6234692	6239444	+	ENSG00000225077.3	LINC00337
chr1	6244179	6245578	+	ENSG00000173673.8	HES3
chr1	6247353	6261098	-	ENSG00000158292.7	GPR153
chr1	6264269	6394391	-	ENSG00000097021.19	ACOT7
chr1	6412418	6424670	-	ENSG00000069812.11	HES2
chr1	6424776	6461367	+	ENSG00000187017.17	ESPN
chr1	6429834	6429896	-	ENSG00000265392.1	MIR4252
chr1	6460786	6466195	-	ENSG00000215788.10	TNFRSF25
chr1	6466092	6520061	-	ENSG00000171680.22	PLEKHG5
chr1	6624866	6635586	+	ENSG00000041988.15	THAP3
chr1	6634168	6701924	-	ENSG00000007923.16	DNAJC11
chr1	6724637	6730012	+	ENSG00000228750.7	LINC01672
chr1	6767954	6770038	+	ENSG00000284744.1	AL591163.1
chr1	6783892	6784843	-	ENSG00000237436.1	CAMTA1-DT
chr1	6785454	7769706	+	ENSG00000171735.19	CAMTA1
chr1	7008376	7014279	-	ENSG00000237365.1	AL512330.1
chr1	7219360	7219524	+	ENSG00000207056.1	RNU1-8P
chr1	7954291	7985505	+	ENSG00000116288.13	PARK7
chr1	7982881	7982983	-	ENSG00000200344.1	AL034417.1
chr1	7991134	8005312	+	ENSG00000284747.1	AL034417.5
chr1	7998187	7999934	-	ENSG00000284716.1	AL034417.4
chr1	8004404	8026309	-	ENSG00000116285.13	ERRFI1
chr1	8026738	8122702	+	ENSG00000238290.1	AL034417.3
chr1	8201518	8215210	+	ENSG00000227634.3	LINC01714
chr1	8206434	8206597	-	ENSG00000200975.1	RNU1-7P
chr1	8218190	8220529	-	ENSG00000233645.1	AL358876.2
chr1	8317826	8344167	+	ENSG00000162426.14	SLC45A1
