chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr22	47631709	47632210	501	*	5.86	6.7	-0.54	7.24	5.15e-22	1.07e-17	5
chr22	47850884	47851385	501	*	5.41	6.17	2.56	3.61	5.85e-22	1.07e-17	6
chr22	48489986	48490487	501	*	6.46	7.1	4.74	2.36	5.23e-17	1.74e-13	32
chr15	101642348	101642849	501	*	5.5	6.18	3.49	2.69	4.02e-16	9.97e-13	44
chr13	23873183	23873684	501	*	4.31	0.59	5.42	-4.83	1.33e-15	3.03e-12	48
chr9	113594396	113594897	501	*	7.32	7.8	6.34	1.46	2.17e-15	4.74e-12	50
chr13	23876133	23876634	501	*	4.35	1.56	5.39	-3.84	7.98e-15	1.56e-11	56
chr1	159889520	159890021	501	*	6.36	6.9	5.15	1.75	1.97e-14	3.21e-11	67
chr3	9309166	9309667	501	*	5.46	6.12	3.59	2.52	3.63e-14	5.36e-11	74
chr3	196996447	196996948	501	*	5.65	6.33	3.69	2.63	5.23e-14	7.32e-11	78
chr17	4639164	4639665	501	*	5.79	6.45	3.9	2.55	6.57e-14	9.09e-11	79
chr19	19012472	19012973	501	*	4.67	5.39	2.27	3.12	9.06e-14	1.15e-10	86
chr13	23850543	23851044	501	*	4.54	2.12	5.56	-3.44	1.81e-13	2.11e-10	94
chr22	37291262	37291763	501	*	4.77	5.53	1.95	3.57	2.27e-13	2.52e-10	98
chr13	42115317	42115818	501	*	5.25	5.94	3.21	2.72	2.49e-13	2.69e-10	101
chr19	30214351	30214852	501	*	5.15	5.87	2.82	3.04	3.38e-13	3.45e-10	107
chr18	57583430	57583931	501	*	5.09	3.65	5.93	-2.28	3.88e-13	3.89e-10	109
chr22	37287353	37287854	501	*	5.01	5.7	2.94	2.76	4.56e-13	4.4e-10	113
chr13	23856155	23856656	501	*	4.45	2.02	5.46	-3.44	1.56e-12	1.32e-09	129
chr19	34119201	34119702	501	*	4.13	4.94	-0.25	5.19	1.81e-12	1.51e-09	131
chr1	41981180	41981681	501	*	4.64	5.38	1.88	3.5	1.87e-12	1.55e-09	132
chr13	110816024	110816525	501	*	6.02	6.55	4.85	1.7	1.93e-12	1.57e-09	134
chr11	19577171	19577672	501	*	6.19	6.71	5.04	1.67	2.66e-12	2.07e-09	140
chr9	89556064	89556565	501	*	5.28	5.99	2.99	2.99	3.93e-12	2.86e-09	150
chr12	121678859	121679360	501	*	4.95	5.6	3.16	2.44	5.82e-12	3.98e-09	160
chr13	23884556	23885057	501	*	4	-0.69	5.14	-5.82	8.28e-12	5.39e-09	168
chr22	19615035	19615536	501	*	5.29	5.94	3.49	2.45	8.74e-12	5.65e-09	169
chr6	1619662	1620163	501	*	5.26	5.88	3.69	2.19	1.09e-11	6.81e-09	175
chr6	1621194	1621695	501	*	4.56	5.22	2.68	2.54	1.84e-11	1.06e-08	191
chr15	89874170	89874671	501	*	4.7	3.01	5.59	-2.58	1.87e-11	1.06e-08	192
chr20	62784196	62784697	501	*	4.31	5.08	1.38	3.7	2.37e-11	1.32e-08	196
chr20	61873932	61874855	923	*	4.96	5.66	2.73	2.93	2.59e-11	1.42e-08	199
chr5	175444440	175444941	501	*	5.63	6.24	4.08	2.16	3.48e-11	1.82e-08	208
chr15	72726747	72727248	501	*	5.16	3.67	6.02	-2.34	3.68e-11	1.9e-08	211
chr12	109606526	109607027	501	*	5.17	3.61	6.04	-2.43	4.9e-11	2.34e-08	229
chr17	61568165	61568666	501	*	5.67	4.59	6.41	-1.81	5.89e-11	2.75e-08	234
chr13	23879409	23879910	501	*	3.86	0.56	4.94	-4.38	6.45e-11	2.97e-08	237
chr8	109639712	109640213	501	*	5.87	4.84	6.58	-1.74	7.18e-11	3.28e-08	239
chr14	77075643	77076144	501	*	6.8	7.24	5.97	1.27	8e-11	3.55e-08	246
chr13	23878126	23878627	501	*	3.87	0.42	4.97	-4.55	8.22e-11	3.62e-08	248
chr14	37245503	37246004	501	*	3.93	0.72	5.01	-4.28	8.78e-11	3.82e-08	251
chr4	173502512	173503013	501	*	3.95	4.76	-0.25	5.01	9.2e-11	3.93e-08	255
chr12	130059344	130059845	501	*	4.04	4.86	-0.54	5.4	9.96e-11	4.14e-08	263
chr21	44901155	44901656	501	*	4.87	5.59	2.56	3.03	1.37e-10	5.46e-08	275
chr22	19497057	19497558	501	*	5.28	5.95	3.34	2.6	1.41e-10	5.58e-08	277
chr12	93397466	93397967	501	*	4.7	3.4	5.49	-2.09	1.54e-10	6.06e-08	278
chr7	26527091	26527592	501	*	5.23	5.86	3.56	2.31	1.86e-10	7.08e-08	286
chr8	57540773	57541274	501	*	4.24	2.23	5.19	-2.96	1.93e-10	7.28e-08	289
chr4	6555748	6556249	501	*	5.05	5.7	3.28	2.42	2.16e-10	7.99e-08	295
chr12	130042395	130042896	501	*	4.17	4.89	1.84	3.05	2.87e-10	1.02e-07	307
chr2	200477553	200478054	501	*	4.86	5.47	3.3	2.17	2.97e-10	1.05e-07	308
chr22	25365855	25366356	501	*	4.62	5.29	2.7	2.59	2.98e-10	1.05e-07	309
chr12	93550699	93551200	501	*	5.55	4.43	6.29	-1.86	3.75e-10	1.26e-07	325
chr13	23839920	23840421	501	*	4.33	1.8	5.35	-3.55	3.8e-10	1.27e-07	326
chr3	62643248	62643749	501	*	4.66	5.3	2.89	2.41	4.14e-10	1.37e-07	329
chr14	104436121	104436622	501	*	5.77	6.32	4.48	1.85	4.53e-10	1.49e-07	332
chr13	23863022	23863523	501	*	5.33	3.93	6.16	-2.23	6.92e-10	2.15e-07	352
chr13	23859297	23859798	501	*	4.71	3.25	5.56	-2.31	7.85e-10	2.38e-07	360
chr2	15642215	15642716	501	*	4.41	5.09	2.36	2.73	9.12e-10	2.71e-07	368
chr1	150825987	150826958	971	*	5.05	3.91	5.8	-1.89	1.38e-09	3.84e-07	392
chr5	14699633	14700134	501	*	4.11	1.76	5.11	-3.35	2.24e-09	5.8e-07	422
chr3	62644372	62644873	501	*	4.83	5.45	3.19	2.26	2.3e-09	5.93e-07	423
chr4	173501205	173501706	501	*	4.31	5	2.18	2.83	2.43e-09	6.18e-07	430
chr12	93008773	93009274	501	*	5.27	3.71	6.14	-2.43	2.45e-09	6.21e-07	431
chr19	2591338	2591839	501	*	4.79	3.65	5.55	-1.9	2.65e-09	6.6e-07	439
chr6	138423971	138424940	969	*	5.31	5.92	3.77	2.15	2.95e-09	7.21e-07	446
chr18	61549714	61550215	501	*	5.72	6.21	4.67	1.54	3.05e-09	7.38e-07	451
chr1	8239787	8240288	501	*	5.71	6.2	4.71	1.5	3.1e-09	7.47e-07	453
chr5	14715164	14715665	501	*	5.36	4.23	6.1	-1.87	3.48e-09	8.3e-07	458
chr20	21583604	21584105	501	*	3.85	4.62	0.71	3.91	3.5e-09	8.33e-07	459
chr10	30534631	30535132	501	*	4.74	5.36	3.13	2.22	4.08e-09	9.52e-07	468
chr16	13766719	13767220	501	*	3.61	-0.69	4.73	-5.42	4.41e-09	1.02e-06	474
chr12	93537761	93538262	501	*	4.6	3.27	5.41	-2.14	4.49e-09	1.03e-06	476
chr8	1780475	1780976	501	*	5.24	3.71	6.1	-2.39	4.76e-09	1.08e-06	482
chr7	107864585	107865086	501	*	4.45	3.02	5.29	-2.28	5.02e-09	1.12e-06	488
chr19	38864565	38865066	501	*	5.63	6.17	4.47	1.7	5.15e-09	1.15e-06	489
chr16	11152511	11153012	501	*	5.16	5.79	3.5	2.29	5.75e-09	1.27e-06	491
chr12	93549142	93549643	501	*	5.14	4.05	5.88	-1.83	5.83e-09	1.29e-06	495
chr13	23886197	23886698	501	*	4.07	1.34	5.12	-3.77	5.9e-09	1.29e-06	498
chr18	57581294	57581795	501	*	5.06	4.06	5.76	-1.7	5.91e-09	1.29e-06	499
chr14	37431810	37432311	501	*	5.57	4.62	6.25	-1.63	7.09e-09	1.52e-06	510
chr7	26503678	26504179	501	*	4.23	4.95	1.82	3.14	7.53e-09	1.59e-06	517
chr12	124453427	124453928	501	*	6.57	7.1	5.43	1.66	8.81e-09	1.83e-06	526
chr16	69281812	69282313	501	*	4.76	3.69	5.48	-1.79	9.25e-09	1.91e-06	530
chr10	71692587	71693088	501	*	4.84	5.41	3.48	1.93	9.72e-09	1.98e-06	535
chr2	9338733	9339234	501	*	6.08	6.58	5.02	1.56	1.01e-08	2.05e-06	538
chr18	77676930	77677431	501	*	5.03	5.82	1.49	4.33	1.07e-08	2.16e-06	544
chr17	64538721	64539222	501	*	5.39	4.45	6.07	-1.62	1.13e-08	2.24e-06	550
chr10	30537353	30537854	501	*	5.24	5.78	4.03	1.75	1.19e-08	2.35e-06	554
chr22	45864514	45865015	501	*	5.02	5.56	3.83	1.73	1.22e-08	2.4e-06	555
chr13	23857221	23857722	501	*	3.65	0.63	4.72	-4.09	1.24e-08	2.42e-06	557
chr11	69297755	69298256	501	*	6.53	6.98	5.64	1.34	1.25e-08	2.44e-06	558
chr4	79833746	79834247	501	*	5.01	3.78	5.79	-2.01	1.25e-08	2.44e-06	559
chr1	211942055	211942556	501	*	5.15	5.81	3.33	2.48	1.57e-08	2.97e-06	578
