chr_x	start_x	end_x	chr_y	start_y	end_y	loopID	Benign	Malignant
chr10	12230000	12280000	chr10	12650000	12770000	10002_10006	6	12
chr10	12230000	12280000	chr10	13050000	13100000	10002_10011	3	7
chr10	12650000	12770000	chr10	13050000	13100000	10006_10011	4	8
chr10	13630000	13670000	chr10	13760000	13810000	10018_10019	5	7
chr10	13630000	13670000	chr10	14070000	14110000	10018_10023	1	3
chr10	13760000	13810000	chr10	14070000	14110000	10019_10023	4	7
chr10	13760000	13810000	chr10	14180000	14220000	10019_10024	1	3
chr10	13760000	13810000	chr10	14450000	14530000	10019_10025	2	5
chr10	14450000	14530000	chr10	14810000	14840000	10025_10028	5	10
chr10	14450000	14530000	chr10	14950000	14980000	10025_10029	1	3
chr10	15200000	15240000	chr10	15370000	15400000	10031_10032	3	5
chr10	15420000	15450000	chr10	15700000	15730000	10033_10036	5	11
chr10	15420000	15450000	chr10	15820000	15840000	10033_10037	2	8
chr10	15870000	15920000	chr10	16540000	16560000	10038_10041	3	2
chr10	15870000	15920000	chr10	16770000	16800000	10038_10043	5	11
chr10	16830000	16860000	chr10	17220000	17270000	10044_10047	5	12
chr10	16830000	16860000	chr10	17410000	17440000	10044_10050	4	3
chr10	17280000	17300000	chr10	17410000	17440000	10048_10050	2	9
chr1	160410000	160450000	chr1	160600000	160620000	1004_1006	2	6
chr10	17600000	17630000	chr10	17730000	17750000	10052_10053	5	7
chr10	17840000	17860000	chr10	18210000	18240000	10054_10058	1	5
chr10	17870000	17920000	chr10	18210000	18240000	10055_10058	4	8
chr10	19400000	19420000	chr10	19760000	19830000	10061_10063	3	8
chr10	19760000	19830000	chr10	20760000	20780000	10063_10072	4	2
chr10	20850000	20890000	chr10	21240000	21290000	10074_10076	4	5
chr10	21070000	21090000	chr10	21240000	21290000	10075_10076	5	9
chr10	21480000	21540000	chr10	21950000	21970000	10077_10080	3	5
chr1	160720000	160740000	chr1	160950000	160980000	1007_1010	1	4
chr10	21980000	22020000	chr10	22310000	22340000	10081_10086	5	5
chr10	21980000	22020000	chr10	22560000	22590000	10081_10091	3	1
chr10	21980000	22020000	chr10	22970000	23000000	10081_10093	5	8
chr10	21980000	22020000	chr10	23050000	23080000	10081_10095	3	7
chr10	22210000	22280000	chr10	22970000	23000000	10085_10093	5	2
chr10	22560000	22590000	chr10	22970000	23000000	10091_10093	3	4
chr10	23300000	23340000	chr10	23510000	23540000	10097_10099	5	7
chr10	23970000	24010000	chr10	24180000	24230000	10101_10102	5	8
chr10	23970000	24010000	chr10	24340000	24390000	10101_10104	4	5
chr10	23970000	24010000	chr10	24500000	24550000	10101_10105	5	8
chr10	24180000	24230000	chr10	24340000	24390000	10102_10104	2	4
chr10	24180000	24230000	chr10	24500000	24550000	10102_10105	5	4
chr10	24340000	24390000	chr10	24500000	24550000	10104_10105	5	2
chr10	24600000	24650000	chr10	24960000	25000000	10106_10107	3	5
chr10	24600000	24650000	chr10	25070000	25120000	10106_10109	4	10
chr10	25070000	25120000	chr10	25210000	25240000	10109_10110	2	3
chr10	25860000	25880000	chr10	26550000	26570000	10112_10115	3	1
chr10	26700000	26730000	chr10	26860000	26880000	10116_10117	5	10
chr10	27420000	27470000	chr10	27640000	27670000	10120_10122	2	3
chr10	27420000	27470000	chr10	28150000	28260000	10120_10124	1	3
chr10	27420000	27470000	chr10	28360000	28400000	10120_10126	2	3
chr10	27540000	27580000	chr10	28150000	28260000	10121_10124	2	5
chr10	27740000	27770000	chr10	28150000	28260000	10123_10124	4	5
