chr_x	start_x	end_x	chr_y	start_y	end_y	fdr	detection_scale
chr1	2210000	2220000	chr1	2390000	2400000	0.053148604816015195	2.111212657236631
chr1	2600000	2610000	chr1	3410000	3420000	0.12662623376455226	2.111212657236631
chr1	2810000	2820000	chr1	3410000	3420000	0.01477337659709077	2.111212657236631
chr1	3010000	3020000	chr1	3410000	3420000	0.053148604816015195	2.111212657236631
chr1	3480000	3490000	chr1	3610000	3620000	0.025987882091208343	2.599207668339954
chr1	4060000	4070000	chr1	5450000	5460000	0.17310348813765566	2.111212657236631
chr1	4650000	4660000	chr1	5510000	5520000	0.12573064956886432	2.111212657236631
chr1	4660000	4670000	chr1	4820000	4830000	0.1141485681694284	2.111212657236631
chr1	5500000	5510000	chr1	5630000	5640000	0.0828153995370325	2.599207668339954
chr1	5500000	5510000	chr1	5740000	5750000	0.028624924378284025	2.599207668339954
chr1	5630000	5640000	chr1	5740000	5750000	0.07210092788931075	2.111212657236631
chr1	6040000	6050000	chr1	6240000	6250000	0.15871403073269646	2.111212657236631
chr1	6710000	6720000	chr1	7210000	7220000	0.027033758719350872	2.111212657236631
chr1	6720000	6730000	chr1	7660000	7670000	0.12229349940226775	2.111212657236631
chr1	7670000	7680000	chr1	7750000	7760000	0.15143740886397541	2.111212657236631
chr1	7980000	7990000	chr1	8750000	8760000	0.07210092788931075	2.599207668339954
chr1	7990000	8000000	chr1	8320000	8330000	0.01477337659709077	2.599207668339954
chr1	8010000	8020000	chr1	8870000	8880000	0.19618076091383915	2.599207668339954
chr1	8360000	8370000	chr1	8850000	8860000	0.07210092788931075	2.111212657236631
chr1	8920000	8930000	chr1	9090000	9100000	0.08270701532174574	2.599207668339954
chr1	8940000	8950000	chr1	9600000	9610000	0.17310348813765566	2.111212657236631
chr1	9280000	9290000	chr1	9470000	9480000	0.027033758719350872	2.599207668339954
chr1	9940000	9950000	chr1	10470000	10480000	0.15871403073269646	2.111212657236631
chr1	10500000	10510000	chr1	10950000	10960000	0.09730091515948759	3.2
chr1	10510000	10520000	chr1	10780000	10790000	0.1936035486292421	2.111212657236631
chr1	10510000	10520000	chr1	10860000	10870000	0.027097169892834703	2.111212657236631
chr1	11240000	11250000	chr1	11630000	11640000	0.10567894194223508	2.111212657236631
chr1	11320000	11330000	chr1	11630000	11640000	0.053148604816015195	2.111212657236631
chr1	12120000	12130000	chr1	12200000	12210000	0.053148604816015195	2.111212657236631
chr1	12120000	12130000	chr1	12650000	12660000	0.10031836584110039	2.599207668339954
chr1	12290000	12300000	chr1	12640000	12650000	0.027033758719350872	3.2
chr1	12400000	12410000	chr1	12610000	12620000	0.13093183560786217	3.2
chr1	13650000	13660000	chr1	13950000	13960000	0.07210092788931075	2.599207668339954
chr1	13670000	13680000	chr1	13810000	13820000	0.09730091515948759	2.599207668339954
chr1	13970000	13980000	chr1	15040000	15050000	0.10567894194223508	2.111212657236631
chr1	14100000	14110000	chr1	15050000	15060000	0.11866807336376231	2.599207668339954
chr1	15130000	15140000	chr1	15290000	15300000	0.027033758719350872	2.599207668339954
chr1	15320000	15330000	chr1	15430000	15440000	0.15871403073269646	2.111212657236631
chr1	15790000	15800000	chr1	16000000	16010000	0.03398646586935422	3.6758347359905126
chr1	17120000	17130000	chr1	17240000	17250000	0.12229349940226775	2.111212657236631
chr1	17120000	17130000	chr1	17350000	17360000	0.1141485681694284	3.6758347359905126
chr1	17490000	17500000	chr1	17600000	17610000	0.03748323635651807	2.111212657236631
chr1	17660000	17670000	chr1	18090000	18100000	0.09730091515948759	2.599207668339954
chr1	17660000	17670000	chr1	18570000	18580000	0.01477337659709077	2.599207668339954
chr1	18230000	18240000	chr1	18570000	18580000	0.13093183560786217	2.111212657236631
chr1	18600000	18610000	chr1	18810000	18820000	0.0525825828972599	2.111212657236631
chr1	18900000	18910000	chr1	19090000	19100000	0.07210092788931075	2.599207668339954
chr1	19340000	19350000	chr1	19650000	19660000	0.05659918220149413	3.2
chr1	19950000	19960000	chr1	20150000	20160000	0.06931192353833428	4.222425314473262
chr1	20210000	20220000	chr1	20490000	20500000	0.06931192353833428	2.111212657236631
chr1	20520000	20530000	chr1	20630000	20640000	0.16294185835203184	2.599207668339954
chr1	20690000	20700000	chr1	21190000	21200000	0.042776059492350985	2.111212657236631
chr1	21240000	21250000	chr1	21360000	21370000	0.042776059492350985	2.111212657236631
chr1	21370000	21380000	chr1	21660000	21670000	0.1954650992809645	2.111212657236631
chr1	21840000	21850000	chr1	22920000	22930000	0.06931192353833428	2.111212657236631
chr1	21860000	21870000	chr1	22540000	22550000	0.13094023678218625	2.111212657236631
chr1	22110000	22120000	chr1	22400000	22410000	0.18426318668251618	2.111212657236631
chr1	22110000	22120000	chr1	22650000	22660000	0.06931192353833428	2.111212657236631
chr1	22120000	22130000	chr1	22270000	22280000	0.13503281090440614	2.599207668339954
chr1	22420000	22430000	chr1	22640000	22650000	0.042776059492350985	2.111212657236631
chr1	22550000	22560000	chr1	22920000	22930000	0.17636315640250536	3.6758347359905126
chr1	22690000	22700000	chr1	22890000	22900000	0.06260184273448594	3.2
chr1	23520000	23530000	chr1	23640000	23650000	0.13503281090440614	2.599207668339954
chr1	24190000	24200000	chr1	24380000	24390000	0.06260184273448594	3.2
chr1	24200000	24210000	chr1	24590000	24600000	0.0928171162141295	3.2
chr1	24680000	24690000	chr1	24830000	24840000	0.042776059492350985	2.111212657236631
chr1	24680000	24690000	chr1	25210000	25220000	0.06260184273448594	2.599207668339954
chr1	25520000	25530000	chr1	25790000	25800000	0.06260184273448594	3.2
chr1	25590000	25600000	chr1	25790000	25800000	0.09747043005736412	2.599207668339954
chr1	26610000	26620000	chr1	26790000	26800000	0.0757403323473277	2.111212657236631
chr1	27100000	27110000	chr1	27280000	27290000	0.18426318668251618	2.599207668339954
chr1	27300000	27310000	chr1	27390000	27400000	0.14744235712405143	2.111212657236631
chr1	27300000	27310000	chr1	27600000	27610000	0.15182261949425266	2.599207668339954
chr1	27370000	27380000	chr1	27600000	27610000	0.1688678214774971	4.525483399593905
chr1	28780000	28790000	chr1	29190000	29200000	0.1395799431560864	2.111212657236631
chr1	28880000	28890000	chr1	29030000	29040000	0.06931192353833428	2.111212657236631
chr1	28890000	28900000	chr1	29190000	29200000	0.06931192353833428	2.111212657236631
chr1	29220000	29230000	chr1	30780000	30790000	0.1200750453579605	2.111212657236631
chr1	29230000	29240000	chr1	30700000	30710000	0.042776059492350985	2.599207668339954
chr1	29240000	29250000	chr1	30380000	30390000	0.06931192353833428	2.111212657236631
chr1	30790000	30800000	chr1	30910000	30920000	0.042776059492350985	2.111212657236631
chr1	31180000	31190000	chr1	31550000	31560000	0.1405228478096614	2.599207668339954
chr1	31190000	31200000	chr1	31330000	31340000	0.0757403323473277	2.111212657236631
chr1	31800000	31810000	chr1	31960000	31970000	0.13503281090440614	2.111212657236631
chr1	32210000	32220000	chr1	32360000	32370000	0.1395799431560864	2.111212657236631
chr1	32930000	32940000	chr1	33050000	33060000	0.06260184273448594	2.111212657236631
chr1	33560000	33570000	chr1	34750000	34760000	0.13503281090440614	2.111212657236631
chr1	33620000	33630000	chr1	34730000	34740000	0.0757403323473277	3.2
chr1	33630000	33640000	chr1	34590000	34600000	0.042776059492350985	2.111212657236631
chr1	33640000	33650000	chr1	34110000	34120000	0.13503281090440614	2.111212657236631
chr1	33710000	33720000	chr1	34730000	34740000	0.18426318668251618	2.111212657236631
chr1	34100000	34110000	chr1	34600000	34610000	0.13503281090440614	2.599207668339954
chr1	35440000	35450000	chr1	35560000	35570000	0.06931192353833428	2.599207668339954
chr1	35570000	35580000	chr1	35710000	35720000	0.13503281090440614	2.111212657236631
chr1	36110000	36120000	chr1	36410000	36420000	0.06931192353833428	2.599207668339954
chr1	36560000	36570000	chr1	37430000	37440000	0.06260184273448594	2.111212657236631
chr1	36560000	36570000	chr1	37650000	37660000	0.18426318668251618	3.6758347359905126
chr1	37450000	37460000	chr1	37680000	37690000	0.06972168030254651	2.111212657236631
chr1	38020000	38030000	chr1	38580000	38590000	0.16152716649631457	2.111212657236631
chr1	38030000	38040000	chr1	38820000	38830000	0.013453801833498978	3.2
chr1	40140000	40150000	chr1	40400000	40410000	0.18395132522887048	2.111212657236631
chr1	40150000	40160000	chr1	40310000	40320000	0.15403442181200838	2.599207668339954
chr1	40840000	40850000	chr1	40950000	40960000	0.15403442181200838	2.111212657236631
chr1	41270000	41280000	chr1	41410000	41420000	0.062384209418435414	2.599207668339954
chr1	41580000	41590000	chr1	42150000	42160000	0.18395132522887048	2.111212657236631
chr1	42910000	42920000	chr1	43060000	43070000	0.14362644248194628	2.111212657236631
chr1	43770000	43780000	chr1	43930000	43940000	0.17755868859353774	2.599207668339954
chr1	44850000	44860000	chr1	45280000	45290000	0.18395132522887048	2.599207668339954
chr1	45360000	45370000	chr1	45490000	45500000	0.08018787238904479	2.111212657236631
chr1	46030000	46040000	chr1	46160000	46170000	0.14362644248194628	2.111212657236631
chr1	47190000	47200000	chr1	47420000	47430000	0.166657982136853	2.599207668339954
chr1	47190000	47200000	chr1	47710000	47720000	0.14544881899832274	3.2
chr1	47430000	47440000	chr1	47710000	47720000	0.02006371835291121	2.599207668339954
chr1	47750000	47760000	chr1	47930000	47940000	0.18852981508010083	3.2
chr1	48100000	48110000	chr1	48200000	48210000	0.10323294286939201	2.111212657236631
chr1	49080000	49090000	chr1	50330000	50340000	0.18395132522887048	2.111212657236631
chr1	50770000	50780000	chr1	51170000	51180000	0.19899836780383295	3.2
chr1	51890000	51900000	chr1	52000000	52010000	0.18056753268390718	2.599207668339954
chr1	52110000	52120000	chr1	52670000	52680000	0.17755868859353774	3.2
chr1	52700000	52710000	chr1	53190000	53200000	0.15403442181200838	2.111212657236631
chr1	52890000	52900000	chr1	53170000	53180000	0.18935543792701887	3.2
chr1	53270000	53280000	chr1	53390000	53400000	0.013453801833498978	2.111212657236631
chr1	53480000	53490000	chr1	53680000	53690000	0.14362644248194628	2.599207668339954
chr1	54130000	54140000	chr1	54480000	54490000	0.11692651606049034	3.6758347359905126
chr1	55130000	55140000	chr1	55270000	55280000	0.17220019030054706	2.111212657236631
chr1	55280000	55290000	chr1	56590000	56600000	0.10211400858011396	3.6758347359905126
chr1	55280000	55290000	chr1	56700000	56710000	0.18716719079295427	2.111212657236631
chr1	55370000	55380000	chr1	56580000	56590000	0.08027286051688139	2.111212657236631
chr1	56400000	56410000	chr1	56580000	56590000	0.19587976515969052	2.599207668339954
chr1	56830000	56840000	chr1	58060000	58070000	0.19022102894059342	2.599207668339954
chr1	56840000	56850000	chr1	58150000	58160000	0.17952497817900073	3.2
chr1	58540000	58550000	chr1	58650000	58660000	0.1934798674114445	2.599207668339954
chr1	58720000	58730000	chr1	59760000	59770000	0.10211400858011396	2.599207668339954
chr1	58740000	58750000	chr1	59720000	59730000	0.06225273641627661	3.6758347359905126
chr1	60280000	60290000	chr1	60770000	60780000	0.18454414526575175	2.111212657236631
chr1	61060000	61070000	chr1	61210000	61220000	0.17952497817900073	2.599207668339954
chr1	61060000	61070000	chr1	61330000	61340000	0.11050725029289675	2.111212657236631
chr1	61060000	61070000	chr1	61440000	61450000	0.18716719079295427	2.599207668339954
chr1	62170000	62180000	chr1	62400000	62410000	0.03105694792355374	2.111212657236631
chr1	62530000	62540000	chr1	62740000	62750000	0.12194028110177571	2.599207668339954
chr1	63630000	63640000	chr1	64240000	64250000	0.06225273641627661	3.6758347359905126
chr1	63630000	63640000	chr1	64680000	64690000	0.08027286051688139	2.111212657236631
chr1	63680000	63690000	chr1	64240000	64250000	0.11050725029289675	2.111212657236631
chr1	63770000	63780000	chr1	64130000	64140000	0.10211400858011396	2.111212657236631
chr1	64270000	64280000	chr1	64670000	64680000	0.07035695394535643	2.111212657236631
chr1	65230000	65240000	chr1	65690000	65700000	0.06225273641627661	2.599207668339954
chr1	65930000	65940000	chr1	66440000	66450000	0.1934798674114445	2.111212657236631
chr1	65960000	65970000	chr1	66230000	66240000	0.06225273641627661	2.111212657236631
chr1	66250000	66260000	chr1	66430000	66440000	0.06225273641627661	2.599207668339954
chr1	67220000	67230000	chr1	67500000	67510000	0.10211400858011396	2.111212657236631
chr1	67340000	67350000	chr1	67490000	67500000	0.06225273641627661	2.111212657236631
chr1	67540000	67550000	chr1	67750000	67760000	0.10038720570890233	2.111212657236631
chr1	68110000	68120000	chr1	68340000	68350000	0.06225273641627661	2.599207668339954
chr1	68450000	68460000	chr1	69740000	69750000	0.17952497817900073	2.599207668339954
chr1	68810000	68820000	chr1	69720000	69730000	0.17952497817900073	2.111212657236631
