chr	start	end	persistence_left	persistence_right	type	w
chr1	40000	880000	18	18	gap	20
chr1	880000	1040000	18	18	domain	20
chr1	1040000	1080000	18	18	gap	20
chr1	1080000	1480000	18	18	domain	20
chr1	1480000	1760000	18	18	gap	20
chr1	1760000	2640000	18	18	domain	20
chr1	2640000	2760000	18	18	gap	20
chr1	2760000	3560000	18	18	domain	20
chr1	3560000	3600000	18	18	gap	20
chr1	3600000	6000000	18	18	domain	20
chr1	6000000	6480000	18	17	boundary,domain	20
chr1	6480000	6680000	17	18	boundary,domain	20
chr1	6680000	7960000	18	18	domain	20
chr1	7960000	8320000	18	18	boundary,domain	20
chr1	8320000	8880000	18	18	domain	20
chr1	8880000	9200000	18	7		20
chr1	9200000	9600000	7	18		20
chr1	9600000	10200000	18	5	domain	20
chr1	10200000	10480000	5	18		20
chr1	10480000	11000000	18	18	domain	20
chr1	11000000	11240000	18	10	boundary,domain	20
chr1	11240000	11920000	10	18		20
chr1	11920000	12840000	18	18		20
chr1	12840000	13400000	18	18	gap	20
chr1	13400000	15120000	18	18		20
chr1	15120000	15320000	18	14		20
chr1	15320000	15520000	14	18	boundary,domain	20
chr1	15520000	16480000	18	18		20
chr1	16480000	16880000	18	18	gap	20
chr1	16880000	18880000	18	18		20
chr1	18880000	19120000	18	16	boundary,domain	20
chr1	19120000	19280000	16	8	boundary,domain	20
chr1	19280000	19760000	8	9	boundary,domain	20
chr1	19760000	19880000	9	18		20
chr1	19880000	20200000	18	7	boundary,domain	20
chr1	20200000	20520000	7	9	domain	20
chr1	20520000	21400000	9	18		20
chr1	21400000	21480000	18	18	gap	20
chr1	21480000	21960000	18	18	domain	20
chr1	21960000	22000000	18	18	gap	20
chr1	22000000	23000000	18	18	domain	20
chr1	23000000	23560000	18	6		20
chr1	23560000	23760000	6	18		20
chr1	23760000	24080000	18	18		20
chr1	24080000	25240000	18	18	domain	20
chr1	25240000	25440000	18	18	gap	20
chr1	25440000	26480000	18	18		20
chr1	26480000	26920000	18	18	boundary,domain	20
chr1	26920000	27280000	18	12	boundary,domain	20
chr1	27280000	27400000	12	3		20
chr1	27400000	27840000	3	6	boundary,domain	20
chr1	27840000	28240000	6	18		20
chr1	28240000	28760000	18	3	boundary,domain	20
chr1	28760000	28880000	3	2	boundary,domain	20
chr1	28880000	29240000	2	18		20
chr1	29240000	30720000	18	18	domain	20
chr1	30720000	31560000	18	18	boundary,domain	20
