chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loopID	Benign	Malignant	Consistent_in_benign_or_tumour
chr10	25070000	25120000	chr10	25210000	25240000	10109	10110	10109_10110	2	3	TRUE
chr10	29990000	30010000	chr10	30340000	30360000	10139	10141	10139_10141	0	3	TRUE
chr10	35610000	35660000	chr10	36860000	36910000	10194	10203	10194_10203	2	3	TRUE
chr10	49590000	49610000	chr10	49750000	49780000	10277	10278	10277_10278	0	3	TRUE
chr10	104390000	104410000	chr10	104600000	104630000	10662	10663	10662_10663	0	3	TRUE
chr10	115150000	115180000	chr10	115400000	115440000	10714	10716	10714_10716	0	3	TRUE
chr10	116770000	116820000	chr10	117070000	117090000	10727	10728	10727_10728	1	3	TRUE
chr10	120940000	120970000	chr10	121710000	121750000	10765	10775	10765_10775	0	3	TRUE
chr11	14520000	14550000	chr11	14750000	14780000	10984	10987	10984_10987	3	3	TRUE
chr11	20630000	20670000	chr11	22280000	22350000	11040	11047	11040_11047	1	3	TRUE
chr11	46870000	46910000	chr11	47250000	47290000	11223	11228	11223_11228	0	3	TRUE
chr1	176540000	176570000	chr1	176680000	176700000	1137	1138	1137_1138	0	3	TRUE
chr11	117790000	117850000	chr11	117930000	117970000	11651	11652	11651_11652	4	5	TRUE
chr1	179840000	179880000	chr1	180150000	180210000	1167	1169	1167_1169	1	3	TRUE
chr11	121630000	121680000	chr11	122100000	122110000	11697	11701	11697_11701	3	3	TRUE
chr11	122610000	122640000	chr11	122770000	122790000	11708	11709	11708_11709	4	5	TRUE
chr11	124950000	124970000	chr11	125340000	125360000	11729	11732	11729_11732	0	3	TRUE
chr12	3630000	3670000	chr12	3770000	3800000	11836	11838	11836_11838	0	3	TRUE
chr12	13250000	13280000	chr12	13650000	13670000	11918	11922	11918_11922	1	3	TRUE
chr12	29500000	29570000	chr12	29740000	29760000	12022	12023	12022_12023	1	3	TRUE
chr12	42560000	42600000	chr12	42910000	42930000	12086	12088	12086_12088	0	3	TRUE
chr1	185710000	185730000	chr1	186200000	186230000	1213	1214	1213_1214	2	3	TRUE
chr12	57970000	58010000	chr12	58280000	58310000	12223	12225	12223_12225	0	3	TRUE
chr12	120730000	120760000	chr12	120950000	120990000	12664	12665	12664_12665	4	3	TRUE
chr12	130030000	130060000	chr12	130170000	130190000	12716	12717	12716_12717	0	4	TRUE
chr12	131100000	131120000	chr12	131820000	131860000	12723	12726	12723_12726	1	3	TRUE
chr13	23700000	23720000	chr13	23850000	23890000	12762	12764	12762_12764	0	3	TRUE
chr13	23910000	23940000	chr13	24210000	24250000	12765	12767	12765_12767	3	3	TRUE
chr13	33200000	33240000	chr13	33520000	33570000	12830	12834	12830_12834	0	3	TRUE
chr13	101500000	101520000	chr13	101750000	101770000	13099	13100	13099_13100	0	4	TRUE
chr14	24710000	24750000	chr14	25020000	25060000	13194	13197	13194_13197	1	3	TRUE
chr14	31180000	31200000	chr14	31340000	31370000	13229	13230	13229_13230	0	3	TRUE
chr14	32570000	32600000	chr14	34260000	34330000	13246	13261	13246_13261	1	4	TRUE
chr14	52810000	52840000	chr14	53290000	53320000	13339	13342	13339_13342	1	3	TRUE
chr14	55080000	55090000	chr14	55160000	55170000	13352	13353	13352_13353	1	3	TRUE
chr1	209860000	209870000	chr1	209980000	210000000	1337	1338	1337_1338	0	3	TRUE
chr14	73500000	73520000	chr14	73620000	73640000	13527	13528	13527_13528	2	3	TRUE
chr15	32650000	32680000	chr15	32820000	32850000	13781	13782	13781_13782	0	3	TRUE
chr15	45790000	45810000	chr15	46270000	46310000	13855	13857	13855_13857	1	3	TRUE
chr15	59480000	59540000	chr15	59620000	59640000	13941	13942	13941_13942	1	3	TRUE
chr15	63470000	63500000	chr15	63580000	63610000	13974	13976	13974_13976	2	3	TRUE
chr15	69720000	69750000	chr15	70440000	70500000	14042	14046	14042_14046	1	3	TRUE
chr15	70980000	71020000	chr15	71400000	71470000	14050	14053	14050_14053	3	3	TRUE
chr15	72700000	72730000	chr15	73240000	73280000	14064	14067	14064_14067	2	4	TRUE
chr16	47110000	47150000	chr16	48130000	48180000	14532	14536	14532_14536	4	3	TRUE
chr17	36590000	36650000	chr17	36740000	36770000	15085	15088	15085_15088	0	3	TRUE
chr17	42200000	42220000	chr17	42500000	42530000	15134	15137	15134_15137	0	3	TRUE
chr17	65210000	65300000	chr17	65530000	65580000	15309	15312	15309_15312	3	3	TRUE
chr17	68390000	68490000	chr17	68750000	68790000	15335	15337	15335_15337	2	4	TRUE
chr18	23930000	23960000	chr18	24100000	24120000	15624	15625	15624_15625	2	3	TRUE
chr18	49520000	49560000	chr18	49750000	49760000	15738	15739	15738_15739	1	3	TRUE
chr18	51110000	51130000	chr18	51370000	51390000	15749	15750	15749_15750	0	3	TRUE
chr20	17610000	17680000	chr20	17970000	18010000	16362	16365	16362_16365	0	3	TRUE
chr20	43910000	43950000	chr20	44070000	44100000	16580	16583	16580_16583	0	3	TRUE
chr20	44180000	44230000	chr20	44360000	44400000	16585	16587	16585_16587	0	4	TRUE
chr20	44180000	44230000	chr20	44450000	44500000	16585	16588	16585_16588	1	3	TRUE
chr20	44180000	44230000	chr20	44600000	44630000	16585	16589	16585_16589	0	3	TRUE
chr20	48640000	48670000	chr20	48780000	48800000	16635	16637	16635_16637	0	3	TRUE
chr20	59940000	59960000	chr20	60040000	60090000	16740	16741	16740_16741	0	3	TRUE
chr21	21220000	21240000	chr21	21910000	21930000	16813	16815	16813_16815	0	4	TRUE
chr22	47200000	47240000	chr22	47570000	47600000	17260	17264	17260_17264	1	3	TRUE
chrX	71380000	71410000	chrX	71560000	71580000	17473	17474	17473_17474	1	3	TRUE
chr2	24400000	24420000	chr2	24730000	24780000	1768	1770	1768_1770	1	3	TRUE
chr2	27430000	27460000	chr2	27640000	27670000	1793	1794	1793_1794	0	4	TRUE
chr2	30170000	30230000	chr2	31320000	31350000	1813	1824	1813_1824	0	4	TRUE
chr2	55700000	55750000	chr2	56000000	56020000	1965	1968	1965_1968	1	3	TRUE
chr2	64300000	64350000	chr2	64550000	64630000	2025	2028	2025_2028	1	3	TRUE
chr2	70650000	70670000	chr2	70770000	70790000	2084	2085	2084_2085	0	3	TRUE
chr2	71530000	71570000	chr2	72560000	72600000	2092	2099	2092_2099	2	3	TRUE
chr2	76180000	76220000	chr2	76570000	76610000	2128	2131	2128_2131	2	3	TRUE
chr2	117460000	117490000	chr2	117750000	117780000	2322	2323	2322_2323	2	4	TRUE
chr2	162880000	162910000	chr2	163110000	163140000	2511	2512	2511_2512	0	4	TRUE
chr2	169100000	169140000	chr2	169390000	169420000	2553	2554	2553_2554	0	3	TRUE
chr2	178110000	178140000	chr2	178280000	178310000	2626	2627	2626_2627	0	3	TRUE
