chr_x	start_x	end_x	chr_y	start_y	end_y	Replicate	Seq_Depth	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale
chr6	35570000	35600000	chr6	35710000	35750000	5	100000000	134	136	134_136	0.168630724050706	2.11121265723663
chr1	12450000	12490000	chr1	12580000	12680000	1	150000000	517	519	517_519	0.0539506305426789	2.11121265723663
chr1	18890000	18930000	chr1	19070000	19110000	1	150000000	550	552	550_552	0.0544604127838899	2.59920766833995
chr1	19320000	19430000	chr1	19620000	19660000	1	150000000	553	558	553_558	0.0546693517775267	3.67583473599051
chr1	19320000	19430000	chr1	19620000	19660000	1	150000000	553	558	553_558	0.183877951301286	2.11121265723663
chr2	85400000	85440000	chr2	85530000	85570000	1	150000000	1440	1441	1440_1441	0.0695180928978341	2.11121265723663
chr3	45030000	45050000	chr3	45190000	45240000	1	150000000	1846	1847	1846_1847	0.0994290104453433	2.11121265723663
chr3	45480000	45540000	chr3	45630000	45660000	1	150000000	1848	1849	1848_1849	0.128549253871167	2.11121265723663
chr5	10450000	10470000	chr5	10610000	10640000	1	150000000	2211	2212	2211_2212	0.154926006495495	2.11121265723663
chr5	141670000	141710000	chr5	141870000	141900000	1	150000000	2440	2442	2440_2442	0.145630805377413	2.11121265723663
chr5	142720000	142770000	chr5	142860000	142890000	1	150000000	2446	2447	2446_2447	0.127889201073224	3.2
chr6	35330000	35350000	chr6	35440000	35490000	1	150000000	131	132	131_132	0.185683690853201	2.11121265723663
chr7	100550000	100600000	chr7	100670000	100710000	1	150000000	2748	2750	2748_2750	0.137075987208831	2.11121265723663
chr9	126930000	126970000	chr9	127180000	127250000	1	150000000	3110	3112	3110_3112	0.0338543073884742	2.11121265723663
chr9	127940000	127970000	chr9	128070000	128120000	1	150000000	3120	3122	3120_3122	0.047968471484192	2.11121265723663
chr10	47020000	47130000	chr10	47230000	47270000	1	150000000	3322	3323	3322_3323	0.0194906163410106	2.59920766833995
chr10	103700000	103730000	chr10	103840000	103880000	1	150000000	3500	3501	3500_3501	0.162471488247468	2.11121265723663
chr11	65350000	65450000	chr11	65490000	65540000	1	150000000	3812	3813	3812_3813	0.129861604906373	2.59920766833995
chr11	113980000	114070000	chr11	114130000	114200000	1	150000000	3954	3955	3954_3955	0.164306212663668	3.2
chr11	113980000	114070000	chr11	114220000	114280000	1	150000000	3954	3956	3954_3956	0.130320956503652	3.67583473599051
chr12	124450000	124610000	chr12	124720000	124790000	1	150000000	4450	4453	4450_4453	0.106662258862478	2.59920766833995
chr15	57340000	57380000	chr15	57510000	57540000	1	150000000	4544	4546	4544_4546	0.0242478732583645	3.2
chr16	66940000	67000000	chr16	67140000	67190000	1	150000000	4916	4918	4916_4918	0.0609387456347406	4.22242531447326
chr17	49830000	49880000	chr17	49990000	50010000	1	150000000	5231	5232	5231_5232	0.13867534101995	2.11121265723663
chr17	64130000	64160000	chr17	64270000	64290000	1	150000000	5301	5303	5301_5303	0.079809096856198	2.11121265723663
chr19	2460000	2490000	chr19	2570000	2620000	1	150000000	5461	5462	5461_5462	0.194843804543422	2.11121265723663
chr19	12970000	13000000	chr19	13070000	13100000	1	150000000	5530	5531	5530_5531	0.0643690594783615	2.11121265723663
chr19	37890000	37940000	chr19	38070000	38100000	1	150000000	5618	5620	5618_5620	0.151387031269724	2.59920766833995
chr19	47420000	47450000	chr19	47680000	47720000	1	150000000	5674	5678	5674_5678	0.0340432735564688	2.59920766833995
chr20	1280000	1320000	chr20	1420000	1470000	1	150000000	5747	5748	5747_5748	0.197515282913486	2.11121265723663
chr20	48650000	48670000	chr20	48790000	48810000	1	150000000	5932	5933	5932_5933	0.139807577169762	2.11121265723663
chr20	62000000	62030000	chr20	62140000	62180000	1	150000000	5997	5998	5997_5998	0.0758673909349549	2.59920766833995
chr1	10650000	10810000	chr1	10650000	10810000	2	150000000	502	502	502_502	0.144276606306049	2.11121265723663
chr1	12450000	12490000	chr1	12580000	12680000	2	150000000	517	519	517_519	0.099435894782297	2.59920766833995
chr1	36150000	36190000	chr1	36280000	36310000	2	150000000	651	652	651_652	0.0576111622201734	2.11121265723663
chr1	201530000	201580000	chr1	201690000	201720000	2	150000000	1043	1044	1043_1044	0.0564076952457209	2.11121265723663
chr3	14210000	14300000	chr3	14440000	14480000	2	150000000	1807	1809	1807_1809	0.15021955262623	3.67583473599051
chr4	2760000	2830000	chr4	2920000	2950000	2	150000000	6017	6018	6017_6018	0.115326050497937	2.11121265723663
chr5	172680000	172780000	chr5	172900000	172950000	2	150000000	2520	2522	2520_2522	0.0652880306237423	3.2
chr6	35330000	35350000	chr6	35440000	35490000	2	150000000	131	132	131_132	0.128329731071864	2.11121265723663
chr6	35570000	35600000	chr6	35710000	35750000	2	150000000	134	136	134_136	0.0538926080553188	2.11121265723663
chr9	98060000	98100000	chr9	98190000	98220000	2	150000000	3028	3029	3028_3029	0.192751244345763	2.59920766833995
chr9	127580000	127610000	chr9	127900000	127930000	2	150000000	3116	3119	3116_3119	0.115722644870378	2.59920766833995
chr9	127710000	127790000	chr9	127900000	127930000	2	150000000	3117	3119	3117_3119	0.0805195078284794	3.2
chr9	129120000	129180000	chr9	129560000	129630000	2	150000000	3125	3130	3125_3130	0.0209025540499571	3.67583473599051
chr11	65350000	65450000	chr11	65490000	65540000	2	150000000	3812	3813	3812_3813	0.122625200101854	3.2
chr12	52570000	52640000	chr12	52850000	52890000	2	150000000	4207	4209	4207_4209	0.107119994309487	2.59920766833995
chr12	108640000	108680000	chr12	108790000	108820000	2	150000000	4352	4353	4352_4353	0.124541546149537	2.11121265723663
chr12	124450000	124610000	chr12	124720000	124790000	2	150000000	4450	4453	4450_4453	0.062841367509923	2.59920766833995
chr14	69590000	69610000	chr14	69700000	69740000	2	150000000	6402	6403	6402_6403	0.185780788910078	2.11121265723663
chr17	81680000	81710000	chr17	81850000	81890000	2	150000000	5440	5442	5440_5442	0.104391258384139	2.11121265723663
chr19	15250000	15270000	chr19	15370000	15430000	2	150000000	5548	5549	5548_5549	0.067221045343774	2.11121265723663
chr19	16240000	16260000	chr19	16370000	16410000	2	150000000	5556	5557	5556_5557	0.0796332405421686	2.11121265723663
chr20	50300000	50320000	chr20	50450000	50490000	2	150000000	5947	5950	5947_5950	0.175579964313916	2.11121265723663
chr20	57590000	57660000	chr20	58160000	58220000	2	150000000	5980	5986	5980_5986	0.0932637575387999	2.59920766833995
chr2	26590000	26620000	chr2	26720000	26750000	3	150000000	1240	1241	1240_1241	0.0749505395600234	2.11121265723663
chr2	41850000	41880000	chr2	42070000	42090000	3	150000000	1300	1302	1300_1302	0.0919085008701912	2.11121265723663
chr3	47510000	47530000	chr3	47770000	47860000	3	150000000	1855	1859	1855_1859	0.0486207098899919	2.11121265723663
chr5	141670000	141710000	chr5	141910000	141970000	3	150000000	2440	2443	2440_2443	0.155724785033994	2.59920766833995
chr6	37010000	37050000	chr6	37160000	37220000	3	150000000	144	145	144_145	0.124312781796013	3.67583473599051
chr8	22410000	22440000	chr8	22560000	22590000	3	150000000	6598	6599	6598_6599	0.10226770909597	2.11121265723663
chr8	23570000	23600000	chr8	23680000	23710000	3	150000000	6605	6606	6605_6606	0.0782916270214083	2.11121265723663
chr8	27460000	27480000	chr8	27580000	27620000	3	150000000	6622	6623	6622_6623	0.128375477079724	2.11121265723663
chr8	42130000	42190000	chr8	42310000	42340000	3	150000000	6670	6671	6670_6671	0.0965063742972016	2.59920766833995
chr8	133190000	133240000	chr8	133420000	133460000	3	150000000	6824	6826	6824_6826	0.0338328844597786	2.11121265723663
chr11	17370000	17400000	chr11	17490000	17520000	3	150000000	3684	3685	3684_3685	0.0965464184219382	2.59920766833995
chr11	61450000	61500000	chr11	61610000	61650000	3	150000000	3775	3777	3775_3777	0.0766712939907234	2.11121265723663
chr14	69590000	69610000	chr14	69700000	69740000	3	150000000	6402	6403	6402_6403	0.0793892989960175	2.11121265723663
chr14	92940000	92970000	chr14	93120000	93150000	3	150000000	6464	6466	6464_6466	0.09404741941687	2.59920766833995
chr14	103080000	103130000	chr14	103270000	103300000	3	150000000	6521	6523	6521_6523	0.120729897863026	3.67583473599051
chr15	90290000	90340000	chr15	90480000	90500000	3	150000000	4696	4698	4696_4698	0.171930632677243	2.59920766833995
chr16	66940000	67000000	chr16	67140000	67190000	3	150000000	4916	4918	4916_4918	0.0933604177164708	3.2
chr17	1350000	1370000	chr17	1480000	1540000	3	150000000	5028	5029	5028_5029	0.167686860485646	2.11121265723663
chr19	12970000	13000000	chr19	13070000	13100000	3	150000000	5530	5531	5530_5531	0.110221675142063	2.11121265723663
chr20	48650000	48670000	chr20	48890000	48910000	3	150000000	5932	5934	5932_5934	0.082005391304296	2.11121265723663
chr20	49330000	49350000	chr20	49490000	49540000	3	150000000	5935	5937	5935_5937	0.174948788899532	2.59920766833995
chr22	36290000	36340000	chr22	36450000	36490000	3	150000000	6953	6955	6953_6955	0.04881260083675	3.2
chr1	19320000	19430000	chr1	19620000	19660000	4	150000000	553	558	553_558	0.0617680416357026	3.67583473599051
chr1	22680000	22730000	chr1	22870000	22920000	4	150000000	585	586	585_586	0.0864427229391558	3.2
chr1	47510000	47550000	chr1	47690000	47720000	4	150000000	714	716	714_716	0.0813565010440493	2.59920766833995
chr1	227750000	227770000	chr1	227920000	227940000	4	150000000	1123	1124	1123_1124	0.126184189714001	2.59920766833995
chr2	28580000	28630000	chr2	28730000	28760000	4	150000000	1267	1268	1267_1268	0.0440056201401694	3.67583473599051
chr2	85400000	85440000	chr2	85530000	85570000	4	150000000	1440	1441	1440_1441	0.123062868510328	2.11121265723663
chr2	176120000	176150000	chr2	176630000	176650000	4	150000000	1582	1585	1582_1585	0.0451672425475383	2.59920766833995
chr3	14210000	14300000	chr3	14440000	14480000	4	150000000	1807	1809	1807_1809	0.0841155342087053	2.59920766833995
chr5	142720000	142770000	chr5	142860000	142890000	4	150000000	2446	2447	2446_2447	0.0856718915206072	2.11121265723663
chr6	35570000	35600000	chr6	35710000	35750000	4	150000000	134	136	134_136	0.0536727865988401	2.11121265723663
chr6	37010000	37050000	chr6	37160000	37220000	4	150000000	144	145	144_145	0.0759103607223854	2.59920766833995
chr7	140500000	140530000	chr7	140640000	140660000	4	150000000	2827	2828	2827_2828	0.0976094226077973	2.11121265723663
chr8	140820000	140850000	chr8	141040000	141080000	4	150000000	6847	6849	6847_6849	0.173949341693963	2.59920766833995
chr11	65350000	65450000	chr11	65490000	65540000	4	150000000	3812	3813	3812_3813	0.109510085791044	2.11121265723663
chr11	113980000	114070000	chr11	114130000	114200000	4	150000000	3954	3955	3954_3955	0.0455544846206061	2.59920766833995
chr11	113980000	114070000	chr11	114220000	114280000	4	150000000	3954	3956	3954_3956	0.0382566470384067	2.11121265723663
chr12	53540000	53560000	chr12	53660000	53680000	4	150000000	4216	4217	4216_4217	0.0767337718706067	2.11121265723663
chr13	98440000	98480000	chr13	98650000	98670000	4	150000000	7168	7169	7168_7169	0.0818088455232988	3.2
chr14	69590000	69610000	chr14	69700000	69740000	4	150000000	6402	6403	6402_6403	0.0931044521759796	2.11121265723663
chr17	28730000	28750000	chr17	28890000	28950000	4	150000000	5108	5109	5108_5109	0.178073879699773	2.11121265723663
chr17	48460000	48500000	chr17	48560000	48630000	4	150000000	5222	5223	5222_5223	0.131707626838978	2.11121265723663
chr17	49550000	49590000	chr17	49690000	49710000	4	150000000	5229	5230	5229_5230	0.113303331089871	2.59920766833995
chr19	10240000	10280000	chr19	10380000	10400000	4	150000000	5512	5513	5512_5513	0.0681871627413747	2.11121265723663
chr19	12970000	13000000	chr19	13070000	13100000	4	150000000	5530	5531	5530_5531	0.12928052818494	2.59920766833995
chr22	39160000	39180000	chr22	39300000	39320000	4	150000000	6984	6985	6984_6985	0.0351221494553037	2.11121265723663
chr22	45610000	45650000	chr22	45960000	46020000	4	150000000	7040	7043	7040_7043	0.187933772396147	2.11121265723663
chr1	7970000	8000000	chr1	8300000	8490000	5	150000000	472	479	472_479	0.0605836556079433	2.11121265723663
chr1	8540000	8580000	chr1	8690000	8740000	5	150000000	481	485	481_485	0.0616328910588202	2.11121265723663
chr1	18890000	18930000	chr1	19070000	19110000	5	150000000	550	552	550_552	0.0929643311244454	2.11121265723663
chr1	22680000	22730000	chr1	22870000	22920000	5	150000000	585	586	585_586	0.144320612182502	2.11121265723663
chr1	30790000	30810000	chr1	30900000	30920000	5	150000000	626	627	626_627	0.173212100917489	2.11121265723663
chr1	47510000	47550000	chr1	47690000	47720000	5	150000000	714	716	714_716	0.195246082839195	2.11121265723663
chr1	201530000	201580000	chr1	201690000	201720000	5	150000000	1043	1044	1043_1044	0.154265885350148	2.11121265723663
chr2	28580000	28630000	chr2	28730000	28760000	5	150000000	1267	1268	1267_1268	0.0537044110704938	2.59920766833995
chr2	41850000	41880000	chr2	42070000	42090000	5	150000000	1300	1302	1300_1302	0.121526474136363	3.2
chr3	4710000	4760000	chr3	5010000	5060000	5	150000000	1774	1777	1774_1777	0.0642398527633213	2.11121265723663
