chr	from.id	from.coord	to.id	to.coord	tag	size
chr9	1	0	5	200000	gap	200000
chr9	6	200000	21	840000	domain	640000
chr9	22	840000	25	1000000	boundary	160000
chr9	26	1000000	42	1680000	domain	680000
chr9	43	1680000	48	1920000	domain	240000
chr9	49	1920000	53	2120000	boundary	200000
chr9	54	2120000	71	2840000	domain	720000
chr9	72	2840000	81	3240000	domain	400000
chr9	82	3240000	93	3720000	domain	480000
chr9	94	3720000	109	4360000	domain	640000
chr9	110	4360000	119	4760000	domain	400000
chr9	120	4760000	141	5640000	domain	880000
chr9	142	5640000	158	6320000	domain	680000
chr9	159	6320000	169	6760000	domain	440000
chr9	170	6760000	189	7560000	domain	800000
chr9	190	7560000	224	8960000	domain	1400000
chr9	225	8960000	237	9480000	domain	520000
chr9	238	9480000	250	10000000	domain	520000
chr9	251	10000000	258	10320000	domain	320000
chr9	259	10320000	285	11400000	domain	1080000
chr9	286	11400000	294	11760000	boundary	360000
chr9	295	11760000	317	12680000	domain	920000
chr9	318	12680000	329	13160000	domain	480000
chr9	330	13160000	361	14440000	domain	1280000
chr9	362	14440000	379	15160000	domain	720000
chr9	380	15160000	392	15680000	domain	520000
chr9	393	15680000	404	16160000	domain	480000
chr9	405	16160000	426	17040000	domain	880000
chr9	427	17040000	438	17520000	domain	480000
chr9	439	17520000	444	17760000	domain	240000
chr9	445	17760000	456	18240000	domain	480000
chr9	457	18240000	476	19040000	domain	800000
chr9	477	19040000	487	19480000	domain	440000
chr9	488	19480000	498	19920000	domain	440000
chr9	499	19920000	508	20320000	domain	400000
chr9	509	20320000	529	21160000	domain	840000
chr9	530	21160000	531	21240000	gap	80000
chr9	532	21240000	545	21800000	domain	560000
chr9	546	21800000	557	22280000	domain	480000
chr9	558	22280000	562	22480000	boundary	200000
chr9	563	22480000	597	23880000	domain	1400000
chr9	598	23880000	612	24480000	domain	600000
chr9	613	24480000	613	24520000	gap	40000
chr9	614	24520000	647	25880000	domain	1360000
chr9	648	25880000	668	26720000	domain	840000
chr9	669	26720000	672	26880000	boundary	160000
chr9	673	26880000	683	27320000	domain	440000
chr9	684	27320000	690	27600000	domain	280000
chr9	691	27600000	718	28720000	domain	1120000
chr9	719	28720000	730	29200000	domain	480000
chr9	731	29200000	734	29360000	domain	160000
chr9	735	29360000	739	29560000	domain	200000
chr9	740	29560000	779	31160000	domain	1600000
chr9	780	31160000	796	31840000	domain	680000
chr9	797	31840000	807	32280000	domain	440000
chr9	808	32280000	815	32600000	domain	320000
chr9	816	32600000	825	33000000	domain	400000
chr9	826	33000000	838	33520000	domain	520000
chr9	839	33520000	843	33720000	gap	200000
chr9	844	33720000	860	34400000	domain	680000
chr9	861	34400000	866	34640000	boundary	240000
chr9	867	34640000	890	35600000	domain	960000
chr9	891	35600000	898	35920000	boundary	320000
chr9	899	35920000	905	36200000	boundary	280000
chr9	906	36200000	910	36400000	boundary	200000
chr9	911	36400000	915	36600000	boundary	200000
chr9	916	36600000	937	37480000	domain	880000
chr9	938	37480000	947	37880000	domain	400000
chr9	948	37880000	964	38560000	domain	680000
chr9	965	38560000	1710	68400000	gap	29840000
chr9	1711	68400000	1726	69040000	domain	640000
chr9	1727	69040000	1731	69240000	boundary	200000
chr9	1732	69240000	1735	69400000	boundary	160000
chr9	1736	69400000	1748	69920000	domain	520000
chr9	1749	69920000	1755	70200000	domain	280000
chr9	1756	70200000	1767	70680000	domain	480000
chr9	1768	70680000	1769	70760000	gap	80000
chr9	1770	70760000	1782	71280000	domain	520000
chr9	1783	71280000	1801	72040000	domain	760000
chr9	1802	72040000	1806	72240000	domain	200000
chr9	1807	72240000	1821	72840000	domain	600000
chr9	1822	72840000	1830	73200000	domain	360000
chr9	1831	73200000	1841	73640000	domain	440000
chr9	1842	73640000	1868	74720000	domain	1080000
chr9	1869	74720000	1880	75200000	domain	480000
chr9	1881	75200000	1897	75880000	domain	680000
chr9	1898	75880000	1909	76360000	domain	480000
chr9	1910	76360000	1918	76720000	domain	360000
chr9	1919	76720000	1929	77160000	domain	440000
chr9	1930	77160000	1956	78240000	domain	1080000
chr9	1957	78240000	1959	78360000	boundary	120000
chr9	1960	78360000	1978	79120000	domain	760000
chr9	1979	79120000	2005	80200000	domain	1080000
chr9	2006	80200000	2015	80600000	domain	400000
chr9	2016	80600000	2048	81920000	domain	1320000
chr9	2049	81920000	2049	81960000	gap	40000
chr9	2050	81960000	2075	83000000	domain	1040000
chr9	2076	83000000	2096	83840000	domain	840000
chr9	2097	83840000	2098	83920000	gap	80000
chr9	2099	83920000	2109	84360000	domain	440000
chr9	2110	84360000	2144	85760000	domain	1400000
chr9	2145	85760000	2145	85800000	gap	40000
chr9	2146	85800000	2159	86360000	domain	560000
chr9	2160	86360000	2183	87320000	domain	960000
chr9	2184	87320000	2198	87920000	domain	600000
chr9	2199	87920000	2199	87960000	gap	40000
chr9	2200	87960000	2215	88600000	domain	640000
chr9	2216	88600000	2233	89320000	domain	720000
chr9	2234	89320000	2239	89560000	boundary	240000
chr9	2240	89560000	2253	90120000	domain	560000
chr9	2254	90120000	2272	90880000	domain	760000
chr9	2273	90880000	2286	91440000	domain	560000
chr9	2287	91440000	2293	91720000	domain	280000
chr9	2294	91720000	2303	92120000	domain	400000
chr9	2304	92120000	2322	92880000	domain	760000
chr9	2323	92880000	2341	93640000	domain	760000
chr9	2342	93640000	2358	94320000	domain	680000
chr9	2359	94320000	2361	94440000	gap	120000
chr9	2362	94440000	2380	95200000	domain	760000
chr9	2381	95200000	2406	96240000	domain	1040000
chr9	2407	96240000	2422	96880000	domain	640000
chr9	2423	96880000	2426	97040000	gap	160000
chr9	2427	97040000	2430	97200000	domain	160000
chr9	2431	97200000	2431	97240000	gap	40000
chr9	2432	97240000	2441	97640000	domain	400000
chr9	2442	97640000	2448	97920000	boundary	280000
chr9	2449	97920000	2457	98280000	domain	360000
chr9	2458	98280000	2470	98800000	domain	520000
chr9	2471	98800000	2481	99240000	domain	440000
chr9	2482	99240000	2495	99800000	domain	560000
chr9	2496	99800000	2515	100600000	domain	800000
chr9	2516	100600000	2535	101400000	domain	800000
chr9	2536	101400000	2539	101560000	boundary	160000
chr9	2540	101560000	2619	104760000	domain	3200000
chr9	2620	104760000	2644	105760000	domain	1000000
