icgc_donor_id	project_code	icgc_specimen_id	icgc_sample_id	submitted_sample_id	submitted_matched_sample_id	variant_type	sv_id	placement	annotation	interpreted_annotation	chr_from	chr_from_bkpt	chr_from_strand	chr_from_range	chr_from_flanking_seq	chr_to	chr_to_bkpt	chr_to_strand	chr_to_range	chr_to_flanking_seq	assembly_version	sequencing_strategy	microhomology_sequence	non_templated_sequence	evidence	quality_score	probability	zygosity	verification_status	verification_platform	gene_affected_by_bkpt_from	gene_affected_by_bkpt_to	transcript_affected_by_bkpt_from	transcript_affected_by_bkpt_to	bkpt_from_context	bkpt_to_context	gene_build_version	platform	experimental_protocol	base_calling_algorithm	alignment_algorithm	variation_calling_algorithm	other_analysis_algorithm	seq_coverage	raw_data_repository	raw_data_accession
DO934	BOCA-UK	SP1870	SA6051	PD7061a	PD7061b	deletion	CGP_stsm_3473	1	chr12:g48370719_48379361del	chr12:g48370719_chr12:48379361bkpt	12	48370719	1			12	48379361	1			GRCh37	WXS							not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000277
DO934	BOCA-UK	SP1870	SA6051	PD7061a	PD7061b	deletion	CGP_stsm_3472	1	chr12:g48365922_48370732del	chr12:g48365922_chr12:48370732bkpt	12	48365922	1			12	48370732	1			GRCh37	WXS							not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000277
DO932	BOCA-UK	SP1868	SA6048	PD7054a	PD7054b	reciprocal translocation	CGP_stsm_3471	1	chr12:go48377659_chr17:o61156445bkpt	chr12:go48377659_chr17:o61156445bkpt	12	48377659	-1			17	61156445	-1			GRCh37	WXS							not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000277
DO932	BOCA-UK	SP1868	SA6048	PD7054a	PD7054b	reciprocal translocation	CGP_stsm_3470	1	chr12:g48377638_chr17:61156446bkpt	chr12:g48377638_chr17:61156446bkpt	12	48377638	1			17	61156446	1			GRCh37	WXS							not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000277
DO938	BOCA-UK	SP1874	SA6057	PD7300a	PD7300b	tandem duplication	CGP_stsm_3479	1	chr12:g48392162_48392271dup	chr12:go48392162_chr12:o48392271bkpt	12	48392162	-1			12	48392271	-1			GRCh37	WXS							not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000038
DO938	BOCA-UK	SP1874	SA6057	PD7300a	PD7300b	reciprocal translocation	CGP_stsm_3480	1	chr12:go48391975_chr13:o87184260bkpt	chr12:go48391975_chr13:o87184260bkpt	12	48391975	-1			13	87184260	-1			GRCh37	WXS							not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000038
DO938	BOCA-UK	SP1874	SA6057	PD7300a	PD7300b	deletion	CGP_stsm_3478	1	chr12:g48364021_48379267del	chr12:g48364021_chr12:48379267bkpt	12	48364021	1			12	48379267	1			GRCh37	WXS							not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000038
DO936	BOCA-UK	SP1872	SA6054	PD7299a	PD7299b	inversion	CGP_stsm_3474	1	chr12:g48380177_48380249inv	chr12:go48380177_chr12:48380249bkpt	12	48380177	-1			12	48380249	1			GRCh37	WXS	A						not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000038
DO936	BOCA-UK	SP1872	SA6054	PD7299a	PD7299b	deletion	CGP_stsm_3476	1	chr12:g48368009_48372061del	chr12:g48368009_chr12:48372061bkpt	12	48368009	1			12	48372061	1			GRCh37	WXS	T						not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000038
DO936	BOCA-UK	SP1872	SA6054	PD7299a	PD7299b	reciprocal translocation	CGP_stsm_3477	1	chr9:go84306231_chr12:o48388008bkpt	chr9:go84306231_chr12:o48388008bkpt	9	84306231	-1			12	48388008	-1			GRCh37	WXS							not tested									Illumina HiSeq			BWA http://bio-bwa.sourceforge.net	Brass http://www.nature.com/ng/journal/v45/n8/full/ng.2668.html#ref23			EGA	EGAS00001000038
