gene_id	chr	start	end
ENSG00000187608.10	chr1	80000	1760000
ENSG00000231702.2	chr1	80000	1760000
ENSG00000224969.1	chr1	80000	1760000
ENSG00000188157.15	chr1	80000	1760000
ENSG00000131591.17	chr1	80000	1760000
ENSG00000162572.21	chr1	80000	1760000
ENSG00000131584.19	chr1	80000	1760000
ENSG00000278073.1	chr1	80000	1760000
ENSG00000008130.15	chr1	80000	2640000
ENSG00000078369.18	chr1	1760000	2640000
ENSG00000231050.1	chr1	1760000	2640000
ENSG00000142609.18	chr1	1760000	2640000
ENSG00000187730.9	chr1	1760000	2640000
ENSG00000226969.1	chr1	1760000	2880000
ENSG00000067606.17	chr1	1760000	2880000
ENSG00000162585.17	chr1	1760000	2880000
ENSG00000234396.3	chr1	1760000	2880000
ENSG00000157933.10	chr1	1760000	2880000
ENSG00000287356.1	chr1	1760000	2880000
ENSG00000116151.14	chr1	1760000	2880000
ENSG00000157916.20	chr1	1760000	2880000
ENSG00000157911.10	chr1	1760000	2880000
ENSG00000149527.18	chr1	1760000	2880000
ENSG00000142606.16	chr1	1760000	2880000
ENSG00000233234.1	chr1	2040000	3920000
ENSG00000287396.1	chr1	2040000	3920000
ENSG00000231630.1	chr1	2040000	3920000
ENSG00000284745.1	chr1	2760000	3920000
ENSG00000169717.7	chr1	2760000	3920000
ENSG00000177133.11	chr1	2760000	3920000
ENSG00000142611.17	chr1	2760000	3920000
ENSG00000130762.15	chr1	2760000	3920000
ENSG00000272088.1	chr1	2760000	3920000
ENSG00000162591.16	chr1	2760000	6240000
ENSG00000238260.1	chr1	2760000	6240000
ENSG00000158109.15	chr1	2760000	6240000
ENSG00000116213.16	chr1	2760000	6240000
ENSG00000236423.6	chr1	2760000	6240000
ENSG00000232596.3	chr1	3600000	6240000
ENSG00000196581.11	chr1	3600000	6240000
ENSG00000284692.2	chr1	3600000	6240000
ENSG00000260972.1	chr1	3600000	6240000
ENSG00000236948.2	chr1	3600000	6240000
ENSG00000131697.18	chr1	3600000	6480000
