chr	pos	w	Order
chr1	0	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	880000	3	1
chr1	1000000	4	1
chr1	1320000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	1520000	3|4|9	3
chr1	1640000	5|6|8|9|10|11|12|13|14|15|16|17|18|19|21|22|23|26|29|30|31|33|34|39|40	25
chr1	1720000	4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|21|22|23|26|29|30|31|33|34|39|40	26
chr1	1920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2160000	3|4|5|6|11	5
chr1	2400000	3|4|5|6|7	5
chr1	2720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3440000	4|5|6|7|8|9|10|11|12|13|14|15|16|18|19|20	16
chr1	3840000	4	1
chr1	3920000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	4600000	3	1
chr1	5000000	3	1
chr1	5440000	4|8|9|10|11|12	6
chr1	5480000	31|32|34|35|36|37|38	7
chr1	5880000	3|4|5|6	4
chr1	5920000	7|8|9|10|13|19|22|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr1	5960000	11|12|14|15|16|17|18|20|21|23	10
chr1	6200000	3|4|5|11|14|15|16|17|18|19|20|21|24|32|36|37|38|40	18
chr1	6480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19	17
chr1	6680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	22
chr1	6920000	3|4|10|16|17|18|19|20	8
chr1	7000000	5|6	2
chr1	7640000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	7760000	10|11|12|13|15|17|21|23	8
chr1	7920000	9|15|16|17|18|19|20|21|22|23|24|25|26|27|28|33|35|39	18
chr1	7960000	3|4|5|6|7|8|11|12|13|14|29|30|31|32|34|36|37|38|40	19
chr1	8360000	3|4|5|6|7|8|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr1	8400000	9	1
chr1	8560000	3|13|14|15	4
chr1	8720000	3	1
chr1	8880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9000000	10|11|13|18|19|20|22|23|24|25|26|27|28|29|31|32|33|34|35|36|37|38|40	23
chr1	9120000	12	1
chr1	9240000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr1	9280000	3	1
chr1	9480000	3|4	2
chr1	9560000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr1	9760000	3	1
chr1	9880000	6|13|27	3
chr1	9920000	3|4|5|7|8|9|10|11|12|20|21|22|23|24|25|26|28|29|30|31|32|33|34|35|36|37|38|39|40	29
chr1	10080000	20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	21
chr1	10400000	4|5	2
chr1	10440000	6|10	2
chr1	10480000	4|7|8|9|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	34
chr1	10680000	21|22|23|24|28|29|31	7
chr1	10920000	6	1
chr1	11000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	11280000	3|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40	17
chr1	11320000	4|5|6	3
chr1	11640000	3|4|5|6|7	5
chr1	11760000	6|7|8	3
chr1	11800000	9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31	23
chr1	11920000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	24
chr1	12000000	4	1
chr1	12080000	3|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29	25
chr1	12120000	7	1
chr1	12240000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33	29
chr1	12280000	4	1
chr1	12640000	3|4|5	3
chr1	12720000	3|8	2
chr1	12920000	3	1
