chr	pos	w	Order
chr1	0	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	960000	4	1
chr1	1320000	4|5|6	3
chr1	1520000	3|4|8|18	4
chr1	1640000	5|6|9|10|11|12|13|14|15|16	10
chr1	1760000	3|5|6|8|9|10|15|16|19	9
chr1	1920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19	17
chr1	2160000	3|4|5	3
chr1	2400000	3|4|5|6|7	5
chr1	2720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3400000	3|4|5|7	4
chr1	3440000	6|8|9|10|11|12|13|14|15|16	10
chr1	3760000	3	1
chr1	3920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	5400000	3|4	2
chr1	5440000	5|7	2
chr1	5480000	15|16|17|18|19|20|21|23|24|25|26	11
chr1	5880000	4|5|6|31|34|35|36|40	8
chr1	5920000	7|13|14|18|19|20|24|25|26|27|28|29|30|32|33|37|38|39	18
chr1	5960000	8|9|10|11|12|15|16|17|21|22|23	11
chr1	6200000	9|10|11|14|15|16|17|18|40	9
chr1	6240000	3	1
chr1	6440000	3|4|20	3
chr1	6480000	5|10|14|16|17|18|21|22|23|24	10
chr1	6520000	6|9|11|12|13	5
chr1	6680000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26	21
chr1	6720000	3|4|5	3
chr1	6920000	3|16|17|18|19	5
chr1	6960000	5	1
chr1	7640000	3|4|5|6|7|8|9|10|11	9
chr1	7680000	13|15|16	3
chr1	7760000	10|11|12|13|14|15|16|24|25|27	10
chr1	7920000	10	1
chr1	7960000	3|4|5|6|7|8|9|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr1	8360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8560000	3	1
chr1	8720000	3	1
chr1	8880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9120000	12|16|17	3
chr1	9240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9560000	5|6|7|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	9600000	3|4|8|9|10	5
chr1	9720000	10|11|12|13|14|15|16|17|20|21|23|28|33	13
chr1	9760000	3	1
chr1	9880000	6|13|14|15|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr1	9920000	3|4|7|8|9	5
chr1	10440000	12	1
chr1	10480000	4|5|6|7|8|9|10|11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	10520000	3	1
chr1	10960000	3|4|5	3
chr1	11000000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	35
chr1	11240000	40	1
chr1	11280000	4|5|6	3
chr1	11320000	3	1
chr1	11640000	3|4|5|6|7	5
