chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale
chr10	17600000	17630000	chr10	18210000	18240000	10052	10058	10052_10058	0.06987536576907	2.59920766833995
chr1	160820000	160850000	chr1	160950000	160980000	1008	1010	1008_1010	0.0199506520504755	2.59920766833995
chr10	29990000	30010000	chr10	30340000	30360000	10139	10141	10139_10141	0.0768359474073492	3.67583473599051
chr10	35610000	35660000	chr10	36710000	36730000	10194	10200	10194_10200	0.0823898981652541	3.67583473599051
chr10	42740000	42780000	chr10	43070000	43120000	10213	10217	10213_10217	0.0274109540891456	2.59920766833995
chr10	43650000	43720000	chr10	44560000	44590000	10221	10236	10221_10236	0.0527498404373472	2.59920766833995
chr10	43650000	43720000	chr10	44700000	44740000	10221	10239	10221_10239	0.0600801562234001	3.67583473599051
chr10	43650000	43720000	chr10	44940000	44980000	10221	10243	10221_10243	0.0818132391748515	2.59920766833995
chr10	47120000	47180000	chr10	47410000	47430000	10255	10259	10255_10259	0.0211643824110991	3.67583473599051
chr10	48640000	48690000	chr10	49360000	49420000	10264	10275	10264_10275	0.0662496122166289	2.59920766833995
chr10	49590000	49610000	chr10	49750000	49780000	10277	10278	10277_10278	0.0530158748506941	3.67583473599051
chr1	163160000	163190000	chr1	163290000	163320000	1029	1030	1029_1030	0.0956592311880867	2.11121265723663
chr1	11310000	11340000	chr1	11610000	11660000	102	104	102_104	0.0531486048160152	5.57152360509519
chr10	52850000	52880000	chr10	53170000	53200000	10318	10320	10318_10320	0.129722866889109	2.59920766833995
chr1	164160000	164180000	chr1	164620000	164640000	1037	1042	1037_1042	0.163934141779727	2.59920766833995
chr1	164160000	164180000	chr1	164770000	164800000	1037	1045	1037_1045	0.0453364649581222	2.59920766833995
chr10	74140000	74160000	chr10	75200000	75250000	10451	10460	10451_10460	0.173905024572739	3.2
chr1	164770000	164800000	chr1	165060000	165110000	1045	1049	1045_1049	0.129234081674174	2.59920766833995
chr10	78040000	78080000	chr10	79280000	79300000	10483	10494	10483_10494	0.0785137592760084	2.59920766833995
chr10	79360000	79380000	chr10	79470000	79480000	10495	10496	10495_10496	0.00715258066381697	2.11121265723663
chr10	84770000	84800000	chr10	86350000	86380000	10522	10527	10522_10527	0.0791545294790511	3.2
chr10	88370000	88410000	chr10	88540000	88560000	10542	10544	10542_10544	0.110875192347408	2.59920766833995
chr1	165390000	165410000	chr1	165900000	165940000	1054	1057	1054_1057	0.0930754875408539	2.11121265723663
chr10	91750000	91770000	chr10	91900000	91920000	10568	10569	10568_10569	0.0465273878698807	2.11121265723663
chr10	101190000	101220000	chr10	101450000	101460000	10638	10640	10638_10640	0.111108168485492	2.11121265723663
chr10	104390000	104410000	chr10	104600000	104630000	10662	10663	10662_10663	0.0277646673001937	3.2
chr10	111750000	111760000	chr10	112120000	112140000	10685	10686	10685_10686	0.0359190452163504	3.2
chr10	112160000	112190000	chr10	112300000	112330000	10687	10688	10687_10688	0.114902134152599	2.11121265723663
chr10	115150000	115180000	chr10	115400000	115440000	10714	10716	10714_10716	0.0757512061873295	2.59920766833995
chr10	115150000	115180000	chr10	116380000	116400000	10714	10722	10714_10722	0.108108930253145	3.2
chr10	115400000	115440000	chr10	116270000	116300000	10716	10719	10716_10719	0.0700404237721999	2.59920766833995
chr10	115400000	115440000	chr10	116380000	116400000	10716	10722	10716_10722	0.0356765952422634	3.67583473599051
chr10	116670000	116700000	chr10	117160000	117180000	10726	10729	10726_10729	0.0606857166946687	2.59920766833995
chr10	117210000	117230000	chr10	117310000	117340000	10730	10731	10730_10731	0.0559351548804898	2.11121265723663
chr10	117480000	117560000	chr10	118090000	118120000	10733	10736	10733_10736	0.0399076431476039	3.2
chr10	120940000	120970000	chr10	121710000	121750000	10765	10775	10765_10775	0.0143375566634238	3.67583473599051
chr10	128320000	128340000	chr10	128510000	128540000	10820	10821	10820_10821	0.123965853553353	2.59920766833995
chr10	132210000	132250000	chr10	132440000	132480000	10850	10853	10850_10853	0.142845554903646	2.59920766833995
chr11	2180000	2210000	chr11	2860000	2900000	10872	10878	10872_10878	0.0726553496957686	2.59920766833995
chr11	7080000	7150000	chr11	7960000	7980000	10907	10913	10907_10913	0.115820471044551	2.11121265723663
chr11	11010000	11050000	chr11	12020000	12070000	10948	10962	10948_10962	0.0350438042829155	2.11121265723663
chr11	11750000	11820000	chr11	12250000	12350000	10958	10963	10958_10963	0.160644237293079	2.59920766833995
chr11	14870000	14930000	chr11	15070000	15080000	10988	10989	10988_10989	0.0908227800344894	2.59920766833995
chr11	15970000	15990000	chr11	16590000	16650000	11003	11006	11003_11006	0.0798892635466175	2.11121265723663
chr11	17220000	17240000	chr11	17490000	17520000	11012	11014	11012_11014	0.0742193581886466	2.59920766833995
chr11	19930000	19970000	chr11	20350000	20360000	11034	11037	11034_11037	0.0683655045569304	3.2
chr11	27120000	27200000	chr11	27290000	27310000	11062	11063	11062_11063	0.0413389346517018	2.11121265723663
chr11	31380000	31420000	chr11	31860000	31890000	11087	11089	11087_11089	0.14368818191451	2.59920766833995
chr11	44090000	44130000	chr11	44240000	44320000	11185	11187	11185_11187	0.0761290401221601	3.67583473599051
chr11	44090000	44130000	chr11	44610000	44650000	11185	11190	11185_11190	0.102936644613948	2.59920766833995
chr11	44890000	44940000	chr11	45760000	45790000	11196	11206	11196_11206	0.112576981189388	2.59920766833995
chr11	46870000	46910000	chr11	47250000	47290000	11223	11228	11223_11228	0.0340914130112637	2.11121265723663
chr11	55940000	55950000	chr11	56760000	56800000	11239	11245	11239_11245	0.0305859651898349	3.2
chr11	56500000	56520000	chr11	56760000	56800000	11241	11245	11241_11245	0.0531072396812174	2.59920766833995
chr11	57450000	57470000	chr11	57630000	57680000	11250	11254	11250_11254	0.128477967319344	2.59920766833995
chr11	58640000	58680000	chr11	59100000	59120000	11264	11268	11264_11268	0.0197460273597703	3.67583473599051
chr11	68620000	68650000	chr11	69060000	69080000	11353	11362	11353_11362	0.114302176522483	3.2
chr1	176540000	176570000	chr1	176680000	176700000	1137	1138	1137_1138	0.0840909194938374	2.59920766833995
chr11	71960000	71980000	chr11	72410000	72440000	11386	11391	11386_11391	0.0826469651736415	3.2
chr11	72910000	72950000	chr11	73150000	73180000	11399	11400	11399_11400	0.0507899540485385	3.67583473599051
chr11	77180000	77220000	chr11	77610000	77630000	11439	11442	11439_11442	0.0410189921879731	2.11121265723663
chr11	79700000	79730000	chr11	80990000	81010000	11457	11462	11457_11462	0.100850343890524	3.67583473599051
chr11	81630000	81670000	chr11	82210000	82220000	11465	11467	11465_11467	0.138319469320098	2.59920766833995
chr11	81630000	81670000	chr11	82240000	82250000	11465	11468	11465_11468	0.0588513768825248	3.67583473599051
chr11	82850000	82930000	chr11	83160000	83190000	11475	11477	11475_11477	0.0875928699339225	2.59920766833995
chr11	83780000	83850000	chr11	84380000	84400000	11482	11483	11482_11483	0.0588513768825248	2.59920766833995
chr11	83780000	83850000	chr11	84520000	84530000	11482	11484	11482_11484	0.0387523031469123	2.59920766833995
chr1	177910000	177970000	chr1	178270000	178320000	1150	1152	1150_1152	0.0694961462123203	2.59920766833995
chr11	100570000	100590000	chr11	100920000	100950000	11547	11551	11547_11551	0.0740559051594106	2.11121265723663
chr1	179700000	179720000	chr1	180150000	180210000	1165	1169	1165_1169	0.0924106301587277	2.59920766833995
chr11	120490000	120530000	chr11	121180000	121200000	11683	11691	11683_11691	0.0874048907693995	3.2
chr1	180150000	180210000	chr1	180470000	180490000	1169	1172	1169_1172	0.127322953551074	2.11121265723663
chr11	122610000	122640000	chr11	122830000	122890000	11708	11710	11708_11710	0.0970770121998918	3.2
chr11	124950000	124970000	chr11	125340000	125360000	11729	11732	11729_11732	0.0663365145381806	3.2
chr11	126030000	126080000	chr11	126170000	126210000	11739	11740	11739_11740	0.111073234105291	3.2
chr11	131040000	131080000	chr11	131510000	131540000	11780	11782	11780_11782	0.0460768911702054	3.2
chr11	134360000	134390000	chr11	134560000	134600000	11801	11802	11801_11802	0.0671386713522862	3.2
chr12	3630000	3670000	chr12	3770000	3800000	11836	11838	11836_11838	0.0492639031659792	2.11121265723663
chr12	6620000	6630000	chr12	6820000	6850000	11865	11868	11865_11868	0.145683244526733	3.2
chr1	182380000	182450000	chr1	182760000	182800000	1187	1190	1187_1190	0.134098646830226	3.2
chr12	13250000	13280000	chr12	14140000	14180000	11918	11925	11918_11925	0.0317325055813326	3.67583473599051
chr12	13320000	13340000	chr12	14140000	14180000	11920	11925	11920_11925	0.139097886522637	3.2
chr12	25570000	25590000	chr12	26010000	26060000	11997	11999	11997_11999	0.128560996765106	2.59920766833995
chr12	29500000	29570000	chr12	30690000	30720000	12022	12031	12022_12031	0.150175721932737	2.11121265723663
chr12	42560000	42600000	chr12	42910000	42930000	12086	12088	12086_12088	0.042889118421154	3.67583473599051
chr12	51040000	51080000	chr12	51240000	51250000	12159	12160	12159_12160	0.133543300451513	3.2
chr12	57970000	58010000	chr12	58280000	58310000	12223	12225	12223_12225	0.0430965073942753	3.2
chr12	58840000	58870000	chr12	59080000	59120000	12229	12230	12229_12230	0.0564641649301053	2.11121265723663
chr12	62770000	62820000	chr12	63050000	63090000	12240	12242	12240_12242	0.0956068619145176	2.59920766833995
chr12	66260000	66280000	chr12	66680000	66710000	12263	12264	12263_12264	0.0418383885705887	2.59920766833995
chr12	71390000	71430000	chr12	71550000	71560000	12300	12301	12300_12301	0.107237487115845	2.11121265723663
chr12	79400000	79430000	chr12	79720000	79750000	12339	12343	12339_12343	0.098708316234719	4.22242531447326
chr12	94520000	94560000	chr12	94740000	94770000	12422	12424	12422_12424	0.0748882224486912	3.2
chr12	100810000	100840000	chr12	101290000	101340000	12474	12477	12474_12477	0.0147469506583561	3.67583473599051
chr12	105250000	105280000	chr12	105370000	105390000	12516	12517	12516_12517	0.0530133647159631	2.59920766833995
chr1	199670000	199700000	chr1	200270000	200320000	1251	1254	1251_1254	0.0251889178283167	3.2
chr12	112240000	112260000	chr12	112380000	112400000	12582	12583	12582_12583	0.043307441395328	2.11121265723663
chr12	116230000	116290000	chr12	116670000	116720000	12617	12622	12617_12622	0.0681466586022927	2.59920766833995
chr12	122040000	122060000	chr12	122180000	122200000	12675	12676	12675_12676	0.064988666931574	2.59920766833995
chr12	128760000	128790000	chr12	129890000	129940000	12707	12712	12707_12712	0.0596702029505931	3.2
chr12	130030000	130060000	chr12	130170000	130190000	12716	12717	12716_12717	0.00439827700706757	3.2
chr13	23700000	23720000	chr13	23850000	23890000	12762	12764	12762_12764	0.0549621379165926	2.59920766833995
chr13	27510000	27550000	chr13	27960000	28000000	12782	12784	12782_12784	0.0890644980640447	2.59920766833995
chr13	28800000	28820000	chr13	29360000	29370000	12790	12794	12790_12794	0.0059795171043589	2.59920766833995
chr13	33200000	33240000	chr13	33520000	33570000	12830	12834	12830_12834	0.151932389716357	3.2
chr13	33200000	33240000	chr13	33710000	33740000	12830	12836	12830_12836	0.121330182129555	2.11121265723663
chr13	35200000	35230000	chr13	35720000	35740000	12847	12849	12847_12849	0.160900482538861	2.59920766833995
chr13	43070000	43110000	chr13	43860000	43880000	12917	12922	12917_12922	0.0788113476336632	2.11121265723663
chr13	49940000	50000000	chr13	51060000	51080000	12975	12982	12975_12982	0.0333229748847866	3.67583473599051
chr13	96010000	96030000	chr13	96800000	96820000	13068	13071	13068_13071	0.0722515251826952	2.59920766833995
chr13	97840000	97870000	chr13	98400000	98470000	13079	13082	13079_13082	0.0884689114931424	2.11121265723663
chr13	101500000	101520000	chr13	101750000	101770000	13099	13100	13099_13100	0.011050378716569	3.2
chr14	22380000	22400000	chr14	22470000	22480000	13172	13173	13172_13173	0.0507071513064597	2.59920766833995
chr14	25420000	25440000	chr14	25530000	25550000	13200	13201	13200_13201	0.0138438196035943	2.11121265723663
chr14	28740000	28780000	chr14	30190000	30240000	13212	13224	13212_13224	0.0745085547350112	3.67583473599051
