chr	pos	w	Order
chr1	0	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1360000	3|4	2
chr1	1640000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	15
chr1	1920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	16
chr1	2160000	4|5	2
chr1	2400000	3|4|5|6	4
chr1	2680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3000000	3|4|5	3
chr1	3440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16	14
chr1	3880000	18|19|20|21	4
chr1	3920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|22|23|24|25|26|27|28	22
chr1	4600000	4|5	2
chr1	5280000	4	1
chr1	5360000	8	1
chr1	5400000	5|6|7	3
chr1	5840000	3|4|5|6	4
chr1	6000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	6200000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	6240000	3|4|5	3
chr1	6440000	4|29	2
chr1	6480000	3	1
chr1	6640000	19|20|21|22|23|24|25|26|27|28|30|31|32|33|34|35|36|37|38|39|40	21
chr1	6680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	16
chr1	7160000	10	1
chr1	7200000	3|5|6|7	4
chr1	7240000	4	1
chr1	7640000	3|4|5|6|7	5
chr1	7680000	8	1
chr1	7960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8560000	3	1
chr1	8720000	3	1
chr1	8880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9000000	7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|24|25|26|27|29|30|31	23
chr1	9080000	4	1
chr1	9240000	5|8|23|28|33|34|35|38|39|40	10
chr1	9280000	3|4	2
chr1	9600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9880000	14|19|26	3
chr1	9920000	25|27	2
chr1	10440000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	10480000	3|4	2
chr1	11000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	11240000	9|10|12|13|14|15|17|18|19|36	10
chr1	11280000	3|4|5|6|7|8	6
chr1	11640000	3|4|5|6|7	5
chr1	11800000	3|4|5|7|8|9|10|12|13|14|15|16|17|18|19|20|22|26	18
chr1	12040000	3|4|5|7|8|9|10|11|12|13|14|15|16|17|18|19|20	17
chr1	12080000	6	1
chr1	12240000	3|6|7|8|9|10|11|12|13	9
chr1	12280000	4|5	2
