chr	pos	w	Order
chr1	40000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	960000	3	1
chr1	1320000	3|4|5|6|7|8	6
chr1	1520000	3	1
chr1	1680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1920000	3|4	2
chr1	2120000	8	1
chr1	2400000	3|4|5|6	4
chr1	2680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3040000	3|4|5|6	4
chr1	3440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	3640000	3	1
chr1	3800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25	23
chr1	3880000	3	1
chr1	3960000	32	1
chr1	4640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	22
chr1	4840000	3|4	2
chr1	5480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16	14
chr1	5520000	17|18	2
chr1	6000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	6200000	6|7|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	32
chr1	6240000	3|4|5	3
chr1	6440000	26|27|28|29|30|31|32|33|35|36|37|38|39|40	14
chr1	6480000	3|4|13|14|15|16|17|18|19|20|21|22|23|24|25|34	16
chr1	6520000	5|6|7|8|9|10|11|12	8
chr1	6680000	3|4|5|6|7|8	6
chr1	7200000	3|4|5|6|7|8|9|10|11|12	10
chr1	7640000	3|4|5|6|7|8|9|10|12	9
chr1	7680000	11|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	29
chr1	7760000	20|21|22|23|24|25|26|27|28|31	10
chr1	7920000	11|15|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|35|36|37|38|39|40	23
chr1	7960000	3|4|5|6|7|8|9|10|12|13|14|16|17|18|34	15
chr1	8320000	3	1
chr1	8360000	4|5|6|7|8|9|10|11|12|13|14|15	12
chr1	8440000	10	1
chr1	8840000	3|4|5|6|7|8	6
chr1	8880000	9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33	25
chr1	9000000	7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|29|30|31|32|33|34|35|36	28
chr1	9120000	6|11|27|28|30|31|32|37|38|39	10
