SampleID	breakpoint_ID	N
PCa13266	0	0
PCa13266	1	2
PCa13266	2	0
PCa13266	3	0
PCa13266	4	0
PCa13266	5	0
PCa13848	6	0
PCa13848	7	0
PCa13848	8	69
PCa13848	9	39
PCa13848	10	13
PCa13848	11	79
PCa13848	12	94
PCa13848	13	37
PCa13848	14	4
PCa13848	15	6
PCa13848	16	116
PCa13848	17	15
PCa13848	18	202
PCa13848	19	9
PCa13848	20	71
PCa13848	21	9
PCa13848	22	7
PCa13848	23	25
PCa13848	24	45
PCa13848	25	30
PCa13848	26	53
PCa13848	27	107
PCa13848	28	60
PCa13848	29	26
PCa13848	30	18
PCa13848	31	77
PCa13848	32	14
PCa13848	33	23
PCa13848	34	21
PCa13848	35	5
PCa13848	36	16
PCa13848	37	3
PCa13848	38	0
PCa13848	39	3
PCa13848	40	53
PCa13848	41	111
PCa13848	42	37
PCa13848	43	126
PCa13848	44	13
PCa13848	45	76
PCa13848	46	68
PCa14121	47	0
PCa14121	48	5
PCa14121	49	0
PCa14121	50	0
PCa14121	51	0
PCa14121	52	0
PCa14121	53	4
PCa14121	54	0
PCa14121	55	0
PCa14121	56	0
PCa14121	57	1
PCa14121	58	0
PCa19121	59	5
PCa19121	60	0
PCa19121	61	4
PCa19121	62	2
PCa19121	63	20
PCa19121	64	40
PCa19121	65	0
PCa19121	66	0
PCa19121	67	12
PCa19121	68	4
PCa19121	69	20
PCa19121	70	0
PCa19121	71	20
PCa19121	72	6
PCa19121	73	28
PCa19121	74	15
PCa19121	75	29
PCa19121	76	42
PCa3023	77	0
PCa3023	78	2
PCa3023	79	0
PCa3023	80	0
PCa3023	81	8
PCa3023	82	0
PCa3023	83	1
PCa3023	84	1
PCa3023	85	0
PCa3023	86	3
PCa3023	87	0
PCa3023	88	1
PCa3023	89	0
PCa3023	90	0
PCa3023	91	7
PCa3023	92	58
PCa3023	93	1
PCa3023	94	13
PCa3023	95	13
PCa3023	96	12
PCa3023	97	15
PCa3023	98	0
PCa3023	99	33
PCa3023	100	20
PCa3023	101	1
PCa3023	102	2
PCa3023	103	20
PCa3023	104	11
PCa3023	105	67
PCa3023	106	0
PCa3023	107	8
PCa3023	108	0
PCa3023	109	46
PCa3023	110	1
PCa3023	111	42
PCa3023	112	7
PCa3023	113	8
PCa3023	114	52
PCa3023	115	0
PCa33173	116	94
PCa33173	117	20
PCa33173	118	32
PCa40507	119	7
PCa40507	120	29
PCa40507	121	1
PCa40507	122	12
PCa40507	123	43
PCa40507	124	41
PCa40507	125	16
PCa40507	126	0
PCa40507	127	116
PCa40507	128	3
PCa40507	129	4
PCa40507	130	1
PCa40507	131	3
PCa40507	132	3
PCa40507	133	58
PCa40507	134	16
PCa40507	135	61
PCa40507	136	46
PCa40507	137	13
PCa40507	138	0
PCa40507	139	58
PCa40507	140	23
PCa40507	141	7
PCa40507	142	0
PCa40507	143	24
PCa40507	144	130
PCa40507	145	24
PCa40507	146	3
PCa40507	147	32
PCa40507	148	35
PCa40507	149	43
PCa40507	150	5
PCa40507	151	3
PCa40507	152	52
PCa40507	153	49
PCa40507	154	3
PCa40507	155	3
PCa40507	156	27
PCa40507	157	84
PCa40507	158	17
PCa40507	159	95
PCa40507	160	11
PCa40507	161	40
PCa40507	162	156
PCa40507	163	13
PCa40507	164	63
PCa40507	165	78
PCa40507	166	20
PCa40507	167	278
PCa51852	168	2
PCa51852	169	0
PCa51852	170	25
PCa51852	171	0
PCa51852	172	17
PCa51852	173	7
PCa51852	174	8
PCa51852	175	36
PCa51852	176	15
PCa51852	177	8
PCa51852	178	9
PCa51852	179	35
PCa53687	180	0
PCa53687	181	0
PCa53687	182	23
PCa53687	183	10
PCa53687	184	42
PCa53687	185	0
PCa53687	186	1
PCa53687	187	1
PCa53687	188	1
PCa53687	189	16
PCa53687	190	3
PCa53687	191	25
PCa53687	192	28
PCa53687	193	21
PCa53687	194	126
PCa53687	195	98
PCa53687	196	18
PCa53687	197	17
PCa53687	198	3
PCa53687	199	0
PCa53687	200	20
PCa53687	201	19
PCa56413	202	52
PCa56413	203	69
PCa56413	204	108
PCa56413	205	0
PCa56413	206	1
PCa56413	207	39
PCa56413	208	19
PCa56413	209	0
PCa56413	210	0
PCa56413	211	58
PCa56413	212	3
PCa56413	213	0
PCa56413	214	0
PCa56413	215	6
PCa56413	216	0
PCa56413	217	0
PCa56413	218	2
PCa56413	219	7
PCa56413	220	5
PCa56413	221	5
PCa56413	222	47
PCa56413	223	87
PCa56413	224	0
PCa56413	225	7
PCa56413	226	0
PCa56413	227	2
PCa56413	228	0
PCa56413	229	0
PCa56413	230	6
PCa56413	231	2
PCa56413	232	0
PCa56413	233	26
PCa56413	234	2
PCa56413	235	8
PCa56413	236	15
PCa56413	237	49
PCa56413	238	41
PCa56413	239	0
PCa56413	240	6
PCa56413	241	0
PCa56413	242	1
PCa56413	243	23
PCa56413	244	0
PCa56413	245	1
PCa56413	246	2
PCa56413	247	0
PCa56413	248	1
PCa56413	249	2
PCa56413	250	39
PCa56413	251	3
PCa56413	252	9
PCa56413	253	8
PCa56413	254	2
PCa56413	255	8
PCa56413	256	12
PCa56413	257	15
PCa56413	258	32
PCa56413	259	33
PCa56413	260	4
PCa56413	261	4
PCa56413	262	1
PCa56413	263	2
PCa56413	264	20
PCa56413	265	7
PCa56413	266	75
PCa56413	267	2
PCa56413	268	19
PCa56413	269	71
PCa56413	270	0
PCa56413	271	34
PCa56413	272	5
PCa56413	273	21
PCa56413	274	19
PCa56413	275	4
PCa56413	276	34
PCa56413	277	54
PCa56413	278	3
PCa56413	279	0
PCa56413	280	23
PCa56413	281	0
PCa56413	282	72
PCa56413	283	3
PCa56413	284	35
PCa56413	285	12
PCa56413	286	3
PCa56413	287	33
PCa56413	288	24
PCa56413	289	224
PCa56413	290	80
PCa56413	291	84
PCa56413	292	11
PCa56413	293	19
PCa56413	294	30
PCa56413	295	16
PCa56413	296	0
PCa57294	297	110
PCa57294	298	31
PCa57294	299	156
PCa57294	300	127
PCa57294	301	83
PCa57294	302	9
PCa57294	303	1
PCa57294	304	24
PCa57294	305	64
PCa58215	306	16
PCa58215	307	2
PCa58215	308	9
PCa58215	309	5
PCa58215	310	48
PCa58215	311	80
PCa58215	312	12
PCa58215	313	2
PCa58215	314	26
PCa58215	315	16
PCa58215	316	16
