chr	start	end	strand	target_id	gene_name	pval	qval	num_aggregated_transcripts	sum_mean_obs_counts
chr16	81006498	81033114	+	ENSG00000166451.13	CENPN	4.98373861255468e-17	9.74121549209937e-13	8	39.9918470546287
chr11	85694224	85811159	-	ENSG00000137501.17	SYTL2	1.009934060816e-11	9.87008557635472e-08	19	90.4171005907352
chr2	164653624	164843679	-	ENSG00000082438.17	COBLL1	5.37370573972087e-10	3.50114841295281e-06	19	97.3478912029857
chr5	179678628	179731641	+	ENSG00000127022.15	CANX	2.86095466646932e-09	1.39800549777023e-05	12	39.4084015669274
chr5	87318416	87412930	-	ENSG00000134480.15	CCNH	1.16641422232263e-07	0.000455974647790361	12	64.0191903019435
chr5	56909260	56925532	+	ENSG00000155542.12	SETD9	1.62547473133869e-07	0.0005295254849791	5	18.3120647070426
chr7	69598296	70793506	+	ENSG00000158321.18	AUTS2	2.00173662072867e-07	0.000558942056982323	23	78.4555157859529
chr19	3777970	3802129	-	ENSG00000007264.15	MATK	2.65306955305459e-06	0.00648211218550063	6	16.5191602823086
chr5	32689070	32791724	+	ENSG00000113389.16	NPR3	3.42818310702008e-06	0.0073411541865208	5	27.6110649629472
chr19	11384341	11419342	-	ENSG00000205517.12	RGL3	3.75583453725611e-06	0.0073411541865208	13	37.4688566404501
chr2	237485428	237555322	+	ENSG00000115648.14	MLPH	5.18294746648469e-06	0.00920962647090089	21	124.189789391694
chr16	84368527	84464187	+	ENSG00000064270.12	ATP2C2	6.31599677156239e-06	0.0102877060747465	13	49.6658885753697
chr5	58969038	60522120	-	ENSG00000113448.19	PDE4D	7.07635806991516e-06	0.0106395765257355	26	134.868893418407
chr2	24077433	24085861	-	ENSG00000115129.14	TP53I3	2.1098895694815e-05	0.0294570725179181	5	19.7688597424675
chr2	106063246	106078155	+	ENSG00000119147.10	ECRG4	2.39112417135098e-05	0.0311579420354841	2	8.84194514649492
chr8	25184689	25418082	+	ENSG00000147459.18	DOCK5	3.73173833179233e-05	0.0410932882335615	11	51.7388587973619
chr11	307631	315272	+	ENSG00000185201.16	IFITM2	3.75634733234508e-05	0.0410932882335615	5	19.7374481622792
chr5	76170930	76171106	+	ENSG00000251668.2	AC113404.2	3.9328015051713e-05	0.0410932882335615	1	3.01220888728644
chr1	42682418	42703805	+	ENSG00000065978.19	YBX1	4.02886872869429e-05	0.0410932882335615	4	29.8748814443774
chr1	20028179	20091911	+	ENSG00000127472.11	PLA2G5	4.20477726732441e-05	0.0410932882335615	7	23.4723929355727
chr15	26543546	26939539	-	ENSG00000166206.15	GABRB3	4.75524690777728e-05	0.0442600266949594	16	59.0023014491523
chr5	62347284	62403939	-	ENSG00000086189.10	DIMT1	6.42988277381351e-05	0.057126585771345	6	30.4112849140568
chr19	51889235	51905040	-	ENSG00000198093.11	ZNF649	6.77251223669262e-05	0.0575545757297365	7	40.8542597486093
chr9	137220247	137221581	-	ENSG00000212864.3	RNF208	7.23356208323567e-05	0.0589113351995519	2	5.5050669243401
chr11	134378504	134412242	-	ENSG00000109956.13	B3GAT1	8.04984098338311e-05	0.0629368767444825	5	26.4400227647458
chr9	127224265	127393660	+	ENSG00000136895.19	GARNL3	8.82329972002912e-05	0.0647209602633509	20	68.8401420714179
chr8	66432492	66468907	+	ENSG00000147576.17	ADHFE1	8.9402738519926e-05	0.0647209602633509	10	37.4840714824225
chr7	100352176	100367733	+	ENSG00000121716.20	PILRB	9.75516803531931e-05	0.0680980408636969	11	49.1506678051577
chrX	129803288	129843909	-	ENSG00000188706.13	ZDHHC9	0.000113217523825593	0.07630861105845	5	24.8128413679731
chr8	71197433	71592025	-	ENSG00000104313.20	EYA1	0.000124406789798796	0.081055170446909	19	64.0784758093504
chr15	86079973	87029052	+	ENSG00000273540.4	AGBL1	0.000141819587718	0.0894195374689043	2	5.50994308495328
chr3	57293699	57544344	-	ENSG00000174844.14	DNAH12	0.000163446315628449	0.0998350526648018	2	7.96605821017065
chr12	109573255	109598125	+	ENSG00000110921.14	MVK	0.000188377729803562	0.111576700204255	10	36.1236442091934
chr4	35948221	36244514	-	ENSG00000047365.12	ARAP2	0.000200130139135063	0.11505128528041	10	41.0290110953566
chr7	76521611	76522074	+	ENSG00000250778.1	AC004980.5	0.000236900456316703	0.127832234005254	1	1.36716289397805
chr22	26169462	26383597	+	ENSG00000100095.19	SEZ6L	0.000248791065811062	0.127832234005254	1	2.17058594781515
chrX	70925579	70931125	-	ENSG00000165349.12	SLC7A3	0.000251640253998765	0.127832234005254	2	9.16764692502784
chr14	23953734	23969279	+	ENSG00000157326.19	DHRS4	0.000253906091109066	0.127832234005254	6	21.0385874184633
chr5	7396138	7830081	+	ENSG00000078295.17	ADCY2	0.000255062781449141	0.127832234005254	7	25.6483257747386
chr16	10326434	10483638	+	ENSG00000166669.13	ATF7IP2	0.000301387461796815	0.145673422333456	10	26.7330325690521
chr5	151437046	151492379	+	ENSG00000123643.13	SLC36A1	0.000305566884051556	0.145673422333456	7	32.6969385862993
chr7	94394895	94431227	+	ENSG00000164692.18	COL1A2	0.000316654664165699	0.146712984694985	9	48.463633492532
chr12	91140484	91182824	-	ENSG00000011465.17	DCN	0.000322759559085459	0.146712984694985	14	65.8460118239784
chr20	43558968	43588237	+	ENSG00000101049.17	SGK2	0.000330700024894575	0.146905970149758	5	13.4293619646936
chr10	100969458	100987515	-	ENSG00000055950.16	MRPL43	0.000365706896912014	0.158846822378716	10	37.2444633791283
chr4	79901146	80125454	-	ENSG00000163297.17	ANTXR2	0.000382985339700864	0.16273546629985	8	51.6848511177406
chr12	4273762	4305353	+	ENSG00000118971.8	CCND2	0.000413817426577762	0.172095221699765	4	17.7222431931168
chr8	73294602	73325281	+	ENSG00000121039.10	RDH10	0.000443952469296046	0.180781145101261	5	23.7072014612305
chr10	15513954	15719922	-	ENSG00000077943.8	ITGA8	0.000471159364181902	0.183693775495308	3	13.906314792933
chr12	113221050	113298585	+	ENSG00000186815.12	TPCN1	0.000490673091252442	0.183693775495308	15	53.8362558385494
chr14	31446036	31457506	-	ENSG00000129480.13	DTD2	0.000497039304216046	0.183693775495308	3	14.9585309862948
chr7	107660828	107717809	+	ENSG00000091137.14	SLC26A4	0.000497834364546304	0.183693775495308	5	14.1138119511733
chr17	1716523	1738599	+	ENSG00000167716.18	WDR81	0.000498095267637948	0.183693775495308	3	12.0411821036565
chr11	57528464	57530803	-	ENSG00000134809.9	TIMM10	0.000534567229838825	0.193493538415364	3	9.03822300717278
chr16	11868128	11916082	-	ENSG00000103342.13	GSPT1	0.000600547898997235	0.213423804250908	10	54.1555982702356
chr15	26971181	27541984	+	ENSG00000182256.13	GABRG3	0.000773656624634154	0.269568041460223	8	30.0568698901993
chr9	114784652	114806039	-	ENSG00000181634.8	TNFSF15	0.000786113699131929	0.269568041460223	2	12.4487321774758
chr15	43746410	43773278	+	ENSG00000167004.13	PDIA3	0.000808222972103454	0.272371141598864	6	38.2798669017721
chr19	11089462	11133820	+	ENSG00000130164.14	LDLR	0.00085899003275376	0.284573206444153	11	46.7332060454013
chr4	47593999	47838106	-	ENSG00000145244.12	CORIN	0.000956084335832195	0.304592610965614	8	25.8977875071493
chr20	62877738	62937952	-	ENSG00000101191.17	DIDO1	0.000958826382125186	0.304592610965614	6	34.2506491116469
chr11	34438934	34472060	+	ENSG00000121691.7	CAT	0.000966169133319761	0.304592610965614	6	27.8836816108849
chr7	100428790	100434118	+	ENSG00000146834.14	MEPCE	0.00102073068885733	0.316685746736593	3	18.1764007037874
chr6	30908207	30914106	+	ENSG00000213780.11	GTF2H4	0.00105668739878316	0.322508403955634	2	4.78218469787666
chr9	17906563	18910950	+	ENSG00000178031.17	ADAMTSL1	0.00108270803580964	0.322508403955634	11	35.0876139898446
chr10	122560665	122643740	+	ENSG00000187908.19	DMBT1	0.00108899798736682	0.322508403955634	2	3.96732269824932
chr20	50081124	50153637	-	ENSG00000124208.16	TMEM189-UBE2V1	0.00118962985106032	0.346280361223517	1	3.6841863241459
chr11	44065925	44084237	+	ENSG00000110455.14	ACCS	0.00122593539237876	0.346280361223517	11	37.3579200033219
chr2	201233443	201287711	+	ENSG00000064012.22	CASP8	0.00122911314420943	0.346280361223517	16	54.3021146633982
chr19	19623655	19628930	-	ENSG00000064547.14	LPAR2	0.00124490215760636	0.346280361223517	6	18.7145283750542
chr19	50882096	50896398	-	ENSG00000197588.9	KLKP1	0.00129473481913041	0.346280361223517	2	11.2048570027055
chr2	164896186	164955525	-	ENSG00000169507.9	SLC38A11	0.00130405754356773	0.346280361223517	9	44.5814473359914
chr12	111686056	111757107	+	ENSG00000111271.14	ACAD10	0.00130590643579251	0.346280361223517	19	67.0500454207875
chr6	52264014	52284881	-	ENSG00000112118.20	MCM3	0.00131099696769366	0.346280361223517	3	10.6234439744257
chr22	17116297	17121367	-	ENSG00000183307.4	TMEM121B	0.00134332379672271	0.349145513044397	1	6.79354549417065
chr1	203178931	203186704	-	ENSG00000133048.13	CHI3L1	0.00135756978365774	0.349145513044397	2	7.61643110052114
chr2	24789734	24793382	-	ENSG00000184924.5	PTRHD1	0.00142826913850757	0.362557773782714	2	12.1552714961604
chr11	66685248	66729226	-	ENSG00000173898.13	SPTBN2	0.00154024312461408	0.385969129662909	13	61.209041141404
chr1	100345001	100520277	+	ENSG00000079335.20	CDC14A	0.00159050805530097	0.393519879100161	13	57.9609584361076
chr5	73626158	73941993	+	ENSG00000214944.9	ARHGEF28	0.00162843902571755	0.395059225712864	11	35.2107594621738
chr9	35161992	35405338	+	ENSG00000198722.14	UNC13B	0.00163715324274747	0.395059225712864	9	56.1777651001819
chr16	80966448	81020270	-	ENSG00000103121.9	CMC2	0.00165828351292878	0.395155013813905	17	53.995607291831
chr17	35128730	35142304	-	ENSG00000073536.18	NLE1	0.00167798353353904	0.395155013813905	7	28.5333248328617
chr4	48986275	49062081	+	ENSG00000109182.12	CWH43	0.00174960537415706	0.402567145986001	5	28.6884473445163
chr1	75202131	75611116	-	ENSG00000137968.16	SLC44A5	0.00177881835014078	0.402567145986001	2	8.25617448189581
chrX	15464246	15556529	+	ENSG00000102010.15	BMX	0.00180524191694482	0.402567145986001	3	5.35235381466306
chr10	68956170	68985068	+	ENSG00000165732.13	DDX21	0.00180688647350576	0.402567145986001	2	14.1114777033751
chr18	2847006	2916003	+	ENSG00000132205.11	EMILIN2	0.00181243777994311	0.402567145986001	3	14.6390548699374
chr17	39904595	39919854	-	ENSG00000073605.18	GSDMB	0.00191871412057565	0.414671130331471	11	32.0043667622563
chr2	195575977	195737702	+	ENSG00000196950.14	SLC39A10	0.00192637523614962	0.414671130331471	9	41.8783586063746
chr6	31927698	31952048	+	ENSG00000244255.5	AL645922.1	0.00194195031786039	0.414671130331471	1	1.92263347955856
chr9	69324567	69392558	+	ENSG00000135063.19	FAM189A2	0.00195179289831655	0.414671130331471	8	43.2279792793866
chrX	116436606	116461458	+	ENSG00000268104.3	SLC6A14	0.00200739606100805	0.421898531273799	1	6.31914445090714
chr22	42500568	42512560	+	ENSG00000172250.16	SERHL	0.00214994723559739	0.447051794329644	5	24.5349534914361
chr9	68328308	68531061	+	ENSG00000154330.13	PGM5	0.00217581103038324	0.44766739368285	6	30.6004152645166
chr11	130068147	130144811	+	ENSG00000084234.17	APLP2	0.00219910468891244	0.447746877598776	15	75.0278961741284
chr5	158695916	159099916	-	ENSG00000164330.17	EBF1	0.00223320718480514	0.450002759115476	11	31.3853514594268
chr20	46499630	46513559	-	ENSG00000198185.11	ZNF334	0.00226814826127469	0.452379856274236	6	32.236306376024
chr6	127438406	127459389	-	ENSG00000189367.15	KIAA0408	0.00236654229096351	0.467236723425987	5	22.2464335037564
chr7	27461766	27462969	+	ENSG00000213781.3	PSMC1P2	0.00243682199917482	0.472741184508901	1	1.60940051744228
chr11	64244479	64246943	-	ENSG00000173457.11	PPP1R14B	0.00245667815075944	0.472741184508901	3	12.7102161412151
chr4	112274537	112285904	-	ENSG00000145365.11	TIFA	0.00246698049830696	0.472741184508901	2	12.1726864712134
chr16	69950705	69964452	+	ENSG00000157322.17	CLEC18A	0.00249581756021636	0.473623786718339	4	11.8926187536663
chr3	55508311	56468467	-	ENSG00000187672.13	ERC2	0.00257720563689324	0.48436597479534	8	23.7779131166721
chr7	90245174	90311063	+	ENSG00000105792.19	CFAP69	0.00261295559253936	0.486407904874041	12	61.461403388119
chr16	56730118	56850286	+	ENSG00000102900.13	NUP93	0.00264674080500497	0.488049016741765	17	65.3410248036461
chr8	81656914	81686331	-	ENSG00000133731.10	IMPA1	0.00270793001510954	0.490464572463808	9	35.8143720672076
chr14	105736343	105743071	-	ENSG00000211896.7	IGHG1	0.00271002628804314	0.490464572463808	2	10.0954905365074
chrX	48761747	48773648	+	ENSG00000171433.12	GLOD5	0.00282934412236742	0.505900561092032	1	2.09786925504548
chr16	30192932	30194306	-	ENSG00000169627.9	BOLA2B	0.00284708184386184	0.505900561092032	4	15.2845114484088
chr17	37977972	37989048	-	ENSG00000274512.5	TBC1D3L	0.00303763355993693	0.534897167229975	2	12.1287231559172
chr8	60185412	60281400	-	ENSG00000178538.10	CA8	0.00310441830220157	0.540906176391709	4	13.1297474992451
chr19	41262496	41307787	+	ENSG00000105323.17	HNRNPUL1	0.00312710518429669	0.540906176391709	16	64.7241382039842
chr13	111114559	111305737	+	ENSG00000102606.18	ARHGEF7	0.00319411545880335	0.547650708401494	17	75.2300255677596
chr11	24496970	25082638	+	ENSG00000187398.12	LUZP2	0.00327972401655936	0.556882739609335	8	39.1139674603815
chr1	16562319	16613562	-	ENSG00000219481.10	NBPF1	0.00331405496365831	0.556882739609335	7	45.6951542033828
chr1	54849627	54887195	-	ENSG00000116133.13	DHCR24	0.00333343295478831	0.556882739609335	10	46.700149846377
chr6	105157900	105180014	-	ENSG00000132429.10	POPDC3	0.00345222513018468	0.563606781627233	3	7.34903534101925
chr2	73892314	73919865	+	ENSG00000163017.14	ACTG2	0.00346782389189146	0.563606781627233	7	37.3626649298044
chr19	49496365	49499708	+	ENSG00000142534.7	RPS11	0.00348202887161316	0.563606781627233	9	41.4310108054307
chr3	177010719	177011067	-	ENSG00000231888.1	MTND5P15	0.00348902182425536	0.563606781627233	1	1.57318162489871
chr3	24117153	24495756	-	ENSG00000151090.19	THRB	0.00356340772885173	0.566998559900536	17	63.4651861761827
chr1	65147549	65232145	+	ENSG00000162433.15	AK4	0.00358791375997858	0.566998559900536	7	40.4029269770691
chr12	118149801	118372907	-	ENSG00000135090.14	TAOK3	0.00359704396949076	0.566998559900536	15	71.5046440643579
chrX	49922596	50099235	+	ENSG00000171365.17	CLCN5	0.00363947475999172	0.569097389270386	9	34.9880432930619
chr19	2732204	2740028	-	ENSG00000141873.11	SLC39A3	0.0038141949230784	0.580943106430832	6	23.5087884180182
chr17	81035122	81117432	+	ENSG00000175866.15	BAIAP2	0.00382521685191733	0.580943106430832	28	124.02420261347
chr6	51615299	52087613	-	ENSG00000170927.15	PKHD1	0.00384386801618758	0.580943106430832	1	5.53631341445561
chr1	213051233	213274774	+	ENSG00000136643.12	RPS6KC1	0.00385079738628076	0.580943106430832	9	59.7699530329026
chr3	138944224	138947137	-	ENSG00000183770.7	FOXL2	0.00386383934493032	0.580943106430832	1	3.13390456354925
chr2	113107214	113134016	+	ENSG00000136689.18	IL1RN	0.00393464960381197	0.584925520781064	4	8.64244539682168
chr3	50674927	51384198	+	ENSG00000088538.13	DOCK3	0.0039501774656247	0.584925520781064	1	5.47605676225358
chr19	51964340	51986856	-	ENSG00000256683.7	ZNF350	0.00403909734156867	0.590235065450334	9	42.9721865076359
