chr	pos	w	Order
chr1	0	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1000000	3|4|5	3
chr1	1080000	3	1
chr1	1280000	3|4|5|6	4
chr1	1360000	3|6|7|8|9|10|11|12|13|14	10
chr1	1520000	3|4|5	3
chr1	1640000	3|4|6|7|9|10|11|12|14|15|16|17|18	13
chr1	1760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23	21
chr1	1920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	26
chr1	2080000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32	27
chr1	2160000	3|4|5|32	4
chr1	2400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2560000	26|27	2
chr1	2640000	3|4|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	2760000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|33|34|35|36|37|38|39|40	27
chr1	3000000	3|4|5|6|7	5
chr1	3440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|32|33|34|35|36|37|38|39|40	35
chr1	3880000	16|17|18|19|20|21|22|23|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr1	3920000	3|4|5|6|7|8|9|10|11|12|13|14|15|24	14
chr1	4640000	3	1
chr1	5480000	7	1
chr1	5520000	4|5	2
chr1	5840000	6|7	2
chr1	6000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	6160000	21|22|23	3
chr1	6200000	5|6|7|8|9|10|11|12|13|14|15|16|37|39|40	15
chr1	6240000	3|4	2
chr1	6440000	3|4|28	3
chr1	6480000	17	1
chr1	6680000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	31
chr1	6720000	3	1
chr1	6960000	3|4|5	3
chr1	7200000	3	1
chr1	7640000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	7680000	16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	25
chr1	7760000	7|8|9|10|14|15|16|19|20	9
chr1	7960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8320000	3|4	2
chr1	8360000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	8560000	3	1
chr1	8720000	3	1
chr1	8880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9000000	9|10|11|12|13|39|40	7
chr1	9120000	4|5|6|7|8|13|14|15|16|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|36|37|38|39|40	29
chr1	9240000	3|4|5|6|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37	34
chr1	9480000	3	1
