chr	pos	w	Order
chr1	0	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1000000	4	1
chr1	1080000	3	1
chr1	1280000	3|4|5|6	4
chr1	1360000	6|7|8|9|10|12|13	7
chr1	1520000	3	1
chr1	1760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22	20
chr1	1920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	16
chr1	2080000	6|7|8|9|10|11|12	7
chr1	2160000	4|5	2
chr1	2400000	3|4|5|6	4
chr1	2680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3000000	3|4	2
chr1	3440000	3|4|5|6|7|8|9|10|11|12|13	11
chr1	3640000	3	1
chr1	3880000	13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	15
chr1	4640000	3|4|5|6|7|8	6
chr1	5480000	3	1
chr1	5520000	4	1
chr1	6000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	6160000	7|8|9|10|11|13|14|16|17|18|22|23|39|40	14
chr1	6240000	3|4|5	3
chr1	6440000	3|4|25|26|27|28|29|30|31|32|33|34|35|36|37	15
chr1	6480000	38|39|40	3
chr1	6640000	14|19|20|21|22|23|24|25|27|34|37|38|39|40	14
chr1	6680000	6|7|8|9|10|11|12|13|15|16|17|18	12
chr1	6720000	3|4|5	3
chr1	6960000	3	1
chr1	7200000	3	1
chr1	7240000	5	1
chr1	7640000	3|4|5|6|7|8|9|10|11	9
chr1	7680000	12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	29
chr1	7760000	7|18|19|28|30|32	6
chr1	7960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8720000	3	1
chr1	8840000	4|6	2
chr1	8880000	3|5|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	9120000	3|4|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	25
chr1	9240000	3|4|5|6|7|16|17|18|19|20|21|22|24|27|28|29|30|31|32|33|34	21
chr1	9600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9880000	3|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|34|35|36|37	30
chr1	9920000	4	1
chr1	10440000	9|10|11|12|13|14|15|16|17|18|19|26|31|33|34|35|36|37|38|39	20
chr1	10480000	3|4|5|6|7|8|20|21|22|23|24|25|27|28|29|30|32|40	18
chr1	11000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
