chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale
chr10	12190000	12210000	chr10	13050000	13100000	10001	10011	10001_10011	0.0671125704963535	3.67583473599051
chr10	63160000	63210000	chr10	63790000	63820000	10387	10394	10387_10394	0.095045904944136	4.52548339959391
chr10	112530000	112590000	chr10	113110000	113150000	10692	10695	10692_10695	0.147833088818683	3.2
chr10	115340000	115360000	chr10	116380000	116400000	10715	10722	10715_10722	0.0798417457581091	2.59920766833995
chr11	35810000	35830000	chr11	36120000	36150000	11119	11121	11119_11121	0.0448893686812577	3.2
chr11	110180000	110210000	chr11	110420000	110480000	11585	11588	11585_11588	0.135513702727318	2.59920766833995
chr1	180620000	180650000	chr1	180840000	180910000	1174	1175	1174_1175	0.0870127972531809	2.11121265723663
chr12	80410000	80420000	chr12	80750000	80770000	12347	12349	12347_12349	0.0456459830328454	2.59920766833995
chr12	122940000	123030000	chr12	123590000	123620000	12682	12688	12682_12688	0.0961532363828792	3.2
chr14	68500000	68520000	chr14	68780000	68850000	13490	13495	13490_13495	0.139237925922553	2.59920766833995
chr15	74360000	74390000	chr15	74610000	74650000	14076	14077	14076_14077	0.0708308766541198	2.11121265723663
chr1	220670000	220690000	chr1	220750000	220780000	1415	1416	1415_1416	0.079111458638219	2.59920766833995
chr16	9260000	9300000	chr16	10170000	10200000	14332	14340	14332_14340	0.0746895110813379	2.11121265723663
chr16	87050000	87070000	chr16	87270000	87300000	14771	14773	14771_14773	0.0463442402779552	3.2
chr17	57980000	58020000	chr17	58090000	58150000	15251	15254	15251_15254	0.148292897734588	2.11121265723663
chr17	64500000	64550000	chr17	64640000	64660000	15303	15304	15303_15304	0.0986369140534697	2.11121265723663
chr18	50500000	50520000	chr18	50780000	50800000	15744	15745	15744_15745	0.0548739711302424	3.2
chr20	1750000	1780000	chr20	2160000	2180000	16260	16262	16260_16262	0.0873688388682039	3.2
chr21	34720000	34770000	chr21	36030000	36040000	16879	16885	16879_16885	0.149472947501829	2.59920766833995
chr21	36490000	36510000	chr21	36910000	36940000	16890	16895	16890_16895	0.0688839742237829	2.59920766833995
chr22	38040000	38110000	chr22	38430000	38450000	17174	17177	17174_17177	0.109141158857055	3.2
chrX	13740000	13770000	chrX	14020000	14040000	17339	17340	17339_17340	0.0490283300043877	2.59920766833995
chr1	25830000	25840000	chr1	25990000	26010000	235	237	235_237	0.124092873095202	2.11121265723663
chr2	231280000	231300000	chr2	231400000	231440000	2980	2981	2980_2981	0.0962278902437619	2.11121265723663
chr3	4690000	4740000	chr3	4860000	4890000	3101	3103	3101_3103	0.0557702792092811	2.59920766833995
chr3	131780000	131810000	chr3	132010000	132060000	3877	3879	3877_3879	0.061306202369143	2.59920766833995
chr4	89610000	89640000	chr4	89870000	89920000	4747	4749	4747_4749	0.107509312623189	3.67583473599051
chr4	113880000	113910000	chr4	114360000	114410000	4840	4845	4840_4845	0.0931187728636925	2.11121265723663
chr5	65740000	65760000	chr5	66130000	66150000	5458	5464	5458_5464	0.10457121182038	3.67583473599051
chr5	138740000	138760000	chr5	139230000	139280000	5860	5865	5860_5865	0.0505285855700862	2.59920766833995
chr6	42720000	42750000	chr6	42860000	42890000	6552	6553	6552_6553	0.0874054675371689	2.11121265723663
chr6	83070000	83080000	chr6	83200000	83240000	6775	6777	6775_6777	0.0858238663879677	2.59920766833995
chr1	88650000	88670000	chr1	88860000	88880000	692	693	692_693	0.0203874035546014	3.2
chr6	144570000	144600000	chr6	145190000	145210000	7135	7139	7135_7139	0.0862564579549723	2.59920766833995
chr8	11540000	11580000	chr8	11950000	11980000	8396	8399	8396_8399	0.0163801862532134	3.67583473599051
chr8	56770000	56790000	chr8	56920000	56980000	8677	8678	8677_8678	0.0804521777814705	3.2
chr8	73670000	73690000	chr8	74320000	74350000	8777	8782	8777_8782	0.0412007698444522	2.59920766833995
chr8	144120000	144150000	chr8	144320000	144340000	9166	9167	9166_9167	0.131029218417545	3.2
chr9	13340000	13360000	chr9	14410000	14450000	9222	9232	9222_9232	0.0859195299053064	2.59920766833995
chr9	14160000	14190000	chr9	14300000	14330000	9228	9230	9228_9230	0.156153620968001	2.59920766833995
