chr	start	end	strand	ens_gene	gene_name	target_id	transcript_name	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
chr19	46838172	46846148	-	ENSG00000042753.11	AP2S1	ENST00000597020.5	AP2S1-204	3.55793872366064e-09	1.34027551720296e-05	-4.5052745767318	0.763148604466573	3.34013098138208	6.33247440890634	0.0666064454768171	1.48644900118792	0.296212072534866	1.48644900118792
chr19	50333877	50344761	-	ENSG00000131401.11	NAPSB	ENST00000562112.5	NAPSB-206	2.55134518946181e-05	0.0480545866435132	-4.24053302624341	1.00720249124279	2.13387483693566	5.0446736996861	1.8487441694369	-1.09483519222515	0.856474119538257	0.856474119538257
chr19	37361968	37363929	+	ENSG00000181666.18	ZNF875	ENST00000588820.1	ZNF875-210	0.000704761626026967	0.78678349741714	0.838404001820629	0.247483261194598	6.28368313398366	0.31888507054157	0.0219434759425168	0.141384429581519	0.124986574158239	0.141384429581519
chr19	49861204	49867555	-	ENSG00000039650.12	PNKP	ENST00000600910.5	PNKP-215	0.000902638305614568	0.78678349741714	4.15956907047927	1.25317030500883	2.8166531338306	8.00154496621747	1.76375673745403	2.42407209816177	0.488725982457308	2.42407209816177
chr19	49861204	49867204	-	ENSG00000039650.12	PNKP	ENST00000627232.2	PNKP-220	0.00115092391995129	0.78678349741714	3.65313492464774	1.12377481114235	1.66669299664316	6.29674982769972	0.126747030103981	3.24090583965076	1.18787927281197	3.24090583965076
chr19	52978900	53037883	-	ENSG00000242779.7	ZNF702P	ENST00000594516.1	ZNF702P-203	0.00126652535050711	0.78678349741714	2.63884726323907	0.818638444403242	1.19334948457573	3.14115918925965	0.205106985272742	1.39323082192504	1.58201008847382	1.58201008847382
chr19	52970445	53037898	-	ENSG00000242779.7	ZNF702P	ENST00000600425.5	ZNF702P-210	0.00172453368994811	0.78678349741714	2.86379806539101	0.913789892105592	2.2153990698405	4.01247491599534	1.07616563044905	1.15053294798922	0.804620180846636	1.15053294798922
chr19	52706710	52735011	-	ENSG00000213020.10	ZNF611	ENST00000640952.1	ZNF611-220	0.00176449453269965	0.78678349741714	3.07225197863517	0.982413106281692	1.5815361903101	4.62789995979834	1.17590851748539	1.39778617956539	1.25428670545761	1.39778617956539
chr19	50378741	50382298	+	ENSG00000131408.15	NR1H2	ENST00000597085.1	NR1H2-206	0.00207925057410657	0.78678349741714	-1.32393808071279	0.430035362418891	3.16910563655628	0.873240283847015	0.134605099615462	0.358542668199863	0.345877740916654	0.358542668199863
chr19	35890446	35900532	-	ENSG00000167604.14	NFKBID	ENST00000586361.5	NFKBID-204	0.00208862091164624	0.78678349741714	-2.48535256444221	0.807632083358631	2.98113860269624	3.07870865218945	0.72831674023248	1.01106881195473	0.415654164037628	1.01106881195473
