chr_x	start_x	end_x	chr_y	start_y	end_y	fdr	detection_scale
chr1	2190000	2200000	chr1	2380000	2390000	0.032389622008762824	2.111212657236631
chr1	2820000	2830000	chr1	3420000	3430000	0.062489267045754124	3.2
chr1	2970000	2980000	chr1	3270000	3280000	0.1593393151952908	2.111212657236631
chr1	3010000	3020000	chr1	3410000	3420000	0.055017003297964405	2.599207668339954
chr1	3480000	3490000	chr1	3620000	3630000	0.028441675899472777	2.111212657236631
chr1	3920000	3930000	chr1	4630000	4640000	0.10227551628300051	2.111212657236631
chr1	5510000	5520000	chr1	5740000	5750000	0.055017003297964405	2.111212657236631
chr1	6710000	6720000	chr1	7200000	7210000	0.04951133952454477	3.2
chr1	6720000	6730000	chr1	7060000	7070000	0.05531026913572184	2.111212657236631
chr1	7660000	7670000	chr1	7750000	7760000	0.07262216622391222	2.111212657236631
chr1	7990000	8000000	chr1	8330000	8340000	0.028441675899472777	3.2
chr1	8460000	8470000	chr1	8690000	8700000	0.1937622922237532	2.599207668339954
chr1	8550000	8560000	chr1	8720000	8730000	0.14583130237014816	2.599207668339954
chr1	8910000	8920000	chr1	9100000	9110000	0.10143912675442551	2.111212657236631
chr1	9270000	9280000	chr1	9470000	9480000	0.028441675899472777	2.111212657236631
chr1	10510000	10520000	chr1	10820000	10830000	0.14583130237014816	2.599207668339954
chr1	10510000	10520000	chr1	10900000	10910000	0.04951133952454477	3.2
chr1	10520000	10530000	chr1	10640000	10650000	0.1549066721085887	2.599207668339954
chr1	11030000	11040000	chr1	11640000	11650000	0.028441675899472777	2.111212657236631
chr1	11030000	11040000	chr1	11730000	11740000	0.07548274727619114	2.111212657236631
chr1	11050000	11060000	chr1	11240000	11250000	0.17072542756048553	3.6758347359905126
chr1	11250000	11260000	chr1	11630000	11640000	0.061500817856125656	2.111212657236631
chr1	12090000	12100000	chr1	12650000	12660000	0.1593393151952908	3.2
chr1	12120000	12130000	chr1	12200000	12210000	0.10221555670908025	2.111212657236631
chr1	12290000	12300000	chr1	12650000	12660000	0.028441675899472777	2.111212657236631
chr1	12380000	12390000	chr1	12620000	12630000	0.09784587302946901	3.6758347359905126
chr1	12470000	12480000	chr1	12610000	12620000	0.1574180253609705	2.599207668339954
chr1	13660000	13670000	chr1	13960000	13970000	0.055017003297964405	2.111212657236631
chr1	13680000	13690000	chr1	13810000	13820000	0.06933610561658984	2.599207668339954
chr1	13970000	13980000	chr1	15040000	15050000	0.06936119239887581	2.111212657236631
chr1	14910000	14920000	chr1	15020000	15030000	0.0916300790961143	2.111212657236631
chr1	15130000	15140000	chr1	15290000	15300000	0.04935697167455191	2.599207668339954
chr1	15140000	15150000	chr1	15430000	15440000	0.07548274727619114	2.599207668339954
chr1	15320000	15330000	chr1	15430000	15440000	0.062489267045754124	2.599207668339954
chr1	15580000	15590000	chr1	15730000	15740000	0.12407630059575242	2.599207668339954
chr1	15800000	15810000	chr1	16010000	16020000	0.043769873221160695	4.222425314473262
chr1	17120000	17130000	chr1	17230000	17240000	0.07591640120768048	2.111212657236631
chr1	17130000	17140000	chr1	17330000	17340000	0.08676905891425851	2.111212657236631
chr1	17490000	17500000	chr1	17610000	17620000	0.04951133952454477	2.599207668339954
chr1	17660000	17670000	chr1	18560000	18570000	0.07604631156234806	4.222425314473262
chr1	18080000	18090000	chr1	18570000	18580000	0.14583130237014816	2.111212657236631
chr1	18250000	18260000	chr1	18560000	18570000	0.1574180253609705	2.111212657236631
chr1	18600000	18610000	chr1	18830000	18840000	0.05161209884879907	3.2
chr1	18900000	18910000	chr1	19090000	19100000	0.043769873221160695	2.111212657236631
chr1	19270000	19280000	chr1	19680000	19690000	0.135434257057133	2.599207668339954
chr1	19340000	19350000	chr1	19650000	19660000	0.028441675899472777	5.198415336679908
chr1	19480000	19490000	chr1	19640000	19650000	0.10143912675442551	2.599207668339954
chr1	19920000	19930000	chr1	20480000	20490000	0.08239276536132367	2.111212657236631
chr1	19940000	19950000	chr1	20150000	20160000	0.13294227531619063	3.6758347359905126
chr1	20210000	20220000	chr1	20480000	20490000	0.11365946158260308	3.6758347359905126
chr1	20510000	20520000	chr1	20640000	20650000	0.11365946158260308	2.111212657236631
chr1	20690000	20700000	chr1	21200000	21210000	0.01952537641940237	2.111212657236631
chr1	20770000	20780000	chr1	21190000	21200000	0.1667075253863876	3.2
chr1	20970000	20980000	chr1	21180000	21190000	0.10974538499250618	2.111212657236631
chr1	21230000	21240000	chr1	21360000	21370000	0.019342663373915547	2.599207668339954
chr1	22100000	22110000	chr1	22410000	22420000	0.17796806999853335	2.599207668339954
chr1	22270000	22280000	chr1	22640000	22650000	0.17954206909398968	2.111212657236631
chr1	22410000	22420000	chr1	22640000	22650000	0.07231402267929529	3.2
chr1	22690000	22700000	chr1	22880000	22890000	0.019342663373915547	2.599207668339954
chr1	23090000	23100000	chr1	23190000	23200000	0.154164378973112	2.111212657236631
chr1	24200000	24210000	chr1	24380000	24390000	0.026516504869924514	2.599207668339954
chr1	24200000	24210000	chr1	24620000	24630000	0.07705503183525063	2.111212657236631
chr1	24680000	24690000	chr1	24830000	24840000	0.01952537641940237	2.111212657236631
chr1	24840000	24850000	chr1	25200000	25210000	0.07028895163330877	2.111212657236631
chr1	25600000	25610000	chr1	25800000	25810000	0.01952537641940237	2.111212657236631
chr1	26610000	26620000	chr1	26800000	26810000	0.06367714055261432	4.222425314473262
chr1	27100000	27110000	chr1	27280000	27290000	0.10974538499250618	2.111212657236631
chr1	27300000	27310000	chr1	27640000	27650000	0.19320779485967224	3.2
chr1	27400000	27410000	chr1	27610000	27620000	0.08433595034118482	3.2
chr1	27850000	27860000	chr1	27980000	27990000	0.19568131678342504	2.111212657236631
chr1	28380000	28390000	chr1	28610000	28620000	0.13017013238366362	3.2
chr1	28880000	28890000	chr1	29020000	29030000	0.07030839623529511	3.2
chr1	28880000	28890000	chr1	29190000	29200000	0.01686740460567049	2.111212657236631
chr1	29230000	29240000	chr1	30710000	30720000	0.019342663373915547	2.111212657236631
chr1	29240000	29250000	chr1	29780000	29790000	0.17523006006322758	2.111212657236631
chr1	30790000	30800000	chr1	30900000	30910000	0.019342663373915547	2.111212657236631
chr1	31180000	31190000	chr1	31330000	31340000	0.13017013238366362	2.111212657236631
chr1	32410000	32420000	chr1	32770000	32780000	0.11785899346158749	2.111212657236631
chr1	32930000	32940000	chr1	33050000	33060000	0.06132102181747134	2.111212657236631
chr1	33290000	33300000	chr1	33460000	33470000	0.17523006006322758	2.111212657236631
chr1	33630000	33640000	chr1	34730000	34740000	0.06367714055261432	2.111212657236631
chr1	35430000	35440000	chr1	35730000	35740000	0.13294227531619063	3.6758347359905126
chr1	35440000	35450000	chr1	35560000	35570000	0.11365946158260308	2.599207668339954
chr1	35570000	35580000	chr1	35720000	35730000	0.07316504290645802	2.111212657236631
chr1	36110000	36120000	chr1	36410000	36420000	0.14408493967450373	3.2
chr1	36490000	36500000	chr1	37420000	37430000	0.17917233272360422	2.599207668339954
chr1	36570000	36580000	chr1	37420000	37430000	0.01952537641940237	2.111212657236631
chr1	36690000	36700000	chr1	37420000	37430000	0.14542629932182058	3.2
chr1	37530000	37540000	chr1	37680000	37690000	0.11785899346158749	2.111212657236631
chr1	38020000	38030000	chr1	38830000	38840000	0.016722012129483717	3.6758347359905126
chr1	38030000	38040000	chr1	38560000	38570000	0.17819581904985568	2.111212657236631
chr1	39090000	39100000	chr1	39290000	39300000	0.15439128571744776	2.599207668339954
chr1	39810000	39820000	chr1	39970000	39980000	0.06991224465834196	2.599207668339954
chr1	40140000	40150000	chr1	40330000	40340000	0.050564939656138216	2.111212657236631
chr1	40600000	40610000	chr1	40950000	40960000	0.13403598988831777	2.111212657236631
chr1	40850000	40860000	chr1	40950000	40960000	0.0815214164512079	2.111212657236631
chr1	41280000	41290000	chr1	41410000	41420000	0.014851456106027144	2.111212657236631
chr1	41550000	41560000	chr1	41990000	42000000	0.17819581904985568	2.111212657236631
chr1	41580000	41590000	chr1	42160000	42170000	0.0840287944343388	2.111212657236631
chr1	42570000	42580000	chr1	42750000	42760000	0.16578240278580686	2.599207668339954
chr1	42910000	42920000	chr1	43070000	43080000	0.012905156371444034	2.599207668339954
chr1	43220000	43230000	chr1	43410000	43420000	0.050564939656138216	2.111212657236631
chr1	43760000	43770000	chr1	43930000	43940000	0.18202613696794623	3.6758347359905126
chr1	45010000	45020000	chr1	45300000	45310000	0.014851456106027144	3.6758347359905126
chr1	45360000	45370000	chr1	45480000	45490000	0.14172733659650075	2.599207668339954
chr1	46030000	46040000	chr1	46180000	46190000	0.17819581904985568	3.2
chr1	46440000	46450000	chr1	46530000	46540000	0.17819581904985568	2.111212657236631
chr1	46540000	46550000	chr1	46720000	46730000	0.09944186506330643	2.111212657236631
chr1	47190000	47200000	chr1	47420000	47430000	0.12013634777384696	2.111212657236631
chr1	47420000	47430000	chr1	47710000	47720000	0.008687897469687641	2.111212657236631
chr1	47560000	47570000	chr1	47710000	47720000	0.17595368440270537	2.111212657236631
chr1	47740000	47750000	chr1	48050000	48060000	0.13403598988831777	2.111212657236631
chr1	48100000	48110000	chr1	48200000	48210000	0.1411917910959715	2.111212657236631
chr1	49160000	49170000	chr1	49630000	49640000	0.15679574527190465	2.599207668339954
chr1	50380000	50390000	chr1	50720000	50730000	0.17819581904985568	3.2
chr1	50770000	50780000	chr1	51180000	51190000	0.050564939656138216	2.111212657236631
chr1	50890000	50900000	chr1	51170000	51180000	0.17819581904985568	2.599207668339954
chr1	51890000	51900000	chr1	52000000	52010000	0.06056695403940382	2.111212657236631
chr1	52120000	52130000	chr1	52290000	52300000	0.06625877264060043	2.599207668339954
chr1	52700000	52710000	chr1	53180000	53190000	0.11004656086720481	2.111212657236631
chr1	53270000	53280000	chr1	53390000	53400000	0.008687897469687641	2.111212657236631
chr1	53480000	53490000	chr1	53720000	53730000	0.18460083887271483	3.6758347359905126
chr1	54070000	54080000	chr1	54800000	54810000	0.050564939656138216	2.111212657236631
chr1	54090000	54100000	chr1	54500000	54510000	0.12013634777384696	3.2
chr1	54110000	54120000	chr1	54400000	54410000	0.1607796964679806	2.111212657236631
chr1	54400000	54410000	chr1	54480000	54490000	0.17819581904985568	2.111212657236631
chr1	55140000	55150000	chr1	55270000	55280000	0.06077942227159817	2.599207668339954
chr1	55280000	55290000	chr1	56590000	56600000	0.14436303540248752	2.111212657236631
chr1	55350000	55360000	chr1	56580000	56590000	0.13049441095929726	3.2
chr1	56830000	56840000	chr1	58030000	58040000	0.16179768068862324	2.111212657236631
chr1	58720000	58730000	chr1	59760000	59770000	0.11870183465999655	2.111212657236631
chr1	58760000	58770000	chr1	59700000	59710000	0.04180742630672862	4.222425314473262
chr1	58900000	58910000	chr1	59700000	59710000	0.1857824640253549	2.111212657236631
chr1	61050000	61060000	chr1	61450000	61460000	0.1267517757661944	3.6758347359905126
chr1	62170000	62180000	chr1	62400000	62410000	0.02233865609874519	2.599207668339954
chr1	62510000	62520000	chr1	62750000	62760000	0.11870183465999655	5.571523605095194
chr1	63610000	63620000	chr1	64240000	64250000	0.13049441095929726	2.599207668339954
chr1	63670000	63680000	chr1	64240000	64250000	0.04296763923997071	2.599207668339954
chr1	64270000	64280000	chr1	64650000	64660000	0.06079131011015293	2.599207668339954
