chr	start	end	persistence_left	persistence_right	type	w
chr1	0	880000	21	21	gap	23
chr1	880000	1640000	21	21	domain	23
chr1	1640000	1760000	21	21	gap	23
chr1	1760000	2640000	21	21	domain	23
chr1	2640000	2760000	21	21	gap	23
chr1	2760000	3920000	21	21		23
chr1	3920000	6000000	21	21	domain	23
chr1	6000000	6480000	21	21	boundary,domain	23
chr1	6480000	7960000	21	21	boundary,domain	23
chr1	7960000	8360000	21	21	boundary,domain	23
chr1	8360000	8880000	21	21	domain	23
chr1	8880000	9120000	21	9	boundary,domain	23
chr1	9120000	9600000	9	21	boundary,domain	23
chr1	9600000	9880000	21	7		23
chr1	9880000	10200000	7	4	domain	23
chr1	10200000	10440000	4	21		23
chr1	10440000	11000000	21	21	domain	23
chr1	11000000	11800000	21	11		23
chr1	11800000	12800000	11	21		23
chr1	12800000	13360000	21	21	gap	23
chr1	13360000	15120000	21	21	domain	23
chr1	15120000	15320000	21	12	boundary,domain	23
chr1	15320000	15520000	12	21	boundary,domain	23
chr1	15520000	16520000	21	21		23
chr1	16520000	16880000	21	21	gap	23
chr1	16880000	18880000	21	21		23
chr1	18880000	19080000	21	14	boundary,domain	23
chr1	19080000	19880000	14	21		23
chr1	19880000	20200000	21	7	boundary,domain	23
chr1	20200000	20520000	7	16	domain	23
chr1	20520000	20680000	16	21	boundary,domain	23
chr1	20680000	21680000	21	17		23
chr1	21680000	22040000	17	21	boundary,domain	23
chr1	22040000	22960000	21	21	domain	23
chr1	22960000	23480000	21	21	boundary,domain	23
chr1	23480000	23760000	21	19		23
chr1	23760000	24040000	19	17	boundary,domain	23
chr1	24040000	25280000	17	21		23
chr1	25280000	25400000	21	21	gap	23
chr1	25400000	26480000	21	21		23
chr1	26480000	26920000	21	21	boundary,domain	23
chr1	26920000	27280000	21	14	boundary,domain	23
chr1	27280000	27400000	14	6	boundary,domain	23
chr1	27400000	27720000	6	21		23
chr1	27720000	28240000	21	21		23
chr1	28240000	28760000	21	6	boundary,domain	23
chr1	28760000	28880000	6	5	boundary,domain	23
chr1	28880000	29240000	5	21		23
chr1	29240000	30720000	21	21	domain	23
chr1	30720000	30920000	21	20	boundary,domain	23
chr1	30920000	31440000	20	15	boundary,domain	23
chr1	31440000	31600000	15	21		23
chr1	31600000	32040000	21	21		23
chr1	32040000	32400000	21	20	boundary,domain	23
chr1	32400000	32920000	20	21	boundary,domain	23
chr1	32920000	33120000	21	21		23
chr1	33120000	33480000	21	13	boundary,domain	23
chr1	33480000	34880000	13	21	boundary,domain	23
chr1	34880000	36080000	21	21		23
chr1	36080000	36480000	21	21	boundary,domain	23
chr1	36480000	37440000	21	21	domain	23
chr1	37440000	37680000	21	14	boundary,domain	23
chr1	37680000	38840000	14	21		23
chr1	38840000	39000000	21	1		23
chr1	39000000	39600000	1	21	domain	23
chr1	39600000	39800000	21	21		23
chr1	39800000	40040000	21	21		23
chr1	40040000	40480000	21	11	boundary,domain	23
chr1	40480000	40560000	11	14	boundary,domain	23
chr1	40560000	41000000	14	21	boundary,domain	23
chr1	41000000	41240000	21	21	boundary,domain	23
chr1	41240000	41480000	21	21		23
chr1	41480000	42800000	21	21	domain	23
chr1	42800000	43160000	21	21		23
chr1	43160000	44080000	21	21	domain	23
chr1	44080000	44720000	21	21	domain	23
chr1	44720000	45320000	21	21	domain	23
chr1	45320000	45560000	21	21	boundary,domain	23
chr1	45560000	46880000	21	21	domain	23
