anchor_chr	anchor_start	anchor_end	anchor_anchor_ID	peak_chr	peak_start	peak_end	peak_Conc_T2E	peak_Conc_NonT2E	peak_Fold	peak_p.value	peak_FDR
chr22	47620000	47640000	17265	chr22	47631709	47632210	6.7	-0.54	7.24	5.15e-22	1.07e-17
chr22	48480000	48520000	17271	chr22	48489986	48490487	7.1	4.74	2.36	5.23e-17	1.74e-13
chr15	101610000	101650000	14273	chr15	101642348	101642849	6.18	3.49	2.69	4.02e-16	9.97e-13
chr13	23850000	23890000	12764	chr13	23873183	23873684	0.59	5.42	-4.83	1.33e-15	3.03e-12
chr9	113570000	113600000	9684	chr9	113594396	113594897	7.8	6.34	1.46	2.17e-15	4.74e-12
chr13	23850000	23890000	12764	chr13	23876133	23876634	1.56	5.39	-3.84	7.98e-15	1.56e-11
chr1	159880000	159910000	996	chr1	159889520	159890021	6.9	5.15	1.75	1.97e-14	3.21e-11
chr9	113640000	113670000	9685	chr9	113650465	113650966	6.82	4.84	1.98	2.58e-14	4.14e-11
chr5	141920000	141970000	5895	chr5	141951275	141951776	5.64	2.72	2.92	2.99e-14	4.66e-11
chr3	9290000	9320000	3123	chr3	9309166	9309667	6.12	3.59	2.52	3.63e-14	5.36e-11
chr12	130030000	130060000	12716	chr12	130045293	130045794	7.06	4.74	2.33	4.4e-14	6.24e-11
chr3	196980000	197020000	4312	chr3	196996447	196996948	6.33	3.69	2.63	5.23e-14	7.32e-11
chr13	23850000	23890000	12764	chr13	23850543	23851044	2.12	5.56	-3.44	1.81e-13	2.11e-10
chr22	37280000	37330000	17165	chr22	37291262	37291763	5.53	1.95	3.57	2.27e-13	2.52e-10
chr13	42090000	42120000	12908	chr13	42115317	42115818	5.94	3.21	2.72	2.49e-13	2.69e-10
chr19	30210000	30240000	16066	chr19	30214351	30214852	5.87	2.82	3.04	3.38e-13	3.45e-10
chr22	37280000	37330000	17165	chr22	37287353	37287854	5.7	2.94	2.76	4.56e-13	4.4e-10
chr13	23850000	23890000	12764	chr13	23856155	23856656	2.02	5.46	-3.44	1.56e-12	1.32e-09
chr19	34070000	34140000	16100	chr19	34119201	34119702	4.94	-0.25	5.19	1.81e-12	1.51e-09
chr13	110810000	110830000	13141	chr13	110816024	110816525	6.55	4.85	1.7	1.93e-12	1.57e-09
chr11	19530000	19580000	11030	chr11	19577171	19577672	6.71	5.04	1.67	2.66e-12	2.07e-09
chr9	89530000	89630000	9485	chr9	89556064	89556565	5.99	2.99	2.99	3.93e-12	2.86e-09
chr12	121660000	121700000	12671	chr12	121678859	121679360	5.6	3.16	2.44	5.82e-12	3.98e-09
chr13	23850000	23890000	12764	chr13	23884556	23885057	-0.69	5.14	-5.82	8.28e-12	5.39e-09
chr22	19610000	19640000	17002	chr22	19615035	19615536	5.94	3.49	2.45	8.74e-12	5.65e-09
chr6	1570000	1630000	6164	chr6	1619662	1620163	5.88	3.69	2.19	1.09e-11	6.81e-09
chr22	48480000	48520000	17271	chr22	48488929	48489430	5.73	2.7	3.03	1.23e-11	7.51e-09
chr6	1570000	1630000	6164	chr6	1621194	1621695	5.22	2.68	2.54	1.84e-11	1.06e-08
