chr	pos	w	left_type	right_type	Persistence
chr1	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32		gap	30
chr1	760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	1000000	4	domain	domain	1
chr1	1080000	3,4	domain	domain	2
chr1	1360000	3,4,5,6,7,8,9,12,13	domain	boundary,domain	9
chr1	1520000	3,4,5,9	boundary,domain	boundary,domain	4
chr1	1640000	6	domain	boundary	1
chr1	1760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	boundary,domain	boundary,domain	20
chr1	1920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	boundary,domain	boundary,domain	16
chr1	2080000	6,7,8,9,10,11,12	boundary,domain	boundary,domain	7
chr1	2160000	3,4,5,8,9,10,12	boundary,domain	domain	7
chr1	2400000	3,4,5,6	domain	domain	4
chr1	2680000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	2760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	3000000	3,4	domain	domain	2
chr1	3480000	3,4,5,6,7,8,9,10,11,12,13,14,16	domain	boundary	13
chr1	3800000	3	domain	domain	1
chr1	3880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	boundary,domain	domain	25
chr1	4680000	4,5,6	domain	domain	3
chr1	5760000	3	domain	domain	1
chr1	6000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	6200000	3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary	domain	29
chr1	6480000	3,4,5,6,17,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	16
chr1	6680000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	boundary,domain	domain	19
chr1	6960000	3	domain	domain	1
chr1	7680000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary	30
chr1	7760000	7,20	boundary	boundary,domain	2
chr1	7960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	8360000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	8720000	3	domain	domain	1
chr1	8880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	9120000	13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary	boundary,domain	20
chr1	9240000	3,4,5,6,7,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	23
chr1	9600000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	9880000	3,4,5,6,7,8,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29	boundary,domain	domain	23
chr1	10120000	4	domain	domain	1
chr1	10480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	11000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	11240000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary	domain	30
chr1	11640000	3,4,5,6,7	domain	boundary,domain	5
chr1	11800000	5,6,7,8	boundary,domain	boundary,domain	4
chr1	11920000	3,4,8	boundary,domain	boundary,domain	3
chr1	12040000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	domain	boundary,domain	19
chr1	12240000	3,4,5,6,7,8,9,10,12	boundary,domain	domain	9
chr1	12640000	3	domain	domain	1
chr1	12920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	13320000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	13840000	3,7	domain	boundary	2
chr1	13960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16	boundary,domain	domain	14
chr1	14080000	5	domain	domain	1
chr1	14600000	3,4,5	domain	domain	3
chr1	14800000	3,4,5	domain	domain	3
