chr_x	start_x	end_x	chr_y	start_y	end_y	fdr	detection_scale
chr1	1120000	1130000	chr1	1290000	1300000	0.15080873897212552	3.6758347359905126
chr1	1940000	1950000	chr1	2040000	2050000	0.18495784507796495	2.111212657236631
chr1	2200000	2210000	chr1	2380000	2390000	0.04127740827120053	2.111212657236631
chr1	2810000	2820000	chr1	3420000	3430000	0.056093153083540986	2.111212657236631
chr1	2830000	2840000	chr1	3490000	3500000	0.1893891165250622	2.111212657236631
chr1	2860000	2870000	chr1	3410000	3420000	0.07494678496131492	2.599207668339954
chr1	3010000	3020000	chr1	3410000	3420000	0.04127740827120053	2.111212657236631
chr1	3040000	3050000	chr1	3280000	3290000	0.10029190728058789	3.6758347359905126
chr1	3470000	3480000	chr1	3610000	3620000	0.04127740827120053	3.2
chr1	3920000	3930000	chr1	4590000	4600000	0.11888118537973845	2.111212657236631
chr1	4630000	4640000	chr1	5750000	5760000	0.12728933848471535	3.2
chr1	4650000	4660000	chr1	5430000	5440000	0.1395810628019185	2.599207668339954
chr1	5510000	5520000	chr1	5740000	5750000	0.08546811567850215	3.2
chr1	5510000	5520000	chr1	5910000	5920000	0.19951497105807478	2.111212657236631
chr1	5630000	5640000	chr1	5740000	5750000	0.04127740827120053	2.111212657236631
chr1	6040000	6050000	chr1	6240000	6250000	0.15212221817419394	2.111212657236631
chr1	6240000	6250000	chr1	6340000	6350000	0.04836471061601107	2.599207668339954
chr1	6250000	6260000	chr1	6400000	6410000	0.11888118537973845	2.111212657236631
chr1	6720000	6730000	chr1	7060000	7070000	0.04706113117951033	2.111212657236631
chr1	6720000	6730000	chr1	7210000	7220000	0.05781961201078416	2.111212657236631
chr1	6720000	6730000	chr1	7640000	7650000	0.1527426266145063	2.599207668339954
chr1	6760000	6770000	chr1	7630000	7640000	0.08636331555509758	3.6758347359905126
chr1	6790000	6800000	chr1	7060000	7070000	0.12728933848471535	2.111212657236631
chr1	6910000	6920000	chr1	7640000	7650000	0.18055220312051953	3.6758347359905126
chr1	7070000	7080000	chr1	7630000	7640000	0.04743553389068547	2.599207668339954
chr1	7670000	7680000	chr1	7750000	7760000	0.05781961201078416	2.111212657236631
chr1	7980000	7990000	chr1	8330000	8340000	0.015186058573466443	2.599207668339954
chr1	8000000	8010000	chr1	8710000	8720000	0.056093153083540986	3.6758347359905126
chr1	8350000	8360000	chr1	8720000	8730000	0.11346516307887095	2.111212657236631
chr1	8400000	8410000	chr1	8830000	8840000	0.1300414907960469	3.6758347359905126
chr1	8450000	8460000	chr1	8710000	8720000	0.16447540989066042	2.599207668339954
chr1	8560000	8570000	chr1	8710000	8720000	0.15501717078735697	2.599207668339954
chr1	8910000	8920000	chr1	9100000	9110000	0.12495811109228697	2.599207668339954
chr1	9270000	9280000	chr1	9570000	9580000	0.12495811109228697	2.599207668339954
chr1	9280000	9290000	chr1	9470000	9480000	0.024456830200462458	2.599207668339954
chr1	9710000	9720000	chr1	9860000	9870000	0.17701813267381628	2.111212657236631
chr1	10500000	10510000	chr1	10950000	10960000	0.12101883022068297	2.599207668339954
chr1	10510000	10520000	chr1	10860000	10870000	0.03395876167522445	2.111212657236631
chr1	10520000	10530000	chr1	10660000	10670000	0.14590304515194893	2.111212657236631
chr1	11040000	11050000	chr1	11630000	11640000	0.015186058573466443	2.111212657236631
chr1	11230000	11240000	chr1	11630000	11640000	0.04836471061601107	2.599207668339954
chr1	12110000	12120000	chr1	12200000	12210000	0.01736162646913973	2.111212657236631
chr1	12300000	12310000	chr1	12640000	12650000	0.026214123776176303	3.6758347359905126
chr1	13660000	13670000	chr1	13820000	13830000	0.05064971091400472	2.111212657236631
chr1	13660000	13670000	chr1	13950000	13960000	0.060509254601228156	2.111212657236631
chr1	13820000	13830000	chr1	13950000	13960000	0.19951497105807478	2.111212657236631
chr1	13970000	13980000	chr1	15040000	15050000	0.09677081371136162	2.111212657236631
chr1	14100000	14110000	chr1	14920000	14930000	0.15212221817419394	2.111212657236631
chr1	14100000	14110000	chr1	15030000	15040000	0.06257815637294907	2.599207668339954
