SampleID	chr	Bin	Count
PCa13266	chr3	73	1
PCa13266	chr3	74	1
PCa13266	chr3	75	1
PCa13266	chr3	76	1
PCa13266	chr4	179	1
PCa13266	chr4	181	1
PCa13266	chr6	84	1
PCa13266	chr6	127	1
PCa13266	chr6	128	1
PCa13848	chr1	75	1
PCa13848	chr1	79	1
PCa13848	chr1	151	1
PCa13848	chr1	201	1
PCa13848	chr1	205	1
PCa13848	chr2	198	1
PCa13848	chr2	199	1
PCa13848	chr2	212	1
PCa13848	chr2	213	1
PCa13848	chr2	214	1
PCa13848	chr2	215	1
PCa13848	chr2	226	1
PCa13848	chr2	227	1
PCa13848	chr3	23	1
PCa13848	chr3	24	1
PCa13848	chr3	25	2
PCa13848	chr3	26	1
PCa13848	chr3	27	1
PCa13848	chr4	69	1
PCa13848	chr5	59	1
PCa13848	chr5	172	1
PCa13848	chr5	173	1
PCa13848	chr6	109	1
PCa13848	chr6	110	1
PCa13848	chr6	160	1
PCa13848	chr6	161	1
PCa13848	chr6	162	1
PCa13848	chr6	163	1
PCa13848	chr6	165	2
PCa13848	chr6	166	2
PCa13848	chr6	168	1
PCa13848	chr6	169	1
PCa13848	chr9	98	1
PCa13848	chr10	5	1
PCa13848	chr10	6	1
PCa13848	chr10	96	1
PCa13848	chr10	97	1
PCa13848	chr10	98	1
PCa13848	chr10	99	1
PCa13848	chr11	104	1
PCa13848	chr11	105	1
PCa13848	chr11	118	1
PCa13848	chr11	123	1
PCa13848	chr13	20	1
PCa13848	chr13	21	1
PCa13848	chr13	22	1
PCa13848	chr13	39	1
PCa13848	chr13	40	1
PCa13848	chr13	41	1
PCa13848	chr13	42	2
PCa13848	chr13	58	1
PCa13848	chr13	59	1
PCa13848	chr13	88	1
PCa13848	chr13	89	1
PCa13848	chr13	98	1
PCa13848	chr13	99	2
PCa13848	chr13	100	1
PCa13848	chr13	106	1
PCa13848	chr13	107	1
PCa13848	chr14	35	1
PCa13848	chr18	76	1
PCa13848	chr20	21	1
PCa13848	chr20	22	1
PCa13848	chr20	23	1
PCa13848	chr20	57	1
PCa13848	chr20	58	1
PCa13848	chr21	38	1
PCa13848	chr21	41	1
PCa14121	chr2	112	1
PCa14121	chr2	114	1
PCa14121	chr2	115	2
PCa14121	chr2	127	1
PCa14121	chr4	125	2
PCa14121	chr4	154	1
PCa14121	chr4	157	1
PCa14121	chr11	32	1
PCa14121	chr13	30	1
PCa14121	chr14	72	1
PCa14121	chr14	73	1
PCa19121	chr2	73	1
PCa19121	chr3	28	1
PCa19121	chr3	68	1
PCa19121	chr3	69	1
PCa19121	chr3	73	1
PCa19121	chr3	79	1
PCa19121	chr3	121	1
PCa19121	chr3	123	1
PCa19121	chr3	124	1
PCa19121	chr3	156	2
PCa19121	chr3	157	1
PCa19121	chr5	69	1
PCa19121	chr5	73	1
PCa19121	chr8	41	1
PCa19121	chr9	92	1
PCa19121	chr16	4	2
PCa19121	chr16	5	1
PCa19121	chr16	71	1
PCa19121	chr21	38	1
PCa19121	chr21	41	1
PCa3023	chr2	137	1
PCa3023	chr2	138	1
PCa3023	chr2	142	1
PCa3023	chr2	143	1
PCa3023	chr2	153	1
PCa3023	chr2	155	1
PCa3023	chr3	63	1
PCa3023	chr3	64	1
PCa3023	chr3	73	1
PCa3023	chr4	16	1
PCa3023	chr4	17	1
PCa3023	chr4	95	1
PCa3023	chr4	97	1
PCa3023	chr4	98	1
PCa3023	chr4	114	1
PCa3023	chr4	115	2
PCa3023	chr4	118	1
PCa3023	chr4	119	1
PCa3023	chr4	120	1
PCa3023	chr4	125	1
PCa3023	chr4	133	1
PCa3023	chr4	134	1
PCa3023	chr4	135	1
PCa3023	chr5	42	1
PCa3023	chr5	94	1
PCa3023	chr6	76	1
PCa3023	chr6	97	1
PCa3023	chr8	48	1
PCa3023	chr8	49	1
PCa3023	chr8	51	1
PCa3023	chr8	52	1
PCa3023	chr8	58	1
PCa3023	chr8	59	1
PCa3023	chr8	60	1
PCa3023	chr8	64	1
PCa3023	chr8	65	1
PCa3023	chr8	144	1
PCa3023	chr8	145	1
PCa3023	chr10	34	1
PCa3023	chr10	35	1
PCa3023	chr10	36	1
PCa3023	chr10	37	1
PCa3023	chr10	54	1
PCa3023	chr10	55	1
PCa3023	chr10	80	1
PCa3023	chr10	92	1
PCa3023	chr10	93	1
PCa3023	chr10	101	1
PCa3023	chr10	108	1
PCa3023	chr10	109	1
PCa3023	chr10	110	1
PCa3023	chr12	50	1
PCa3023	chr12	51	1
PCa3023	chr12	110	1
PCa3023	chr12	111	1
PCa3023	chr16	60	1
PCa3023	chr16	61	1
PCa3023	chr16	62	1
PCa3023	chr17	16	1
PCa3023	chr17	78	1
PCa3023	chr17	79	1
PCa3023	chr21	38	1
PCa3023	chr21	41	1
PCa33173	chr4	94	2
PCa33173	chr4	95	1
PCa33173	chr7	12	1
PCa33173	chr7	13	1
PCa33173	chr7	14	1
PCa33173	chr7	15	1
PCa40507	chr1	105	1
PCa40507	chr1	106	1
PCa40507	chr1	107	1
PCa40507	chr1	108	2
PCa40507	chr1	109	1
PCa40507	chr1	223	1
PCa40507	chr1	230	2
PCa40507	chr1	231	1
PCa40507	chr1	234	1
PCa40507	chr2	3	1
PCa40507	chr2	4	1
PCa40507	chr2	5	1
PCa40507	chr2	6	1
PCa40507	chr3	12	1
PCa40507	chr3	149	1
PCa40507	chr3	151	1
PCa40507	chr3	152	1
PCa40507	chr5	54	1
PCa40507	chr5	55	1
PCa40507	chr5	69	1
PCa40507	chr7	69	1
PCa40507	chr7	70	1
PCa40507	chr7	155	1
PCa40507	chr8	93	1
PCa40507	chr8	128	1
PCa40507	chr8	129	2
PCa40507	chr8	134	1
PCa40507	chr8	135	1
PCa40507	chr8	136	1
PCa40507	chr8	137	1
PCa40507	chr10	49	1
PCa40507	chr10	68	1
PCa40507	chr10	69	2
PCa40507	chr10	79	1
PCa40507	chr10	93	1
PCa40507	chr10	110	1
PCa40507	chr10	111	1
PCa40507	chr10	112	1
PCa40507	chr11	64	2
PCa40507	chr12	70	1
PCa40507	chr12	123	1
PCa40507	chr12	124	1
PCa40507	chr12	125	1
PCa40507	chr12	126	1
PCa40507	chr16	13	1
PCa40507	chr16	14	2
PCa40507	chr16	46	1
PCa40507	chr16	47	1
PCa40507	chr16	48	2
PCa40507	chr16	49	1
PCa40507	chr16	59	1
PCa40507	chr16	60	1
PCa40507	chr16	77	1
PCa40507	chr16	78	1
PCa40507	chr16	81	1
PCa40507	chr17	5	1
PCa40507	chr17	6	1
PCa40507	chr17	8	1
PCa40507	chr17	9	1
PCa40507	chr17	10	1
PCa40507	chr17	11	1
PCa40507	chr17	45	1
PCa40507	chr17	46	1
PCa40507	chr17	47	2
PCa40507	chr17	50	1
PCa40507	chr17	51	1
PCa40507	chr18	55	1
PCa40507	chr18	56	1
PCa40507	chr18	57	1
PCa40507	chr18	67	1
PCa40507	chr21	38	1
PCa40507	chr21	41	1
PCa51852	chr2	11	1
PCa51852	chr7	128	1
PCa51852	chr8	60	1
PCa51852	chr8	61	1
PCa51852	chr8	113	1
PCa51852	chr12	6	1
PCa51852	chr12	58	1
PCa51852	chr12	59	1
PCa51852	chr15	43	1
PCa51852	chr15	44	1
PCa51852	chr16	23	1
PCa51852	chr16	24	1
PCa51852	chr17	41	1
PCa51852	chr17	42	1
PCa51852	chr19	50	1
PCa51852	chr19	51	1
PCa51852	chr21	38	1
PCa51852	chr21	41	1
PCa53687	chr1	57	2
PCa53687	chr1	58	1
PCa53687	chr1	59	1
PCa53687	chr1	60	1
PCa53687	chr1	84	1
PCa53687	chr1	85	1
PCa53687	chr1	116	1
PCa53687	chr1	154	1
PCa53687	chr1	155	1
PCa53687	chr1	231	1
PCa53687	chr1	232	1
PCa53687	chr3	36	1
PCa53687	chr3	115	1
PCa53687	chr4	69	1
PCa53687	chr4	71	1
PCa53687	chr4	76	1
PCa53687	chr4	77	1
PCa53687	chr4	78	1
PCa53687	chr4	79	1
PCa53687	chr7	107	1
PCa53687	chr7	140	1
PCa53687	chr7	141	1
PCa53687	chr8	56	1
PCa53687	chr8	138	1
PCa53687	chr15	46	1
PCa53687	chr15	47	2
PCa53687	chr15	48	1
PCa53687	chr15	70	1
PCa53687	chr15	71	2
PCa53687	chr19	15	1
PCa53687	chr19	16	1
PCa56413	chr1	47	1
PCa56413	chr1	48	1
PCa56413	chr1	91	2
PCa56413	chr1	92	1
PCa56413	chr1	99	1
PCa56413	chr1	100	1
PCa56413	chr1	101	1
PCa56413	chr2	7	1
PCa56413	chr2	8	1
PCa56413	chr2	45	1
PCa56413	chr2	46	1
PCa56413	chr2	68	1
PCa56413	chr2	69	1
PCa56413	chr2	97	1
PCa56413	chr2	98	1
PCa56413	chr3	41	1
PCa56413	chr3	42	1
PCa56413	chr3	44	2
PCa56413	chr3	61	1
PCa56413	chr3	62	1
PCa56413	chr3	63	1
PCa56413	chr3	66	1
PCa56413	chr3	70	1
PCa56413	chr3	73	1
PCa56413	chr3	74	1
PCa56413	chr3	75	1
PCa56413	chr3	94	1
PCa56413	chr3	95	1
PCa56413	chr3	96	1
PCa56413	chr3	108	1
PCa56413	chr3	109	1
PCa56413	chr3	114	1
PCa56413	chr3	130	1
PCa56413	chr3	131	2
PCa56413	chr3	134	1
PCa56413	chr3	146	1
PCa56413	chr3	147	1
PCa56413	chr3	148	1
PCa56413	chr3	149	1
PCa56413	chr3	156	1
PCa56413	chr3	157	1
PCa56413	chr3	177	1
PCa56413	chr4	38	1
PCa56413	chr4	39	1
