chr	start	end	persistence_left	persistence_right	type	w
chr1	40000	880000	18	18	gap	20
chr1	880000	1640000	18	18	domain	20
chr1	1640000	1760000	18	18	gap	20
chr1	1760000	2640000	18	18	domain	20
chr1	2640000	2760000	18	18	gap	20
chr1	2760000	3880000	18	18		20
chr1	3880000	5960000	18	18	domain	20
chr1	5960000	6200000	18	13	boundary,domain	20
chr1	6200000	6480000	13	16	boundary,domain	20
chr1	6480000	6680000	16	18	boundary,domain	20
chr1	6680000	7920000	18	18	domain	20
chr1	7920000	8880000	18	18	domain	20
chr1	8880000	9120000	18	15	boundary,domain	20
chr1	9120000	9600000	15	18	boundary,domain	20
chr1	9600000	10440000	18	18		20
chr1	10440000	11000000	18	18	domain	20
chr1	11000000	11240000	18	8	boundary,domain	20
chr1	11240000	11800000	8	13		20
chr1	11800000	12840000	13	18		20
chr1	12840000	13360000	18	18	gap	20
chr1	13360000	15120000	18	18		20
chr1	15120000	15320000	18	14	boundary,domain	20
chr1	15320000	15520000	14	18	boundary,domain	20
chr1	15520000	16480000	18	18		20
chr1	16480000	16920000	18	18	gap	20
chr1	16920000	18600000	18	18	domain	20
chr1	18600000	18880000	18	18		20
chr1	18880000	19120000	18	12	boundary,domain	20
chr1	19120000	19720000	12	17		20
chr1	19720000	21400000	17	18		20
chr1	21400000	21440000	18	18	gap	20
chr1	21440000	22960000	18	18	domain	20
chr1	22960000	23760000	18	16	boundary,domain	20
chr1	23760000	24080000	16	16		20
chr1	24080000	25280000	16	18	domain	20
chr1	25280000	25400000	18	18	gap	20
chr1	25400000	26480000	18	18		20
chr1	26480000	26920000	18	18	boundary,domain	20
chr1	26920000	27280000	18	14	boundary,domain	20
chr1	27280000	27800000	14	18	domain	20
chr1	27800000	28040000	18	10		20
chr1	28040000	28240000	10	18		20
chr1	28240000	28760000	18	4	domain	20
chr1	28760000	28880000	4	6	boundary,domain	20
chr1	28880000	29240000	6	18	boundary,domain	20
chr1	29240000	30720000	18	18	domain	20
chr1	30720000	30920000	18	13	boundary,domain	20
chr1	30920000	31160000	13	17	boundary,domain	20
chr1	31160000	31560000	17	18	boundary,domain	20
chr1	31560000	32080000	18	18	boundary,domain	20
chr1	32080000	32400000	18	18	boundary,domain	20
chr1	32400000	32880000	18	18	boundary,domain	20
chr1	32880000	33120000	18	18	boundary,domain	20
chr1	33120000	33520000	18	10	boundary,domain	20
chr1	33520000	34800000	10	18		20
chr1	34800000	35840000	18	18	domain	20
chr1	35840000	36080000	18	18	boundary,domain	20
chr1	36080000	36480000	18	18	boundary,domain	20
chr1	36480000	37440000	18	18	domain	20
chr1	37440000	37800000	18	6	domain	20
chr1	37800000	38840000	6	18		20
chr1	38840000	39600000	18	15		20
chr1	39600000	39760000	15	18		20
chr1	39760000	40040000	18	18	boundary,domain	20
chr1	40040000	40560000	18	15		20
chr1	40560000	41000000	15	18	boundary,domain	20
chr1	41000000	41240000	18	18	boundary,domain	20
chr1	41240000	41520000	18	18	boundary,domain	20
chr1	41520000	42800000	18	18	domain	20
chr1	42800000	43160000	18	18		20
chr1	43160000	44080000	18	18		20
chr1	44080000	44680000	18	18	domain	20
chr1	44680000	45320000	18	14	domain	20
chr1	45320000	45600000	14	17	boundary,domain	20
chr1	45600000	46880000	17	18	domain	20
chr1	46880000	46920000	18	18	gap	20
chr1	46920000	47080000	18	18	domain	20
chr1	47080000	47120000	18	18	gap	20
chr1	47120000	48120000	18	18	domain	20
chr1	48120000	48240000	18	18		20
chr1	48240000	48520000	18	18	boundary,domain	20
chr1	48520000	48880000	18	18	domain	20
chr1	48880000	50360000	18	18	domain	20
chr1	50360000	51240000	18	18	domain	20
chr1	51240000	51600000	18	2	domain	20
chr1	51600000	51880000	2	18		20
chr1	51880000	52040000	18	18	boundary,domain	20
chr1	52040000	53240000	18	18	domain	20
chr1	53240000	53400000	18	18		20
chr1	53400000	53840000	18	18	domain	20
chr1	53840000	55040000	18	18		20
chr1	55040000	55280000	18	18	boundary,domain	20
chr1	55280000	56760000	18	18	domain	20
chr1	56760000	58480000	18	18	domain	20
chr1	58480000	58680000	18	18		20
chr1	58680000	59880000	18	13	domain	20
chr1	59880000	59960000	13	18		20
chr1	59960000	60960000	18	18	domain	20
chr1	60960000	62160000	18	18	boundary,domain	20
chr1	62160000	62440000	18	18	boundary,domain	20
chr1	62440000	62800000	18	18	boundary,domain	20
chr1	62800000	63560000	18	18	domain	20
chr1	63560000	64240000	18	18	domain	20
chr1	64240000	64680000	18	9	domain	20
chr1	64680000	64840000	9	18	boundary,domain	20
chr1	64840000	65720000	18	11		20
chr1	65720000	65800000	11	4	boundary,domain	20
chr1	65800000	66760000	4	18		20
chr1	66760000	67200000	18	18	domain	20
chr1	67200000	67520000	18	18	boundary,domain	20
chr1	67520000	68400000	18	18	domain	20
chr1	68400000	70080000	18	18	domain	20
chr1	70080000	71080000	18	18	domain	20
chr1	71080000	72280000	18	18	domain	20
chr1	72280000	72360000	18	18	gap	20
chr1	72360000	74760000	18	18	domain	20
chr1	74760000	75200000	18	18	boundary,domain	20
chr1	75200000	75680000	18	8		20
chr1	75680000	75920000	8	18	boundary,domain	20
chr1	75920000	77160000	18	18	domain	20
chr1	77160000	78120000	18	18	domain	20
chr1	78120000	78720000	18	18		20
chr1	78720000	83120000	18	18	domain	20
chr1	83120000	83480000	18	18	gap	20
chr1	83480000	85280000	18	18		20
chr1	85280000	86040000	18	5	domain	20
chr1	86040000	86360000	5	18		20
chr1	86360000	87120000	18	18	domain	20
chr1	87120000	89400000	18	18		20
chr1	89400000	89440000	18	18	gap	20
chr1	89440000	91240000	18	18	domain	20
chr1	91240000	92320000	18	7		20
chr1	92320000	92840000	7	18		20
chr1	92840000	93000000	18	15	boundary,domain	20
chr1	93000000	93880000	15	18		20
chr1	93880000	94440000	18	18		20
chr1	94440000	94840000	18	14	domain	20
chr1	94840000	95080000	14	18	boundary,domain	20
chr1	95080000	95240000	18	18	boundary,domain	20
chr1	95240000	98080000	18	18	domain	20
chr1	98080000	99760000	18	18	domain	20
chr1	99760000	100920000	18	18	domain	20
chr1	100920000	101400000	18	18	domain	20
chr1	101400000	102480000	18	18	domain	20
chr1	102480000	102520000	18	18	gap	20
chr1	102520000	103040000	18	18	domain	20
chr1	103040000	103080000	18	18	gap	20
chr1	103080000	103600000	18	18	domain	20
chr1	103600000	103880000	18	18	gap	20
chr1	103880000	104640000	18	18	domain	20
chr1	104640000	104680000	18	18	gap	20
chr1	104680000	104840000	18	18	domain	20
chr1	104840000	104880000	18	18	gap	20
chr1	104880000	105720000	18	18	domain	20
chr1	105720000	105760000	18	18	gap	20
chr1	105760000	108200000	18	18	domain	20
chr1	108200000	108480000	18	18	gap	20
chr1	108480000	109680000	18	18	domain	20
chr1	109680000	109720000	18	18	gap	20
chr1	109720000	110800000	18	18		20
chr1	110800000	111120000	18	18	boundary,domain	20
chr1	111120000	111440000	18	18	boundary,domain	20
chr1	111440000	112400000	18	18		20
chr1	112400000	112720000	18	18		20
chr1	112720000	113080000	18	18	boundary,domain	20
chr1	113080000	113800000	18	14	domain	20
chr1	113800000	114800000	14	18	domain	20
