target_id	gene_name	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	chr	start	end	strand
ENSG00000157554.19	ERG	13	53.6353379800621	7.29286413463605e-169	1.42546322375596e-164	chr21	38380027	38661780	-
ENSG00000151503.12	NCAPD3	14	76.2978294346142	4.99538750581382e-110	4.88199220943185e-106	chr11	134150119	134225454	-
ENSG00000157388.19	CACNA1D	24	118.678435241239	2.13897657205813e-69	1.39361453591494e-65	chr3	53328963	53813733	+
ENSG00000133019.11	CHRM3	7	31.8549245557869	7.96940097398346e-67	3.89424778593702e-63	chr1	239386565	239915452	+
ENSG00000140526.18	ABHD2	10	50.5762445149876	2.4294867267374e-52	9.49734951216185e-49	chr15	89087459	89202355	+
ENSG00000151498.11	ACAD8	15	64.9872062950353	1.40352652242111e-51	4.57222156787384e-48	chr11	134253495	134265855	+
ENSG00000266714.9	MYO15B	24	83.8107280818892	2.01446299579602e-42	5.62495624511842e-39	chr17	75588058	75626849	+
ENSG00000099204.20	ABLIM1	11	38.9694142684198	6.74151252975204e-39	1.64712004883167e-35	chr10	114431113	114768061	-
ENSG00000175866.15	BAIAP2	28	124.02420261347	6.94050606228169e-38	1.50732368325953e-34	chr17	81035122	81117432	+
ENSG00000006747.15	SCIN	8	31.7032687821494	7.22329318071615e-37	1.41186488510278e-33	chr7	12570577	12660182	+
ENSG00000112964.14	GHR	12	63.6361624448334	3.30454168010884e-36	5.8718701526734e-33	chr5	42423439	42721878	+
ENSG00000095627.9	TDRD1	2	12.7016922954199	3.70960346946802e-35	6.0423257845185e-32	chr10	114179270	114232304	+
ENSG00000027001.10	MIPEP	5	24.6518110685886	1.24386143690579e-34	1.87019351121236e-31	chr13	23730189	23889400	-
ENSG00000215018.10	COL28A1	5	19.4376408385028	1.53273453340345e-34	2.13991637070742e-31	chr7	7356203	7535873	-
ENSG00000109452.12	INPP4B	15	72.1791521776849	5.77912150173989e-34	7.53058059153386e-31	chr4	142023160	142847432	-
ENSG00000078018.20	MAP2	13	50.2236200742927	7.46247138809399e-33	9.11634160948032e-30	chr2	209424058	209734118	+
ENSG00000144218.19	AFF3	9	49.4730579421603	3.4028032851555e-31	3.91242311833231e-28	chr2	99545419	100192428	-
ENSG00000196091.15	MYBPC1	15	92.0281755700102	1.52656097587071e-30	1.65767560190939e-27	chr12	101568353	101686028	+
ENSG00000076043.10	REXO2	16	72.0931400337339	2.3210433078235e-30	2.38774276287991e-27	chr11	114439386	114450279	+
ENSG00000164125.15	GASK1B	7	36.3726147272224	5.08092680573747e-30	4.96558976724723e-27	chr4	158124474	158173318	-
ENSG00000157911.10	PEX10	9	36.7505944989486	6.58369427633905e-29	6.12785182501539e-26	chr1	2403964	2413797	-
ENSG00000120903.13	CHRNA2	12	53.9507220290646	2.59840459280109e-27	2.30856437140409e-24	chr8	27459756	27479883	-
ENSG00000184640.18	SEPTIN9	39	139.792857646728	1.12473407579226e-26	9.55828358497194e-24	chr17	77280569	77500596	+
ENSG00000152154.11	TMEM178A	6	22.5987601281287	5.9700882814293e-26	4.86213939786738e-23	chr2	39664982	39717963	+
ENSG00000166387.13	PPFIBP2	23	81.6906540845205	4.58275038134677e-25	3.58297755815216e-22	chr11	7513298	7657127	+
ENSG00000181090.21	EHMT1	37	137.225852297808	5.57532626556079e-25	4.19135873794812e-22	chr9	137618992	137870016	+
ENSG00000187243.16	MAGED4B	8	24.5700766919343	9.7006227018769e-25	7.02253227151429e-22	chrX	52061827	52069248	-
ENSG00000125257.16	ABCC4	14	86.6451021756889	1.38921154096272e-24	9.69768884987764e-22	chr13	95019835	95301475	-
ENSG00000173482.16	PTPRM	15	74.9284081161961	1.73269739163772e-24	1.16783804196382e-21	chr18	7566782	8406861	+
ENSG00000104714.14	ERICH1	10	40.0589810105123	5.19694141211156e-24	3.38598056137108e-21	chr8	614746	738106	-
ENSG00000182796.14	TMEM198B	12	47.3206703791181	5.75493498864959e-24	3.62857933187564e-21	chr12	55829608	55836246	+
ENSG00000154545.16	MAGED4	6	16.6604452443315	1.05370632641189e-23	6.43616995501461e-21	chrX	52184823	52192268	+
ENSG00000081138.14	CDH7	4	17.3904951398709	1.58687712174181e-23	9.39912127926224e-21	chr18	65750252	65890337	+
ENSG00000103769.10	RAB11A	7	42.1768159105147	3.35823084393845e-23	1.93058764928297e-20	chr15	65726054	65891989	+
ENSG00000080709.16	KCNN2	6	29.5559809955254	8.34437440390953e-23	4.65997548853759e-20	chr5	114055926	114496500	+
ENSG00000065361.15	ERBB3	18	77.1256771547901	9.64394833778547e-23	5.23612817250985e-20	chr12	56076799	56103505	+
ENSG00000183844.17	FAM3B	5	25.5735066333382	5.95925030940029e-22	3.14809477155508e-19	chr21	41304212	41357727	+
ENSG00000175287.19	PHYHD1	11	38.6356493834446	6.31049756329522e-22	3.24592066768864e-19	chr9	128920966	128942041	+
ENSG00000131773.14	KHDRBS3	9	34.1876991921887	2.84589331026827e-21	1.42630334980778e-18	chr8	135457456	135656722	+
ENSG00000164116.16	GUCY1A1	12	72.6854372070087	4.52267995432747e-21	2.21000755968212e-18	chr4	155666711	155732349	+
ENSG00000183960.9	KCNH8	3	13.018298436387	8.38380754226727e-21	3.99682688344283e-18	chr3	19148510	19535642	+
ENSG00000133112.16	TPT1	13	94.6850382073944	1.02687841192226e-20	4.77889653319822e-18	chr13	45333471	45341370	-
ENSG00000159322.17	ADPGK	12	58.5089762935879	1.68363804794232e-20	7.65311378722806e-18	chr15	72751369	72785846	-
ENSG00000153956.16	CACNA2D1	12	47.1112799411193	4.16901837654631e-20	1.85199166336305e-17	chr7	81946444	82443777	-
ENSG00000069974.16	RAB27A	11	53.9074391468749	7.16227577150291e-20	3.11097427177324e-17	chr15	55202966	55319113	-
ENSG00000104419.15	NDRG1	26	122.102483334106	1.17238158721511e-19	4.98160228341445e-17	chr8	133237171	133302022	-
ENSG00000164120.14	HPGD	12	43.7461447205743	1.42180830693034e-19	5.91290748239585e-17	chr4	174490175	174523154	-
ENSG00000106078.19	COBL	10	54.2738843824732	3.75548989773038e-19	1.52926678210496e-16	chr7	51016212	51316818	-
ENSG00000070526.15	ST6GALNAC1	8	29.3929677765878	3.84453149993294e-19	1.5335757693406e-16	chr17	76624761	76643786	-
ENSG00000114315.4	HES1	2	13.8075584620759	5.31949432892295e-19	2.07949672306256e-16	chr3	194136148	194138732	+
ENSG00000152270.9	PDE3B	5	28.5394146411356	7.60131677025705e-19	2.91324191355773e-16	chr11	14643804	14872044	+
ENSG00000132932.17	ATP8A2	5	17.0907526610279	8.85161653812257e-19	3.3271864779643e-16	chr13	25371974	26025851	+
ENSG00000078124.12	ACER3	8	31.7478248373493	1.66711765896465e-18	6.14820410606096e-16	chr11	76860867	77026797	+
