loop_chr_x	loop_start_x	loop_end_x	loop_chr_y	loop_start_y	loop_end_y	loop_anchor_ID_x	loop_anchor_ID_y	loop_loopID	loop_Loop_Type	peak_chr	peak_start	peak_end	peak_Conc_T2E	peak_Conc_NonT2E	peak_Fold	peak_p.value	peak_FDR
chr22	47620000	47640000	chr22	48480000	48520000	17265	17271	17265_17271	shared	chr22	47631709	47632210	6.7	-0.54	7.24	5.15e-22	1.07e-17
chr12	130030000	130060000	chr12	130320000	130340000	12716	12718	12716_12718	shared	chr12	130045293	130045794	7.06	4.74	2.33	4.4e-14	6.24e-11
chr12	130030000	130060000	chr12	130170000	130190000	12716	12717	12716_12717	T2E-specific	chr12	130045293	130045794	7.06	4.74	2.33	4.4e-14	6.24e-11
chr3	196980000	197020000	chr3	197170000	197190000	4312	4314	4312_4314	shared	chr3	196996447	196996948	6.33	3.69	2.63	5.23e-14	7.32e-11
chr22	37280000	37330000	chr22	37440000	37480000	17165	17166	17165_17166	shared	chr22	37291262	37291763	5.53	1.95	3.57	2.27e-13	2.52e-10
chr19	30210000	30240000	chr19	30630000	30660000	16066	16069	16066_16069	shared	chr19	30214351	30214852	5.87	2.82	3.04	3.38e-13	3.45e-10
chr22	37280000	37330000	chr22	37440000	37480000	17165	17166	17165_17166	shared	chr22	37287353	37287854	5.7	2.94	2.76	4.56e-13	4.4e-10
chr11	19530000	19580000	chr11	19730000	19760000	11030	11031	11030_11031	shared	chr11	19577171	19577672	6.71	5.04	1.67	2.66e-12	2.07e-09
chr11	19530000	19580000	chr11	19880000	19920000	11030	11033	11030_11033	shared	chr11	19577171	19577672	6.71	5.04	1.67	2.66e-12	2.07e-09
chr9	89530000	89630000	chr9	89920000	89940000	9485	9489	9485_9489	shared	chr9	89556064	89556565	5.99	2.99	2.99	3.93e-12	2.86e-09
chr9	89530000	89630000	chr9	90080000	90110000	9485	9492	9485_9492	shared	chr9	89556064	89556565	5.99	2.99	2.99	3.93e-12	2.86e-09
chr9	89530000	89630000	chr9	90850000	90930000	9485	9498	9485_9498	shared	chr9	89556064	89556565	5.99	2.99	2.99	3.93e-12	2.86e-09
chr12	121660000	121700000	chr12	121770000	121820000	12671	12672	12671_12672	shared	chr12	121678859	121679360	5.6	3.16	2.44	5.82e-12	3.98e-09
chr6	1570000	1630000	chr6	2080000	2120000	6164	6170	6164_6170	shared	chr6	1619662	1620163	5.88	3.69	2.19	1.09e-11	6.81e-09
chr6	1570000	1630000	chr6	2180000	2230000	6164	6172	6164_6172	shared	chr6	1619662	1620163	5.88	3.69	2.19	1.09e-11	6.81e-09
chr6	1570000	1630000	chr6	2340000	2370000	6164	6174	6164_6174	shared	chr6	1619662	1620163	5.88	3.69	2.19	1.09e-11	6.81e-09
chr6	1570000	1630000	chr6	2440000	2470000	6164	6175	6164_6175	shared	chr6	1619662	1620163	5.88	3.69	2.19	1.09e-11	6.81e-09
chr6	1570000	1630000	chr6	2610000	2650000	6164	6178	6164_6178	shared	chr6	1619662	1620163	5.88	3.69	2.19	1.09e-11	6.81e-09
chr6	1570000	1630000	chr6	2720000	2760000	6164	6181	6164_6181	shared	chr6	1619662	1620163	5.88	3.69	2.19	1.09e-11	6.81e-09
chr6	1570000	1630000	chr6	2080000	2120000	6164	6170	6164_6170	shared	chr6	1621194	1621695	5.22	2.68	2.54	1.84e-11	1.06e-08
chr6	1570000	1630000	chr6	2180000	2230000	6164	6172	6164_6172	shared	chr6	1621194	1621695	5.22	2.68	2.54	1.84e-11	1.06e-08
chr6	1570000	1630000	chr6	2340000	2370000	6164	6174	6164_6174	shared	chr6	1621194	1621695	5.22	2.68	2.54	1.84e-11	1.06e-08
chr6	1570000	1630000	chr6	2440000	2470000	6164	6175	6164_6175	shared	chr6	1621194	1621695	5.22	2.68	2.54	1.84e-11	1.06e-08
chr6	1570000	1630000	chr6	2610000	2650000	6164	6178	6164_6178	shared	chr6	1621194	1621695	5.22	2.68	2.54	1.84e-11	1.06e-08
chr6	1570000	1630000	chr6	2720000	2760000	6164	6181	6164_6181	shared	chr6	1621194	1621695	5.22	2.68	2.54	1.84e-11	1.06e-08
chr15	89870000	89910000	chr15	90070000	90090000	14187	14188	14187_14188	shared	chr15	89874170	89874671	3.01	5.59	-2.58	1.87e-11	1.06e-08
chr3	156810000	156840000	chr3	157060000	157160000	4069	4070	4069_4070	shared	chr3	156810550	156811051	5.05	1.8	3.25	1.93e-11	1.09e-08
chr15	72700000	72730000	chr15	73240000	73280000	14064	14067	14064_14067	T2E-specific	chr15	72726747	72727248	3.67	6.02	-2.34	3.68e-11	1.9e-08
chr12	109590000	109610000	chr12	109760000	109800000	12561	12562	12561_12562	shared	chr12	109606526	109607027	3.61	6.04	-2.43	4.9e-11	2.34e-08
chr14	37220000	37260000	chr14	37420000	37440000	13289	13291	13289_13291	shared	chr14	37245503	37246004	0.72	5.01	-4.28	8.78e-11	3.82e-08
chr14	37220000	37260000	chr14	37560000	37590000	13289	13292	13289_13292	shared	chr14	37245503	37246004	0.72	5.01	-4.28	8.78e-11	3.82e-08
chr14	37220000	37260000	chr14	37860000	37890000	13289	13294	13289_13294	shared	chr14	37245503	37246004	0.72	5.01	-4.28	8.78e-11	3.82e-08
chr12	93510000	93590000	chr12	93730000	93770000	12410	12412	12410_12412	shared	chr12	93509946	93510447	3.07	5.68	-2.61	9e-11	3.9e-08
chr12	93510000	93590000	chr12	94070000	94110000	12410	12418	12410_12418	shared	chr12	93509946	93510447	3.07	5.68	-2.61	9e-11	3.9e-08
chr4	173490000	173540000	chr4	174100000	174130000	5076	5077	5076_5077	shared	chr4	173502512	173503013	4.76	-0.25	5.01	9.2e-11	3.93e-08
chr12	130030000	130060000	chr12	130320000	130340000	12716	12718	12716_12718	shared	chr12	130059344	130059845	4.86	-0.54	5.4	9.96e-11	4.14e-08
chr12	130030000	130060000	chr12	130170000	130190000	12716	12717	12716_12717	T2E-specific	chr12	130059344	130059845	4.86	-0.54	5.4	9.96e-11	4.14e-08
chr22	19440000	19500000	chr22	19610000	19640000	17001	17002	17001_17002	shared	chr22	19497057	19497558	5.95	3.34	2.6	1.41e-10	5.58e-08
chr9	133780000	133800000	chr9	133980000	134010000	9872	9873	9872_9873	shared	chr9	133788801	133789302	6.04	4.02	2.03	1.6e-10	6.26e-08
chr12	130030000	130060000	chr12	130320000	130340000	12716	12718	12716_12718	shared	chr12	130042395	130042896	4.89	1.84	3.05	2.87e-10	1.02e-07
chr12	130030000	130060000	chr12	130170000	130190000	12716	12717	12716_12717	T2E-specific	chr12	130042395	130042896	4.89	1.84	3.05	2.87e-10	1.02e-07
chr12	93510000	93590000	chr12	93730000	93770000	12410	12412	12410_12412	shared	chr12	93550699	93551200	4.43	6.29	-1.86	3.75e-10	1.26e-07
chr12	93510000	93590000	chr12	94070000	94110000	12410	12418	12410_12418	shared	chr12	93550699	93551200	4.43	6.29	-1.86	3.75e-10	1.26e-07
chr2	15630000	15670000	chr2	15920000	15950000	1714	1718	1714_1718	shared	chr2	15642215	15642716	5.09	2.36	2.73	9.12e-10	2.71e-07
chr2	15630000	15670000	chr2	16480000	16520000	1714	1721	1714_1721	shared	chr2	15642215	15642716	5.09	2.36	2.73	9.12e-10	2.71e-07
chr5	14690000	14740000	chr5	14990000	15020000	5207	5209	5207_5209	shared	chr5	14699633	14700134	1.76	5.11	-3.35	2.24e-09	5.8e-07
chr4	173490000	173540000	chr4	174100000	174130000	5076	5077	5076_5077	shared	chr4	173501205	173501706	5	2.18	2.83	2.43e-09	6.18e-07
chr12	92980000	93020000	chr12	93380000	93410000	12405	12407	12405_12407	shared	chr12	93008773	93009274	3.71	6.14	-2.43	2.45e-09	6.21e-07
chr6	138410000	138440000	chr6	138510000	138520000	7085	7086	7085_7086	shared	chr6	138423971	138424940	5.92	3.77	2.15	2.95e-09	7.21e-07
chr18	61550000	61650000	chr18	61880000	61900000	15807	15808	15807_15808	shared	chr18	61549714	61550215	6.21	4.67	1.54	3.05e-09	7.38e-07
chr18	61550000	61650000	chr18	62110000	62150000	15807	15809	15807_15809	shared	chr18	61549714	61550215	6.21	4.67	1.54	3.05e-09	7.38e-07
chr5	14690000	14740000	chr5	14990000	15020000	5207	5209	5207_5209	shared	chr5	14715164	14715665	4.23	6.1	-1.87	3.48e-09	8.3e-07
chr2	26590000	26610000	chr2	26730000	26750000	1784	1785	1784_1785	shared	chr2	26598568	26599069	6.21	4.41	1.8	3.72e-09	8.78e-07
chr12	93510000	93590000	chr12	93730000	93770000	12410	12412	12410_12412	shared	chr12	93537761	93538262	3.27	5.41	-2.14	4.49e-09	1.03e-06
chr12	93510000	93590000	chr12	94070000	94110000	12410	12418	12410_12418	shared	chr12	93537761	93538262	3.27	5.41	-2.14	4.49e-09	1.03e-06
chr7	107860000	107900000	chr7	108130000	108150000	8060	8061	8060_8061	nonT2E-specific	chr7	107864585	107865086	3.02	5.29	-2.28	5.02e-09	1.12e-06
chr12	93510000	93590000	chr12	93730000	93770000	12410	12412	12410_12412	shared	chr12	93549142	93549643	4.05	5.88	-1.83	5.83e-09	1.29e-06
chr12	93510000	93590000	chr12	94070000	94110000	12410	12418	12410_12418	shared	chr12	93549142	93549643	4.05	5.88	-1.83	5.83e-09	1.29e-06
chr14	37420000	37440000	chr14	37560000	37590000	13291	13292	13291_13292	shared	chr14	37431810	37432311	4.62	6.25	-1.63	7.09e-09	1.52e-06
chr12	124420000	124460000	chr12	124740000	124800000	12695	12700	12695_12700	shared	chr12	124453427	124453928	7.1	5.43	1.66	8.81e-09	1.83e-06
chr7	116950000	116990000	chr7	117120000	117140000	8102	8103	8102_8103	shared	chr7	116951810	116952311	3.23	5.84	-2.61	8.87e-09	1.84e-06
chr22	45850000	45880000	chr22	45960000	46020000	17245	17246	17245_17246	shared	chr22	45864514	45865015	5.56	3.83	1.73	1.22e-08	2.4e-06
chr11	69250000	69300000	chr11	69630000	69710000	11366	11368	11366_11368	shared	chr11	69297755	69298256	6.98	5.64	1.34	1.25e-08	2.44e-06
chr12	93510000	93590000	chr12	93730000	93770000	12410	12412	12410_12412	shared	chr12	93547884	93548385	2.85	5.35	-2.5	1.62e-08	3.04e-06
chr12	93510000	93590000	chr12	94070000	94110000	12410	12418	12410_12418	shared	chr12	93547884	93548385	2.85	5.35	-2.5	1.62e-08	3.04e-06
chr8	52100000	52130000	chr8	52390000	52420000	8645	8647	8645_8647	shared	chr8	52118592	52119093	2.78	5.36	-2.58	2.36e-08	4.16e-06
chr14	37420000	37440000	chr14	37560000	37590000	13291	13292	13291_13292	shared	chr14	37429768	37430269	4.01	5.99	-1.98	2.49e-08	4.34e-06
chr7	104220000	104280000	chr7	104840000	104880000	8027	8029	8027_8029	shared	chr7	104228395	104228896	2.24	4.92	-2.69	2.6e-08	4.48e-06
chr8	52100000	52130000	chr8	52390000	52420000	8645	8647	8645_8647	shared	chr8	52111821	52112322	2.09	5	-2.91	2.74e-08	4.68e-06
